ds,yhat,yhat_lower,yhat_upper
2024-01-01,134211.853721136,101203.62450967422,167670.47626080838
2024-01-02,139716.004029395,108558.28780443466,171341.16088362402
2024-01-03,133555.71195887358,102107.54592265969,167014.10631704167
2024-01-04,137536.01465009415,105369.99770626311,169621.79573678545
2024-01-05,136973.00275282297,105357.80973137639,167896.83124708146
2024-01-06,43852.31929636291,13307.03676097191,76709.00186759002
2024-01-07,32323.799258675615,-383.55969601682335,62759.050364423216
2024-01-08,134234.41789261196,102557.3134634682,165590.2079232473
2024-01-09,139738.56820109533,105911.18747136701,169263.40353784582
2024-01-10,133578.27613057155,101637.56663590686,167299.88728525362
2024-01-11,137558.5788218012,107759.75259020818,168254.0332818644
2024-01-12,136995.56692454932,105800.195285299,168438.01147477538
2024-01-13,43874.883468352076,12239.560186794892,75946.9063150737
2024-01-14,32346.36343049872,919.2997963512609,62958.9263853451
2024-01-15,134256.98206440223,103420.60530967431,167923.8784892642
2024-01-16,139761.1323727957,110279.72777819337,170371.09232453612
2024-01-17,133600.84030230343,103693.38752571757,167089.92426250686
2024-01-18,137581.13407525088,104752.82155621846,171295.82643748293
2024-01-19,137018.11325966555,106283.10772666572,170048.15414768137
2024-01-20,43897.42088512131,10023.421049172488,73861.10935516647
2024-01-21,32368.891928963625,447.8292205904049,64422.1230141745
2024-01-22,134279.5016446672,102443.54747489734,167478.11918200983
2024-01-23,139783.64303468284,107507.44643605115,172280.74435379368
2024-01-24,133623.34204590245,100930.73770943885,167229.5342895853
2024-01-25,137603.63581882257,102335.24532174284,168518.9850196566
2024-01-26,137040.61500318765,105163.62493264572,168692.33165769523
2024-01-27,43919.92262867034,10484.682539090254,74957.45608831177
2024-01-28,32391.393672651335,-3691.1875565543637,65583.0078191391
2024-01-29,134302.00338800778,101939.22856007463,167084.91724760734
2024-01-30,139806.14477826495,106013.62415295238,171110.84089451664
2024-01-31,133645.843789482,99662.6609324934,162861.24220224994
2024-02-01,137626.13756241847,105723.46735265746,169934.62560764002
2024-02-02,137063.11674670974,104223.41250935323,168367.0143675736
2024-02-03,43942.42437116365,11652.424825136655,78356.60554747893
2024-02-04,32413.8954140501,1188.8341629086929,64405.787558004755
2024-02-05,134324.50512867735,102873.4904631584,165550.45457379724
2024-02-06,139828.64651791318,106184.26517961345,171260.34775311174
2024-02-07,133668.3455281656,102472.64364437488,165134.51561424488
2024-02-08,137648.63930011506,103646.66989632824,169206.3736981337
2024-02-09,137085.61848364834,100771.5129996809,171536.7132873707
2024-02-10,43964.926107781845,9525.5890865912,76995.83051211419
2024-02-11,32436.397150814548,1490.1290898153977,64004.998178095055
2024-02-12,134347.0068655257,102876.47642374737,166899.42314988657
2024-02-13,139851.1482546238,111363.84818148437,172263.6381038474
2024-02-14,133690.8472649078,100822.58716050445,164904.51290879448
2024-02-15,137671.1410368801,104950.39677649806,170507.87677650322
2024-02-16,137108.120220385,103759.27989721774,169214.01366452558
2024-02-17,43987.42784447657,11888.32750329437,76473.61879483754
2024-02-18,32458.89888757895,805.2250000014324,65876.69624153759
2024-02-19,134369.50860103892,102934.70125386889,164592.68631727927
2024-02-20,139873.64998895486,107351.2553213092,172261.03289205697
2024-02-21,133713.34899793126,100945.81378907898,165832.66080199566
2024-02-22,137693.6427686392,104418.41511827067,174403.78582235376
2024-02-23,137130.62195078604,104556.73902839197,171385.50652593418
2024-02-24,44009.92957373386,13337.70133562174,76311.3202848046
2024-02-25,32481.40061540481,-193.38498589964388,64405.579678285816
2024-02-26,134392.01032916253,102093.5655921677,165705.71783263152
2024-02-27,139896.15171700568,109550.98569833596,172906.51660004415
2024-02-28,133735.85072598205,102044.71744161566,166727.311265787
2024-02-29,137716.14449672727,106587.10141466605,168391.2580691497
2024-03-01,137153.12367884573,105425.06484817214,171230.36653738935
2024-03-02,44032.43130205639,8423.82548962871,75490.6140990549
2024-03-03,32503.902343492286,668.6812893441413,65788.75845064298
2024-03-04,134414.51205723837,101107.7589995456,166961.86054149305
2024-03-05,139918.65344502227,109934.88562765907,173483.1949201308
2024-03-06,133758.35245333647,97787.90448707597,165766.70394995727
2024-03-07,137738.6462233428,106046.86380113156,169460.86202720422
2024-03-08,137175.62540480576,105549.97314779011,169120.6286153017
2024-03-09,44054.93302728992,8482.326561199685,75671.1944025756
2024-03-10,32526.404068264106,1930.6821973018186,65953.12170724953
2024-03-11,134437.01378130045,103774.16268471177,167213.60296895803
2024-03-12,139941.1551683346,106977.63572064551,172088.8195991309
2024-03-13,133780.8541766632,101872.68677799556,165108.32056974998
2024-03-14,137761.14794669236,106633.49588919542,168603.15767024958
2024-03-15,137198.127128127,103912.46848873925,171157.6804756919
2024-03-16,44077.43475064569,9085.726882755176,78114.43764495401
2024-03-17,32548.905791544123,1980.3779405418766,66341.95354578958
2024-03-18,134459.51550437126,100542.46777174147,164729.8949301521
2024-03-19,139963.65689162983,108547.43803788917,173040.3179738041
2024-03-20,133803.35589998993,100718.86625794372,165612.92721748137
2024-03-21,137783.6496699943,105893.9672297966,172761.69629172023
2024-03-22,137220.6288500586,105010.61554077126,170133.85109776267
2024-03-23,44099.936471511806,12171.635819060093,75314.68544223919
2024-03-24,32571.407510999954,-1574.5868594445667,64344.02513865583
2024-03-25,134482.01722247363,100931.09439604578,167994.0450528653
2024-03-26,139986.15860833868,103542.43906243292,171219.79663973223
2024-03-27,133825.85761537557,101641.48309578755,166051.59185115653
2024-03-28,137806.15138414665,106622.5785023989,168862.13910056764
2024-03-29,137243.13056433693,107006.58413529187,170820.17783347194
2024-03-30,44122.438185622756,10466.526298253099,76529.03653030426
2024-03-31,32593.90922517309,1349.8429305968073,65454.099408959126
2024-04-01,134504.51893656608,100494.10290531092,167567.2540314842
2024-04-02,140008.66032247146,108046.96843772173,171270.77307923397
2024-04-03,133848.3593294769,100908.35860849622,167089.0524721181
2024-04-04,137828.65309820377,105220.15738944492,169601.4365321121
2024-04-05,137265.63227834442,104564.89672337676,167724.78202254872
2024-04-06,44144.93989958066,12256.536061352392,76015.22172498736
2024-04-07,32616.410937700348,668.8867311471791,65790.42806891412
2024-04-08,134527.0206476004,102541.50373800437,166896.65097921388
2024-04-09,140031.16203179117,108699.7026208951,171477.7918679085
2024-04-10,133870.86103721737,101526.5074139764,168698.78601466396
2024-04-11,137851.1548043764,105211.000969853,169086.11329773345
2024-04-12,137288.13398289055,105319.0532957988,169287.49896630726
2024-04-13,44167.441602576866,12857.259766801219,74825.22105211779
2024-04-14,32638.912640573646,-874.116982733211,64626.993649626515
2024-04-15,134549.52235065468,101165.1144581963,168089.53465334026
2024-04-16,140053.6637348033,110012.38441916087,171223.20647738615
2024-04-17,133893.362740261,105193.96653320667,165214.15703640765
2024-04-18,137873.65650744294,101189.16923978536,167405.59648485848
2024-04-19,137310.63568613064,104098.62915120754,170739.15388400058
2024-04-20,44189.94330557305,14366.484749398269,76518.80820192781
2024-04-21,32661.414343570563,2177.070369836216,63634.047282126594
2024-04-22,134572.02405370894,103113.74597051577,167225.63195955235
2024-04-23,140076.16543743902,107313.18241868718,171794.61538252482
2024-04-24,133915.86444250066,101591.28540907036,168742.4201930288
2024-04-25,137896.15820916247,107312.72594550284,171912.99000314437
2024-04-26,137333.13738759462,104636.12889180699,168505.53035971976
2024-04-27,44212.44500660148,12592.422045723093,75022.57775985273
2024-04-28,32683.916044344136,181.98269503737396,63980.47465445128
2024-04-29,134594.52575378964,102641.3252579366,166426.94258598372
2024-04-30,140098.66713779586,107765.599821721,170619.46312770504
2024-05-01,133938.36614277255,101783.74751429322,165973.7832837702
2024-05-02,137918.65990952175,106860.4007166359,168534.6326283182
2024-05-03,137355.6390877401,106323.30322581132,170381.23006497926
2024-05-04,44234.94670676632,13322.219640567484,78420.84512721
2024-05-05,32706.417744655235,1134.296268931206,62472.82354073472
2024-05-06,134617.02745408908,102786.63229867183,165936.78993100038
2024-05-07,140121.16883807027,107553.31322618091,171578.59230038433
2024-05-08,133960.86784304443,101179.89758827441,168769.49434710725
2024-05-09,137941.16161027856,106379.34385289802,168106.77406771734
2024-05-10,137378.14078900896,103670.51939053691,169625.88981243153
2024-05-11,44257.44840879077,12369.206627315069,75089.62090289663
2024-05-12,32728.919446937405,2976.0843260602496,65869.65785967169
2024-05-13,134639.52915694795,102744.59685996421,164642.8262313778
2024-05-14,140143.6705412671,109199.54915747172,172368.07230348358
2024-05-15,133983.3695467827,100411.2633733884,163611.14666150778
2024-05-16,137963.66331396863,106134.45427352517,171094.58639001986
2024-05-17,137400.64249274172,105593.30613705661,171760.31590736387
2024-05-18,44279.950112405066,12859.810437928223,76561.56150157267
2024-05-19,32751.421150697905,1214.6877802706358,63818.97066260077
2024-05-20,134662.03086069686,102595.68612243801,165848.5303599888
2024-05-21,140166.17224499097,107917.17366887465,171166.1610831758
2024-05-22,134005.87125052346,101276.68004482688,164071.1885277045
2024-05-23,137986.1650176821,105397.38964329119,170859.98984989725
2024-05-24,137423.14419633668,104146.02929958687,169906.87216399238
2024-05-25,44302.45181414469,13069.516674184508,74104.63742449357
2024-05-26,32773.92285014146,1449.1585718792426,65338.90039138637
2024-05-27,134684.53255809617,104230.48822292565,166906.12497436855
2024-05-28,140188.67394060412,108123.205601332,173229.87018766368
2024-05-29,134028.37294412332,100980.70564038881,166918.49834161892
2024-05-30,138008.6667092771,104731.62999821469,169285.7847338209
2024-05-31,137445.64588587565,105255.69221194545,169376.81997367943
2024-06-01,44324.953503565164,13855.553315724937,76424.69065900675
2024-06-02,32796.42453970818,1776.101701463613,64164.966804137744
2024-06-03,134707.03424765123,102374.49151075259,164369.43804083127
2024-06-04,140211.17563009996,108889.55874084528,169503.80296364546
2024-06-05,134050.8746336339,101133.22393150067,166425.72277766318
2024-06-06,138031.16839884443,107828.07199686336,168089.09824769874
2024-06-07,137468.14757561655,106380.82627573112,171549.96241313987
2024-06-08,44347.45519298566,11896.033020990091,76049.74905737196
2024-06-09,32818.926229343866,2735.4215869639734,65543.63152242964
2024-06-10,134729.5359359128,102362.55503576477,167785.07778320689
2024-06-11,140233.67731694743,106595.66046437403,172463.91619104883
2024-06-12,134073.37631915702,102639.04548266403,164951.37064829594
2024-06-13,138053.67008304657,105069.10661586787,171565.90040762618
2024-06-14,137490.64925844903,105983.92739958793,169899.57006896051
2024-06-15,44369.95687451143,14274.39096209907,77595.61525938586
2024-06-16,32841.427909452555,1212.8092964971108,64886.226467028755
2024-06-17,134752.03761612665,103885.20613207167,168820.7196235004
2024-06-18,140256.17899717088,108632.4609597651,172995.85995121545
2024-06-19,134095.8779992955,102367.72544631014,166685.61407661645
2024-06-20,138076.1717631772,106177.88640529661,172801.85475646623
2024-06-21,137513.15093853005,107594.22877545157,169990.3639335009
2024-06-22,44392.45855454288,15973.704243247521,77216.54577144486
2024-06-23,32863.92958943764,2104.964212801161,65171.49989030571
2024-06-24,134774.53929634046,103228.7003146672,165753.7304412913
2024-06-25,140278.68067731193,108040.03888041011,171935.21325755052
2024-06-26,134118.37967953377,99810.29568839692,167444.55794826796
2024-06-27,138098.67344356875,105961.92284156667,170849.62232816452
2024-06-28,137535.65261885955,105998.93776518815,170081.58673838267
2024-06-29,44414.96023536341,13856.495737429166,77802.32751395035
2024-06-30,32886.43127002941,1800.8522472572522,66093.81741602665
2024-07-01,134797.04097700346,102910.96323122572,168334.7475591639
2024-07-02,140301.1823580156,111174.95247212099,175508.4942631948
2024-07-03,134140.88136026895,102179.48927404736,166634.48792952253
2024-07-04,138121.17512416048,108305.17643157666,172292.49330125973
2024-07-05,137558.1542995203,105396.25610931695,169329.97870744686
2024-07-06,44437.46191597461,13926.890038354983,74803.63403399655
2024-07-07,32908.932950855844,1780.903680556818,66747.88278654088
2024-07-08,134819.54265784484,102009.42701217253,167820.71322068333
2024-07-09,140323.68403880164,109060.93298137929,174398.19930924353
2024-07-10,134163.38304097025,101381.54509407438,165497.02523559713
2024-07-11,138143.6768049185,106131.34730436683,170080.9914407984
