ds,yhat,yhat_lower,yhat_upper
2024-01-01,44391.086900971364,36689.92292586495,52928.251317828384
2024-01-02,46165.52064555957,37897.193784208175,53819.33367774451
2024-01-03,44992.387585949415,36963.601290191866,52801.71631339026
2024-01-04,46141.7407280353,37848.929286890605,54171.08299842272
2024-01-05,47600.77073756521,40202.679404627335,55928.48215868473
2024-01-06,30970.74654059232,22851.105777376262,38972.6194696542
2024-01-07,24407.166094497567,16461.944968559423,32704.038023561337
2024-01-08,44471.479038965204,36222.92636712507,52424.7379583783
2024-01-09,46245.912783602835,38790.98564320482,53313.51468807683
2024-01-10,45072.77972398388,37331.94905232196,53247.83630571092
2024-01-11,46222.13286607597,38940.63142947699,54818.11415855548
2024-01-12,47681.16287561572,39309.56853549431,55337.37041770099
2024-01-13,31051.13867869697,23000.65964282558,38877.99185218944
2024-01-14,24487.55823255992,16463.998248548327,32135.27207619742
2024-01-15,44551.871177024244,36294.00462145578,52796.7392192042
2024-01-16,46326.30492164609,38499.360524459385,54563.08743426438
2024-01-17,45153.171862034615,37145.070455866364,53908.893828102744
2024-01-18,46302.52497007694,38684.32293950707,54310.81614506298
2024-01-19,47761.554945559765,39764.7792415945,55594.03144803406
2024-01-20,31131.530714574445,22802.305592474968,39005.73369480216
2024-01-21,24567.95023438512,16626.074816174023,32739.2003511786
2024-01-22,44632.263144817174,35749.56868212572,52807.78523244234
2024-01-23,46406.696855368886,38541.44049224703,54623.11194233147
2024-01-24,45233.56376171216,37446.589564054084,53157.629360691855
2024-01-25,46382.91686974504,38631.04895083704,54632.45517091543
2024-01-26,47841.94684522144,39498.07929112522,55848.2305183387
2024-01-27,31211.922614239033,22818.537514521217,39738.64605721579
2024-01-28,24648.3421340749,16864.184915578502,32975.262462210696
2024-01-29,44712.65504443845,36031.051469249905,51559.25698324994
2024-01-30,46487.08875503846,38858.81180124021,54370.47687452493
2024-01-31,45313.9556613822,37393.50887253968,52894.367920100325
2024-02-01,46463.30876942456,38396.390134145,54449.57824893615
2024-02-02,47922.33874488313,40097.526009242516,55973.644862689966
2024-02-03,31292.31451164163,23220.757347636245,39573.11664724713
2024-02-04,24728.734029220625,16478.147260712056,32875.19881122005
2024-02-05,44793.04693738011,36280.57213803338,53092.38626370447
2024-02-06,46567.480645724194,38483.95307397352,55291.048467479144
2024-02-07,45394.347549821025,37299.10740783969,53475.221804273104
2024-02-08,46543.700655615205,38061.00025425889,54153.48352656249
2024-02-09,48002.730628864476,39995.01973224419,56430.96594464623
2024-02-10,31372.706395566755,23071.073146081584,39337.172228332434
2024-02-11,24809.125913174583,16675.003401772254,32613.00718525774
2024-02-12,44873.438821348995,37254.715438124236,52677.5969311993
2024-02-13,46647.87252967119,39139.04259719994,55587.808251976705
2024-02-14,45474.7394337755,37566.41199567799,53697.335757262364
