ds,yhat,yhat_lower,yhat_upper
2024-01-01,36431.1913220626,30106.317154909397,42686.45906213691
2024-01-02,37818.61630235191,31110.121554364567,44427.864049885466
2024-01-03,37254.219914541165,30740.206204872968,43555.78626784467
2024-01-04,37916.14098779914,31529.54308280779,44272.698068262216
2024-01-05,38625.62403227022,32478.276414111097,44970.34218716515
2024-01-06,26861.9776063444,20256.020616000107,33392.09199756289
2024-01-07,19163.844449250904,12710.654519629414,25644.037534410938
2024-01-08,36465.07211021512,29989.090638102753,43487.9585750067
2024-01-09,37852.49709054876,31438.88427468467,43922.42692219528
2024-01-10,37288.1007027219,31028.37531319851,43445.23873608729
2024-01-11,37950.02177598818,31735.11889787083,44377.45759498012
2024-01-12,38659.50482047452,32396.85762024875,45257.078467457366
2024-01-13,26895.85839459073,20632.96208942516,33349.43268023256
2024-01-14,19197.725237459832,13222.7008998845,25269.916640184423
2024-01-15,36498.95289842266,30628.05548753739,43083.71414603064
2024-01-16,37886.3778787456,31503.13886608371,44678.43813525628
2024-01-17,37321.98149092695,30786.162506610726,44144.224526765516
2024-01-18,37983.902562979725,32005.185641212734,44537.439557185135
2024-01-19,38693.38560625189,32346.56245641802,45165.62617557543
2024-01-20,26929.739179140553,20381.699427455864,33621.659835637045
2024-01-21,19231.606020797695,12480.921325785586,25415.348362360593
2024-01-22,36532.833680562886,30536.79647876322,43033.83172044607
2024-01-23,37920.25865965575,31037.25430795882,44348.0917266352
2024-01-24,37355.86227063415,31349.71151213062,43549.07647175299
2024-01-25,38017.78334267451,31596.487251191265,44403.814393451095
2024-01-26,38727.26638594529,32738.018108294527,45014.25297901089
2024-01-27,26963.61995883652,20368.951314378904,32963.83602355887
2024-01-28,19265.48680051238,12655.90173264344,26108.604287505954
2024-01-29,36566.714460221156,30494.34421551522,42731.81661586237
2024-01-30,37954.139439352446,31407.286445163438,44693.863429203135
2024-01-31,37389.74305033279,30619.32773792724,44282.96085833831
2024-02-01,38051.66412239431,31398.09663766605,44167.63409298445
2024-02-02,38761.147165638686,32261.106508256802,45082.195597830105
2024-02-03,26997.50074037472,20415.044899631128,33696.41760850566
2024-02-04,19299.367583903033,12632.364283522127,25933.689391378088
2024-02-05,36600.59524550171,29907.36141445238,42934.18570996981
2024-02-06,37988.02022648005,31807.16076746021,44456.283672433616
2024-02-07,37423.6238393127,31124.96373305213,43919.64643240414
2024-02-08,38085.54491322661,31254.20234326735,44758.66210601675
2024-02-09,38795.02795835766,32220.54241890824,45239.22520308413
2024-02-10,27031.381533050437,20313.60190105243,33655.17138504568
2024-02-11,19333.248376602874,12855.136403202077,25840.550375605013
2024-02-12,36634.476038210276,30163.037136300056,42961.848321788595
2024-02-13,38021.90101917642,31508.01046991724,44635.95025151462
2024-02-14,37457.50463201727,31073.36788574133,43939.2405805512
2024-02-15,38119.42570593114,31537.925320373542,44604.89086566031
2024-02-16,38828.90875106148,32926.30553547952,45355.43932252071
2024-02-17,27065.262325740165,20301.403465000687,33159.8743570379
2024-02-18,19367.129169302716,12839.21642259233,25784.44826306231
2024-02-19,36668.35682662923,29804.20833505825,43046.88969115008
2024-02-20,38055.781803308986,31689.962119026455,44918.72445852156
2024-02-21,37491.38541186201,31800.824785448593,44020.94197727247
2024-02-22,38153.306481473264,31815.467498237027,45063.46562255239
2024-02-23,38862.78952229895,32327.70998077854,45292.53850198363
2024-02-24,27099.14309271025,20603.62377441884,32999.38200729308
2024-02-25,19401.00993196838,12839.560824109605,25216.227816222432
2024-02-26,36702.237589330034,30244.419200629938,43108.95487558772
2024-02-27,38089.66256599318,31866.795957101425,45253.07000147502
2024-02-28,37525.26617454456,31461.512172090668,44022.938486728075
2024-02-29,38187.18724417154,32143.57807147199,44588.07967900303
2024-03-01,38896.6702849965,32885.88989488872,45171.15476815664
2024-03-02,27133.023855449836,20489.00393506383,33379.43535569662
2024-03-03,19434.890694661954,13067.924859339917,25686.594641155727
2024-03-04,36736.11835202934,30417.32430274831,43226.22668464198
2024-03-05,38123.5433286892,31820.514648464432,45101.69465199769
2024-03-06,37559.146935020675,31366.55943356143,43988.68413312541
