ds,yhat,yhat_lower,yhat_upper
2024-01-01,21949.268979638273,17642.232354653584,26514.102162591575
2024-01-02,23006.37947587123,18880.60017615626,27183.30735862658
2024-01-03,22432.917084803074,18262.185839170055,26512.322462209733
2024-01-04,23124.657491158094,18505.510464337967,27083.19061386993
2024-01-05,23466.601681312415,19212.731803057388,27639.839421272478
2024-01-06,13491.066844425113,9188.219383266547,17524.507171728957
2024-01-07,10229.430987930622,6030.765414782014,14399.423765527312
2024-01-08,21962.11999098097,17780.070201927807,25956.01105334058
2024-01-09,23019.230487242392,19062.540088672922,26995.617418826052
2024-01-10,22445.76809616994,18373.72384713221,26520.704979819886
2024-01-11,23137.508502527948,19018.417424734937,27330.479283116354
2024-01-12,23479.452692687097,19322.90260560184,27281.85350609675
2024-01-13,13503.917855831269,9624.261642452879,17395.324151213314
2024-01-14,10242.281999313222,6075.134137101761,14355.079694504617
2024-01-15,21974.971002361366,17879.21280179544,25898.107230713085
2024-01-16,23032.081498613556,18910.847029719826,27285.131342488447
2024-01-17,22458.61910754534,18276.766896197412,26890.400358647454
2024-01-18,23150.359514039363,19145.809659647137,27326.937378085062
2024-01-19,23492.30370433015,19348.681192889344,27541.023985732394
2024-01-20,13516.768867601582,9296.990919640732,17709.143629767066
2024-01-21,10255.133011218615,5893.001143172023,14299.526591073794
2024-01-22,21987.822014412694,18235.596950877127,26280.37012785859
2024-01-23,23044.93251078952,18751.530865974688,26849.08787475411
2024-01-24,22471.470119859114,18422.400644990394,26759.113685018172
2024-01-25,23163.210526348525,19142.432863398055,27438.263064765517
2024-01-26,23505.154716635123,19320.272546599317,27364.184196518894
2024-01-27,13529.619879908649,9629.251978696782,17812.278154589378
2024-01-28,10267.984023540525,6110.3137930808425,14453.077326315284
2024-01-29,22000.673026694694,17823.23772347124,25801.759407098893
2024-01-30,23057.78352309967,19022.38171042348,27507.63861589826
2024-01-31,22484.32113216955,18421.17649911932,26346.3306831107
2024-02-01,23176.06153866416,19171.377523474173,27094.91681953119
2024-02-02,23518.005728940094,19200.26568136667,27289.95530539689
2024-02-03,13542.470892241468,9495.166348086585,17508.410171434356
2024-02-04,10280.835035899912,6085.466594116623,14366.404219871136
2024-02-05,22013.524039114593,17732.92378585004,26118.658524680948
2024-02-06,23070.63453554866,18900.888863512824,26736.545470454
2024-02-07,22497.172144653137,18349.933132901133,26520.600569655613
2024-02-08,23188.9125511811,19180.00360689232,26957.62599640994
2024-02-09,23530.856741514956,19240.349025672847,27385.84891213156
2024-02-10,13555.32190478206,9331.237309478787,17638.15195178712
2024-02-11,10293.686048457248,6183.721093900409,14346.533919239659
2024-02-12,22026.3750516804,17796.575281731664,26158.630807216254
2024-02-13,23083.48554810153,18871.78240009113,27238.39087818393
2024-02-14,22510.023157210246,18574.224619904213,26723.042029887092
2024-02-15,23201.763563740038,19025.825762884695,27400.021793453583
2024-02-16,23543.70775407135,19398.30063078301,27512.24832364339
2024-02-17,13568.172917331525,9434.026657813813,17357.10057363399
2024-02-18,10306.537061014584,6187.149056268276,14737.240695324017
2024-02-19,22039.226063852853,17976.392483019263,26212.897753881363
2024-02-20,23096.33655989141,18874.456357447936,27247.63570662722
2024-02-21,22522.874168609487,18487.924449025355,26316.176730024956
2024-02-22,23214.614574747782,18902.71170621752,27383.112422232527
2024-02-23,23556.558764679936,19237.423580282797,27723.362979327547
2024-02-24,13581.023927565262,9430.826088175516,17791.768150492124
2024-02-25,10319.388070845429,5992.676680210232,14657.22952104062
2024-02-26,22052.077073713273,18018.925731200758,26324.596973224674
2024-02-27,23109.18756974228,19079.07632897723,27039.5118680018
2024-02-28,22535.725178459714,18209.00880683677,27046.319214263294
2024-02-29,23227.465584605034,18980.196099230383,27168.85236704203
2024-03-01,23569.409774534644,19408.43654622314,27859.183078510065
2024-03-02,13593.874937451448,9391.617456095251,17822.835990656087
2024-03-03,10332.239080701078,6255.210688545737,14261.460436940799
2024-03-04,22064.928083569994,18296.944894948243,26235.31436811162
2024-03-05,23122.03857959378,19020.045693677643,27270.32723675232
2024-03-06,22548.57618776793,18722.125940186274,26320.062845872955
2024-03-07,23240.316593369284,19241.58261888394,27348.79002069034
2024-03-08,23582.260782764297,19311.2937301883,27635.24428630366
2024-03-09,13606.725945135637,9738.984051976977,18089.52674739567
2024-03-10,10345.090087870307,6260.416576428066,14586.762635710185
2024-03-11,22077.77909019834,18110.11445450918,26021.01170617798
2024-03-12,23134.889585673896,19076.670031336584,27098.780943173726
2024-03-13,22561.427193852596,18723.951325809878,26608.7369841391
2024-03-14,23253.16759945578,19343.898046841347,27217.82827779109
2024-03-15,23595.111788848244,19407.056462931185,27591.322297318122
2024-03-16,13619.576951221534,9348.494047265756,17570.02953868543
2024-03-17,10357.941093948222,6076.603083797732,14003.29155298189
2024-03-18,22090.6300962503,18071.425766107102,26025.116190407276
2024-03-19,23147.74059175433,19174.678093575993,27121.33965609683
2024-03-20,22574.27819993726,18392.77567614052,26509.09866899108
2024-03-21,23266.018605534904,19359.087130533673,27083.67533804455
2024-03-22,23607.962794805175,19863.645219947997,27706.612348513892
2024-03-23,13632.427957092073,9371.351903695164,17552.514126729857
2024-03-24,10370.792099686074,6015.300316641221,14364.227313455583
2024-03-25,22103.481101867947,17902.74426221052,26347.170273787186
2024-03-26,23160.591597244413,19326.366539829563,26746.91826561226
2024-03-27,22587.129205309626,18483.515988090196,26644.15890518873
2024-03-28,23278.86961080273,19404.87142674019,27596.06036145673
2024-03-29,23620.813800081552,19276.032876274156,27831.615304886178
2024-03-30,13645.278962351935,9493.076898101841,17898.71726240998
2024-03-31,10383.6431049519,6857.916507974004,14682.560111014873
2024-04-01,22116.332107127866,18347.754757463248,26130.27684371544
2024-04-02,23173.442602508036,18903.2785716083,27391.84722938549
2024-04-03,22599.980210571586,18785.97302072403,26920.9858095796
2024-04-04,23291.720616055813,19250.312995869175,27918.9823350536
2024-04-05,23633.664805330445,19344.473786008853,27780.201459674176
2024-04-06,13658.129967594039,9887.672911006679,17906.40599229154
2024-04-07,10396.494110405127,6264.371184485032,14292.163027148961
2024-04-08,22129.183112783932,18038.99688983256,26265.24600974419
2024-04-09,23186.293608345535,19446.61603102969,27284.631345708396
2024-04-10,22612.83121659917,18698.205021469166,26977.336628045196
2024-04-11,23304.571622280757,19204.4473429216,27673.263509699387
2024-04-12,23646.51581174557,19281.313031590304,27597.48614841333
2024-04-13,13670.980974205628,9379.741860568543,17258.82274155814
2024-04-14,10409.345117006753,6176.629029922085,14469.095082189886
2024-04-15,22142.034119404463,18122.678669535842,26054.060540096212
2024-04-16,23199.14461496053,19375.176421704164,27099.264245649556
2024-04-17,22625.6822232184,18570.850779392757,26504.13062954597
2024-04-18,23317.42262890181,19068.68228193111,27406.669512663808
2024-04-19,23659.366818382558,19641.26990144528,27617.18369740841
2024-04-20,13683.831980817216,9407.077107342497,17630.761851497347
2024-04-21,10422.196123619233,6479.034109985517,14492.065308856194
2024-04-22,22154.885126024994,18081.68376951237,26188.278003011023
2024-04-23,23211.995621247712,19126.218032726876,27380.50007420212
2024-04-24,22638.533229178356,18353.347621708148,26870.380652707994
2024-04-25,23330.273634517358,19752.410398709613,27298.89137622462
2024-04-26,23672.217823691062,19527.969672681094,27598.44583350275
2024-04-27,13696.6829857913,9367.622184174763,17789.899029645738
2024-04-28,10435.04712828066,6466.135273499202,14374.22673457703
2024-04-29,22167.73613032271,18138.630675762997,26375.1555279762
2024-04-30,23224.846625579103,19086.82061680192,27269.558396210345
2024-05-01,22651.384233500812,18771.338593361656,26868.628598315663
2024-05-02,23343.124638853275,19326.930822244954,27297.727314084772
2024-05-03,23685.06882799903,19724.80204109182,27827.253462684715
2024-05-04,13709.5339901015,9866.855548960342,17720.11511900303
2024-05-05,10447.8981326076,6052.981422667034,14355.103645593465
2024-05-06,22180.587134650727,18257.2067119278,26120.447192615244
2024-05-07,23237.69762990127,19090.712600786122,26877.062505234982
2024-05-08,22664.23523782326,18576.87706725082,26875.907960228105
2024-05-09,23355.97564323098,19201.379850636764,27231.504005336803
2024-05-10,23697.91983243809,19634.465096493335,28077.169209140204
2024-05-11,13722.384994628559,9585.460186336206,17731.314872184437
2024-05-12,10460.749137160657,6285.20474641972,14555.796694827193
2024-05-13,22193.438139268786,18141.436898508342,26221.887504067032
2024-05-14,23250.548634563245,19181.644328287395,27228.563918913253
2024-05-15,22677.08624254568,18890.549404530953,26749.334889986316
2024-05-16,23368.826647946957,19050.40480522416,27118.46942199101
2024-05-17,23710.770837159795,19574.751232929433,27671.253673094103
2024-05-18,13735.235999334469,9577.769518419778,17854.73371135636
2024-05-19,10473.600141883308,6215.095088165635,14309.545284854083
2024-05-20,22206.289143992508,18316.205665751717,26441.97173817154
2024-05-21,23263.399639281117,19090.876672729464,27409.957541846357
2024-05-22,22689.93724726718,18886.65751951146,26946.314217585004
2024-05-23,23381.67765266384,19310.637180921913,27412.445446029982
2024-05-24,23723.621841863474,19602.001661279504,27622.72083440448
2024-05-25,13748.087003787692,9490.754576282001,18123.231963546736
2024-05-26,10486.451146040277,6315.077792053313,14588.24551796402
2024-05-27,22219.140147870912,18198.616945162266,26356.978901854865
2024-05-28,23276.25064291724,19072.825348956692,27546.50977568239
2024-05-29,22702.788250637404,18720.814814149686,26708.46412183598
2024-05-30,23394.52865576546,19346.243898840057,27720.762228614887
2024-05-31,23736.472844692107,19480.200672404073,27756.113052798704
2024-06-01,13760.938006600521,9668.414253706602,17781.68671451245
2024-06-02,10499.302148869854,6259.893063098195,14553.995749427368
2024-06-03,22231.991150701564,18177.36342426823,26263.654051894864
2024-06-04,23289.10164574266,19102.56824194791,27465.695828669093
2024-06-05,22715.639253458226,18501.885348815707,26412.73981750336
2024-06-06,23407.37965859664,19236.00902735115,27342.529009634087
2024-06-07,23749.32384753921,19811.07521830864,27829.09694955216
2024-06-08,13773.789009413355,9609.177005388487,17748.29833790926
2024-06-09,10512.153151706405,6494.012037820362,14608.94861139042
2024-06-10,22244.84215359982,18084.169424533095,26444.434660393825
