ds,yhat,yhat_lower,yhat_upper
2024-01-01,13503.357912284977,10951.730540585935,16091.578166158293
2024-01-02,13920.201574157938,11338.397929093802,16414.26983969556
2024-01-03,13817.369448018011,11185.777969231156,16281.56804239575
2024-01-04,14175.710630459165,11667.556095572705,16606.7690070873
2024-01-05,14384.776572551116,11793.539262227252,16856.5968904882
2024-01-06,9453.330597841421,6730.973171926363,11863.722727290275
2024-01-07,6873.188865953467,4194.512055806472,9486.192920569882
2024-01-08,13531.455121686546,10894.43272209093,15985.391291749545
2024-01-09,13948.298783575885,11487.135744003566,16406.565709933642
2024-01-10,13845.466657430954,11334.363510260724,16327.488409398997
2024-01-11,14203.80783987471,11509.545490148263,16855.18214137659
2024-01-12,14412.87378197175,11827.62551283431,17004.60612851024
2024-01-13,9481.427807278636,7033.210557725865,12044.724638317655
2024-01-14,6901.28607537681,4381.765653023074,9367.556603073901
2024-01-15,13559.552331108915,10908.510669117577,16139.245230870332
2024-01-16,13976.395992993832,11487.760595767286,16460.21257854314
2024-01-17,13873.563866852008,11305.65518733722,16237.47002092956
2024-01-18,14231.905048797635,11764.969535220182,16935.56633372218
2024-01-19,14440.970990395748,12189.54392106688,16970.07557182354
2024-01-20,9509.525015199355,6854.877102745696,12136.89373110043
2024-01-21,6929.383282799512,4334.331991779386,9406.211362830141
2024-01-22,13587.649538039703,11061.937545330375,16026.161766385936
2024-01-23,14004.49319942028,11330.799405919153,16649.927705745955
2024-01-24,13901.661072783038,11570.263031580937,16286.24826124556
2024-01-25,14260.002254724974,11811.87227009575,16728.49969133349
2024-01-26,14469.068196321967,11914.440291214507,17045.838740143492
2024-01-27,9537.622221126816,7088.91556082852,12042.18219248705
2024-01-28,6957.480488734649,4452.99775175803,9548.526095544641
2024-01-29,13615.74674395307,11147.395238393538,16070.50698298617
2024-01-30,14032.590405348414,11394.847758542017,16559.376090346163
2024-01-31,13929.75827871183,11202.11688623724,16212.786924225014
2024-02-01,14288.099460660502,11902.248524816741,16905.19180078334
2024-02-02,14497.165402248185,11932.931199023744,16908.346006321615
2024-02-03,9565.719425310162,7038.813867390319,12059.936637365281
2024-02-04,6985.577691176929,4387.652565368334,9411.458094012789
2024-02-05,13643.843944670209,11081.815138831524,16172.28493644544
2024-02-06,14060.68760432366,11748.619083443713,16670.10649634762
2024-02-07,13957.855475947508,11456.78795448783,16354.912943598049
2024-02-08,14316.196656156098,11770.838773285379,16797.536457199865
2024-02-09,14525.262596017757,11870.313786669689,17033.758495676953
2024-02-10,9593.816619061763,7118.028366247943,12130.739090925686
2024-02-11,7013.674884938009,4473.227329229079,9566.915493556202
2024-02-12,13671.941138435157,11369.678353561836,16285.040397195182
2024-02-13,14088.784798083037,11581.15536166498,16495.004924213306
2024-02-14,13985.952669709988,11297.621928201554,16308.305625672017
2024-02-15,14344.293849918766,11999.692624180661,16944.668427271397
2024-02-16,14553.35978977982,12066.966060616098,17105.761701617623
2024-02-17,9621.913812818857,7064.448404510755,12006.90166739859
2024-02-18,7041.772078699092,4595.015308423297,9655.506626741428
2024-02-19,13700.038298943991,11225.398773962637,16442.342511121733
2024-02-20,14116.881925338912,11617.67612412505,16734.33761141875
2024-02-21,14014.049763711051,11471.391070641119,16528.579060937394
2024-02-22,14372.390910660517,11806.418891513025,16753.12681185435
2024-02-23,14581.45681726043,12020.631054328986,17163.73672606115
2024-02-24,9650.010807053111,7077.519697226008,12166.83973354902
