ds,yhat,yhat_lower,yhat_upper
2024-01-01,20417.91107738255,16703.461129962103,24170.921658399177
2024-01-02,21396.72809989942,17581.421371242872,25284.333573974316
2024-01-03,20874.82383680651,17045.18169908781,24624.0135866089
2024-01-04,21345.309152072172,17323.622282221528,25356.467084814205
2024-01-05,21630.260628429405,17777.925730389106,25581.777924585585
2024-01-06,13521.376862547062,9708.623642543911,17362.63806751892
2024-01-07,9809.572689040458,6006.897215722499,13341.58851871713
2024-01-08,20449.786725408085,16499.236331614782,24210.316969114283
2024-01-09,21428.603747951587,17757.99737927436,25455.801132376244
2024-01-10,20906.699484851903,16874.289838216293,24490.91863551076
2024-01-11,21377.184800121428,17461.541101268125,25442.332322195234
2024-01-12,21662.136276485275,17785.05499310023,25359.554012749297
2024-01-13,13553.25251062998,9866.689884237176,17885.4456958947
2024-01-14,9841.448337101472,5922.743590562134,13544.471439299628
2024-01-15,20481.66237346774,16474.86619082976,24014.339682861973
2024-01-16,21460.479396003746,17867.53635579559,25509.769741456785
2024-01-17,20938.575132908365,17131.804727370636,24713.838788067416
2024-01-18,21409.06044814623,17471.580695117565,25277.147091165236
2024-01-19,21694.011924476115,18076.88727286158,25815.076947917212
2024-01-20,13585.128158581047,9683.812803858493,17885.311010300644
2024-01-21,9873.323985021136,6144.939858466089,13831.62498399511
2024-01-22,20513.53802136483,16547.620324528674,24342.406896996483
2024-01-23,21492.35504385891,17793.817676678125,25623.8933185437
2024-01-24,20970.45078073611,17258.35241019497,24913.644744807843
2024-01-25,21440.93609596791,17595.92163579577,25383.438635933377
2024-01-26,21725.88757229542,18067.397853171784,25558.711426916543
2024-01-27,13617.00380640207,9741.420144099291,17703.40063638312
2024-01-28,9905.199632854567,6231.197888445698,13841.381518993718
2024-01-29,20545.41366916279,16875.953868377055,24357.928474147913
2024-01-30,21524.23069168156,17456.479234230832,25365.006299558016
2024-01-31,21002.326428559456,16828.49851565808,24639.6262953139
2024-02-01,21472.811743800015,17705.250775509718,25535.51218996478
2024-02-02,21757.763220114724,17764.593559586516,25513.795217509854
2024-02-03,13648.879451025015,9817.51238439852,17571.389558987656
2024-02-04,9937.075274282264,6194.840934025571,13718.008266765108
2024-02-05,20577.289307422918,16920.296678699764,24473.848530366773
2024-02-06,21556.10632674631,17675.97420575645,25331.32485437499
2024-02-07,21034.202060433017,17035.067697675055,24945.524587200987
2024-02-08,21504.687372481952,17529.376547264746,25518.397916436083
2024-02-09,21789.638845626665,18261.48588115135,25550.494793717455
2024-02-10,13680.755076508223,9854.91978343686,17845.20548587506
2024-02-11,9968.950899780344,6244.086916397193,13768.70743913838
2024-02-12,20609.16493292736,16472.10962866708,24548.345555750468
2024-02-13,21587.981952241193,17872.351358527838,25404.737009260625
2024-02-14,21066.0776859322,17078.123466557216,24784.067083586695
2024-02-15,21536.562997981986,17501.446127897998,25056.53189959355
2024-02-16,21821.51447112525,18112.68568840862,25807.197133925045
2024-02-17,13712.630701999551,9768.758511329115,17592.732624868604
2024-02-18,10000.826525278431,5863.489771094278,13590.285996266803
2024-02-19,20641.04055543366,16601.215594956415,24709.815870813516
2024-02-20,21619.857571755034,17766.829956637677,25281.301444562887
2024-02-21,21097.95330244938,17404.845583300663,24669.277814020148
2024-02-22,21568.438611497957,17703.223410855127,25531.09466392771
2024-02-23,21853.390081635873,17860.32213574563,25452.87022906188
2024-02-24,13744.506309526863,9496.201018118583,17401.04814878714
2024-02-25,10032.702129798326,6006.645320659322,13822.827906057744
2024-02-26,20672.916159978016,16621.340209234368,24301.856539436896
2024-02-27,21651.733176289978,17938.58043751843,25515.846114455107
2024-02-28,21129.828906983876,17126.351637302912,24979.70776798188
2024-02-29,21600.314216039977,17656.706891907077,25379.231717213
2024-03-01,21885.265686176444,17996.07287570817,26080.23524819616
2024-03-02,13776.381914094483,9912.269351970199,17728.653218304404
2024-03-03,10064.577734338392,6125.253932419142,13897.515392560663
2024-03-04,20704.791764520305,17066.837206135726,24350.269711500096
2024-03-05,21683.608780828767,18027.82535640133,25577.21958480374
2024-03-06,21161.674169328093,17448.062830328534,25116.058783017656
2024-03-07,21632.129136196512,17696.02200202937,25456.580931426248
2024-03-08,21917.05026415041,18354.28444962268,25896.033994299796
2024-03-09,13808.136149876169,10084.594078464079,17499.321352107283
2024-03-10,10096.301627954736,5996.232364610679,13853.605592204014
2024-03-11,20736.4853159494,16861.988900382486,24645.184846439988
2024-03-12,21715.271990062574,17948.722188611584,25388.3627635149
2024-03-13,21193.33737856813,17294.05773080594,24822.875983878315
2024-03-14,21663.792345437396,17587.430112868595,25526.86159141736
2024-03-15,21948.713473389842,18204.714590333442,26002.202513212575
2024-03-16,13839.799359116463,10009.132371744343,17535.498501350965
2024-03-17,10127.964837188012,6251.578096987064,13950.170360349986
2024-03-18,20768.14852515851,16849.709622851595,24672.51276879405
2024-03-19,21746.9351992983,18025.949844439394,25389.617585656186
2024-03-20,21225.00058780816,17545.08145860947,24940.33263491798
2024-03-21,21695.45555467023,17829.47616795189,25318.634001595674
2024-03-22,21978.376295657756,18057.07203571115,25959.753104919095
2024-03-23,13867.46179444973,9879.762540407255,17342.536361216382
2024-03-24,10153.626885544949,6006.068811368147,13836.23319954054
2024-03-25,20791.810186551535,16865.747227966134,24427.78101008711
2024-03-26,21768.59647371936,17493.475926093917,25812.150203597495
2024-03-27,21244.661475267367,17328.827971089035,24941.6207537047
2024-03-28,21713.116055181312,18031.60366827181,25635.626768548278
2024-03-29,21996.036796172695,18272.176159265055,26072.160524577444
2024-03-30,13885.122294952176,9791.596553005242,17863.21421968064
2024-03-31,10171.287386051687,6412.580576121461,13917.441229459198
2024-04-01,20809.47068705484,16763.176461721094,24483.833197778662
2024-04-02,21786.256974226133,18122.859970258498,25736.418643186094
2024-04-03,21262.321975773953,17603.926081744834,25036.67810864544
2024-04-04,21730.776555676297,17945.527947965016,26079.070985485283
2024-04-05,22013.697296665305,18271.92531241513,25789.115761767927
2024-04-06,13902.782795438383,9855.676393284284,17667.35416087631
2024-04-07,10187.210388884245,6476.62747581571,13992.275379975817
2024-04-08,20823.656192225233,16928.141512679023,24307.48888598222
2024-04-09,21798.704981718434,18027.354060629583,25710.953163998878
2024-04-10,21273.03248559096,17066.344652039577,24763.444996184142
2024-04-11,21739.749567828643,17736.87152940463,25441.73921901587
2024-04-12,22020.93281114676,17938.28675621487,25590.757805592093
2024-04-13,13908.28081225303,9690.37228752437,17647.439038150344
2024-04-14,10192.708405691134,6434.2991801223225,13939.59236239534
2024-04-15,20829.154209048855,17237.781882726547,24658.25250575132
2024-04-16,21804.20299853663,17861.162570103486,25843.930629557675
2024-04-17,21278.530502413465,17583.976318014105,24836.506559259375
2024-04-18,21745.247584652,17852.022882167857,25559.777907406933
2024-04-19,22026.430827982018,17975.924441387324,26027.92033016517
2024-04-20,13913.778829067673,9835.215013454284,17601.9193571813
2024-04-21,10198.20642250688,6350.160231208721,13987.940237620944
2024-04-22,20834.652225872476,16994.347639875792,24737.468051140975
2024-04-23,21809.44956478895,18080.217984816743,25798.304355799697
2024-04-24,21283.525618102503,17485.421859184484,25196.265598438313
2024-04-25,21749.99124976168,17707.14140592432,25640.69326039389
2024-04-26,22030.92304254807,18459.966994515373,26006.97462218984
2024-04-27,13918.019593062501,10111.447852100393,17773.534343434476
2024-04-28,10202.19573595015,6201.779304835854,13978.828762455572
2024-04-29,20838.390088718377,17195.069750029248,24489.586233610247
2024-04-30,21813.187427666366,17908.152728579957,25831.503119290745
2024-05-01,21287.26348097172,17280.2144241601,25543.868930753568
2024-05-02,21753.729112645335,18081.215215806023,25677.345479829124
2024-05-03,22034.660905404275,18265.9816882184,25751.079501967455
2024-05-04,13921.757455921277,9985.158998313827,17970.29095213227
2024-05-05,10205.933598823807,6341.821543680946,13851.406661735922
2024-05-06,20842.12795159425,17110.77403742699,24884.58849037852
2024-05-07,21816.925290534895,18222.198632915155,25780.758757018026
2024-05-08,21291.00134384094,17623.52392211279,25308.46169796644
2024-05-09,21757.454581094877,17858.253710991437,25793.203253245294
2024-05-10,22038.37397944241,18336.81617693208,26074.76816575639
2024-05-11,13925.458135568462,10236.322339022512,17928.12238709144
2024-05-12,10209.621884025426,6186.59500738955,14234.272096588904
2024-05-13,20845.803842384226,17029.8774501267,24745.45913346882
2024-05-14,21820.58878689922,17970.9752592802,25877.924395440907
2024-05-15,21294.652445789634,17567.23822144514,25208.149804487934
2024-05-16,21761.10568303875,18280.053483538595,25774.821982590754
2024-05-17,22042.02508139051,18220.37676915024,25786.326609180363
2024-05-18,13929.109237501181,10004.04141571537,17427.97621517546
2024-05-19,10213.272985973024,6511.269769499225,14042.423039790769
2024-05-20,20849.454944334044,16933.37379075555,24863.66565492468
2024-05-21,21824.239888841694,17728.451933902383,25343.00367047293
2024-05-22,21298.303547737203,17306.08141062116,24951.250580304157
2024-05-23,21764.756784980247,18031.88733514358,25620.80820252362
2024-05-24,22045.676183320662,18212.866282496958,25889.529662386707
2024-05-25,13932.758914620423,10062.792255001887,17706.572972162594
2024-05-26,10216.921238241002,6233.85660972779,13899.818549371234
2024-05-27,20853.101771762646,17081.557552080918,24650.886329354536
2024-05-28,21827.885291465267,17612.90828073532,25729.434532719522
2024-05-29,21301.947525537285,17391.710268498267,24835.28388435423
2024-05-30,21768.399337951454,18058.878242015042,25338.90853173986
2024-05-31,22049.3173114607,18222.537689895667,25803.392443975514
2024-06-01,13936.40004274508,9894.197850345496,17722.43434470235
2024-06-02,10220.56236638054,6730.9396686804475,14050.119039152232
2024-06-03,20856.742899904402,16860.176623034822,24761.8220415303
2024-06-04,21831.526419603528,17832.730232702128,25628.52204671302
2024-06-05,21305.58865366685,17323.185334966598,24904.112463555703
2024-06-06,21772.04046609294,17727.608617632155,25649.68882982928
2024-06-07,22052.958439614096,18370.70479156584,25773.70812492925
2024-06-08,13940.041170869737,10049.735703752918,18031.433317867035
2024-06-09,10224.203494525731,6183.447592085008,13867.408898650274
2024-06-10,20860.384019527894,17190.76632848578,24697.46928944647
2024-06-11,21835.16753069727,18190.86196706034,25864.943699898264
