ds,yhat,yhat_lower,yhat_upper
2024-01-01,96647.70379894017,83519.15495477829,110004.01897643034
2024-01-02,100464.09653585352,87452.3136463179,113921.78164585287
2024-01-03,100873.1922382772,87551.36792323874,114549.66985351799
2024-01-04,103280.75634902492,89237.78141558127,116648.38746660078
2024-01-05,111911.495672238,99174.41212311575,126060.32401204431
2024-01-06,100737.1246912008,88327.47940093146,113771.67576809334
2024-01-07,73101.33957427714,59367.04031429686,85539.74404450123
2024-01-08,97110.76057879822,84278.65077978859,110998.92194740842
2024-01-09,100927.15331579134,87840.38716513778,114761.6966629577
2024-01-10,101336.24901816327,87709.12105932919,115583.04153792752
2024-01-11,103743.81312893803,89460.14974802741,117065.59474720524
2024-01-12,112374.5524521966,98915.84639928282,124929.88743055078
2024-01-13,101200.1814712296,87706.31635663823,115574.79434227567
2024-01-14,73564.39635421557,59104.9972570182,87058.42933694094
2024-01-15,97573.81735874499,83805.50011468562,111014.92429577
2024-01-16,101390.21009572916,88144.37280750487,114216.06118703652
2024-01-17,101799.30579811774,88375.35553832892,114899.447855993
2024-01-18,104206.86990914535,91180.17093807759,118168.51574142845
2024-01-19,112837.60923266619,99729.26536288926,126130.11815861822
2024-01-20,101663.23825191402,88551.36519553384,115230.61733695626
2024-01-21,74027.45313515574,61774.12020153612,87519.0508453436
2024-01-22,98036.87413996927,85112.21767742172,110783.63652619587
2024-01-23,101853.26687717708,87870.38712083283,114210.88243474277
2024-01-24,102262.36257984977,88353.88761652965,114830.28657829613
2024-01-25,104669.92669084697,91388.99026764507,117861.5224358137
2024-01-26,113300.66601437773,101272.8835978985,127415.54271595344
2024-01-27,102126.29503362045,88660.83361607656,114752.85845511031
2024-01-28,74490.5099168827,60992.55900837403,87907.73526141755
2024-01-29,98499.93092161583,86386.79404461772,112491.05218612845
2024-01-30,102316.32365888052,89452.7862022423,115310.73699713501
2024-01-31,102725.41936155854,88331.55729618442,115932.63125111588
