ds,yhat,yhat_lower,yhat_upper
2024-01-01,1062.6634345536968,-3328.0567970760176,5135.948391940481
2024-01-02,2653.823967315224,-1854.6201821811505,6862.306025991165
2024-01-03,2828.411706206509,-1650.2494349374742,7337.106914494202
2024-01-04,2191.116691992933,-1966.529983387568,6740.91563431855
2024-01-05,14483.69373555522,9929.46715867526,18861.329381665448
2024-01-06,23424.011408018458,18859.613447217504,27374.64351947141
2024-01-07,28171.94326354292,23503.505405182168,32451.059758265597
2024-01-08,1185.4955230284631,-3120.1200184386157,5491.893646911129
2024-01-09,2776.6560557339753,-1555.5641359005085,7121.478962228171
2024-01-10,2951.2437946687996,-1620.5353671759356,7240.034930134716
2024-01-11,2313.948780440276,-2101.0199617857784,6439.4462620799695
2024-01-12,14606.525823969885,10256.505964978896,18846.454394136363
2024-01-13,23546.843496405854,19212.338552837315,28117.619980444157
2024-01-14,28294.775351953664,24036.286943539162,32799.939729676735
2024-01-15,1308.3276114431483,-3150.8737950882933,5646.9539028105655
2024-01-16,2899.4881441527223,-1645.1456651186584,7540.971760145498
2024-01-17,3074.0758830676205,-1475.5857405361603,7810.917081185277
2024-01-18,2436.780868773598,-1821.4673426602308,6806.11225501518
2024-01-19,14729.357912219637,10076.289232423915,19134.595525709352
2024-01-20,23669.675584584722,19218.64879175604,27662.27182868423
2024-01-21,28417.607440033822,24111.61415541412,33241.123693766116
2024-01-22,1431.1596994455504,-3145.758276988834,5676.450179957401
2024-01-23,3022.3202321023527,-1534.7074627349325,7251.239924296109
2024-01-24,3196.9079709153566,-1079.8999812258614,7640.229429482367
2024-01-25,2559.6129566437467,-2010.6878364301208,6971.092025948965
2024-01-26,14852.190000082253,10501.859280166158,19290.320758000405
2024-01-27,23792.50767243376,18869.346537263955,28108.52558892077
2024-01-28,28540.43952786737,24234.515863811004,33001.69540108332
2024-01-29,1553.991787343124,-2933.9062432966193,5933.2079899036235
2024-01-30,3145.152319969524,-972.9711477454321,7574.919122106646
2024-01-31,3319.74005876872,-1057.2119089263322,7859.885547173098
2024-02-01,2682.4450444156064,-1743.4932703675117,6930.290949223154
2024-02-02,14975.022087944868,10268.60902702727,19535.088150170417
2024-02-03,23915.339758971433,19696.16454545986,28321.034376824566
2024-02-04,28663.271613115652,24281.500901390496,32878.57410976669
2024-02-05,1676.823871190867,-2770.8461249566353,6276.802770027729
2024-02-06,3267.984402510652,-1082.2500441388738,7587.445433894732
2024-02-07,3442.572139996546,-1420.4530031984818,7509.90123967762
2024-02-08,2805.2771243351126,-1587.0081632422769,7125.202471073789
2024-02-09,15097.854166466885,10828.699322983766,19306.255449998087
2024-02-10,24038.171837558468,19318.496020501905,28282.102939060387
2024-02-11,28786.103691673063,24349.32410292926,33219.99497030313
2024-02-12,1799.655949767035,-2370.3534992133896,5999.5504503464235
2024-02-13,3390.8164810764547,-1227.2520240141891,8100.614814177906
2024-02-14,3565.4042185424223,-785.6206608409186,8097.244501904056
2024-02-15,2928.109202897942,-1535.1007254796486,7192.087972282628
2024-02-16,15220.686245028603,10991.694518445132,19885.881349211835
2024-02-17,24161.00391613175,19669.8205558048,28783.00826328927
2024-02-18,28908.935770230484,24477.77277375591,32886.39494205757
2024-02-19,1922.4880292787948,-2854.3833258229265,6396.396983120274
2024-02-20,3513.6485615586425,-890.2408896548438,7682.225044199706
2024-02-21,3688.236299981634,-629.9630296017659,8088.929669454078
2024-02-22,3050.9412853501217,-1510.1377693533175,7006.210709118031
2024-02-23,15343.518328462837,11077.043640583814,19222.985337443923
2024-02-24,24283.83600049171,19740.026805187576,28469.92564700921
2024-02-25,29031.76785560434,24696.34798608897,33309.04392654225
2024-02-26,2045.3201145916519,-2092.9886834941467,6399.931309189382
2024-02-27,3636.480646901181,-897.9743208014754,7979.563841169558
2024-02-28,3811.068385336468,-492.30664288564765,8314.954140528684
2024-02-29,3173.7733706640684,-891.7427460418476,7429.5907122347835
2024-03-01,15466.350413775674,11135.507670154164,20091.382814506323
2024-03-02,24406.66808577728,20423.368171900365,28968.166677059467
2024-03-03,29154.599940912878,24794.460941751695,33496.38568409792
2024-03-04,2168.152199890079,-2062.268785934561,6684.223117250161
2024-03-05,3759.3127321924876,-560.9635964721014,8366.542427389411
2024-03-06,3933.900462164366,-159.26679927761336,8125.571135456756
2024-03-07,3296.605438909297,-1115.924513022748,7758.8527256059715
2024-03-08,15589.182473515955,11095.796761030892,19873.710527449857
2024-03-09,24529.500136985167,20014.90218409857,29288.780649758082
2024-03-10,29277.431983558963,25320.57172047814,34081.470341833556
2024-03-11,2290.984234007543,-1993.4524187504448,6663.191709610297
2024-03-12,3882.1447578070665,-598.7229864204519,8367.004558633284
2024-03-13,4056.7324877333995,-548.3222786921436,8137.50076101671
2024-03-14,3419.437464495284,-870.2591668804121,7932.000677319896
2024-03-15,15712.014499100831,11125.921367202682,19648.38394048268
2024-03-16,24652.33216256787,20135.05459295221,29295.901589349705
2024-03-17,29400.264009139155,25152.959052540493,33773.75218367491
2024-03-18,2413.8162596525217,-2010.7699318459145,6607.983665630244
2024-03-19,4004.976783396027,-365.3953571437782,8435.853000064899
2024-03-20,4179.56451330243,-317.7417227915857,8386.152629579565
2024-03-21,3542.269490112838,-1059.0412528614436,8094.1820101534
2024-03-22,15828.411505612647,11449.114483707046,20242.651101474145
2024-03-23,24762.294149942813,20260.660771042905,29217.05063074823
2024-03-24,29503.79097742549,25034.203660077816,33782.56218968778
2024-03-25,2510.9082088445866,-1848.8623718333324,6644.400315397725
2024-03-26,4095.6337135195663,-149.9709916887218,8493.931711504873
2024-03-27,4263.786424313954,-346.9323368769681,8893.183119788282
2024-03-28,3620.056381979808,-765.7142058310616,8293.65148483196
2024-03-29,15906.198397470365,11653.797991003787,20301.82943162623
2024-03-30,24840.081041838057,20312.84595942868,29265.526197917523
2024-03-31,29581.577869318993,25637.39440088699,34147.67424982178
2024-04-01,2588.6951007276075,-1831.3819889894494,6949.334639136625
2024-04-02,4173.420605382956,-291.45970463070654,8421.90968795837
2024-04-03,4341.573316189909,-55.661713220878205,8543.193695116672
2024-04-04,3697.8432739099117,-827.7641691325654,8346.064337877575
2024-04-05,15983.985289392938,11941.682597898704,20192.48644216262
2024-04-06,24917.867933760797,20708.945061528335,29184.204167604075
2024-04-07,29647.3391631404,25338.788461174277,34148.84761160485
2024-04-08,2642.4307964960553,-2042.6790993123002,7126.20953627656
2024-04-09,4215.130703069326,19.766042678412372,8871.373091677655
2024-04-10,4371.257815848109,-142.42333516792598,8667.23656799503
2024-04-11,3715.5021754814497,-775.1977200108076,7787.820892885664
2024-04-12,15989.61859288523,11471.945416362081,20401.85131342706
2024-04-13,24911.475639167802,20232.561976115965,29350.582906975098
2024-04-14,29640.94686859724,24573.4935446285,34203.8273965215
2024-04-15,2636.038501877085,-1760.1036099588503,6594.2564691631915
2024-04-16,4208.738408468845,136.5578172847198,8673.237082659678
2024-04-17,4364.865521227701,115.64637697169412,8730.035460597324
2024-04-18,3709.1098808779934,-1018.3350204430358,8100.913284218122
2024-04-19,15983.226298240957,11909.778498926613,20448.06769509257
2024-04-20,24905.0833445748,20264.953221846015,29329.796818623574
2024-04-21,29634.55457398799,25180.73507684015,34311.77623640728
2024-04-22,2629.6462072581126,-1759.4067240854745,6879.9089601862
2024-04-23,4197.042852957128,144.3176414210751,9056.351661248133
2024-04-24,4347.866704765321,-317.69579490199476,8906.921732162864
2024-04-25,3686.8078034919617,-558.2426355212662,8129.88201872157
2024-04-26,15955.62095988898,11473.77236244464,20296.405057003336
2024-04-27,24872.17474529754,20750.649010228783,29207.00234659722
2024-04-28,29596.342713758386,25439.478562310513,34257.475714073145
2024-04-29,2586.131086170102,-1961.2615507493701,6997.443715509222
2024-04-30,4153.527731786172,-236.21199049712052,8468.236704401192
2024-05-01,4304.351583618679,-195.06374228105983,8439.80242337194
2024-05-02,3643.2926822989702,-971.3522049232204,7817.739841526985
2024-05-03,15912.105838776737,11761.719161648214,20337.546844797766
2024-05-04,24828.65962416032,20372.0873058094,28897.62232587039
2024-05-05,29552.827592591544,25182.538739736778,33746.73957432112
2024-05-06,2542.6159649931633,-1936.5164626292424,7086.458690903408
2024-05-07,4110.012610653342,-231.77055541631694,8920.56015898995
2024-05-08,4260.836462472034,-438.4696463291602,8506.35756846469
2024-05-09,3599.719608621297,-1032.7116122399655,8152.971079750231
2024-05-10,15868.474812518565,11471.356472935862,20208.58420265644
2024-05-11,24784.970645327063,20551.256608855463,28803.032290060917
2024-05-12,29509.080661233445,25278.037804181877,34171.10133010227
2024-05-13,2498.8110811059923,-1828.3398456721666,6867.875403850709
2024-05-14,4066.1497741823723,-45.5248874980946,8178.024973526875
2024-05-15,4216.915673458938,-351.1517970688263,8410.030530328231
2024-05-16,3555.7988195900016,-915.0842913950083,8103.061108282549
2024-05-17,15824.554023521314,11298.600012929035,20170.25241596259
2024-05-18,24741.049856355123,20360.38088781733,29060.19402046736
2024-05-19,29465.15987223189,25040.799384115384,34285.49658739752
2024-05-20,2454.8902920943365,-1746.028302390705,7291.519952050606
2024-05-21,4022.2289852148215,-374.6103780774034,8284.821222837012
2024-05-22,4172.994884471951,-57.26457920379966,8719.694276053446
2024-05-23,3511.8780306254284,-1035.9443081006684,7670.2634285796485
2024-05-24,15780.633234574356,11491.527239302472,20367.292565664877
2024-05-25,24697.12904936567,20121.83684874911,28825.89133339056
2024-05-26,29421.239047315612,24858.00169941967,33505.63126752175
