ds,yhat,yhat_lower,yhat_upper
2024-01-01,43975.46751867771,32365.459597674944,54796.9060637153
2024-01-02,42497.64111902637,30764.332064144095,54942.430559623805
2024-01-03,49066.39411727487,37504.112747705665,60506.2093087237
2024-01-04,49188.59117001324,37677.637218420714,59460.91636980279
2024-01-05,50414.59733348767,39097.333018878846,61930.749406245515
2024-01-06,48888.1069181241,37698.98266339028,60920.07449043769
2024-01-07,30385.401559560803,18405.900846053704,42040.23425273567
2024-01-08,44376.24741869965,32293.00416511471,55959.56021335937
2024-01-09,42898.42101908803,31808.021943083604,54298.630449328746
2024-01-10,49467.17401728714,38741.96441444827,60045.85681447422
2024-01-11,49589.37107004207,37869.82688016276,61039.277105368325
2024-01-12,50815.37723356638,39989.282776962486,62088.82123484165
2024-01-13,49288.88681822417,37142.98738012919,61042.11656667842
2024-01-14,30786.181459618456,19325.07132168616,42229.83996105087
2024-01-15,44777.027318758206,32287.530638106833,56810.03046225539
2024-01-16,43299.2009191497,31958.00303338132,54433.51046601947
2024-01-17,49867.95391736632,38423.58483248296,61843.912169685136
2024-01-18,49990.15097337311,39274.62993702102,62078.55602673751
2024-01-19,51216.15714017523,40738.159688518805,62257.59333033828
2024-01-20,49689.666728069315,37771.066673673486,61434.91953846481
2024-01-21,31186.961372719794,19829.038069557264,42506.29805785646
2024-01-22,45177.80723514208,33092.204830888964,56836.45777560898
2024-01-23,43699.980838778596,32208.112779867748,54996.870470851114
2024-01-24,50268.73384026991,39671.5434501501,61871.003154237274
2024-01-25,50390.93089625737,39070.256968601316,62096.82445116425
2024-01-26,51616.93706307589,40534.00353261334,62048.873131652465
2024-01-27,50090.44665097471,38333.37910734297,61123.38170960836
2024-01-28,31587.741295632884,20455.410546886495,43404.15929366418
2024-01-29,45578.58715801944,33309.81468604098,57212.49615705361
2024-01-30,44100.76076167254,32904.88435534241,54970.88935772586
2024-01-31,50669.513763171075,39067.76792839929,61308.564492665064
2024-02-01,50791.71081923251,39382.256431832364,62461.603694243764
2024-02-02,52017.71698597657,40216.48396680745,63082.31006843666
2024-02-03,50491.2265801715,38489.698209245464,61220.99655339255
2024-02-04,31988.521231180755,20668.333053453833,43902.94587235878
2024-02-05,45979.36709988539,34813.4770008279,56662.635684769855
2024-02-06,44501.54070984793,32395.952145177416,56084.87450083761
2024-02-07,51070.293717645094,39624.01961136431,62695.08604759649
2024-02-08,51192.4907800042,39890.04584049161,61978.87426700172
2024-02-09,52418.49695308433,40598.91774841061,64068.65229746619
2024-02-10,50892.00654725572,39192.088048768535,62273.32433964895
2024-02-11,32389.30119828756,21136.22795828424,44050.5846664069
2024-02-12,46380.14706699314,35309.39478277276,57158.10433187503
2024-02-13,44902.32067696703,33534.857722288536,56586.46589022462
2024-02-14,51471.0736847817,40462.08036921876,62224.827883369806
2024-02-15,51593.2707471276,40463.31176833333,63039.7557019386
2024-02-16,52819.27692022047,41128.256212601875,63883.01013852939
2024-02-17,51292.78651436311,39383.02905351531,62004.90780082051
2024-02-18,32790.08116539436,21399.51080881428,44889.877994581664
2024-02-19,46780.92698095865,34824.78992378225,58500.9169623519
2024-02-20,45303.1005377543,33734.20867368927,57109.91705581121
2024-02-21,51871.85349244216,40555.123807257,63846.14204374727
2024-02-22,51994.05050157898,40445.84252803555,62614.33125947497
2024-02-23,53220.05662149608,41908.61702337219,64507.04497595535
2024-02-24,51693.56616251819,40274.839742625554,62809.892937114724
2024-02-25,33190.86076040405,21724.43360374285,45879.19895896583
2024-02-26,47181.706575963595,35243.207953433535,58132.61241603015
2024-02-27,45703.880132739214,34230.56493642162,55755.33416622557
2024-02-28,52272.63308740326,41352.870974794154,63561.555944341424
2024-02-29,52394.830096591344,40842.72870279602,63259.59619965709
2024-03-01,53620.83621652119,42032.11356731408,65458.22223458254
2024-03-02,52094.345757564646,40377.996501179136,63637.57927886017
2024-03-03,33591.64035539981,22691.497453399363,45317.14415533786
2024-03-04,47582.486170976794,36623.74683214969,58373.466802777155
2024-03-05,46104.65972777041,34547.48884371759,58358.89436085697
2024-03-06,52673.412678933906,40934.34807463185,63481.345141690115
2024-03-07,52795.609684727104,41767.51490757254,65216.699141450794
2024-03-08,54021.61580122875,42415.026561327206,65526.94490129531
2024-03-09,52495.12533882574,42583.43193327592,64069.676404158294
