ds,yhat,yhat_lower,yhat_upper
2024-01-01,25999.406429693743,21396.333366687737,30330.060331882312
2024-01-02,26970.48406459735,22878.43824738173,31597.952250596503
2024-01-03,26359.46593322265,22318.56947990468,30729.637887282785
2024-01-04,27147.754341981847,22869.145141132274,31488.900143371517
2024-01-05,27739.887001905434,23466.57212346787,31936.319567486677
2024-01-06,19175.732829884655,14873.359797041407,23658.946001153337
2024-01-07,14238.86939741182,10249.034624804244,18339.56036543191
2024-01-08,26046.642010555603,21534.185000225512,30729.274874577015
2024-01-09,27017.719645489153,22621.29887775074,31194.620172923693
2024-01-10,26406.701514105087,21876.843384436863,30536.352881838262
2024-01-11,27194.989922869638,23121.243506421233,31445.370067877397
2024-01-12,27787.122582801883,23755.296992289554,32016.137555578483
2024-01-13,19222.968410811256,15057.727000421763,23378.7237431408
2024-01-14,14286.10497831243,9870.511714958853,18654.147379416045
2024-01-15,26093.877591455202,21941.220596850715,30761.80876215924
2024-01-16,27064.955226380953,22798.26294257598,31408.85504258224
2024-01-17,26453.937095002282,22188.190544876787,30584.85379457501
2024-01-18,27242.22550354626,22931.390326885536,31358.42371805806
2024-01-19,27834.35816325605,23271.634882857983,32217.307635509962
2024-01-20,19270.20399103521,14958.315886950966,23555.531967045034
2024-01-21,14333.340558316833,9817.059665497096,18787.281712447937
2024-01-22,26141.11317124908,21715.920172162143,30512.47782104323
2024-01-23,27112.190805942566,22566.41273784218,31355.24509010188
2024-01-24,26501.172674349247,21957.19573992015,30747.279957531435
2024-01-25,27289.461082886053,22915.15900887869,31558.140401494624
2024-01-26,27881.593742593912,23861.14811219282,32299.269298655072
2024-01-27,19317.43957037459,15282.205608410268,23459.414960158054
2024-01-28,14380.576137669443,10001.024889930834,18656.328763128193
2024-01-29,26188.34875056294,21802.159516111176,30550.486466388327
2024-01-30,27159.426385283037,22757.48795072026,31688.570401320452
2024-01-31,26548.40825369106,22129.408478430832,30918.500311833122
2024-02-01,27336.69666223889,22855.032820751167,31448.620502063153
2024-02-02,27928.82932193177,23744.252510900675,32339.42434835179
2024-02-03,19364.67514938621,14980.890273464911,23909.687331189845
2024-02-04,14427.811716358621,10362.219839483469,18551.817093529127
2024-02-05,26235.584328957193,21928.876336680398,30397.312474620405
2024-02-06,27206.661963352217,23058.005127247332,31292.207728494657
2024-02-07,26595.6438314396,22236.565965676713,31051.503147645526
2024-02-08,27383.932239666752,23150.58344038092,31431.686598550692
2024-02-09,27976.064899061952,23515.0134967896,32290.43034007753
2024-02-10,19411.910726485905,15341.50412338531,23759.15403037498
2024-02-11,14475.047293474834,10198.569717965753,18912.64641970872
2024-02-12,26282.81990607959,22120.83774872975,30944.70342133313
2024-02-13,27253.897540465437,22784.559391339702,31235.001762049968
2024-02-14,26642.879408558216,22276.498050450125,31072.06265418407
2024-02-15,27431.16781678593,23142.465487843914,31739.397763455963
2024-02-16,28023.300476179822,23964.361861821897,32290.12083907636
2024-02-17,19459.14630359471,14998.067525288232,23856.520425491355
2024-02-18,14522.282870591047,10057.935761071527,18497.22279634466
2024-02-19,26330.055060006736,22151.15996519095,30818.49040938353
2024-02-20,27301.13227120132,23108.62641992098,31589.939122789943
2024-02-21,26690.113716099368,22496.942728445112,30767.617699034847
2024-02-22,27478.40170112519,23326.12026137973,31570.91781093591
2024-02-23,28070.533937314074,23828.611598560386,32229.064193832706
2024-02-24,19506.37934154857,14856.39185553089,23813.226204753177
2024-02-25,14569.515485339527,10235.125059372645,18769.24164377852
2024-02-26,26377.287674780324,22236.474979431932,30399.88017847663
2024-02-27,27348.364885963783,23101.981086618143,31609.853901156326
2024-02-28,26737.346330860943,22083.112337324623,30724.88824617407
2024-02-29,27525.634315896943,23006.45647886993,31844.821770160972
2024-03-01,28117.766552084515,23846.621504192863,32256.470925537727
2024-03-02,19553.61195634917,15047.161607509051,23650.90534957372
2024-03-03,14616.748100108312,10396.023841084625,18678.49626241587
2024-03-04,26424.520289552533,21922.911263826223,30846.92147829332
2024-03-05,27395.597500732903,23255.687149769285,31656.184216424896
2024-03-06,26784.549537097857,22842.47037331434,30849.248525480245
2024-03-07,27572.808113612817,23199.89788552224,31679.680908464536
2024-03-08,28164.910941285845,23609.876716857918,32063.522467831735
2024-03-09,19600.726937023413,15148.394851310757,23749.348328075495
2024-03-10,14663.833672285382,10437.464422702398,19220.360577725387
2024-03-11,26471.57645320908,22196.659307577673,30598.222909875243
2024-03-12,27442.624255858827,23287.19970023022,32177.677096778414
2024-03-13,26831.57629223251,22859.10841688086,31043.259265106513
2024-03-14,27619.83486874803,23193.666944626395,31639.079643281722
2024-03-15,28211.937696419744,23545.47430579929,32535.88739451356
2024-03-16,19647.753692157345,15550.362830588045,24101.3578014111
2024-03-17,14710.860427411808,10488.186344599339,19113.250364987754
2024-03-18,26518.603208308392,22497.529746918943,31138.572530111625
2024-03-19,27489.65101098808,23120.537619248673,31419.514009014794
2024-03-20,26878.60304736715,22758.122729715462,30852.24598154544
2024-03-21,27666.861623873272,23181.009647914503,31656.35179698666
2024-03-22,28256.569296456208,23840.713817369335,32516.706856632703
2024-03-23,19689.990137138593,15278.721577074308,23474.215430294866
2024-03-24,14750.701717289312,10873.757325526343,19312.062069875323
2024-03-25,26556.049343098028,22609.110367515917,31251.018467079317
2024-03-26,27524.70199067974,22944.480192180043,31842.275681506504
2024-03-27,26911.258871973303,22630.253399764166,31102.980199259426
2024-03-28,27697.12229341049,23183.243505418814,31667.03158939912
2024-03-29,28286.82996599445,24125.991527765014,32514.271284514787
2024-03-30,19720.25080666456,15148.111273046154,23704.123800151883
2024-03-31,14780.962386819403,10673.178058728241,18802.815853066833
2024-04-01,26586.310012625727,22155.2643776213,30931.30706110854
2024-04-02,27554.96266021199,23209.953343781646,32139.25042445712
2024-04-03,26941.519541505135,22157.547394315105,31070.306573829304
