ds,yhat,yhat_lower,yhat_upper
2024-01-01,21861.52778195781,17740.081607198514,25873.070527083735
2024-01-02,22641.00340617416,18792.677885206685,26550.845052180244
2024-01-03,22135.451158912547,17912.047040876867,26245.082226613347
2024-01-04,22448.056696279637,18588.410859528227,26535.674602117993
2024-01-05,23210.911716532133,19441.745810123764,27199.49301919961
2024-01-06,14539.877527705887,10502.260887721448,18513.5007726181
2024-01-07,9768.30253741662,5669.418128093627,13753.253479988523
2024-01-08,21891.948940246664,18194.92121982308,26155.7690894219
2024-01-09,22671.42456449307,18627.80536452674,26659.138674556005
2024-01-10,22165.872317222176,18206.89660843182,26049.996509859597
2024-01-11,22478.47785459429,18370.846071532393,26487.08244945221
2024-01-12,23241.332874856504,19193.460906854863,27072.063298513654
2024-01-13,14570.29868605972,10699.550599681957,18732.328282149338
2024-01-14,9798.723695745512,5557.571837340809,13783.511875579728
2024-01-15,21922.370098573865,18123.002912344455,25915.1912099566
2024-01-16,22701.84572281197,18508.279396588772,26350.16471141938
2024-01-17,22196.293475546463,18388.40504262485,26256.70168511433
2024-01-18,22508.899012883357,18631.618687063918,26371.82157449077
2024-01-19,23271.754033108886,19411.291569383044,27443.528542165717
2024-01-20,14600.719844266716,10626.576144512805,18825.80798348014
2024-01-21,9829.144853916618,5214.424269597325,13741.155714156963
2024-01-22,21952.79125672109,17725.161337548558,25995.328208720373
2024-01-23,22732.266880912095,18753.926016058653,26926.35531635307
2024-01-24,22226.71463361749,18129.692608226927,26296.835381826953
2024-01-25,22539.32017094604,18468.227331045302,26307.917466389543
2024-01-26,23302.175191169878,19282.328751235844,27475.444970246714
2024-01-27,14631.14100232973,10496.616589571506,18734.748467620386
2024-01-28,9859.566011993546,5824.064489304241,14077.365278674428
2024-01-29,21983.212414757978,17854.09666917986,25680.90821371919
2024-01-30,22762.688038976226,18625.464076835564,26802.201203026976
2024-01-31,22257.135791682478,18299.240433497624,26274.80374505036
2024-02-01,22569.741329023593,18432.52579558622,26753.618517201834
2024-02-02,23332.596349230866,19316.66598315239,27219.935399928723
2024-02-03,14661.562159749541,10451.743300230404,18581.41811359113
2024-02-04,9889.987168776344,5740.236419173183,13673.536187008383
2024-02-05,22013.633570931823,18155.277029521745,25924.939071567038
