ds,yhat,yhat_lower,yhat_upper
2024-01-01,16762.44641052382,12881.110935018825,20749.676352302697
2024-01-02,17797.208021462524,14022.752228967984,21759.934697543547
2024-01-03,17265.176906272347,13344.244214680986,21300.713561628585
2024-01-04,18079.425157904912,14045.204139835276,21931.78916732855
2024-01-05,17509.77597239479,13684.107846302668,21208.19094342678
2024-01-06,11438.529468410827,7548.198986443413,15640.94168896972
2024-01-07,8155.374775682338,4327.293172036559,12451.950339900757
2024-01-08,16878.801884712313,12920.630038940126,20805.23677528083
2024-01-09,17913.56349567361,14028.466065337516,21845.017480484992
2024-01-10,17381.532380475815,13481.643891714468,21552.969518765447
2024-01-11,18195.780632112488,13951.094485485013,21945.066453703206
2024-01-12,17626.131446607815,13789.27175868289,21471.193106225634
2024-01-13,11554.884942645644,7649.669893525204,15453.842690742335
2024-01-14,8271.730249898552,4119.7069478943695,11993.600986949148
2024-01-15,16995.15735892838,12939.772433139906,20925.519929054957
2024-01-16,18029.918969884693,13690.064735103166,21894.669346454204
2024-01-17,17497.88785469089,13605.855037102212,21406.338019747705
2024-01-18,18312.13610644246,14105.648286292648,22198.741838496917
2024-01-19,17742.486921051604,13495.070660880352,21999.099758268658
2024-01-20,11671.240417199177,7639.490902629406,15508.566791272176
2024-01-21,8388.085724570881,4282.665976586146,12184.275997167426
2024-01-22,17111.51283372137,13187.122895935114,21263.226283129563
2024-01-23,18146.274444784638,14281.065018353696,22082.06298699508
2024-01-24,17614.243329710946,13674.71104316334,21471.71825180733
2024-01-25,18428.491581457725,14505.21527548755,22103.007958509213
2024-01-26,17858.842396065487,13713.636835063486,21770.872685683247
2024-01-27,11787.595892214245,7677.167422735006,15986.414056717898
2024-01-28,8504.441199594783,4581.421605331163,12826.427670497173
2024-01-29,17227.868308717552,13378.81093373152,21011.48486179459
2024-01-30,18262.629919799965,13971.361932643038,22471.898376439185
2024-01-31,17730.598804727906,13605.096114522416,21877.111264713683
2024-02-01,18544.84705648392,14493.621538153415,22411.183135788127
2024-02-02,17975.197871079366,14273.143884821127,21779.69903701614
2024-02-03,11903.951366691268,7827.519917371443,15970.079714998557
2024-02-04,8620.796673534149,4633.6473672232105,12612.175825636525
2024-02-05,17344.22378214347,13323.97698789549,21275.961458056743
2024-02-06,18378.985392687737,14350.960141861857,22157.19023605074
2024-02-07,17846.954277081117,13871.739856512617,21970.080464594615
2024-02-08,18661.202528302678,14767.453811805133,22652.267260750286
2024-02-09,18091.55334238277,14035.097210959297,22055.959992922773
2024-02-10,12020.306837971784,7949.925280882832,16053.406928095965
2024-02-11,8737.152144826081,4919.512813953239,12530.22394111866
2024-02-12,17460.57925343756,13653.188663088953,21627.664244288106
2024-02-13,18495.340863977257,14621.488776215587,22544.442722788754
2024-02-14,17963.309748374628,13829.786111303154,21987.931374340013
2024-02-15,18777.557999595694,15100.885043427714,22691.148853831994
2024-02-16,18207.90881367422,14313.538675882059,22407.198323126464
2024-02-17,12136.662309257594,8071.466595297605,15893.418934922267
2024-02-18,8853.507616118015,4632.889614288556,12880.346500262496
2024-02-19,17576.93472458344,13397.073398109631,21552.216302376906
2024-02-20,18611.696334973418,14429.164059949637,22686.80930275887
2024-02-21,18079.665219221042,13966.633734437735,21922.753190726264
2024-02-22,18893.913470285574,15043.200663417168,22975.373263275298
2024-02-23,18324.264284206856,14295.626616738788,22669.711164801043
2024-02-24,12253.017779649213,8091.101300606053,16392.119554428966
2024-02-25,8969.863086350406,4680.796611956418,13023.966061063653
2024-02-26,17693.290194834724,13953.445442507746,21614.745593901698
2024-02-27,18728.051805216266,14694.048033152942,22877.599542396718
2024-02-28,18196.020689462814,13983.160344435437,22204.17499330083
2024-02-29,19010.26894053538,15096.939800354336,22912.74307831823
2024-03-01,18440.619754455092,14567.884931381392,22244.911383946328
2024-03-02,12369.37324991925,8226.798861202718,16161.247250041666
2024-03-03,9086.21855659912,5031.078379274553,12571.550264166985
2024-03-04,17809.645665086417,13682.053295816086,21479.13736567697
2024-03-05,18844.407275466016,14831.182099952262,22971.38391226236
2024-03-06,18311.655310389146,14270.265480856377,21878.8921580992
2024-03-07,19125.18271215037,15094.55825840524,23332.28538700214
2024-03-08,18554.812676759448,14418.596060244538,22639.448831127018
2024-03-09,12482.845322907142,8660.946647103234,16432.541612667934
2024-03-10,9198.969780288799,4784.4341964438,13017.6629537527
2024-03-11,17921.676039463597,14091.016003925068,22063.072262485286
2024-03-12,18955.716800522412,15163.653118304182,22840.96978022106
2024-03-13,18422.96483545298,14630.144490221684,22246.63176432196
2024-03-14,19236.49223721372,15469.73311333181,23170.88739422315
2024-03-15,18666.12220182123,15256.10041986028,22792.51788043454
2024-03-16,12594.154847968577,8795.23584560631,16756.75265263387
2024-03-17,9310.279305348351,5714.498781509476,12989.687711717796
2024-03-18,18032.985564500847,14216.144646013812,21922.57693832264
2024-03-19,19067.026325582257,15575.660078828221,23093.797068055927
2024-03-20,18534.27436051682,14694.100697477392,22190.731224366726
2024-03-21,19347.801762270054,15368.635708604605,23210.58809484396
2024-03-22,18773.045140071794,14758.782678836204,22657.36784340912
2024-03-23,12696.691199438093,8513.865421847315,16584.396674197757
2024-03-24,9408.429070000175,5402.9055654143785,13093.244249708096
2024-03-25,18126.748742348147,14216.09383828803,22166.572117974392
2024-03-26,19156.402916616742,15181.973472771357,23261.893456273894
2024-03-27,18619.26436474856,14615.72691532254,22672.360262929196
2024-03-28,19428.405179709735,15627.83579817532,23396.19756992095
2024-03-29,18853.648557514847,14878.593450383192,22633.23654481081
2024-03-30,12777.294616868852,8689.198056785457,16861.244071220448
2024-03-31,9489.032487434471,5727.623426522578,13456.723980760564
2024-04-01,18207.35215978271,14034.06409696085,22053.001318636154
2024-04-02,19237.006334054066,15315.482623817796,23231.799628165532
2024-04-03,18699.86778218481,14865.662074651917,22763.993017310644
2024-04-04,19509.00859713539,15683.437768713338,23742.802621403767
2024-04-05,18934.25197493912,14987.290788922168,22814.637414452834
2024-04-06,12857.898034289015,8963.615483761008,16799.71522271695
2024-04-07,9564.076594627011,5462.755710473226,13378.317840802325
2024-04-08,18276.836956738363,14397.556206317617,22030.650978142035
2024-04-09,19300.9318207661,15330.830049015403,23024.985597757288
2024-04-10,18758.233958650184,14612.8691970933,22791.258243343433
2024-04-11,19561.815463365827,15356.13825948074,23568.524968278583
2024-04-12,18981.49953092913,15230.676425028949,23021.386334249557
2024-04-13,12899.586280041169,9226.816375821778,16803.032575748566
2024-04-14,9605.764840371674,5637.094732519101,13406.704126029357
2024-04-15,18318.52520249962,14601.831565289636,22373.8607194993
2024-04-16,19342.620066521962,15488.60945643649,23070.433556597436
2024-04-17,18799.922204410035,14743.616380942869,22636.567936757325
2024-04-18,19603.50370912519,15444.907859234592,23724.91519450106
2024-04-19,19023.187776698876,15118.554257924394,23170.691863186963
2024-04-20,12941.274525793324,8866.006417464847,17023.586603119787
2024-04-21,9647.45308612724,5262.397022636192,13602.935326888286
2024-04-22,18360.21344826087,14245.327591456899,22412.710401153832
2024-04-23,19379.49360280625,15382.139187278895,23358.866087576895
2024-04-24,18831.98103122783,14619.400966187792,22667.264696780276
2024-04-25,19630.747826463048,15694.804219180836,23614.88247667121
2024-04-26,19045.61718458416,15091.655366862164,23100.240586199103
2024-04-27,12958.889224204842,8952.832926678104,16733.5724628175
2024-04-28,9660.253075079469,5655.880698106197,13600.328907132312
2024-04-29,18368.198727716837,14481.78459698695,22572.407338894976
2024-04-30,19387.47888228992,15424.72087631505,23342.689974877347
2024-05-01,18839.966310704986,15061.27134636878,23024.795819361152
2024-05-02,19638.73310595253,15286.892653948402,23340.395754708403
2024-05-03,19053.602464051408,15054.05652875853,23207.663981775597
2024-05-04,12966.874503674804,8683.710592305732,16717.93442162967
2024-05-05,9668.238354560854,5822.0595073156965,13579.02419086978
2024-05-06,18376.1840072012,14755.024003655073,22366.204857502424
2024-05-07,19395.46416176545,15150.790374508264,23213.088838246418
2024-05-08,18847.951590182143,15001.022366774341,23102.473689381783
2024-05-09,19643.864770000502,15770.460995856287,23575.184860656653
2024-05-10,19055.88051267733,15145.189027731381,22985.498127458373
2024-05-11,12966.298936895038,9441.20317948984,17097.708075598875
2024-05-12,9664.80917233228,5518.007442109544,13344.953986755436
2024-05-13,18369.901209547297,14253.530008662008,22360.369843653676
2024-05-14,19386.327748682925,15608.909128088606,23275.287738363124
2024-05-15,18835.961561672673,14794.946673723609,22833.99501124043
2024-05-16,19631.874741487445,15607.682896424165,23179.10616204446
2024-05-17,19043.890484165808,14923.776597552607,23150.74648060256
2024-05-18,12954.308908372575,8837.197060373386,16863.39107345707
2024-05-19,9652.819143821234,5436.359565529948,13520.81784257259
2024-05-20,18357.911181039228,14242.044402470825,22135.0565231752
2024-05-21,19374.33772016602,15396.006876757076,23218.859546970474
2024-05-22,18823.971533160493,14834.662303770761,22762.383259675164
2024-05-23,19619.884712970474,15717.806163053363,23533.419402856078
2024-05-24,19031.90045564062,15173.902513808673,22893.58454075341
2024-05-25,12942.31024904122,9102.988018879738,17025.172843915767
2024-05-26,9640.8118536549,5759.366899872243,13789.387820996048
2024-05-27,18345.895260044723,14545.330965708841,22406.01704642578
2024-05-28,19362.313168371176,15605.216362445099,23186.33936877947
2024-05-29,18811.93835055361,14894.261377290946,22639.0258961402
2024-05-30,19607.84289954362,15537.353719682105,23583.96458881937
2024-05-31,19019.850011392722,15048.662773122971,23027.786395899013
2024-06-01,12930.259804782383,9314.731296044589,16756.574440386885
2024-06-02,9628.761409407482,5646.006120049033,13522.704077004732
2024-06-03,18333.84481580028,14197.8236617931,22257.608814538657
2024-06-04,19350.26272412479,15386.293323653548,23607.285410279706
2024-06-05,18799.887906296157,14961.247758952055,22851.6975021671
2024-06-06,19595.792455297287,15535.58121016363,23533.94334732367
2024-06-07,19007.799567156766,14964.823835320783,22988.297615374657
2024-06-08,12918.209360523544,9088.99168964994,16870.849975004094
2024-06-09,9616.71096516277,5815.095435541597,13601.933670249125
2024-06-10,18321.794371234733,14219.010157673907,22465.258746074833
2024-06-11,19338.212279230116,15310.05321235078,23458.433111176222
2024-06-12,18787.837461085517,14787.094211780062,22854.292528705555
2024-06-13,19583.742009768175,15829.736073336835,23563.12287000256
2024-06-14,18995.749121305395,14933.702876235864,23072.933182255147
2024-06-15,12906.15891435113,8569.694958437894,16825.724083985777
2024-06-16,9604.660518667784,5669.342007235935,13486.701842198801
2024-06-17,18309.743924745027,14385.398784176166,22433.39370739147
2024-06-18,19326.16183274013,15415.557771330641,23109.22724925754
2024-06-19,18775.787014589012,14876.476880965609,22537.407260523392
2024-06-20,19571.691563269975,15507.007310311707,23407.639615381482
2024-06-21,18983.698674805808,14952.501521414211,22867.704587693795
2024-06-22,12894.108467847436,8992.248551639785,16820.530454799467
2024-06-23,9592.610072161893,5955.484763966964,13171.116850920163
2024-06-24,18297.693478255318,14410.030412965976,22443.93989688404
2024-06-25,19314.11138624199,15290.687960368758,23283.84983403329
2024-06-26,18763.736567950193,14491.397174901025,22571.136684670124
2024-06-27,19559.641116489554,15598.101908087065,23477.88647055174
2024-06-28,18971.64822786186,14969.296262775812,22628.281390963075
2024-06-29,12882.058020789294,8852.073351484501,16843.229073889623
2024-06-30,9580.559624929021,5731.49807876939,13671.87208330339
2024-07-01,18285.6430308773,14189.339637616178,22085.62630466706
2024-07-02,19302.06093871046,15241.46687014014,23474.724604290852
2024-07-03,18751.68612042265,14823.635969966635,22941.29266572933
2024-07-04,19547.590668944405,15998.485304857153,23268.044760684472
2024-07-05,18959.59778032544,15111.188139564423,23021.684588654854
2024-07-06,12870.007573248758,8949.88581973107,16854.42984656065
2024-07-07,9568.509177402615,5789.297322157206,13330.832751698794
2024-07-08,18273.592583350342,14147.079827448617,22290.77885526013
2024-07-09,19290.01049118708,15410.9526666994,22884.77039401169
2024-07-10,18739.6356728835,14674.746751086612,22925.145474857127
2024-07-11,19535.54022141637,15576.489280110143,23426.90777433777
2024-07-12,18947.547333111725,15083.30492183539,22822.267501885966
2024-07-13,12857.957126345285,8888.197533874925,16831.59668474834
2024-07-14,9556.458730823866,5595.245135677083,13560.797328582757
2024-07-15,18261.54213706017,14334.216540687801,22168.32950332689
2024-07-16,19277.960045234973,15318.907906466322,23424.816909393066
2024-07-17,18727.58522725127,14875.664292623458,22748.923877341807
2024-07-18,19523.489776092523,15359.82402932338,22996.752041210886
2024-07-19,18935.49688777966,15125.699940215944,23008.15327903676
2024-07-20,12845.906681048684,8812.150975436654,16732.04461845459
2024-07-21,9544.408285503232,5683.929715662992,13537.465021129034
2024-07-22,18249.49169174481,14235.956031783064,22023.412306047445
2024-07-23,19265.90959991119,15312.215589084142,23206.555005758983
2024-07-24,18715.53478192912,14733.60971469431,22636.65092095879
2024-07-25,19511.439330768677,15672.364570690983,23415.012749542962
2024-07-26,18923.44644248004,14889.123317126681,23036.3237340266
2024-07-27,12833.85623572464,8867.16409435031,16738.07168008798
2024-07-28,9532.357840188024,5596.3273066071915,13445.913632073443
2024-07-29,18237.441247115617,14255.187125074264,22004.633364135836
2024-07-30,19253.85915596235,15539.398776545044,23431.40656332225
2024-07-31,18703.48433866731,14727.075015934448,22355.172045348554
2024-08-01,19499.38888820185,15333.559737788464,23378.894975664043
2024-08-02,18911.396000576722,15161.483750132127,22631.824595409147
2024-08-03,12821.805794509792,8813.014650588468,16819.039975515774
2024-08-04,9520.307399670353,5203.103780986812,13628.078830265307
2024-08-05,18225.39080660092,14194.52353387443,22290.328697713314
2024-08-06,19241.80871543881,15465.30856601746,22992.18069817829
2024-08-07,18691.433898145402,14871.206296102971,22785.27202735421
2024-08-08,19487.338447678245,15513.628600674652,23289.117111087864
2024-08-09,18899.345560058566,15028.91530610245,23022.34132215019
2024-08-10,12809.755353985996,8992.499609537734,16626.400864562904
2024-08-11,9508.256959136352,5301.171228091861,13432.411688448956
2024-08-12,18213.340366057415,14035.817231807578,22378.129162390338
2024-08-13,19229.758274922166,14844.988628191912,22843.947003469268
2024-08-14,18679.38473106864,14892.29769668735,22744.562356763698
2024-08-15,19475.290554040334,15660.650027611877,23227.839954352476
2024-08-16,18887.29893987037,14770.47599596742,22780.764743700343
2024-08-17,12797.710007214257,9032.737971572722,16953.22811221957
2024-08-18,9496.212885815368,5567.632775830216,13252.396111214824
2024-08-19,18201.29756617834,14019.213808482153,22447.3840393324
2024-08-20,19217.716748473995,15131.238761069146,23057.166310489
2024-08-21,18667.343204622106,14797.147375218095,22701.173083896756
2024-08-22,19463.249027589,15624.94385759204,23625.856562649067
2024-08-23,18875.257413420753,15197.492022488419,23019.900003491417
2024-08-24,12785.66848077112,8546.994587242843,16697.788173056706
2024-08-25,9484.171359375774,5656.559159438259,13416.825737571222
2024-08-26,18189.256039739008,14411.428582099466,22002.450235764965
2024-08-27,19205.675222033977,14948.473441616368,23140.81310600547
2024-08-28,18655.301678181375,14620.276786237198,22759.681178041432
2024-08-29,19451.20750114778,15386.165249011683,23494.44219931984
2024-08-30,18863.215887308397,14967.99331245309,22675.23110499417
2024-08-31,12773.626954991922,8992.393255704055,16586.35143768024
2024-09-01,9472.129833945257,5311.280372697456,13636.736085040086
2024-09-02,18177.21451464873,13963.136793115651,22138.900427849694
2024-09-03,19193.63369727557,15283.267733783086,23093.557997079886
2024-09-04,18643.260153752613,14811.65202369175,22723.449047035047
2024-09-05,19439.165977067405,15557.506922262699,23313.519567572483
2024-09-06,18851.174363226455,14556.284294940864,22856.455844386182
2024-09-07,12761.585430931773,8832.488000580182,16707.272568567136
2024-09-08,9460.08830984747,5217.110558333868,13355.059291501188
2024-09-09,18165.172990569838,14545.749051605217,22036.020599538282
2024-09-10,19181.592173191693,14982.975373507845,23182.12447860362
2024-09-11,18631.21862967273,14839.389850919484,22691.386192893297
2024-09-12,19427.124452976917,15611.870020152888,23746.38832982132
2024-09-13,18839.132839144513,14739.145109482966,22651.69945152113
2024-09-14,12749.54390684419,8805.351320035741,16810.034833075504
2024-09-15,9448.046785528837,5785.182726904022,13680.36141391196
2024-09-16,18153.131466022027,14231.276144915339,22435.359595105387
2024-09-17,19169.550648400997,15493.11623947134,23195.483967445092
2024-09-18,18619.177104652303,14894.990182568537,22388.70653366236
2024-09-19,19415.082927717245,15488.737006880761,23000.31689103004
2024-09-20,18827.091313649,15128.0704906565,22842.813278568046
2024-09-21,12737.502381115408,8710.970215547053,16924.19431739039
2024-09-22,9436.005259808893,5537.210221369653,12993.333088523885
2024-09-23,18141.089940274363,14130.141484876945,21730.521651364532
2024-09-24,19157.509122672476,15189.643249500617,23116.889563651574
2024-09-25,18607.135578925416,14855.59992971158,22596.16185196624
2024-09-26,19403.041402002684,15256.3581682899,23458.346167920678
2024-09-27,18815.049787919033,14724.165861950125,22745.950593669055
2024-09-28,12725.460855381332,8557.147294504839,16615.252967065353
2024-09-29,9423.963734086235,5566.569185568997,13395.059417972388
2024-09-30,18129.048414554683,14167.730334749329,22153.16334181294
2024-10-01,19145.467597487637,14958.05691381745,23128.984537234886
2024-10-02,18595.094054278994,14469.203570629197,22121.1845401503
2024-10-03,19390.999877894796,15219.522517347272,23164.376556837884
2024-10-04,18803.008264368767,14919.357859641137,22716.41575950216
2024-10-05,12713.419332348414,8893.899281116863,16522.668182197132
2024-10-06,9411.922211607682,5201.25901407426,13484.104978625985
2024-10-07,18117.0068926158,14559.825296330982,22140.288818344605
2024-10-08,19133.42607554418,15080.608975314222,23027.24041755027
2024-10-09,18583.052532336813,14781.009988074855,22187.156542364897
2024-10-10,19378.958355954837,15368.032027318419,23414.674739654336
2024-10-11,18790.966742427245,15022.943789131728,22947.836800741923
2024-10-12,12701.377810433984,8621.421118092203,16736.233905947596
2024-10-13,9399.880689666636,5293.400431614068,13313.738890359391
2024-10-14,18104.96537067773,14171.059697353649,21994.630092512067
2024-10-15,19121.384553605425,15207.298195856618,22877.910688638698
2024-10-16,18571.01101039154,14554.711120028629,22605.576059455438
2024-10-17,19366.916833885618,15217.1178403093,23418.606222178492
2024-10-18,18778.925220227557,14723.308246001876,22725.05986452677
2024-10-19,12689.336288125354,8771.871859187466,16516.438355731716
2024-10-20,9387.83916722026,5143.046524424311,13379.68181832602
2024-10-21,18092.923848127997,14573.574140230121,22297.794711044757
2024-10-22,19109.343030928452,14882.50870695763,23078.296351265537
2024-10-23,18558.96948759631,14511.790587175336,22325.064862871863
2024-10-24,19354.875311089894,15368.907028156826,23444.162701311736
2024-10-25,18766.88369743027,14567.245550564578,22558.034643631694
2024-10-26,12677.29476531713,8330.199635694124,16549.98919848411
2024-10-27,9375.797644423454,5287.258515493959,13415.131608854183
2024-10-28,18080.882325334172,13921.787120561296,21786.98065367906
2024-10-29,19097.301508129232,15197.150103476544,23029.341885841633
2024-10-30,18546.927964789473,14740.518374481613,22402.189063917012
2024-10-31,19342.833788284068,15537.195915021057,23122.46257738267
2024-11-01,18754.842174626152,14963.957840077072,22402.020713032336
2024-11-02,12665.253242497789,8848.287907949314,16283.836198624185
2024-11-03,9363.756121607126,5629.038342913756,13373.877065603181
2024-11-04,18068.840802506584,14157.721971984258,22103.21024147544
2024-11-05,19085.2599852868,15427.937452368562,23170.448088049954
2024-11-06,18534.88644193866,14392.304696692165,22608.09634754296
2024-11-07,19330.79226542165,15622.066711790032,22920.124092791655
2024-11-08,18742.800651763,14805.50064147814,22687.886451308044
2024-11-09,12653.211719617046,8707.14418557074,16738.152727062425
2024-11-10,9351.714598729799,5230.652280447685,13080.831360814553
2024-11-11,18056.799279606956,14036.903652276056,22058.292234446828
2024-11-12,19073.218462413213,14878.995551773647,23057.014412102446
2024-11-13,18522.844919065614,14481.982282282066,22451.55099073671
2024-11-14,19318.750742541102,15400.527418173062,23259.550067851098
2024-11-15,18730.75912888107,14736.034461451216,22822.22899344198
2024-11-16,12641.170196758447,8538.973068563442,16579.42564223534
2024-11-17,9339.67307585789,5585.613353690695,13276.763614542899
2024-11-18,18044.757756469837,14004.647761162605,22324.77682333156
2024-11-19,19061.176939002595,15012.21809378353,23108.293722479528
2024-11-20,18510.803395391562,14818.906594879341,22616.97205479624
2024-11-21,19306.709218614313,15192.660997201161,23150.10687197511
2024-11-22,18718.717604673806,14678.516888175545,22886.34166402148
2024-11-23,12629.128672292598,8634.349946839087,16557.69850096341
2024-11-24,9327.631551130515,5355.308874102653,13634.439408719225
2024-11-25,18032.71623174231,14137.487711979955,22083.246173539475
2024-11-26,19049.13541427009,14993.702369050607,23012.436090008378
2024-11-27,18498.761870666145,14500.410894434293,22146.009129321003
2024-11-28,19294.6676938783,15400.663158270956,22866.150262915526
2024-11-29,18706.676079936402,14944.201566839693,22671.464079064164
2024-11-30,12617.08714755109,8682.934689664915,16385.58277838128
2024-12-01,9315.590026400425,5286.808263992681,13223.492439657568
2024-12-02,18020.674706987214,14073.360924584214,21956.751624200202
2024-12-03,19037.093889537588,15264.30858224714,23196.16404689183
2024-12-04,18486.720345396538,14574.480476573355,22478.287178691087
2024-12-05,19282.62616808724,15438.999168600323,23317.0020610066
2024-12-06,18694.634553617398,14591.184575034096,22813.082746284006
2024-12-07,12605.045620696965,8522.246229627863,16701.756976517
2024-12-08,9303.548499009328,5625.557117991655,13232.57145401873
2024-12-09,18008.633179083234,13834.319562796427,21705.907663115435
2024-12-10,19025.052361098733,15291.67419705637,22905.184297915428
2024-12-11,18474.678816961678,14442.535777195157,22671.639197027518
2024-12-12,19270.584639644872,15264.652211904246,23095.275722574515
2024-12-13,18682.593025192426,14485.536741319056,22406.639462483658
