ds,yhat,yhat_lower,yhat_upper
2024-01-01,140509.86122778,123264.45428995184,158778.48317051464
2024-01-02,142570.81196700133,125861.30834094441,159468.32083225434
2024-01-03,142645.98289668863,125834.18690084801,159458.190519926
2024-01-04,149876.9559744878,131286.63090847534,166661.0173946895
2024-01-05,179366.74176473884,163074.95454573198,195636.0979376578
2024-01-06,182788.0810669083,167002.25800479672,199340.49692948663
2024-01-07,145455.12990987903,128934.86077750554,161374.2203323458
2024-01-08,141640.77167161612,124110.36671068669,158955.92528486205
2024-01-09,143701.72241086257,127932.21061337552,160302.90708929053
2024-01-10,143776.8933405168,127856.55860615498,161720.42108625732
2024-01-11,151007.86641834496,134736.4550369436,166948.04917684905
2024-01-12,180497.65220862968,163312.69681913318,198067.3015210714
2024-01-13,183918.99151084898,167466.1682361563,201431.3224758194
2024-01-14,146586.04035372063,128512.64440443367,164616.00762892608
2024-01-15,142771.68211547635,124743.09558661237,160509.87464634507
2024-01-16,144832.63285472384,127840.32208163058,161819.957681644
2024-01-17,144907.80378438532,128690.98830146586,160798.99472347074
2024-01-18,152138.77685978689,136483.36522544883,169224.03530955056
2024-01-19,181628.56264764315,165302.42687699478,198264.61413550642
2024-01-20,185049.90194737536,168555.6676434368,201635.38309139205
2024-01-21,147716.95078779288,130836.34881508884,163676.3856478899
2024-01-22,143902.59254714314,127276.14707103441,162462.94221824096
2024-01-23,145963.54328394,129429.57106708354,163344.51113974635
2024-01-24,146038.71421118279,129333.48440504604,163491.63706681115
2024-01-25,153269.68728657326,134842.0090524947,170655.66088611176
2024-01-26,182759.47307444114,165738.49768910956,200275.10723352403
2024-01-27,186180.81237414695,168845.7114897161,202999.3569835515
2024-01-28,148847.86121456366,131565.36852337967,165797.97072817478
2024-01-29,145033.50297390838,128458.54250885895,162153.41525909174
2024-01-30,147094.45371071744,128368.90434558904,163065.29747948714
2024-01-31,147169.62463796034,129141.71756853374,163624.1502658962
2024-02-01,154400.5977133268,136607.13550047262,172756.53571994219
2024-02-02,183890.38350123912,165274.97175129555,199189.9737127564
2024-02-03,187311.72279252598,170884.90216661175,204475.31604630346
2024-02-04,149978.77162468803,133586.73393262626,165790.97259690144
2024-02-05,146164.41337557204,129694.77849213887,163984.03014307228
2024-02-06,148225.36410400266,131471.37904061677,165807.274282735
2024-02-07,148300.53502285635,130922.8464971862,164872.58493842065
2024-02-08,155531.50808985537,138690.07255282736,172020.60876784913
2024-02-09,185021.29386930796,168722.484345338,201534.8687660508
2024-02-10,188442.63316064718,171280.74736086876,204578.37789818185
2024-02-11,151109.68199281738,134915.22697881397,169333.7326865205
2024-02-12,147295.32374372418,131527.88980484923,164176.1425787516
2024-02-13,149356.27447215896,131853.5177140044,165628.7652774329
2024-02-14,149431.44539101992,132740.79989805678,167989.09024445515
2024-02-15,156662.41845803102,139488.52225663263,172329.26752786018
2024-02-16,186152.2042374938,168931.8216491376,203762.2554310522
2024-02-17,189573.54352878465,173396.91233897567,207725.48679620994
2024-02-18,152240.59236094673,134843.76187223164,169699.26874553927
2024-02-19,148419.98915656866,131240.15813998965,166921.24149909988
2024-02-20,150474.69492967782,133048.9066959039,167498.62496153868
2024-02-21,150543.62089324166,135317.31518376866,167672.7977307239
2024-02-22,157768.34900492747,140003.96125421883,173905.4084794089
2024-02-23,187251.88982906594,171533.52053875418,205286.13087316655
2024-02-24,190666.98416503845,173487.4991844866,209315.1763079506
2024-02-25,153327.78804199194,135564.40361605078,169535.5094720735
2024-02-26,149507.18483752632,132665.8495650873,167286.49120437243
2024-02-27,151561.89061062355,133921.51352589755,168561.67384183573
2024-02-28,151630.81657418722,134617.10176401978,168494.9316306691
2024-02-29,158855.54468590554,142387.18313190155,175981.15416241376
2024-03-01,188339.0855100542,172256.1232863835,206586.82521642852
2024-03-02,191754.17984607661,174519.95894384227,207801.477871304
2024-03-03,154414.98372292367,138619.7351770908,171473.03690153372
2024-03-04,150594.38051848713,132848.0329469441,166835.6583706904
2024-03-05,152649.08629159513,135110.99778448048,168486.6836456417
2024-03-06,152693.457293159,134003.95499588014,169791.12419084707
2024-03-07,159893.6304428729,143737.13586602113,177171.78707860285
2024-03-08,189352.61630515903,172933.8331124351,206217.03453517897
2024-03-09,192743.15567918503,175796.2653354306,209943.6125652229
2024-03-10,155379.40459409376,138090.12551587392,172292.65078851348
2024-03-11,151534.24642772207,133581.82181502858,167662.7062450401
2024-03-12,153564.39723886436,136833.26306692758,170554.16955952803
2024-03-13,153608.76824044847,135231.60873141408,169767.63941639115
