ds,yhat,yhat_lower,yhat_upper
2024-01-01,17238.161767213154,13725.502376831457,20518.209597397803
2024-01-02,17754.651313450606,14561.346167257725,21010.497176414407
2024-01-03,17515.152923954218,14264.324467236764,20918.87782321217
2024-01-04,17849.177853306865,14742.248924068153,21360.562887335047
2024-01-05,18324.042271311286,14964.485178817697,21921.219017254483
2024-01-06,13927.194580399539,10413.595173413334,17078.07436847254
2024-01-07,10035.63933408115,6843.445435052509,13339.738548995867
2024-01-08,17316.523284429328,13998.79369519047,20753.627640944178
2024-01-09,17833.012830685835,14318.31141037454,21030.299110120304
2024-01-10,17593.51444118079,14350.592031036427,20841.37250328674
2024-01-11,17927.53937053783,14661.76157127607,21377.884825037825
2024-01-12,18402.403788550175,15031.720094174107,21803.014321723833
2024-01-13,14005.55609765558,10522.870096983886,17494.06203640247
2024-01-14,10114.000851320518,6676.23072636556,13520.514934877361
2024-01-15,17394.884801668522,14202.303709570884,20552.559443630238
2024-01-16,17911.374347921064,14719.023498294455,21427.199674357613
2024-01-17,17671.875958419932,14358.515077058311,21051.80220041774
2024-01-18,18005.900887533066,14557.132656820093,21404.62322681501
2024-01-19,18480.765305302146,15175.08640965615,21772.07803289226
2024-01-20,14083.91761415729,10817.646995151805,17544.62618288516
2024-01-21,10192.362367579537,6808.958101997324,13467.735157431545
2024-01-22,17473.24631769042,14104.252831378668,20900.12919484174
2024-01-23,17989.735863691938,14669.764792632515,21164.47052666417
2024-01-24,17750.237473952828,14341.851685362863,21192.8000025728
2024-01-25,18084.262403059813,14826.990752374484,21545.068587335893
2024-01-26,18559.126820829166,15229.713504699845,21925.808278380882
2024-01-27,14162.279129685154,10764.10379429801,17522.20808829327
2024-01-28,10270.723883114682,6752.598224872344,13463.319785082138
2024-01-29,17551.607833202375,14423.37387855528,20763.84775905939
2024-01-30,18068.097379219354,14616.886674598822,21402.979560248245
2024-01-31,17828.598989481463,14332.506415158598,21313.410973120433
2024-02-01,18162.623918599413,14852.14204619884,21424.20796598903
2024-02-02,18637.488336356182,15379.804001891504,21739.288594256963
2024-02-03,14240.640643833283,10939.956323364771,17451.617294219548
2024-02-04,10349.085395889317,7172.667765244882,13504.044661076952
2024-02-05,17629.969344616475,14103.16737368142,20821.26772897637
2024-02-06,18146.458889255613,15123.975659026237,21716.744233855
2024-02-07,17906.960498141663,14744.509777013012,21451.338847891453
2024-02-08,18240.985425884035,14793.03147665082,21347.475875854547
2024-02-09,18715.849842278843,15128.820074293179,21956.637920081794
2024-02-10,14319.002149739297,10965.959534740492,17403.938944823814
2024-02-11,10427.446901805411,6874.355736592081,13672.625154493011
2024-02-12,17708.33085053546,14186.238067863786,21176.43028498784
2024-02-13,18224.820395170816,14902.8452983001,21448.893169684972
2024-02-14,17985.322004060778,14711.133255639656,21271.80852674685
2024-02-15,18319.34693180271,15068.440553275163,21587.348506783528
2024-02-16,18794.211348197707,15506.960475476091,21941.20989621838
2024-02-17,14397.363655651356,11111.419959614652,17957.147571419817
2024-02-18,10505.808407721495,7015.819180729293,14067.156817419831
2024-02-19,17786.692355452273,14445.988653346314,21296.838430775475
2024-02-20,18303.1818990845,14956.476287061525,21496.62785468497
2024-02-21,18063.68350697224,14777.297694985597,21549.38971985537
2024-02-22,18397.70843370345,15041.58104982864,21812.75238311066
2024-02-23,18872.572849088527,15702.384909475397,22373.768677075255
2024-02-24,14475.72515554812,11001.919522992695,18099.250860531425
2024-02-25,10584.169906609855,6998.26729512464,14080.72870399965
2024-02-26,17865.053854353595,14547.467376535531,21064.91611636706
2024-02-27,18381.54339797826,15091.373852533672,21800.095512128726
2024-02-28,18142.045005865202,14757.439000943843,21398.879623303525
2024-02-29,18476.069932604274,15206.232735133679,21795.19305427274
2024-03-01,18950.93434798954,15441.23695843981,22068.54066025853
2024-03-02,14554.086654466286,11487.905465944443,17800.86033582258
2024-03-03,10662.531405508094,7042.948656716002,14031.740283503068
2024-03-04,17943.415353255106,14327.063342496916,21413.38657449594
2024-03-05,18459.9048968792,14910.3792175381,21925.474973478507
2024-03-06,18218.753435107883,14755.58027337964,21524.162684827654
2024-03-07,18551.125292202727,15075.1594965007,21698.66375960317
2024-03-08,19024.33663794486,15586.4191465632,22310.15814542857
2024-03-09,14625.835874770386,11370.294370310208,17986.077902845867
2024-03-10,10732.627556179506,7307.233701677946,13817.020246927043
2024-03-11,18011.858434280333,14653.139620203288,21184.488679053768
2024-03-12,18526.694908250854,15319.948387037835,21948.829322899783
2024-03-13,18285.543446487034,14812.13116645162,21830.590554741062
2024-03-14,18617.915303581434,15268.24841657285,21940.081617372314
2024-03-15,19091.12664932376,16013.626991910935,22265.361244585016
2024-03-16,14692.625886148537,11535.96969103711,17916.542176721076
2024-03-17,10799.417567552378,7543.46395960245,13958.087734473798
2024-03-18,18078.64844563652,14761.488235173776,21604.132165606563
2024-03-19,18593.484919626095,15539.100691821095,21840.619383446203
2024-03-20,18352.33345786619,14984.090778657841,21504.40220864819
