ds,yhat,yhat_lower,yhat_upper
2024-01-01,4524.213699533462,3791.8544078989353,5203.327919532159
2024-01-02,4547.390806081451,3867.8556126064827,5244.016051305194
2024-01-03,4514.577499354429,3819.4829309133725,5237.643675634749
2024-01-04,4560.5227861199055,3910.699571578647,5285.066071859316
2024-01-05,4895.024274209163,4159.250960901,5616.356802919695
2024-01-06,4319.3590749409705,3594.1412159951474,5001.555889635169
2024-01-07,3561.676774761453,2836.042609084684,4229.542628345091
2024-01-08,4551.978030530811,3843.36726170672,5255.387731416748
2024-01-09,4575.155137081449,3894.832147639872,5237.412584518551
2024-01-10,4542.341830353084,3796.513794194992,5281.238760548813
2024-01-11,4588.287117119324,3889.6950868735994,5327.211479428772
2024-01-12,4922.788605210032,4178.099523858019,5554.914249912374
2024-01-13,4347.123405944375,3620.6989446104685,5039.585607918991
2024-01-14,3589.4411057620837,2869.799149477828,4284.709018688436
2024-01-15,4579.742361531427,3942.916599786974,5237.814125983916
2024-01-16,4602.919468081447,3927.3811612682066,5283.714746118038
2024-01-17,4570.106161353683,3851.4630626310204,5238.455636384319
2024-01-18,4616.051446017533,3857.907070165293,5310.638972039502
2024-01-19,4950.552932005945,4203.5170265051065,5672.873605795665
2024-01-20,4374.887730636491,3688.7197479797865,5057.067452920839
2024-01-21,3617.205428351475,2898.4555563120475,4290.019037476623
2024-01-22,4607.506682019653,3913.945924039858,5307.181952628873
2024-01-23,4630.683786466092,3929.564352775186,5345.310320150266
2024-01-24,4597.870477636803,3897.6230601248617,5308.964013594883
2024-01-25,4643.815762299606,3978.2899901739293,5319.052879014825
2024-01-26,4978.317248288157,4278.4491561445075,5643.267518098495
2024-01-27,4402.6520469186935,3720.2558898718607,5180.6505626162025
2024-01-28,3644.9697446347595,2939.037918646568,4352.844485602003
2024-01-29,4635.270998299657,3909.4860452904213,5290.174450379647
2024-01-30,4658.448102748261,3995.0918650834706,5272.160929351759
2024-01-31,4625.634793919084,3909.461207644308,5320.845324492915
2024-02-01,4671.580078583289,3978.859705047346,5316.221614367863
2024-02-02,5006.081564570368,4307.433371742997,5672.370902841501
