ds,yhat,yhat_lower,yhat_upper
2024-01-01,23771.542081164145,19656.031161285835,27998.60221771249
2024-01-02,24574.514780182224,20561.573193153698,28679.247667487303
2024-01-03,24247.441024521435,20369.03039747466,28566.913373895084
2024-01-04,24935.81499761746,20775.57302648622,29569.688923967155
2024-01-05,25950.940277021404,21801.95940827833,30373.008034967825
2024-01-06,18086.060931829383,14097.474820547724,22559.354011723084
2024-01-07,13380.20122860836,9121.131679794147,18061.206013321844
2024-01-08,23902.42610811293,19899.698269779637,28623.006302690206
2024-01-09,24705.398807157664,20328.092824431955,29211.19489296353
2024-01-10,24378.325051488817,20252.459446139892,28505.750805687574
2024-01-11,25066.69902458948,20885.34015598302,29585.23504702103
2024-01-12,26081.824304001606,21850.659947270306,30140.1295905242
2024-01-13,18216.94495883723,13650.570164572611,22221.40444363094
2024-01-14,13511.085255592187,9383.500931412726,17761.007364668545
2024-01-15,24033.310135095624,19520.933049937114,28599.985577775264
2024-01-16,24836.28283413311,20467.2802152343,28811.85962630426
2024-01-17,24509.209078469095,20455.742169064866,28668.18930271005
2024-01-18,25197.58305185016,21099.737287025786,29208.220207923663
2024-01-19,26212.708331540896,21912.77455285998,30376.603695424932
2024-01-20,18347.828986647386,13734.150240646279,22663.00749852644
2024-01-21,13641.969283682196,9506.213518364579,17908.79116654649
2024-01-22,24164.194163476044,20110.338787718174,28600.963968373904
2024-01-23,24967.166862783328,20489.699956647426,29328.840061003822
2024-01-24,24640.09310740414,20252.452287785138,29203.01403718212
2024-01-25,25328.467080779,21175.450603166235,30024.277451908158
2024-01-26,26343.592360467934,21983.579971316005,30483.071729118074
2024-01-27,18478.713015575722,14248.292388139189,22623.075600868884
2024-01-28,13772.85331262284,9540.52492177738,17809.815707378355
2024-01-29,24295.078192381647,20038.999448356022,29122.917879233475
2024-01-30,25098.050891713094,20657.880978738725,29571.720887712574
2024-01-31,24770.97713633479,20633.96737150215,29120.04279124144
2024-02-01,25459.351109718857,21227.433335483056,29880.855622439263
2024-02-02,26474.476389394975,22029.548129304418,30746.37722804704
2024-02-03,18609.59704527609,14231.546252814376,22406.582213902766
2024-02-04,13903.737343102244,9716.766118543062,18206.526957615173
2024-02-05,24425.962223661933,20016.17199025788,28601.049482751845
2024-02-06,25228.93492376897,20734.282866308142,29427.68150405984
2024-02-07,24901.86116916995,20593.606781458027,29121.819245877614
2024-02-08,25590.23514333312,21170.463622215324,29752.195900271436
2024-02-09,26605.360423808186,22364.024493326066,30883.198452207205
2024-02-10,18740.481079661884,14294.152451781434,23158.40615504994
2024-02-11,14034.621377503208,9279.059269395035,18004.9283980114
2024-02-12,24556.846258069712,20390.641584986497,28824.969103464697
2024-02-13,25359.818958167558,20837.2537747616,29586.48754786602
2024-02-14,25032.745203573377,20946.22279887228,29274.778774484457
2024-02-15,25721.119177737397,21056.71056626489,29695.29231113841
2024-02-16,26736.24445821153,22459.382384159584,30946.469417407545
2024-02-17,18871.365114056545,14665.05581883729,23149.415444969094
2024-02-18,14165.50541190418,10028.966334415221,18595.792797589118
2024-02-19,24687.73029186314,20611.2551159956,28987.185386500936
2024-02-20,25490.70299135193,21206.446805907755,29898.769032983942
2024-02-21,25163.629236145392,20791.62720971977,29537.591590522912
2024-02-22,25852.00320969069,21669.38838269637,30338.28404156335
2024-02-23,26867.12848954257,22692.89268677491,31326.443733243505
2024-02-24,19002.2491447884,14710.73418628811,23261.90518326156
2024-02-25,14296.389442014823,9714.105493465702,18597.96944734305
2024-02-26,24818.6143219957,20506.955966873433,29460.514621843762
2024-02-27,25621.587021474745,21420.61834331372,29828.233524291714
2024-02-28,25294.513266267037,20673.200083140266,29616.94260263064
2024-02-29,25982.887239821695,21922.04964826038,30090.557093362015
2024-03-01,26998.01251967264,22729.928510331803,31530.003032177414
2024-03-02,19133.133174946117,15233.54653225085,23341.32989197231
2024-03-03,14427.273472142515,9936.603092252106,18796.16802108208
2024-03-04,24949.498352126324,20673.276318402855,28934.896470654836
2024-03-05,25752.47105160256,21374.6158076136,29852.592062003645
2024-03-06,25421.93492630341,21170.467659921265,29571.087778489782
2024-03-07,26106.84652977461,21958.94951932451,30411.655555472204
2024-03-08,27118.509439550096,22880.709198185108,31183.039435335806
2024-03-09,19250.16772473512,14985.225090732285,23458.699848310865
