ds,yhat,yhat_lower,yhat_upper
2024-01-01,6251.133800055606,5369.180466440768,7233.053146101184
2024-01-02,6461.698011930966,5536.966356955663,7484.373792287988
2024-01-03,6398.713313008759,5524.372209395826,7319.018629158923
2024-01-04,6489.693325696664,5528.920890559693,7473.591025002885
2024-01-05,6690.460219899386,5725.572012437859,7702.051346628901
2024-01-06,4807.502098640461,3912.2903085673343,5753.681136736681
2024-01-07,3924.95554920999,3032.740040830987,4846.423903209524
2024-01-08,6273.667788862247,5388.057871821639,7198.291930671009
2024-01-09,6484.232000743489,5535.022084273733,7408.743327014252
2024-01-10,6421.247301819962,5524.786342060719,7337.685986402335
2024-01-11,6512.227314508647,5584.169097659994,7413.642109998249
2024-01-12,6712.994208712878,5754.747490961009,7637.643137016437
2024-01-13,4830.036087460191,3952.3145433346676,5744.659878707453
2024-01-14,3947.489538024661,3031.230099559377,4886.5044979247705
2024-01-15,6296.201777676546,5370.901015579049,7191.784513797114
2024-01-16,6506.765989556015,5605.2631031062165,7499.863683885428
2024-01-17,6443.7812906334075,5480.030905858986,7371.414677163991
2024-01-18,6534.761302689618,5603.130987036809,7461.126400832416
2024-01-19,6735.528196260775,5781.364495685761,7662.52882493569
2024-01-20,4852.5700743735515,3967.856954165861,5782.749068855869
2024-01-21,3970.0235243051493,3019.7282685515966,4926.77458780917
2024-01-22,6318.735763326855,5445.686847053358,7282.178725247733
2024-01-23,6529.299974571517,5599.295774201858,7447.800553541823
2024-01-24,6466.3152750170775,5612.509066377299,7434.158476764798
2024-01-25,6557.295287072015,5624.595391961378,7494.800620301908
2024-01-26,6758.062180642584,5861.322604896567,7669.861207136851
2024-01-27,4875.104058755721,3919.520605970049,5855.777370122641
2024-01-28,3992.557508690234,3013.4468259647883,4908.479571675983
2024-01-29,6341.269747703908,5354.831198970575,7309.751840483584
2024-01-30,6551.833958954223,5691.8672539746185,7515.611157086306
2024-01-31,6488.849259399816,5578.774372182171,7408.648337601389
2024-02-01,6579.829271456392,5579.703613029372,7616.525878598305
2024-02-02,6780.5961650243935,5851.072115809615,7741.147969603206
2024-02-03,4897.6380427851,4009.146761791187,5836.380663168439
2024-02-04,4015.0914923680066,3076.178461336355,4924.293458917044
2024-02-05,6363.803731035531,5312.545912958389,7264.790893621375
2024-02-06,6574.367941933974,5647.14327681771,7465.075598166075
2024-02-07,6511.383242028571,5563.625085045214,7456.1181176158825
2024-02-08,6602.363253734007,5643.290521327336,7489.3635684592555
2024-02-09,6803.130146955451,5880.541762531645,7669.500684618035
2024-02-10,4920.172024709695,4025.1924061581585,5825.237263712769
2024-02-11,4037.6254742960164,3073.7546554832898,5046.201882290775
2024-02-12,6386.3377129653645,5456.083363177607,7342.492489204031
2024-02-13,6596.901923861334,5694.712452756473,7471.780507706229
2024-02-14,6533.917223956851,5603.448025231118,7404.6783955416195
2024-02-15,6624.897235662611,5706.8441028424095,7541.630007098109
2024-02-16,6825.664128883778,5971.428294779817,7844.672152493601
2024-02-17,4942.706006636285,3988.468852762671,5847.767033260152
2024-02-18,4060.159456224027,3139.097310806181,4936.544608527149
2024-02-19,6408.871692059274,5453.085997373039,7398.872229819177
2024-02-20,6619.435900121173,5747.009772042532,7533.60269579631
2024-02-21,6556.451197381561,5621.6487626913095,7498.6911769059825
2024-02-22,6647.431206251334,5724.323844807568,7586.280715779631
2024-02-23,6848.19809663529,5856.98516041293,7784.243166586424
2024-02-24,4965.239971555732,4073.7410668917037,5893.885613480341
2024-02-25,4082.693418306147,3178.6066805980995,4979.8912089536925
2024-02-26,6431.405654146742,5547.213399006925,7345.252207850135
2024-02-27,6641.969862206632,5745.0679164478,7481.446181942685
2024-02-28,6578.985159466862,5653.16008476486,7487.152573744146
2024-02-29,6669.965168338271,5773.446936702711,7609.19354819191
2024-03-01,6870.732058721951,5939.176347072602,7791.014309485867
2024-03-02,4987.773933648628,4052.2458508545587,5959.327182060258
2024-03-03,4105.227380392491,3154.589859420514,5044.4191088170655
2024-03-04,6453.939616233509,5522.646495268664,7411.981890328949
2024-03-05,6664.503824292558,5747.607277471535,7610.988051067467
2024-03-06,6601.147984473942,5654.632586765077,7514.8332100041625
2024-03-07,6691.756856267246,5712.54917794307,7602.980675132991
2024-03-08,6892.152609574641,5986.646265544867,7814.820277662885
2024-03-09,5008.823347422393,4067.3764236430925,5951.855851233283
2024-03-10,4125.905657093874,3197.7525187341134,5073.7728106521245
2024-03-11,6474.246755857229,5603.177983308873,7440.153285628117
2024-03-12,6684.439826836982,5829.882093238428,7667.042722618637
2024-03-13,6621.0839870195205,5727.385253953135,7548.598354334026
2024-03-14,6711.692858813148,5727.779883930033,7593.202939307644
2024-03-15,6912.088612120266,6013.5955527972155,7827.711044814833
2024-03-16,5028.759349968275,4062.672391184195,5960.355902048029
2024-03-17,4145.8416596376865,3201.6416980634663,5004.28444150636
2024-03-18,6494.182758396001,5505.563454919652,7476.38998832708
2024-03-19,6704.375829381637,5773.402506390278,7618.6875548582175
2024-03-20,6641.019989565098,5772.295133824397,7584.053479077731
2024-03-21,6731.6288613572615,5727.858191657127,7682.06506955152
2024-03-22,6931.340169143474,5969.559881018957,7883.981685753538
2024-03-23,5047.3264614775035,4078.486979215987,5982.009533502172
2024-03-24,4163.724325623532,3147.022029778333,5067.151519845997
2024-03-25,6511.380978861158,5616.40192022758,7416.181732215537
2024-03-26,6720.889604324466,5770.7506153035965,7616.154930109285
2024-03-27,6656.849318987643,5711.873110324918,7581.04690462526
2024-03-28,6746.773745262719,5868.750268134951,7672.105528393645
2024-03-29,6946.485053049597,6050.509156024005,7835.902739176984
2024-03-30,5062.471345381153,4099.305287804382,6056.150678759448
2024-03-31,4178.869209528104,3190.0063866783375,5111.458053259857
2024-04-01,6526.525862764656,5589.635094407106,7440.02625805169
2024-04-02,6736.0344882286545,5834.310363802892,7654.183967027607
2024-04-03,6671.99420289192,5733.430763918162,7587.927505436476
2024-04-04,6761.918629164602,5779.559601697917,7740.342534194538
2024-04-05,6961.629936950892,6046.206777385652,7909.88268941722
2024-04-06,5077.616229280815,4134.220294486131,6021.938752730512
2024-04-07,4193.209861947515,3282.3242101601795,5149.377622871637
2024-04-08,6540.0622837022265,5626.408349022482,7531.938892967302
2024-04-09,6748.766677680084,5785.957032438608,7693.154119214832
2024-04-10,6683.922160858362,5691.509351883291,7501.3875014385285
2024-04-11,6773.042355648157,5748.5064612215565,7715.05118157261
2024-04-12,6971.9494319501955,5976.657755274891,7938.50979789475
2024-04-13,5087.131492796813,4233.954023355843,6014.994399681785
2024-04-14,4202.725125462204,3283.512486675033,5089.9167995639045
2024-04-15,6549.5775472200685,5681.1111366440255,7528.595019529247
2024-04-16,6758.281941196852,5799.993012274854,7708.777367769193
2024-04-17,6693.437424376052,5761.984740755124,7527.91847975156
2024-04-18,6782.55761916617,5839.319121888141,7676.988671340517
2024-04-19,6981.464695470661,6077.179802132621,7866.480369700006
2024-04-20,5096.646756312812,4173.708564097482,6011.5971980505565
2024-04-21,4212.240388978129,3280.0228680154414,5200.7957717676645
2024-04-22,6559.092810737911,5607.350723352834,7476.274906105694
2024-04-23,6767.026524480716,5812.447315289645,7691.422461449988
2024-04-24,6701.411327427281,5758.058418778791,7665.173430993582
2024-04-25,6789.760841981009,5897.469269254309,7736.923806699088
2024-04-26,6987.897238057721,6131.083552789875,7936.211244829274
2024-04-27,5102.308618665464,4178.203885354262,6099.347126943772
2024-04-28,4217.131571101026,3305.079404243109,5172.12647118796
2024-04-29,6563.213312620809,5651.286550497669,7506.008711240808
2024-04-30,6771.147026370327,5815.789209234772,7687.139257428788
2024-05-01,6705.531829315164,5761.124347815222,7595.697252718599
2024-05-02,6793.881343872124,5912.364495957802,7696.9594535957085
2024-05-03,6992.017739942576,6020.253204723058,7947.006627335872
2024-05-04,5106.429120550783,4187.178477921868,6016.3184053699015
2024-05-05,4221.252072989761,3292.8618329935666,5211.783780762371
2024-05-06,6567.333814509966,5666.491100195895,7509.228827541809
2024-05-07,6775.267528258176,5839.438856091357,7742.06635636001
2024-05-08,6709.652331203047,5724.122187508338,7616.30547301323
2024-05-09,6797.435483601896,5936.860660633746,7763.823134314169
2024-05-10,6995.005517516089,5986.134198667342,7920.377522205757
2024-05-11,5108.850535972762,4201.369302853561,6031.26700472895
2024-05-12,4223.107126247419,3268.91101424244,5119.080815669585
2024-05-13,6568.622505611678,5662.0033409876505,7509.545350142686
2024-05-14,6775.98985719988,5791.428890210172,7692.021408674844
2024-05-15,6709.808297987669,5764.0806736545055,7621.652216279793
2024-05-16,6797.591450385248,5825.120947325541,7684.817345750769
2024-05-17,6995.161484300758,6096.889870305452,7888.490737555197
2024-05-18,5109.0065027537,4191.457897488164,6058.097164639911
2024-05-19,4223.263093031769,3283.5530921192076,5118.793808335772
2024-05-20,6568.778472396453,5595.359905961901,7488.092211185995
2024-05-21,6776.145823983346,5882.882831190175,7698.982463865067
2024-05-22,6709.9642647721,5748.112845758444,7559.327022970639
2024-05-23,6797.747417168407,5889.68796340856,7758.020882763344
2024-05-24,6995.317451081229,6043.227846774201,7903.802950619749
2024-05-25,5108.821526344999,4211.252069071623,6099.630296784475
2024-05-26,4222.737173424647,3288.5795846664128,5128.609677036907
2024-05-27,6567.911609593392,5664.982614100215,7512.136991911102
2024-05-28,6774.938017992312,5838.702496086924,7722.144590913135
2024-05-29,6708.415515588595,5831.410216171774,7651.064073796027
2024-05-30,6795.857724791599,5843.628590870466,7738.025104696951
2024-05-31,6993.086815510519,6123.033179064118,7896.024856537301
2024-06-01,5106.590890770558,4125.166017809726,6024.648937979451
2024-06-02,4220.506537853619,3250.513858142804,5163.8970482993245
2024-06-03,6565.680974022789,5607.389971542745,7538.192611375438
2024-06-04,6772.707382420867,5870.398956190969,7676.425870414752
2024-06-05,6706.184880015595,5705.265610670884,7614.91828415023
2024-06-06,6793.627089221164,5925.699380744584,7695.658583291174
2024-06-07,6990.85617994254,6052.952196938436,7931.90780547385
2024-06-08,5104.360255196116,4167.341944668443,6021.952518235198
2024-06-09,4218.2759022840855,3220.9919551816697,5084.264635905503
2024-06-10,6563.450038478242,5648.9576102455485,7592.981087331082
2024-06-11,6770.47614689967,5882.018967731978,7695.47217500867
2024-06-12,6703.953344520721,5770.508859690876,7581.101358524444
2024-06-13,6791.395253752162,5918.429507498387,7712.743109448743
2024-06-14,6988.624044498618,6039.78456796932,7941.196588968798
2024-06-15,5102.127819777808,4187.680249429309,5998.834791463747
2024-06-16,4216.043166889069,3322.7037950545973,5111.996508451512
2024-06-17,6561.217303085843,5680.038565525666,7435.882177327357
2024-06-18,6768.243411507024,5816.984613847292,7617.760977602131
2024-06-19,6701.720609126346,5839.975072223035,7608.683568950797
2024-06-20,6789.162518357445,5906.016733493164,7730.2969602610765
