ds,yhat,yhat_lower,yhat_upper
2024-01-01,4351.104281652133,3436.1477679382037,5239.602262764003
2024-01-02,4578.067108027775,3660.7025378638323,5458.050346352307
2024-01-03,4448.667603069615,3601.8301470225592,5350.322337947109
2024-01-04,4575.5466538120545,3692.986547515791,5491.999472102733
2024-01-05,4677.2310837323075,3706.590539293027,5557.057223548604
2024-01-06,3091.970717851782,2197.452866192409,4081.2196126449617
2024-01-07,2536.495766264218,1645.4690604907457,3393.6665395180394
2024-01-08,4351.370817782874,3424.821865300084,5306.081091147803
2024-01-09,4578.333644163109,3633.6474522590324,5392.3241192222595
2024-01-10,4448.934139204351,3554.427818983051,5344.350423447447
2024-01-11,4575.813189947291,3637.7564107182648,5428.400480880748
2024-01-12,4677.4976198681425,3788.4837891787843,5633.064542817487
2024-01-13,3092.2372539927765,2188.8999860173653,3959.776043620714
2024-01-14,2536.7623024012737,1664.5415230055096,3473.9746288111305
2024-01-15,4351.637353919683,3402.835322981087,5230.937060126875
2024-01-16,4578.600180298444,3697.5172370887376,5428.6115249781205
2024-01-17,4449.200675340274,3574.029286188818,5372.240852720646
2024-01-18,4576.079726154708,3648.4881946756045,5498.876804055322
2024-01-19,4677.764156146227,3694.30851797252,5583.653219830669
2024-01-20,3092.50379034089,2159.0468926250824,3986.0217263810114
2024-01-21,2537.028838820749,1581.3636894281572,3390.8508415446654
2024-01-22,4351.903890412117,3423.318433891574,5257.264839384117
2024-01-23,4578.866716860514,3714.664210531308,5502.566709036594
2024-01-24,4449.467211974101,3488.034666941847,5336.40540591002
2024-01-25,4576.34626278782,3694.934456478534,5476.189245514834
2024-01-26,4678.030692778625,3791.4267745486636,5570.14072720492
2024-01-27,3092.770326973503,2110.308619871544,4020.95614577079
2024-01-28,2537.2953754556784,1566.2966401196516,3502.803522557748
2024-01-29,4352.170427040733,3381.2835048945335,5306.92067413913
2024-01-30,4579.133253493709,3639.433218574875,5509.6514516259795
2024-01-31,4449.733748607305,3431.6617591033205,5361.286211985654
2024-02-01,4576.612799421485,3690.531482293836,5500.636454425847
2024-02-02,4678.297229411024,3735.4844387267176,5641.15931861802
2024-02-03,3093.036862733359,2132.813517707808,3975.624365921386
2024-02-04,2537.5619103429476,1590.146795743471,3457.887283230051
2024-02-05,4352.436961060487,3438.735654263442,5268.356566935548
2024-02-06,4579.3997866411055,3722.233072232425,5534.822785508634
2024-02-07,4450.000280883242,3511.1091443258815,5349.913320028589
2024-02-08,4576.879330825877,3674.12935643048,5472.853491939313
2024-02-09,4678.56375994741,3745.9843195682824,5612.0865286362105
2024-02-10,3093.3033932644958,2119.995326097238,3948.343058141497
2024-02-11,2537.8284408766654,1645.553639004656,3457.2763143265142
2024-02-12,4352.703491595568,3390.7068674117822,5292.920756723223
2024-02-13,4579.666317174142,3745.0515976156726,5456.85451473627
2024-02-14,4450.266811416868,3482.0469151242287,5393.866478329757
2024-02-15,4577.1458613598725,3675.461852226919,5538.751113824809
2024-02-16,4678.830290480946,3770.3463741232813,5619.50937269646
2024-02-17,3093.5699237969366,2222.5111149122117,4021.3270421063867
2024-02-18,2538.0949714103836,1653.595327771822,3401.041118569964
2024-02-19,4352.970021394215,3492.6292215185535,5276.776936681989
2024-02-20,4579.932846237947,3665.464665732171,5500.1529645691435
2024-02-21,4450.533339744609,3550.427938491156,5389.738573334244
2024-02-22,4577.412388951632,3648.1126297584306,5450.766171694486
2024-02-23,4679.0968173353895,3686.5054664266904,5562.299032013567
2024-02-24,3093.8364499176105,2163.5454321772218,3930.003155957187
2024-02-25,2538.361496793324,1600.2335782422304,3410.009866620449
2024-02-26,4353.236546781664,3370.192738804553,5297.819606301664
2024-02-27,4580.199371623908,3680.626355624702,5453.409885038022
2024-02-28,4450.799865130608,3529.954911136622,5314.293292187686
2024-02-29,4577.678914338565,3652.7432885819576,5465.826834545926
2024-03-01,4679.363342721864,3781.92327894502,5541.508047546805
2024-03-02,3094.102975309244,2140.5295673532,4090.063848795513
2024-03-03,2538.628022179979,1702.9504257851397,3461.4669638704286
2024-03-04,4353.503072168543,3441.7473136447184,5274.024642386955
2024-03-05,4580.4658970098935,3636.378675799384,5472.083063764479
2024-03-06,4451.066390651073,3661.303172525425,5371.816308903536
2024-03-07,4577.945439993062,3705.6395949705507,5424.820074676088
2024-03-08,4679.6298685122965,3779.6694053495808,5602.685508233816
2024-03-09,3094.3695012336775,2171.2506839132857,4029.16394356988
2024-03-10,2538.8945482431227,1640.540363314942,3360.732811897621
2024-03-11,4353.769598366531,3471.4324659639124,5290.74635034005
2024-03-12,4580.732423341483,3725.6574300040206,5502.2503082513085
2024-03-13,4451.332916983264,3588.5629844817963,5370.174835397399
2024-03-14,4578.2119663256235,3626.298316021359,5471.472932275964
2024-03-15,4679.8963948444,3735.26834616837,5628.414667177424
2024-03-16,3094.6360275659886,2088.681728549108,3986.2189486419043
2024-03-17,2539.1610745743674,1593.4335012910374,3433.615460990101
2024-03-18,4354.036124693541,3415.234649391321,5234.477533161437
2024-03-19,4580.998949673087,3705.156527063726,5533.293722890858
2024-03-20,4451.5994433154565,3586.831890630203,5421.798763766519
2024-03-21,4578.478492657129,3622.5279342553818,5494.4988257230925
2024-03-22,4680.162903811694,3791.850900354678,5604.657792940347
2024-03-23,3094.9025191749515,2193.232067664734,4022.8601046522904
2024-03-24,2539.427548817196,1631.737405630497,3390.907736238172
2024-03-25,4354.302581572625,3469.3850227488942,5265.591182548852
2024-03-26,4581.265389187184,3635.2602859841845,5491.103967418118
2024-03-27,4451.865865466063,3574.822384088618,5410.076044307162
2024-03-28,4578.744897446258,3751.2760864353795,5523.081517716534
2024-03-29,4680.429308602157,3805.656351223048,5518.021974147606
2024-03-30,3095.168923962773,2133.794172571924,3994.921011933322
2024-03-31,2539.69395360603,1630.930321383871,3427.740881356382
2024-04-01,4354.568986360644,3474.1277816306265,5304.096630104461
2024-04-02,4581.531793975669,3621.873268677241,5473.71795835487
2024-04-03,4452.132270254389,3545.0585088472335,5351.3676863068
2024-04-04,4579.011302233273,3732.2109567596863,5515.9456542797725
2024-04-05,4680.69571338846,3768.7085171050676,5623.655532532598
2024-04-06,3095.435328747986,2208.4209206830756,4049.454667810275
2024-04-07,2539.7943369527884,1562.3421948266464,3416.058490950357
2024-04-08,4354.50334826773,3487.659738780851,5190.372007154959
2024-04-09,4581.3001344396735,3697.6023194510417,5483.090482481775
2024-04-10,4451.734589276761,3574.0098388743177,5430.82395332284
2024-04-11,4578.447599815109,3679.9364987148456,5492.965806539653
2024-04-12,4679.965989528549,3721.764555158331,5527.356154255738
2024-04-13,3094.539583447253,2234.174457228983,4073.833725747366
2024-04-14,2538.8985916506576,1630.605852686901,3486.4724331265284
2024-04-15,4353.607602968496,3403.4810420480326,5265.3319775007385
2024-04-16,4580.404389139536,3680.4749086248853,5512.249231790074
2024-04-17,4450.838843977212,3564.9289445375784,5311.695433815525
2024-04-18,4577.55185451593,3637.15799559395,5468.998414490485
2024-04-19,4679.070244231761,3759.0702867963782,5555.1961875387415
2024-04-20,3093.64383814652,2152.009725769808,3957.5183250067616
2024-04-21,2538.0028463501617,1613.4039874404305,3498.1958011256334
2024-04-22,4352.711857669265,3511.4310154226223,5297.376085979167
2024-04-23,4579.423287403926,3617.7082926164976,5507.849504625679
2024-04-24,4449.772385806152,3577.3185233104005,5363.617740096265
2024-04-25,4576.400039906705,3716.5300855273376,5463.972822704232
2024-04-26,4677.83307319029,3724.957891312029,5617.490823273564
2024-04-27,3092.3213106684952,2154.672346150147,4050.28497979922
2024-04-28,2536.5949624389955,1618.4364676193009,3431.577580363872
2024-04-29,4351.218617316896,3424.0582916882418,5230.349469820136
2024-04-30,4577.93004705694,3677.410933250149,5538.824297900699
2024-05-01,4448.279145457803,3524.8099876110164,5367.12224771275
2024-05-02,4574.9067995603755,3635.419858235572,5508.895943306878
2024-05-03,4676.339832839825,3705.9959780668023,5570.743448423497
2024-05-04,3090.828070318251,2098.071474159968,3961.4429182504036
2024-05-05,2535.101722091332,1592.8249082823393,3405.5724329060527
2024-05-06,4349.725376969456,3551.347869149352,5316.269706059717
2024-05-07,4576.436806708581,3679.5355260099877,5490.650159150251
2024-05-08,4446.785905109453,3569.690163074249,5292.755393972979
2024-05-09,4573.413540206364,3750.191039829,5468.601101284252
2024-05-10,4674.846554480841,3838.00189800625,5638.3229631901395
2024-05-11,3089.334772958858,2141.047729408495,4002.9784705655916
2024-05-12,2533.60840572139,1610.5636155006232,3510.9228013712673
2024-05-13,4348.23204159531,3464.405077929305,5241.082845895399
2024-05-14,4574.943452326833,3644.704536553207,5466.86228078117
2024-05-15,4445.292531722711,3591.678124818323,5362.244890938531
2024-05-16,4571.920166818434,3578.6244201227596,5424.668720420162
2024-05-17,4673.35318109401,3754.3757119376855,5561.853676259466
2024-05-18,3087.8413995696283,2175.6407060405713,4038.351841003186
2024-05-19,2532.115032334741,1645.2949392420358,3416.1443573079437
2024-05-20,4346.738668208884,3420.397232921103,5280.9466915375315
2024-05-21,4573.45007893949,3659.127285999566,5503.9902740887455
2024-05-22,4443.799158335999,3487.460023697442,5332.467379029478
2024-05-23,4570.4267934310055,3694.4611830496265,5479.497718010233
2024-05-24,4671.85980770456,3810.2309378598293,5622.024112873962
2024-05-25,3086.2279725908943,2126.7790513271175,3968.034847500298
2024-05-26,2530.3815517601543,1558.8084280721787,3411.6918816324333
2024-05-27,4344.885134040625,3434.1052810842198,5288.682907507546
2024-05-28,4571.476491183698,3742.3049353222104,5484.411616669879
2024-05-29,4441.705516988699,3492.2000518531777,5423.7883754869945
2024-05-30,4568.213098491964,3642.150168249664,5475.32234416829
2024-05-31,4669.526059172948,3800.5434126939786,5630.87794276678
2024-06-01,3083.894224056883,2215.1436186307797,4061.638345962821
2024-06-02,2528.0478032287238,1543.606275738026,3481.856904318745
2024-06-03,4342.55138550942,3455.1719531312483,5204.224693144646
2024-06-04,4569.1427426516,3547.9090732722034,5473.755114588999
2024-06-05,4439.371768455989,3426.0129587142833,5317.506669737575
2024-06-06,4565.879349960811,3648.273769215828,5495.190308086345
2024-06-07,4667.192310644186,3809.273492313847,5612.3466370068245
2024-06-08,3081.5604755228724,2139.1056120085273,3981.8247161300487
2024-06-09,2525.714054698333,1587.7323491096208,3375.468801860365
2024-06-10,4340.204009423619,3435.2907304230716,5225.2625476060375
2024-06-11,4566.781739009149,3655.3913441790523,5473.484922631692
2024-06-12,4436.997137259006,3550.7692463014832,5404.67951210107
2024-06-13,4563.4910912090045,3527.709237637252,5462.033202240138
2024-06-14,4664.7904243367575,3726.462416453053,5604.834790235763
2024-06-15,3079.1449616604887,2155.678069174598,3977.2415985468547
