ds,yhat,yhat_lower,yhat_upper
2024-01-01,12293.76461210006,10296.302747922335,14554.565260223048
2024-01-02,12951.276446562752,10917.115866439834,15031.744726103185
2024-01-03,12769.97151568189,10712.433984116864,14920.343084367025
2024-01-04,12985.392205330181,10943.894564067163,14887.733999881711
2024-01-05,13538.140822027934,11399.803717594763,15622.973058533282
2024-01-06,9866.979878611386,7850.963748402796,11960.773321417326
2024-01-07,7574.711756007441,5486.537026573478,9548.41548118194
2024-01-08,12343.079477525163,10244.180372395169,14409.19284914051
2024-01-09,13000.591312000779,10944.228734006074,14869.201688941557
2024-01-10,12819.286381116364,10733.560707720193,14930.29493806674
2024-01-11,13034.707070766748,11026.212380117026,15183.355803782695
2024-01-12,13587.455687467957,11644.823296961535,15606.961334671925
2024-01-13,9916.294744064657,7864.50302557499,11944.697055256767
2024-01-14,7624.026621449091,5561.862449119579,9756.411497410203
2024-01-15,12392.3943429666,10305.53476721427,14348.328464419028
2024-01-16,13049.906177438808,11000.170838856659,15148.739937848886
2024-01-17,12868.601246556243,10984.767970227254,15015.162571530473
2024-01-18,13084.021826381339,11207.242475204857,15163.803268086993
2024-01-19,13636.770333256205,11485.119469531357,15665.794874281675
2024-01-20,9965.609280023004,7863.304856028117,11888.51943651661
2024-01-21,7673.341047581755,5576.330467260667,9934.501860290875
2024-01-22,12441.7086592786,10392.5002522743,14552.770235291642
2024-01-23,13099.22038392056,11027.556142827807,15238.902348105034
2024-01-24,12917.915343214718,10730.890031927385,14978.912459583986
2024-01-25,13133.3359230367,11187.535725206122,15131.509338963908
2024-01-26,13686.084429910672,11797.805189730725,15765.770405085976
2024-01-27,10014.923376677796,7983.568603123995,11993.747017450356
2024-01-28,7722.655144242196,5660.739377601137,9737.427213491157
2024-01-29,12491.022755922493,10526.334124225436,14632.208255767044
2024-01-30,13148.534480576425,11057.157990131986,15136.501368290667
2024-01-31,12967.229439870687,10984.736042433471,15086.315880526554
2024-02-01,13182.650019696404,11186.72149051585,15205.639204332865
2024-02-02,13735.398526565143,11757.047037663442,15782.534227801847
2024-02-03,10064.23747358399,8016.338260755172,12239.996273489
2024-02-04,7771.96924140338,5634.031625784688,9920.339017727452
2024-02-05,12540.336853347693,10515.03144203484,14573.82900491609
2024-02-06,13197.84857825451,11172.639345392514,15191.856792133938
2024-02-07,13016.543537803242,10921.443968595397,15004.573251482561
2024-02-08,13231.964117883666,11333.874216792496,15300.526104092642
2024-02-09,13784.712625015538,11699.51875721029,15840.971960170593
2024-02-10,10113.551572022083,8074.744028876836,12088.456613868155
2024-02-11,7821.28333984832,5920.1994218129885,9937.978888160627
2024-02-12,12589.650951796113,10517.958860157936,14414.856440718277
2024-02-13,13247.162676698548,11253.000613361883,15289.30167407205
2024-02-14,13065.857636249128,10952.346904071723,14995.897815008859
2024-02-15,13281.278216330153,11166.748930247093,15368.227982017705
2024-02-16,13834.026723461568,11696.180886595062,15989.079522851267
2024-02-17,10162.865670464094,8174.204398120155,12206.534970574774
2024-02-18,7870.597438293258,5725.425418009098,9938.148397159786
2024-02-19,12638.96504965086,10611.28079526432,14622.726575430832
2024-02-20,13296.476773961545,11303.425958487946,15376.4872366741
2024-02-21,13115.17173291985,11083.101451787688,15098.98716218117
2024-02-22,13330.592312405839,11307.874240243618,15484.425897472074
2024-02-23,13883.340818940298,12024.509523074861,16078.12537616542
2024-02-24,10212.179765355777,8058.231105308799,12332.702456515666
2024-02-25,7919.911532588973,5844.507838057743,9958.03875968426
2024-02-26,12688.27914395625,10541.649677821339,14705.886008084331
2024-02-27,13345.790868262575,11319.555963397996,15461.911735978205
2024-02-28,13164.48582722079,11198.176218664481,15182.003684200738
2024-02-29,13379.906406710277,11224.709038623345,15485.309115032027
2024-03-01,13932.654913244278,11857.0088165089,16015.152735092937
2024-03-02,10261.493859673008,8176.331402519319,12293.728243735995
2024-03-03,7969.225626891862,5904.222820967729,10101.434248638709
2024-03-04,12737.593238260666,10720.214270308947,14892.404261882837
2024-03-05,13395.104962565518,11364.030803241145,15573.680645716908
2024-03-06,13212.729591481373,11272.636430828119,15348.522002897835
2024-03-07,13427.07984093163,11414.613065048792,15500.49009954181
2024-03-08,13978.758017430366,11885.875798429031,15961.45405853328
2024-03-09,10306.526633817655,8187.905024340218,12454.814227772958
2024-03-10,8013.188071008225,5888.932153119168,10067.422624972714
2024-03-11,12780.485352338967,10658.228312124143,14723.050124886686
2024-03-12,13436.926746601606,11324.622532954196,15585.580748825783
2024-03-13,13254.551375520268,11084.056739766289,15414.039815745482
2024-03-14,13468.901624971126,11488.20592360349,15400.376227021814
2024-03-15,14020.579801469405,11915.421254169214,16108.609927896754
2024-03-16,10348.348417856596,8329.655346774223,12386.53765438683
2024-03-17,8055.009855043457,6090.806543414315,10236.920665244073
2024-03-18,12822.307136363088,10667.621496348731,14906.405085310013
2024-03-19,13478.748530638652,11220.054763516171,15423.559134064219
2024-03-20,13296.373159559163,11257.294626029028,15244.337276683613
2024-03-21,13510.723409006712,11372.834598904277,15496.582882024788
2024-03-22,14060.504412255093,11937.82336285704,16045.136404403373
2024-03-23,10386.375855406959,8303.927659087725,12401.847949031968
2024-03-24,8091.140119337109,6066.946059062652,10179.16325502586
2024-03-25,12856.540227407526,10741.758482609144,14782.173831183376
2024-03-26,13511.084448429721,11489.448575157243,15483.061469383425
2024-03-27,13326.811904101336,11357.54292699971,15325.658016092644
2024-03-28,13539.26498030709,11508.675242581285,15811.212971508507
2024-03-29,14089.045983555472,12096.171028767398,16236.39562045272
2024-03-30,10414.917426702872,8396.370136399562,12584.329791820754
2024-03-31,8119.6816906347485,5991.396871767528,10208.171512916204
2024-04-01,12885.081798703972,10999.25386217783,14840.78658972198
2024-04-02,13539.6260197271,11507.01476560012,15652.120952132027
2024-04-03,13355.35347539971,11374.668379694953,15313.16004921488
2024-04-04,13567.806551599648,11562.14519941332,15597.602088157457
2024-04-05,14117.587554847136,11998.696622877029,16158.691890470918
2024-04-06,10443.458997990945,8345.316563484637,12682.34080358292
2024-04-07,8146.143793495405,5995.532625855843,10156.669601820477
2024-04-08,12909.46443313385,10972.451478491932,15194.657620579448
2024-04-09,13561.92918571833,11564.567423618462,15543.977983256837
2024-04-10,13375.577172953122,11244.283388715923,15337.160203057985
2024-04-11,13585.95078072089,11491.50399167658,15534.6279593129
2024-04-12,14133.652315533225,12148.521039828815,16294.9221761741
2024-04-13,10457.444290243096,8531.827491621932,12458.98750968162
2024-04-14,8160.129085746032,6161.9655710701645,10116.411282086934
2024-04-15,12923.449725390456,10827.164809710248,14960.232281354494
2024-04-16,13575.914477972508,11570.730657104645,15578.404268555778
2024-04-17,13389.56246520915,11424.38597441002,15544.945165178186
2024-04-18,13599.936072977518,11522.57672331469,15700.41204414162
2024-04-19,14147.637607793762,12098.353890304366,16176.218807822603
2024-04-20,10471.429582495251,8346.18817139266,12538.07180954659
2024-04-21,8174.114377998393,6195.339707869463,10316.826884206834
2024-04-22,12937.435017647062,10880.384358627207,15098.219166561925
2024-04-23,13588.245296538476,11474.847032339301,15536.684769178564
2024-04-24,13400.238810087974,11529.147990702337,15547.28147678246
2024-04-25,13608.957944161095,11551.07681822074,15579.452436458101
2024-04-26,14155.005005300927,12072.833360942435,16303.340626388606
2024-04-27,10477.14250631115,8552.514238213229,12500.276983913112
2024-04-28,8178.172828132682,6148.835136339706,10153.741003404166
2024-04-29,12939.838994078535,10770.087981900411,14935.489821816433
2024-04-30,13590.649272984298,11695.948602771845,15616.651586737451
2024-05-01,13402.642786530541,11493.492498255493,15470.97768624238
2024-05-02,13611.361920610876,11607.040606076422,15497.247366413536
2024-05-03,14157.40898173765,12135.428560893492,16035.746515164694
2024-05-04,10479.546482748623,8359.245132017815,12553.32117602317
2024-05-05,8180.576804577006,6054.110016683179,10105.868130853785
2024-05-06,12942.242970524383,10768.403586066259,14987.956740622974
2024-05-07,13593.053249426763,11581.572841776582,15575.161916333813
2024-05-08,13405.046762973112,11247.386215954637,15493.453964195247
2024-05-09,13612.865800052834,11415.71917191271,15645.745664026968
2024-05-10,14158.012764183064,12087.957820923853,16094.617018658646
2024-05-11,10479.250168207289,8390.148839641468,12530.694222178587
2024-05-12,8179.380393021327,6091.135419135821,10356.657388239862
2024-05-13,12940.146461972188,10787.028976529826,14926.419557070392
2024-05-14,13590.05664387114,11760.27974287048,15673.480669167913
2024-05-15,13401.15006041838,11256.84417558937,15363.244239522099
2024-05-16,13608.969097495232,11631.894192815826,15632.939187098638
2024-05-17,14154.116061628476,12135.299441006504,16304.228294313076
2024-05-18,10475.353465644765,8491.112455127231,12566.884333384243
2024-05-19,8175.483690465651,6165.472101267967,10259.565853511906
2024-05-20,12936.249759418037,10823.502979379038,15057.199084544121
2024-05-21,13586.159941313603,11624.960971503977,15677.024360249676
2024-05-22,13397.253357863457,11203.789653227708,15443.468232920828
2024-05-23,13605.07239493719,11700.048432721898,15886.510649954476
2024-05-24,14150.219359065197,11979.593442245936,16088.637068116372
