ds,yhat,yhat_lower,yhat_upper
2024-01-01,4715.134848842909,3331.9958200253564,6167.483718021855
2024-01-02,4960.43935535998,3574.1885195221953,6491.605853431427
2024-01-03,5164.436134838297,3737.853935048746,6543.86358861507
2024-01-04,5209.244397223284,3761.465355337059,6675.599342600975
2024-01-05,5027.487245333628,3561.1549468778217,6460.53931639041
2024-01-06,5313.752940274471,3876.0759666770355,6677.644629155935
2024-01-07,5269.7622786884285,3857.8304990501642,6766.7094562804905
2024-01-08,4837.011259030795,3368.439980483631,6292.356474514616
2024-01-09,5082.315765547538,3779.500713770341,6595.226290584239
2024-01-10,5286.312545025746,3914.5367666270595,6569.283621404432
2024-01-11,5331.120807410585,3848.5003838743564,6753.4895485072975
2024-01-12,5149.36365552061,3808.160232282213,6601.397324221256
2024-01-13,5435.629350460981,4027.147288629945,6761.3142739337145
2024-01-14,5391.63868887504,4036.1254148682056,6828.017152836514
2024-01-15,4958.887669217805,3541.7506520179245,6418.720448790374
2024-01-16,5204.192175735096,3812.8507948088854,6644.392793549296
2024-01-17,5408.188955213039,4013.464168925811,6915.041910845148
2024-01-18,5452.997217326011,4018.705557022992,6909.096427030787
2024-01-19,5271.240065164434,3919.3141772409117,6699.330767506924
2024-01-20,5557.50575983351,4073.3757741489085,6955.255233196296
2024-01-21,5513.515097976318,4095.753437825563,6899.013057711465
2024-01-22,5080.764078046915,3639.2485259931364,6479.774019687622
2024-01-23,5326.068584293016,3829.7230043425793,6824.501872553653
2024-01-24,5530.065363498787,4095.1213640559854,6938.0988811768975
2024-01-25,5574.873625612251,4179.235886848767,6952.9590752044305
2024-01-26,5393.116473450815,3877.7736173314183,6807.349202748374
2024-01-27,5679.38216811972,4215.577135294325,7192.338976749766
2024-01-28,5635.391506261872,4224.4461905145345,6975.449018105657
2024-01-29,5202.64048633374,3823.954991039856,6657.35137964359
2024-01-30,5447.944992579356,4007.341679735743,6904.21799949919
2024-01-31,5651.941771785097,4280.469449811544,7037.441118292709
2024-02-01,5696.750033898588,4306.129975582345,7126.642506620598
2024-02-02,5514.992881737195,4125.153814038814,7026.026033855337
2024-02-03,5801.25857630928,4324.252298932607,7160.412896438337
2024-02-04,5757.267914354989,4323.984888004259,7226.047389919217
2024-02-05,5324.516894328527,3897.97526542602,6753.743253988842
2024-02-06,5569.821400477154,4143.937777529605,7098.395320119677
2024-02-07,5773.818179585534,4359.552609748862,7266.203992707685
2024-02-08,5818.62644160178,4359.390217709148,7238.700665831312
2024-02-09,5636.869289342882,4255.135112225087,7138.339041220249
2024-02-10,5923.134983915792,4513.99941187264,7468.798217916786
2024-02-11,5879.144321960811,4446.098345389778,7311.286674182064
2024-02-12,5446.393301933893,3951.878834779752,6811.668171865261
2024-02-13,5691.697808083428,4251.391436695082,7157.935591785635
2024-02-14,5895.694587191545,4468.320366994435,7356.9341229440815
2024-02-15,5940.502849207503,4556.39190412036,7416.869596829961
2024-02-16,5758.745696948582,4292.480807912908,7284.978017560963
2024-02-17,6045.011391521778,4561.715785033148,7473.2803050101
2024-02-18,6001.020729566631,4423.793130511607,7357.016218975695
2024-02-19,5568.269709457628,4075.6716101258066,6958.409695663361
2024-02-20,5813.57421552351,4389.150950376426,7232.172938898375
2024-02-21,6017.570994550503,4596.35005834212,7400.831093690231
2024-02-22,6062.379256484118,4661.427988403899,7348.780220035386
2024-02-23,5880.622104143443,4418.076124134464,7420.61255363975
2024-02-24,6166.88779863366,4811.265777310005,7650.197383896495
2024-02-25,6122.89713659742,4718.742594124039,7697.62719089403
2024-02-26,5690.146116486901,4195.752266252878,7139.78726321763
2024-02-27,5935.450622553172,4470.823544364798,7418.767608276871
2024-02-28,6139.4474015796495,4763.824230365956,7589.888803852517
2024-02-29,6184.255663513384,4746.741658607151,7728.296139041169
2024-03-01,6002.498511172689,4588.446396850307,7392.185282528948
2024-03-02,6288.764205662432,4926.576948746267,7758.4449453343395
2024-03-03,6244.7735436267885,4797.519488256332,7666.897090416478
2024-03-04,5812.022523516534,4383.860713626003,7265.087869205857
2024-03-05,6057.327029583149,4627.505971703089,7474.351140558132
2024-03-06,6261.323808404593,4899.783923846893,7656.339722386988
2024-03-07,6306.132070134102,4848.582244367098,7660.942412634418
2024-03-08,6124.37491758809,4811.001310243764,7568.637852245251
2024-03-09,6410.640611873423,4991.4528163725245,7886.762506779946
2024-03-10,6366.649949631829,4954.150880533482,7738.812620307046
