ds,yhat,yhat_lower,yhat_upper
2024-01-01,15991.508686772682,12385.258270235414,19337.90092070042
2024-01-02,16317.336253166603,12784.195694879478,19710.573273097
2024-01-03,16343.014397113655,12703.042312201296,19879.01960667899
2024-01-04,16565.64080345107,13095.39407186475,20351.282676560113
2024-01-05,16480.290930619874,12911.422082914667,20036.202177298142
2024-01-06,11542.931328838096,7946.105663248233,15249.050699475049
2024-01-07,8620.244551993312,5161.672073945734,11989.430024182544
2024-01-08,16154.780878401745,12509.149632112147,19705.59530402183
2024-01-09,16480.60844481389,12839.443236493704,20146.299373699723
2024-01-10,16506.28658875379,12815.609747369484,19985.237811164596
2024-01-11,16728.912995094448,13109.586582812302,20043.770453223417
2024-01-12,16643.563122270385,12988.770655942462,20336.22488748997
2024-01-13,11706.20352050536,8183.241384457892,14991.911168814093
2024-01-14,8783.516743646102,5185.007494557893,12287.288084667223
2024-01-15,16318.053070053407,12566.91522414976,19928.447751408803
2024-01-16,16643.880636461177,13157.448496213403,19976.71491867549
2024-01-17,16669.55878040494,13099.78841331064,20277.27808236328
2024-01-18,16892.18518704239,13363.223077214392,20775.22082125434
2024-01-19,16806.835314515563,13126.78820986045,20419.817631656668
2024-01-20,11869.475713042126,8451.236722020592,15608.24074324902
2024-01-21,8946.788936480498,5190.344996329325,12521.472907144142
2024-01-22,16481.325263191735,12884.746485802476,20141.410601626227
2024-01-23,16807.15282988977,13286.345100481141,20210.897925271514
2024-01-24,16832.830974134755,13148.041887357436,20412.09436998144
2024-01-25,17055.4573807671,13653.680954943533,20570.27265228572
2024-01-26,16970.107508239893,13485.992795023438,20678.472074477722
2024-01-27,12032.747906768222,8499.50584063869,15679.841351107523
2024-01-28,9110.06113021462,5573.676474858753,12578.727801284087
2024-01-29,16644.59745690213,12842.905165782651,20192.199889835647
2024-01-30,16970.425023615688,13412.208713903789,20641.756885222345
2024-01-31,16996.103167861733,13392.954779575477,21003.947599391435
2024-02-01,17218.729574504967,13677.800626134172,21064.525450920173
2024-02-02,17133.379701964222,13602.359786893725,20687.953228156734
2024-02-03,12196.020099747624,8576.071132120138,15863.264262846362
2024-02-04,9273.33332245094,5891.524919986763,13020.209065108353
2024-02-05,16807.869648413347,13125.14373809875,20544.77352193178
2024-02-06,17133.6972143828,13461.45520539483,20784.713578554318
2024-02-07,17159.375357886816,13721.256374752433,20732.541346371592
2024-02-08,17382.00176378741,13645.11644941464,20903.96844542218
2024-02-09,17296.65189052081,13756.284611199802,21107.782072005637
2024-02-10,12359.29228828476,8704.3014594781,15807.906854869092
