ds,yhat,yhat_lower,yhat_upper
2024-01-01,97291.8306447168,74412.61456557226,120485.96510409805
2024-01-02,102989.14834342952,82840.53692140688,125692.23820473562
2024-01-03,100089.27901663569,75382.80190384513,124565.07664697563
2024-01-04,104160.76900464765,80049.94553596218,126227.6127106439
2024-01-05,107652.51051892812,85197.93843803724,128924.54499069674
2024-01-06,54011.70195430944,31497.141126001425,75748.3404819772
2024-01-07,32620.19751873216,9176.74536327775,53428.576340385385
2024-01-08,97341.96736464665,75220.66064125464,119488.89590303597
2024-01-09,103039.28506351892,79920.33146706088,125185.18528717615
2024-01-10,100139.41573669482,76476.71130375979,121272.06056519494
2024-01-11,104210.90572472665,82087.97928901705,127563.73875347828
2024-01-12,107702.64723903981,87484.08290900853,129632.75859646981
2024-01-13,54061.83867459561,30239.052541669495,75528.91369513911
2024-01-14,32670.334238881704,11464.704878297958,54721.8294359627
2024-01-15,97392.10408478565,75866.58517349274,120529.27436220022
2024-01-16,103089.42178360834,81299.18558194542,124763.96089461354
2024-01-17,100189.55245680922,77627.69946737496,121395.0102411826
2024-01-18,104260.97352913901,81136.40926156467,126185.58928513656
2024-01-19,107752.64612772889,85573.6392070655,129521.25454601676
2024-01-20,54111.76864753062,33432.151553888696,77672.18019751082
2024-01-21,32720.19529610934,10468.569712879724,54617.610703455655
2024-01-22,97441.89622636815,74945.45770763449,119353.83769022649
2024-01-23,103139.14500942492,81009.35843096887,123998.45866821457
2024-01-24,100239.20676693763,79163.25030938855,123473.60487440387
2024-01-25,104310.62783923894,81379.16080026173,126340.92269759225
2024-01-26,107802.30043780858,86845.82261238406,129149.35884228059
2024-01-27,54161.42295762044,30657.747606263125,74961.28120306564
2024-01-28,32769.84960627984,9305.80360456875,52997.51858371517
2024-01-29,97491.55053631896,75360.36862321263,118785.22191343868
2024-01-30,103188.79931953018,81009.57495170554,125267.97204315715
2024-01-31,100288.86107704531,75718.86414517123,122403.5611892947
2024-02-01,104360.282149381,79723.50976090414,126537.59585518826
2024-02-02,107851.95474788827,85237.17589340803,129434.19611548913
2024-02-03,54211.07726903052,31018.480416402446,76874.04123645832
2024-02-04,32819.50391902649,10888.129211440983,53396.63443761848
2024-02-05,97541.20485057306,73643.20876283203,120424.7731530511
2024-02-06,103238.45363512408,81765.14657764573,124455.96033681088
2024-02-07,100338.51539400747,76634.37224204298,120658.77662890157
2024-02-08,104409.93646770624,81814.16343894752,127199.85598639217
2024-02-09,107901.60906770741,86327.68363589891,130248.48311194222
2024-02-10,54260.73158866586,31819.06057143336,74527.37992232252
2024-02-11,32869.158238754804,10307.112782350017,53886.331524617395
2024-02-12,97590.85917034768,74122.37564660913,117536.87218133241
2024-02-13,103288.10795483063,81294.03851654533,125144.8787650546
2024-02-14,100388.16971373899,76576.55499031559,123598.38285319509
2024-02-15,104459.59078744706,82848.93768340665,124587.89445464789
2024-02-16,107951.26338743622,84627.28016718339,131397.86580811403
2024-02-17,54310.38590835192,32153.85801821037,76527.07571534523
2024-02-18,32918.812558483114,10483.448818946288,55077.71031671022
2024-02-19,97640.51347837261,76917.99480559916,120972.46876638054
2024-02-20,103337.76225115889,78419.91567315986,125110.4663014019
2024-02-21,100437.82399833239,78088.12262322704,123689.03220839222
2024-02-22,104509.24506029236,81904.63382597463,126285.31820665456
2024-02-23,108000.91764849566,86802.712416821,129132.3151445315
2024-02-24,54360.04015776169,32663.903835615045,77993.61422086987
2024-02-25,32968.46679609522,11669.956762066411,56556.73785536139
2024-02-26,97690.16771613978,74552.81915607852,120277.68324781551
2024-02-27,103387.41648887139,79463.6742070049,125429.93572983595
2024-02-28,100487.47823604039,78349.65754749179,121259.86066127228
2024-02-29,104558.89929804421,82275.58737230205,126267.74095414409
2024-03-01,108050.5718862355,86192.04703662268,130999.36524108319
2024-03-02,54409.69439567602,33820.98838133654,76637.56039146398
2024-03-03,33018.12103383457,9138.275050850163,53762.84019151174
2024-03-04,97739.82195388847,75676.84389965545,119160.69249826069
2024-03-05,103437.07072659406,78907.49812465116,126715.7145279347
2024-03-06,100537.13247285108,79016.38215377025,123954.3835379001
2024-03-07,104608.55353395084,82747.55297829992,126501.41219848084
2024-03-08,108100.22612129251,86123.0438953708,130813.71774353356
2024-03-09,54459.348629815875,31929.461990225904,75569.44870819307
2024-03-10,33067.775267229124,10961.867175225432,54857.05505354604
2024-03-11,97789.47618639581,76366.1228653735,121108.90134649412
2024-03-12,103486.72495817009,80764.25703230886,126219.39896900614
2024-03-13,100586.78670445719,77414.2720132528,122954.60322326995
2024-03-14,104658.20776556624,81412.09356108878,126158.47013162839
2024-03-15,108149.88035289591,88180.39266714311,130741.43493334686
2024-03-16,54509.00286142716,32651.30020266713,77933.94864204098
2024-03-17,33117.429498793645,12416.00178772033,54862.50913149363
2024-03-18,97839.13041781737,76528.23381355495,119932.75248141395
2024-03-19,103536.37918975123,80627.31167801892,126024.7449129548
2024-03-20,100636.4409360633,79439.3162950994,122078.80991135366
2024-03-21,104707.86199713695,81828.68882242875,127778.82721689115
2024-03-22,108195.76054559756,86497.69807308985,129745.77190483168
2024-03-23,54551.109015456765,32360.561416036253,76825.59043584194
2024-03-24,33155.761613888506,10594.583234558619,55718.09416429732
2024-03-25,97873.68849405287,76304.62490673152,118922.31535711925
2024-03-26,103567.16322708328,81868.34465593076,125729.56847928339
2024-03-27,100663.45093454894,79099.58804920127,123312.84344642503
2024-03-28,104731.0979568554,83170.29535779098,127810.68264389312
2024-03-29,108218.99650534967,86481.41577823026,130069.96643353743
2024-03-30,54574.34497512641,32552.73486667965,75584.11792134817
2024-03-31,33178.99757358815,10947.537332068261,56267.28766115049
2024-04-01,97896.92445372348,74409.37726029198,122038.10247181806
2024-04-02,103590.39918677494,81263.18692112212,125588.9553525032
2024-04-03,100686.68689423411,77520.07078958974,122350.91203451484
2024-04-04,104754.33391648448,81968.07682559612,128228.5246665793
2024-04-05,108242.2324649585,85984.76336054092,130160.7891410426
2024-04-06,54597.58093469471,31143.21689046831,76702.70115930407
2024-04-07,33202.231449064384,10726.18118953322,55021.01610679432
2024-04-08,97920.15624506099,75867.48693787756,119961.64897001193
2024-04-09,103613.62889385938,80611.10311239368,126214.59984384305
2024-04-10,100709.91451710326,79615.47983730053,121407.56307910607
2024-04-11,104777.55945518846,82289.62437873287,127890.78628770413
2024-04-12,108265.45591945722,86405.82814107061,131298.2594452995
2024-04-13,54620.802305018566,32418.539023288482,77387.18631022247
2024-04-14,33225.452819341655,9894.789340135063,55237.401098608374
2024-04-15,97943.37761543645,73743.0685131388,120749.5587529557
2024-04-16,103636.85026420373,81866.72620746834,125687.21664031403
2024-04-17,100733.13588747258,79100.36018082626,121168.15947397382
2024-04-18,104800.78082556708,81489.42935981772,126553.82705729039
2024-04-19,108288.67728991418,86976.40394088934,129896.28450479216
2024-04-20,54644.02367534241,34137.96202600906,78842.28134786373
2024-04-21,33248.6741896694,10621.020160685797,55727.1416523284
2024-04-22,97966.59898581188,75655.9139357617,119498.98088606009
2024-04-23,103660.07156577904,81757.1854869509,124980.85394791131
2024-04-24,100756.35712028632,77605.9275920286,124730.88392994402
2024-04-25,104824.00198951707,83074.57080853175,126956.57192192205
2024-04-26,108311.89838522485,86639.7402369776,130516.24973973469
2024-04-27,54667.2447018463,32920.78004284274,77218.79998406113
2024-04-28,33271.895147489966,10203.643067706284,55295.890617388905
2024-04-29,97989.81987466727,76479.13051282935,120808.93762502083
2024-04-30,103683.29245482259,81328.1533859584,126921.7771197849
