ds,yhat,yhat_lower,yhat_upper
2024-01-01,6564.314799433047,4919.483846628945,8022.063429526933
2024-01-02,6832.657413833584,5233.876589627121,8425.828825981753
2024-01-03,6716.937129112974,5139.137892842815,8321.098400806086
2024-01-04,6903.285826772268,5292.133323755133,8556.899837734807
2024-01-05,7101.345419752699,5603.441538758041,8745.429616209616
2024-01-06,4216.960323922718,2602.0915931040113,5869.753963943147
2024-01-07,2707.4496714959537,1095.344078745827,4405.352210157701
2024-01-08,6648.829273528652,5064.100585160585,8271.633826009836
2024-01-09,6917.171887938899,5227.232808527312,8546.095766041042
2024-01-10,6801.451603215398,5181.355754668797,8467.53530652803
2024-01-11,6987.800300876259,5349.7634687565605,8517.248671668103
2024-01-12,7185.859893859657,5417.977229578734,8756.677746721816
2024-01-13,4301.474798039449,2762.3507322731584,5949.2327159992965
2024-01-14,2791.9641456045006,1228.7435393002334,4362.564339314205
2024-01-15,6733.3437476366435,5158.5121295068575,8421.183670550265
2024-01-16,7001.686362044214,5410.005809644004,8569.340860496706
2024-01-17,6885.966077322486,5372.827978804667,8514.886220287184
2024-01-18,7072.314775146281,5454.480287838349,8547.87774254903
2024-01-19,7270.374368292057,5675.2730315284825,8780.096609712828
2024-01-20,4385.989272631617,2788.6177092598555,5954.777251892132
2024-01-21,2876.478620359541,1248.8060817520636,4354.899590790975
2024-01-22,6817.858222558242,5266.303063475919,8457.841221203911
2024-01-23,7086.200837124965,5521.1734584043525,8674.86549157562
2024-01-24,6970.480552567891,5425.941180305818,8616.407278664725
2024-01-25,7156.829250389321,5429.4645086981,8825.533478277606
2024-01-26,7354.888843534433,5700.4324396165985,8904.58192196724
2024-01-27,4470.503747874667,2746.382667852545,6119.411196768619
2024-01-28,2960.993095607138,1353.4796789371858,4526.301908938191
2024-01-29,6902.372697792896,5179.656073743464,8505.454511749083
2024-01-30,7170.7153123684375,5656.629205348619,8691.841076365963
2024-01-31,7054.995027811697,5459.749123336571,8732.096418185054
2024-02-01,7241.343725636948,5638.939204752162,8812.520197106043
2024-02-02,7439.403318776808,5805.986699539114,8998.043373466464
2024-02-03,4555.018223160632,3092.894502566109,6207.860613750393
2024-02-04,3045.507570937818,1475.7998947686299,4566.485139144063
2024-02-05,6986.887173177654,5521.853987562762,8612.65832875213
2024-02-06,7255.229787797389,5750.466753626959,8833.195946243659
2024-02-07,7139.509503286236,5511.621253111821,8764.317430085466
2024-02-08,7325.858201156871,5796.712157155799,8917.360276120193
2024-02-09,7523.917794350058,5943.310251023732,9167.726971770562
2024-02-10,4639.5326987234785,3082.3377820712894,6248.763236759924
2024-02-11,3130.0220465062453,1477.5029085671947,4608.490691738486
2024-02-12,7071.401648748446,5595.501293408532,8707.817518198375
2024-02-13,7339.74426336478,5771.497939447408,8965.233760983489
2024-02-14,7224.0239788554,5716.461643235879,8705.878572763011
2024-02-15,7410.372676726248,5743.550358124812,8852.357735034622
2024-02-16,7608.432269919091,6061.688300020105,9274.446432758945
2024-02-17,4724.047174289557,3203.1443683139837,6284.136010696814
2024-02-18,3214.536522074673,1481.6761360700725,4705.390291025109
2024-02-19,7155.916124219697,5542.676764467178,8695.027885493077
2024-02-20,7424.25873873855,5807.3221724482055,8998.457543191338
2024-02-21,7308.538454130285,5846.9574217614745,8890.89833800213
2024-02-22,7494.887151899942,5909.450008561014,9041.786933803709
2024-02-23,7692.946744990397,6081.482047142849,9225.82846166276
2024-02-24,4808.561649267076,3202.4648938708715,6478.389426505649
2024-02-25,3299.0509969494337,1669.889582061982,4904.670191696042
2024-02-26,7240.4305991031115,5597.624208635766,8959.634092871582
2024-02-27,7508.773213618397,5977.793546860887,9119.446805748048
2024-02-28,7393.052929009736,5899.43899167905,8951.499715506265
2024-02-29,7579.401626782668,6062.527468432303,9156.564559194956
2024-03-01,7777.46121987278,6228.733693835621,9383.058731180863
2024-03-02,4893.076124159234,3299.4093006741437,6379.266949125862
2024-03-03,3383.565471831209,1854.2513810061064,5024.057347637032
2024-03-04,7324.945073985804,5734.433723587139,8886.913015352498
2024-03-05,7593.28768850003,6066.751439843938,9218.925678634307
2024-03-06,7477.567403759779,5828.039154649745,9158.26396576632
2024-03-07,7663.916101404442,6060.430549642547,9082.14804907552
2024-03-08,7861.975694368113,6275.833662251754,9366.73816119598
