ds,yhat,yhat_lower,yhat_upper
2024-01-01,25227.079282385504,21827.438040421337,28833.560496189624
2024-01-02,26164.366067332674,22735.4588716817,29743.48080217516
2024-01-03,25900.2111381449,22331.613019054566,29278.533378535063
2024-01-04,26160.842934877805,22556.132669356124,29409.08018525908
2024-01-05,27215.619633919687,23738.757356511083,30814.78087863421
2024-01-06,22159.09674881557,18752.92792837455,25594.131759112403
2024-01-07,17201.61972057901,13482.461148105876,20714.623935796833
2024-01-08,25367.487617044404,21807.61033338365,28953.927761451192
2024-01-09,26304.774402014238,22930.72983335235,29845.721117728423
2024-01-10,26040.619472816605,22532.93656099476,29677.47125472248
2024-01-11,26301.251269554657,22939.73624946443,29529.945517685403
2024-01-12,27356.027968605667,24027.982310372146,30746.647754460246
2024-01-13,22299.50508352217,18710.80283394516,25621.017955221385
2024-01-14,17342.028055265026,13755.99809451648,20836.140719900886
2024-01-15,25507.89595173067,22094.055155998412,29066.928131876106
2024-01-16,26445.182736695806,23097.476516585288,29864.80173809106
2024-01-17,26181.027807502196,22741.79318169986,29407.471154725114
2024-01-18,26441.65960452742,23191.74105075042,29930.862616130256
2024-01-19,27496.436303866034,24098.01947080789,30932.912521612066
2024-01-20,22439.913419061377,18874.726882530616,25718.814463263636
2024-01-21,17482.43639109186,14016.678377993934,21057.935568833134
2024-01-22,25648.304287852912,21987.751782380514,28979.60080752481
2024-01-23,26585.59107309674,23104.52298075231,30064.691304224172
2024-01-24,26321.436144196967,22497.867520185762,29779.37971297653
2024-01-25,26582.06794121464,23179.139424382603,30418.672659613134
2024-01-26,27636.84464055361,24029.811184676844,31305.278763824757
2024-01-27,22580.321755749366,19222.57491872461,25884.118722475465
2024-01-28,17622.844727788237,14201.871284747114,21270.82481514514
2024-01-29,25788.712624522173,22188.827615767073,29201.154599449666
2024-01-30,26725.99940978487,23226.051852857297,30269.121820820423
2024-01-31,26461.844480885982,22978.996766801607,30110.412568357708
2024-02-01,26722.47627791528,23538.88945808835,30317.13016193013
2024-02-02,27777.25297724119,24458.986364101907,31328.04510056145
2024-02-03,22720.730093774113,19376.584298397738,26506.767601657684
2024-02-04,17763.253067159134,14265.514366652738,21245.311769024345
2024-02-05,25929.120965250208,22581.156006576373,29369.64938992678
2024-02-06,26866.40775185214,23201.20538828449,30380.419876981454
2024-02-07,26602.252824294163,23001.122085428673,30208.055305692327
2024-02-08,26862.8846226655,23589.29915834919,30321.054236657517
2024-02-09,27917.661323346983,24411.845265000542,31457.470047076033
2024-02-10,22861.138439861865,19365.845201859527,26210.627876689472
2024-02-11,17903.66141325837,14357.962051429844,21498.41214773323
2024-02-12,26069.529311353774,22448.626070674934,29558.201372890067
2024-02-13,27006.816097950905,23425.574203192402,30333.324969621066
2024-02-14,26742.661170396957,23083.27170231973,30245.862282723705
2024-02-15,27003.292968768274,23523.432649100192,30478.914870376688
2024-02-16,28058.069669450164,24701.94609448802,31590.423749949598
2024-02-17,23001.546785956692,19422.260019600802,26436.435042593577
2024-02-18,18044.069759357604,14611.814160438686,21504.462917907054
2024-02-19,26209.93765491417,22646.705850158327,29604.224092668228
