ds,yhat,yhat_lower,yhat_upper
2024-01-01,49591.63414455412,40725.6819530874,58065.230588711005
2024-01-02,51908.76597421075,43161.56059156693,60234.96040569004
2024-01-03,50778.64874784979,41875.755737243686,58947.871681006254
2024-01-04,52284.26301700981,43371.86881071534,60564.957360035674
2024-01-05,53771.039702854476,45313.844448163625,61924.028782305926
2024-01-06,37180.07723204148,28680.97885204944,45276.25712329104
2024-01-07,26083.490317793752,18078.142963352453,35421.27038167195
2024-01-08,49632.09164691689,41772.08822505206,58365.547686745274
2024-01-09,51949.223476635256,43148.00590518024,60029.106090792746
2024-01-10,50819.106250253055,42899.33937058318,59298.95719553898
2024-01-11,52324.72051942491,43834.714593549084,60442.343703233884
2024-01-12,53811.49720528865,44653.28409967932,61889.77393751554
2024-01-13,37220.53473453646,28889.626185256555,45337.69099367861
2024-01-14,26123.94782023419,17714.2382312307,34513.89530824169
2024-01-15,49672.54914935632,40993.44431988516,58602.60834475486
2024-01-16,51989.68097905975,43183.80639618755,60345.746737504705
2024-01-17,50859.563752688475,42501.20059829573,59926.80445095727
2024-01-18,52365.17802226631,43762.85997332336,60843.08538253011
2024-01-19,53851.95470853332,45108.502035446945,62230.61358717139
2024-01-20,37260.99223816689,28591.83439269303,46179.001659582034
2024-01-21,26164.405324273226,17871.102999268078,34315.44653419442
2024-01-22,49713.00665382197,41077.528878444435,58841.82484437901
2024-01-23,52030.1384839078,43366.26681480202,59908.49985930103
2024-01-24,50900.02125795607,41715.63908624069,59358.07759775908
2024-01-25,52405.63552751812,43624.752797083296,61676.42726907498
2024-01-26,53892.412213782365,45323.73254229318,62378.873565884714
2024-01-27,37301.4497434183,28755.825892190256,45745.67684271715
2024-01-28,26204.862829550377,17939.905798760665,34896.86028797361
2024-01-29,49753.46415902145,40952.55076753021,58254.04555711605
2024-01-30,52070.5959891611,43257.29593820315,60383.15268595901
2024-01-31,50940.47876321213,42756.99045730033,59698.42402787202
2024-02-01,52446.09303279861,43629.66518256493,60727.48978393695
2024-02-02,53932.869719031405,45823.54328551603,62812.25853163778
2024-02-03,37341.90724835531,29502.966364719316,45980.41469721568
2024-02-04,26245.320334187327,17448.354307356,34619.19408861021
2024-02-05,49793.92166340757,40536.96180656593,58396.43918728214
2024-02-06,52111.053493238025,43894.6807450103,60851.81689238728
2024-02-07,50980.936266987825,42364.77569536979,59485.99748010764
2024-02-08,52486.55053627399,43369.808635052,61273.23496020667
2024-02-09,53973.327222250875,46224.13063937068,62979.92768430732
2024-02-10,37382.36475151587,28701.76970385611,45756.44162062251
2024-02-11,26285.777837380767,16926.04130901104,34424.08203418604
2024-02-12,49834.37916661301,41335.14267078982,57778.47594217498
2024-02-13,52151.51099642671,43121.30598012459,60579.511388371524
2024-02-14,51021.39377018744,42420.10989385206,60145.33178950243
2024-02-15,52527.00803947433,43720.124907190475,61445.16782851613
2024-02-16,54013.78472544925,45557.14215150565,62322.12954334272
2024-02-17,37422.82225469475,28527.37909090129,46364.77284423156
2024-02-18,26326.235340574207,17658.24803791872,35182.55112709867
2024-02-19,49874.83666903625,40988.014855533795,58243.72961225612
2024-02-20,52191.9684980715,43812.62827475573,60691.703774993606
2024-02-21,51061.85127105135,41879.71942328204,59525.521961418286
2024-02-22,52567.465539539364,43847.073718983345,61056.02346563426
2024-02-23,54054.24222471109,45176.369341397556,62595.480689130505
2024-02-24,37463.27975320226,28903.803201949384,45755.63196664523
2024-02-25,26366.69283828082,18269.667519240695,35146.299029482325
2024-02-26,49915.294166789936,41415.297229036485,58054.66692443709
2024-02-27,52232.42599580234,44395.95380492269,60782.10865954306
2024-02-28,51102.30876878041,42717.57262632655,59774.69580254235
2024-02-29,52607.923037289765,43340.12030546349,61048.096024637
2024-03-01,54094.69972245952,45559.79981862568,62241.15490149343
2024-03-02,37503.73725101148,29236.40354795111,46107.13540983981
