ds,yhat,yhat_lower,yhat_upper
2024-01-01,10362.614230780224,1603.0156440412507,18626.753267281227
2024-01-02,13385.975283050544,4822.641926423235,22201.51511828438
2024-01-03,13232.097257051053,4960.327328026906,22352.70992046021
2024-01-04,13446.059476620163,4602.465661335519,22384.197904484932
2024-01-05,14824.92744612417,6036.3060597467575,22796.410170285024
2024-01-06,12100.764310351748,3708.518611628536,20587.860213866443
2024-01-07,9271.561919127545,812.4047124326886,18271.17285905825
2024-01-08,10663.992946804814,1829.4626807516586,19663.80846944169
2024-01-09,13687.353999087078,4602.424540055712,23194.835285467787
2024-01-10,13533.475973087812,4629.902561912421,22229.62078261393
2024-01-11,13747.43819265782,5465.1708076111645,22161.906439440623
2024-01-12,15126.306162159364,5966.402373882336,23996.509556375644
2024-01-13,12402.143026401141,3554.933226827913,20910.398148692548
2024-01-14,9572.940635162944,252.76997676955781,17969.238691426985
2024-01-15,10965.371662843407,1472.8137015902125,18824.61056245343
2024-01-16,13988.732715123611,4927.071162855594,22659.67755527776
2024-01-17,13834.854689122225,5259.321611142642,22520.145743297486
2024-01-18,14048.816908670105,5316.509130950439,22369.155768407963
2024-01-19,15427.684878145796,6568.236618042855,24144.35587258786
2024-01-20,12703.521742360817,3751.0046565896446,20543.07108113669
2024-01-21,9874.319351099995,716.3600981619483,18145.298159863887
2024-01-22,11266.750378760093,2723.391475818108,20067.812217612474
2024-01-23,14290.111431014977,6344.034245635169,23141.020128319327
2024-01-24,14136.233404990107,5399.395507695931,22861.538976954318
2024-01-25,14350.195624537093,5823.787953864935,22969.28078697784
2024-01-26,15729.063594010935,6993.567039795292,24305.735524207656
2024-01-27,13004.900458222966,4763.819259789674,21777.69133359029
2024-01-28,10175.698066964722,1502.1283330410529,18928.427232621376
2024-01-29,11568.12909461401,3139.509802159336,20049.845049598705
2024-01-30,14591.490146881963,5601.609608558623,23717.621744676828
2024-01-31,14437.612120855016,5077.436578929516,23212.370082056394
2024-02-01,14651.5743403954,5932.719586710256,23716.572903909797
2024-02-02,16030.442309876073,6685.074929892135,24677.812740558118
2024-02-03,13306.279174273777,3727.8033371503443,22000.249404990038
2024-02-04,10477.0767832104,1755.1794549221875,18909.67208780881
2024-02-05,11869.507811046722,2722.9514793449484,20462.680578446423
2024-02-06,14892.868863502012,6256.447696031847,23215.756173081074
2024-02-07,14738.990837662664,5665.776615095638,23686.23317632652
2024-02-08,14952.953057393666,6102.298381671713,23143.284560796426
2024-02-09,16331.821027062066,7661.654676556667,24849.75342806356
2024-02-10,13607.657891455869,5402.166042933337,22485.051584374596
2024-02-11,10778.455500394544,2062.071900282435,19241.926296305755
2024-02-12,12170.88652823532,4053.4510130454146,21324.328847692148
2024-02-13,15194.2475806877,6945.665961216929,23601.76731840144
2024-02-14,15040.369554846233,6586.153566718667,24180.74960307788
2024-02-15,15254.331774579488,6979.114278625927,23857.42905776854
2024-02-16,16633.19974424642,8766.796361680324,25507.488819948227
2024-02-17,13909.036608637847,5239.825355450286,23148.29037613279
2024-02-18,11079.83421757869,2410.577206920407,19699.826763829995
2024-02-19,12472.26524358465,3593.650580338919,21008.515675359915
2024-02-20,15495.626294193116,6398.150011701495,24484.796258369002
2024-02-21,15341.74826651709,7193.3789732924515,24288.383670794206
2024-02-22,15555.710484416026,6598.027845007394,23834.47243877775
2024-02-23,16934.57845224415,8098.273368063582,25249.51648664099
2024-02-24,14210.415314794409,5906.070909456558,22453.37484514084
2024-02-25,11381.212921904116,2654.5697054346815,20245.796200542976
2024-02-26,12773.643947909413,4091.506291375589,20703.169808167728
2024-02-27,15797.004998516944,8368.534993793504,24593.60745955414
2024-02-28,15643.12697084299,7313.645626594014,23754.802347559536
2024-02-29,15857.08918873886,7323.267548300469,24501.973362906017
2024-03-01,17235.957156565517,8731.897811907302,26216.499163793986
2024-03-02,14511.794019129975,5800.889230056692,23335.617177935324
2024-03-03,11682.591626225276,3209.6170340894623,20351.287864176804
2024-03-04,13075.022652233325,4989.50716978626,21275.319062699356
2024-03-05,16098.383702838522,7285.110002267396,24885.88447028786
2024-03-06,15944.413699760042,6697.996823766696,24675.197104641094
2024-03-07,16158.283942244243,8084.2857431688835,25492.53731158975
2024-03-08,17537.059934669865,8620.364996660914,25447.529554271947
2024-03-09,14812.804821825575,5875.802554276944,23461.30680920639
2024-03-10,11983.510453517461,3263.4793367639754,20257.829961545813
2024-03-11,13375.849504122829,4462.218212412845,22237.280686829145
2024-03-12,16399.118579321213,7524.040675536094,25176.27660392722
2024-03-13,16245.148576239488,7134.099804215141,24742.74003473994
2024-03-14,16459.01881872595,7875.288927945937,25001.635271260715
2024-03-15,17837.794811150103,9633.29000507734,26794.600157655244
2024-03-16,15113.539698303315,6426.186869190891,23773.223739734567
2024-03-17,12284.245329997077,3167.402620173525,20891.639816645697
2024-03-18,13676.584380592454,5573.353266088719,22669.95007309158
2024-03-19,16699.853455802782,7984.789601440015,25314.967097128032
2024-03-20,16545.883452718932,7028.796243466984,25388.52876700621
2024-03-21,16759.753695208638,7597.120743576161,25688.577481403594
2024-03-22,18132.41727981222,9528.324795874345,26841.581063678237
2024-03-23,15402.049759160407,7344.539926432629,23533.97083798863
2024-03-24,12566.642983021333,3106.6543914266217,21392.472874069215
2024-03-25,13952.869625801184,5217.960196681634,22304.154593627645
2024-03-26,16970.026293191848,8370.004444192411,25250.331772034308
2024-03-27,16809.943882287203,8591.238478473873,25961.497584545432
2024-03-28,17017.70171695827,8402.503541870998,26454.851393085748
2024-03-29,18390.365301563015,10078.985931448811,27012.580003745275
2024-03-30,15659.997780907075,6981.105993429362,25198.42075838699
2024-03-31,12824.591004770688,3846.495847036617,21808.32050396795
2024-04-01,14210.817647552883,5682.3974860666185,22611.2916105652
2024-04-02,17227.974314936084,8556.845955379891,25912.306241986935
2024-04-03,17067.89190403854,8250.536061099452,25950.336166364898
2024-04-04,17275.64973870989,8730.579912248177,25777.052325462788
2024-04-05,18648.31332331278,10606.968610062539,27165.710880185372
2024-04-06,15917.945802653967,6896.933962458176,24586.626946961947
2024-04-07,13073.069136280592,4832.609938086372,21778.935149326884
2024-04-08,14449.825888828198,5824.266571280705,22821.202991930815
2024-04-09,17457.512665969443,8964.146340880032,26197.335328820907
2024-04-10,17287.960364833085,8532.052127548806,25630.96114054563
2024-04-11,17486.248309266284,9068.996318925103,26030.190784408824
2024-04-12,18849.44200362829,9762.288227673433,27685.363138718232
2024-04-13,16109.604592727443,6978.312483587203,24799.879014846312
2024-04-14,13264.727926360907,4707.190862810093,21870.41106169483
2024-04-15,14641.484678906592,6508.400772936868,23441.929492857078
2024-04-16,17649.171456046628,8732.480436013177,25969.284710694472
2024-04-17,17479.619154908145,8636.82109386939,25639.589929239784
2024-04-18,17677.907099343607,9113.712990312306,25428.610067337206
2024-04-19,19041.100793705777,9795.253959555555,27677.70887906477
2024-04-20,16301.263382800918,8252.934607445213,25234.459327746918
2024-04-21,13456.386716436142,4538.019968712543,21906.57670101525
2024-04-22,14833.143468984985,6198.187219929309,23873.955353471836
2024-04-23,17830.039730487486,9262.462501211034,26451.469324595928
2024-04-24,17649.696913709486,8737.59911702968,27168.09294750652
2024-04-25,17837.194342503863,9097.184523071255,26675.862753754936
2024-04-26,19189.597521231826,10282.759156346698,28126.18190410671
2024-04-27,16438.96959468714,8167.826501401889,25199.4141920501
2024-04-28,13583.30241268749,4704.09892785864,22054.885091011867
2024-04-29,14949.268649588928,5835.994805353817,23579.01671388237
2024-04-30,17946.16491109739,9259.12127392126,26622.486501895957
2024-05-01,17765.822094323572,9290.56478477869,26803.45748817332
2024-05-02,17953.319523118036,9279.286121133087,27063.161519902507
2024-05-03,19305.722701846753,10906.860779520546,27740.308180559034
2024-05-04,16555.094775298574,8746.02481563324,24955.664187224786
2024-05-05,13699.427593300981,5042.647910772583,21851.69052427578
2024-05-06,15065.393830205168,6393.047577420298,23777.31027096825
2024-05-07,18062.290091713545,9217.841076077262,26439.221188927226
2024-05-08,17881.947274937655,9430.527345753744,26388.40440849539
2024-05-09,18059.835475372645,9860.483552147673,27263.35940904864
2024-05-10,19402.62942573734,10698.882788664345,27714.344828628953
2024-05-11,16642.392270841814,8212.976758321647,25775.984683685925
2024-05-12,13777.115860468253,4792.245053666483,22407.181309181364
2024-05-13,15133.472869015346,6328.299631381556,23582.686775628397
