ds,yhat,yhat_lower,yhat_upper
2024-01-01,41581.372213751776,34773.16877697634,47729.71746956285
2024-01-02,43129.368621531255,37393.32158210207,49822.724616638014
2024-01-03,42718.278206300296,36352.85469322189,48815.73451483425
2024-01-04,43508.52006611997,37138.64793461218,49602.39603719812
2024-01-05,44504.85125631831,38084.53961460708,50398.98195838266
2024-01-06,33323.338859290925,26788.365260255534,39665.61811394135
2024-01-07,24772.24300255121,18371.010124532455,30588.68536871269
2024-01-08,41788.65635398602,35531.67026687191,47940.40039275648
2024-01-09,43336.65276181026,37307.25825154604,49403.30572374633
2024-01-10,42925.56234656147,36869.81637360566,49142.54367364874
2024-01-11,43715.80420639023,36899.10118859458,50092.5690137798
2024-01-12,44712.13539660503,38429.35016189614,50846.4105498246
2024-01-13,33530.622999619576,27734.270451748813,40435.30808061839
2024-01-14,24979.527142840845,18521.016517717555,31177.546296077016
2024-01-15,41995.940494275,35989.88874610873,48262.1625223205
2024-01-16,43543.93690208926,36994.160349232574,49644.90117069724
2024-01-17,43132.84648684889,36821.64767665569,49106.49234665773
2024-01-18,43923.08834669812,37699.606628293586,50273.97464404229
2024-01-19,44919.419536933514,39015.330375724654,51338.607002205594
2024-01-20,33737.90713995394,27459.2573641109,39672.7231791475
2024-01-21,25186.81128319773,18924.49916116782,31772.34349208979
2024-01-22,42203.22463466836,36178.46018042075,48517.96514995707
2024-01-23,43751.22104248662,37468.551318066246,50398.759203387955
2024-01-24,43340.130627278166,37208.092269008106,49647.76688676076
2024-01-25,44130.37248711453,38079.351351803285,50665.93140769406
2024-01-26,45126.70367734934,39361.430358238686,51036.13051840854
2024-01-27,33945.191280371815,27416.755281198708,40380.26514266159
2024-01-28,25394.09542363351,19493.31002452183,31891.813239453408
2024-01-29,42410.50877504875,36118.71392691577,48437.151123821954
2024-01-30,43958.50518290486,37561.482827862674,49894.640385495666
2024-01-31,43547.4147676986,36973.67340644522,49795.627521908
2024-02-01,44337.65662755741,37696.1814936833,50919.619105281934
2024-02-02,45333.98781776516,38769.7481984914,51698.37345640179
2024-02-03,34152.475420191884,27814.54166927343,40914.72388306809
2024-02-04,25601.379562868875,19471.85492603337,32229.538109284917
2024-02-05,42617.79291373169,35913.84149805149,48956.688491926
2024-02-06,44165.789320994685,37981.63288177926,50683.02493426174
2024-02-07,43754.698905199875,37413.32418685644,49924.22986240371
2024-02-08,44544.940764470826,38135.74784402834,50685.908318284324
2024-02-09,45541.271954123484,39280.914231914394,52157.882416812405
2024-02-10,34359.75955650896,28415.495432186643,40878.10959150721
2024-02-11,25808.663699209697,19870.598849327143,32216.366029709763
2024-02-12,42825.07705008067,36337.987428697685,49047.012698673345
2024-02-13,44373.073457333005,38560.116258412694,50363.499954818224
