ds,yhat,yhat_lower,yhat_upper
2024-01-01,33068.59352437655,21229.987880005767,46010.66091751116
2024-01-02,36049.73376170666,24301.30758304062,47424.398660843806
2024-01-03,35917.77652861588,23543.736824602463,48290.94081085809
2024-01-04,35747.403633068425,22352.35762821521,47363.2971335424
2024-01-05,38172.37554625472,25085.197135460763,51430.144821178525
2024-01-06,14444.79371991686,2027.4222358634681,26746.0791709089
2024-01-07,12197.631359325333,340.7321919704521,24290.651545154436
2024-01-08,33134.729892066316,20945.27700763651,45163.7136313386
2024-01-09,36115.87012944615,24086.086122756282,48736.25704014031
2024-01-10,35983.912896365604,24376.576974985546,48150.324520232636
2024-01-11,35813.54000081499,23034.766373380837,48790.225211819496
2024-01-12,38238.51191399961,26069.357893365155,51298.249527679756
2024-01-13,14510.930087727349,2957.8850778219835,25802.232395038453
2024-01-14,12263.767727096216,98.92058335931442,24593.22721348303
2024-01-15,33200.86625982916,21100.91105198774,46028.986063402604
2024-01-16,36182.00649718563,23550.002328044793,49414.37833838067
2024-01-17,36050.04926410742,24387.22832142875,47214.19699654598
2024-01-18,35879.676368636974,22913.696137063656,48316.596940596886
2024-01-19,38304.648281884925,27042.68228972138,50913.68576880552
2024-01-20,14577.066455674183,1821.4155925503565,25826.136541922628
2024-01-21,12329.904095106693,-104.29406842341226,23775.647929627667
2024-01-22,33267.00262794303,21680.84812797235,45517.65725030902
2024-01-23,36248.142865358685,23978.855044408352,48692.20922470313
2024-01-24,36116.18563234763,22419.20305033315,47396.41927716598
2024-01-25,35945.81273687497,24178.27023239383,48685.71638688178
2024-01-26,38370.78465010789,26269.733116780662,50839.05539490124
2024-01-27,14643.20282390184,2017.9811111153235,27194.98313949048
2024-01-28,12396.040463369005,399.3816934625824,25535.843117216624
2024-01-29,33333.138996124224,20717.244316756547,45188.478206557345
2024-01-30,36314.27923360194,23937.296142686308,49086.455970314724
2024-01-31,36182.32200058483,24240.420106625206,48151.142503387506
2024-02-01,36011.94910510012,22926.207444311436,48395.18511533614
2024-02-02,38436.92101833086,25989.791429778044,50550.4341895924
2024-02-03,14709.339191810639,2551.936064607581,26774.274226795842
2024-02-04,12462.176830958135,825.943079629692,24845.748850448283
2024-02-05,33399.27536346023,21183.69525713869,46207.65722776519
2024-02-06,36380.41560063285,24075.10978377787,48184.954318301694
2024-02-07,36248.45836732203,24841.71948262068,48339.93337221297
2024-02-08,36078.0854715381,23259.766262890043,48848.41652798417
2024-02-09,38503.05738451352,25412.595981878512,49797.30149643499
2024-02-10,14775.475557919446,2948.8672785637777,28025.697475500318
2024-02-11,12528.313197099833,-396.14950415965404,24564.12019348592
2024-02-12,33465.41172963279,21089.4427898935,45598.507415600805
2024-02-13,36446.55196676376,24321.368584278287,48967.80413649421
2024-02-14,36314.59473345528,24565.85841652589,48220.403420955074
2024-02-15,36144.22183768131,24606.818408248182,48683.77443765607
2024-02-16,38569.19375064984,26634.426579625477,49950.22596507795
2024-02-17,14841.611924047096,1786.5026865693642,27424.92135902818
2024-02-18,12594.449563241538,-248.45513457942553,25128.296212796187
2024-02-19,33531.54809676557,20152.94452973909,46274.6148416853
2024-02-20,36512.68833490546,24736.078169417913,50668.28851548412
2024-02-21,36380.731102578895,23653.759352598867,49016.70698350197
2024-02-22,36210.35820780645,24294.658024634977,48645.755727058146
2024-02-23,38635.33012174339,26286.62928815695,51436.19177189745
2024-02-24,14907.748296155474,1644.1812378739057,26577.984831191705
2024-02-25,12660.585936308176,-49.168175171783034,25266.126157206392
2024-02-26,33597.684469897365,20922.54274209852,45397.379053053985
2024-02-27,36578.82470802622,24571.785658851866,48389.21711480751
2024-02-28,36446.86747570056,24231.237992108705,48607.7373045323
2024-02-29,36276.49458092719,23887.80989828508,48832.570923791645
2024-03-01,38701.46649485723,26007.185541114053,50765.88664773837
2024-03-02,14973.88466933491,3739.700747236662,27237.48106880077
2024-03-03,12726.722309427398,157.815305264782,24424.160231170605
2024-03-04,33663.82084301087,20875.829686286914,45924.47460522713
2024-03-05,36644.96108112232,23997.378898698305,47417.66227999702
2024-03-06,36513.00385226172,25342.420385428853,48713.7302949131
2024-03-07,36342.63096090438,23904.456548647584,48235.40320180746
2024-03-08,38767.60287828519,27375.371066614818,51328.54434984946
2024-03-09,15040.021056191204,2815.2715458284015,27125.63792951919
2024-03-10,12792.858699779688,514.6497400796907,25801.31459890303
2024-03-11,33729.95723679763,21034.54703615205,47112.08257629038
2024-03-12,36711.09747834053,23388.734983624803,48811.10354680458
2024-03-13,36579.14024946994,25217.170687610564,48357.417224113764
2024-03-14,36408.76735812257,24130.311275189546,48576.63396793969
2024-03-15,38833.73927549649,26024.07988795266,51909.76510449135
2024-03-16,15106.157453412674,2566.122832685397,26988.555609947158
2024-03-17,12858.995096975748,881.8419492097705,25631.335935050844
2024-03-18,33796.09363395379,21501.40000636083,46010.77265059866
2024-03-19,36777.233875546415,24452.308232401705,49288.98843181113
2024-03-20,36645.276646678154,25035.41723074501,48758.52019363172
2024-03-21,36474.90375533553,23241.56313763747,48845.04800931119
2024-03-22,38899.87567540117,26382.802277230756,51754.14657884966
2024-03-23,15172.293856084207,2705.165040170005,27062.150106511748
2024-03-24,12925.131502333272,1439.0889913068738,25605.75402172108
2024-03-25,33862.23004201003,21732.135057676176,46192.720238682494
2024-03-26,36843.37028629837,25436.699412304475,48598.89871784529
2024-03-27,36711.41306013082,24818.23218507767,49106.59366912651
2024-03-28,36541.04017150616,24669.597066334274,48810.905600234204
2024-03-29,38966.01209160603,26698.6319119467,51751.6001738168
2024-03-30,15238.430272252917,3957.0254745202406,27832.557640346662
2024-03-31,12991.267918517784,647.5913320404202,25574.600937861083
2024-04-01,33928.366458168224,21690.338212415263,46213.03764670247
2024-04-02,36909.50670245637,24682.435961100622,48798.409438844195
2024-04-03,36777.54947628927,24846.292304372553,49455.262670999095
2024-04-04,36607.176587666356,24596.872664312883,48308.83922662927
2024-04-05,39032.148507751204,27094.172265373712,50675.500193803586
2024-04-06,15304.566688383911,4159.841730317184,28132.186558555473
2024-04-07,13057.404337751203,921.9503436483582,24713.799870233037
2024-04-08,33994.50288050205,22064.77080080463,46763.78439615127
2024-04-09,36975.64312781806,24086.350065082883,48828.68676425731
2024-04-10,36843.68590473073,24731.716729220392,48683.37537199011
2024-04-11,36673.31301917418,24713.204614694016,49147.18589566486
2024-04-12,39098.28494231353,26954.919528726226,51513.96531631986
2024-04-13,15370.703126020462,2724.375217876692,26738.31721064563
2024-04-14,13123.540775369842,359.92620839784973,25473.401944890946
2024-04-15,34060.63931814694,22057.47503318489,46519.83295344392
2024-04-16,37041.779565457866,25828.02064974538,48562.66052719388
2024-04-17,36909.82234237288,24612.611692808077,49306.24767150266
2024-04-18,36739.44945682629,23688.07367925096,49404.04929379293
2024-04-19,39164.42138000509,26914.191293276548,51444.92088894149
2024-04-20,15436.839563657013,3650.436499428062,27177.414563701997
2024-04-21,13189.677212999832,1375.3408104770165,25342.17653569942
2024-04-22,34126.77575579183,22025.558195501526,45691.70513635482
2024-04-23,37107.91600231449,25120.632207660794,49732.79747315114
2024-04-24,36975.95877842792,24648.249239267672,49058.494403647186
2024-04-25,36805.58589205809,24243.18717646896,49159.83679453267
2024-04-26,39230.55781446821,27321.62529039473,51801.46537747855
2024-04-27,15502.975997315936,3040.9666046782318,27882.62780779577
2024-04-28,13255.813645897884,2017.101458635445,25960.96050402482
