ds,yhat,yhat_lower,yhat_upper
2024-01-01,50939.424086389205,42261.4351135828,59206.913764097386
2024-01-02,53530.40979015814,45360.384725051306,62290.63480504736
2024-01-03,53224.836270648,45347.89709744077,61939.74035339446
2024-01-04,54231.93337101274,46677.91631632422,61789.081721949464
2024-01-05,56560.08123120387,48637.748531306475,64073.46694620743
2024-01-06,41435.99962781243,32599.15278969959,49768.58102826505
2024-01-07,30411.83187190207,21367.702665151613,38035.83359110755
2024-01-08,51021.31467603193,42877.26516620081,59516.00470452931
2024-01-09,53612.300379857144,45613.86554912495,61916.524886536914
2024-01-10,53306.72686032823,44805.39907313236,61800.9131367923
2024-01-11,54313.8239607031,46136.50326847288,62492.30114332754
2024-01-12,56641.97182091228,48713.65717083875,65546.29582950959
2024-01-13,41517.89021757707,33046.46007405583,49828.71815130493
2024-01-14,30493.722461615227,21925.588910934952,39352.73598086537
2024-01-15,51103.2052657445,43109.17466950443,59854.51481499622
2024-01-16,53694.19096955615,44993.552843433376,61404.82118204612
2024-01-17,53388.61745003629,44708.74325537111,61542.7986568045
2024-01-18,54395.71454988727,45884.63327178496,62698.63811871901
2024-01-19,56723.862409570254,48880.456248985975,64981.86818399274
2024-01-20,41599.780805691014,33407.671025524025,49939.93746629533
2024-01-21,30575.613049204545,21953.401453003436,38891.06660789891
2024-01-22,51185.09585283097,43081.592286594445,59536.41333542207
2024-01-23,53776.08155609777,45596.65148411593,61796.37215626767
2024-01-24,53470.50803606432,45079.21679631161,62078.18984626931
2024-01-25,54477.60513590109,46688.52267181167,62737.01276430854
2024-01-26,56805.75299558176,48319.24804201058,65248.02842495448
2024-01-27,41681.67139170407,33456.16186037715,49515.457667401795
2024-01-28,30657.503635241155,22046.860784761204,39502.500236390195
2024-01-29,51266.98643879716,43111.440984236404,59395.38802937948
2024-01-30,53857.97214211418,45754.02580391876,62476.00121445297
2024-01-31,53552.39862208191,45014.76794602042,62625.95605748258
2024-02-01,54559.49572193975,45717.5113382201,63118.95179918418
2024-02-02,56887.643581593264,48407.76547403824,64625.48629495252
2024-02-03,41763.561973559634,33122.31995320289,49860.59575281684
2024-02-04,30739.394212958636,21912.850767616237,38902.89260885195
2024-02-05,51348.877012410674,42573.207244635174,59190.94988721772
2024-02-06,53939.86271157731,45260.491634723294,62111.386775225954
2024-02-07,53634.28918740036,45325.58197780529,62501.74921285753
2024-02-08,54641.38628311458,46408.23326360421,62749.96713743846
2024-02-09,56969.53413866186,48831.213268270745,65000.33643711588
2024-02-10,41845.45253057619,34210.90204459365,49737.598919455464
2024-02-11,30821.284770004942,22922.5101203962,39245.075952257874
2024-02-12,51430.7675694709,43412.41239950224,59968.58029800409
2024-02-13,54021.75326862095,45769.717023823505,62434.77017462778
2024-02-14,53716.17974445305,45502.73912692056,61733.99344513774
2024-02-15,54723.276840168604,45997.767392527785,63401.877624478795
2024-02-16,57051.4246957149,48974.12072777781,65716.93782692723
2024-02-17,41927.343087610425,33553.260501528806,50038.27188866178
