ds,yhat,yhat_lower,yhat_upper
2024-01-01,2772.0814464557357,2291.4060930509304,3240.1554443590126
2024-01-02,2866.450658452738,2392.7123524487733,3349.138849761351
2024-01-03,2820.8406818081617,2313.4925111995058,3329.023645924748
2024-01-04,2918.8771181255092,2378.5961119751614,3454.22778183178
2024-01-05,2942.3293510919157,2396.7245048277937,3431.4614972276436
2024-01-06,1997.437803329956,1470.0948915600288,2545.533002725285
2024-01-07,1546.6139529772572,1074.8725402947443,2055.433575701815
2024-01-08,2796.083346532258,2282.3600047595514,3288.964376493236
2024-01-09,2890.4525585323327,2370.726585960659,3361.9317893025736
2024-01-10,2844.8425818869046,2324.028402290937,3313.907909823729
2024-01-11,2942.879018204735,2422.345840265194,3433.3073692374805
2024-01-12,2966.3312511719396,2451.260890306888,3454.81314709046
2024-01-13,2021.4397034131707,1574.167495066917,2550.264034334753
2024-01-14,1570.615853057851,1072.4119712517384,2082.597160874811
2024-01-15,2820.085246612693,2312.716124099955,3329.41415163993
2024-01-16,2914.454458611927,2398.9634845404285,3441.7257102879003
2024-01-17,2868.844481967062,2350.1771045604087,3404.2759696140506
2024-01-18,2966.8809181956894,2459.207640566302,3461.077591972965
2024-01-19,2990.3331510734474,2515.833275191061,3487.0763653334393
2024-01-20,2045.4416032245574,1491.981757951088,2562.6921963017626
2024-01-21,1594.6177527801565,1128.0613543658628,2112.830694288625
2024-01-22,2844.0871462468394,2351.14318759825,3365.917867561989
2024-01-23,2938.4563581556868,2429.26710684362,3443.268810089729
2024-01-24,2892.8463814220945,2381.1463752022564,3377.7040077766314
2024-01-25,2990.882817650112,2497.581902336692,3486.4580628991735
2024-01-26,3014.3350505275957,2563.372286492051,3520.242377862221
2024-01-27,2069.443502678914,1566.718915769914,2597.673060922004
2024-01-28,1618.6196522359464,1127.3324071431641,2165.5005301428564
2024-01-29,2868.0890456985576,2377.397417071007,3370.162254104595
2024-01-30,2962.4582576101902,2455.673439255937,3457.36039655867
2024-01-31,2916.8482808767412,2437.0703924981003,3419.0683042144897
2024-02-01,3014.8847171058055,2509.4644622197584,3493.000165397312
2024-02-02,3038.3369499817445,2532.0504955247243,3570.718947203195
2024-02-03,2093.4454020163184,1588.110424400365,2601.0278978108654
2024-02-04,1642.6215514567418,1138.3168679332218,2156.297282467052
2024-02-05,2892.0909448059774,2424.1942235285896,3384.287065728784
2024-02-06,2986.4601566009514,2514.421380761571,3484.9243905427584
2024-02-07,2940.8501797513504,2408.9674727245415,3420.8553996888472
2024-02-08,3038.886615864183,2498.4280754386473,3562.8680056655076
2024-02-09,3062.3388486265135,2541.1522942709803,3582.863848367466
2024-02-10,2117.447300657679,1609.7655344812094,2601.641314389305
2024-02-11,1666.6234500998514,1123.3587256723597,2176.2861979027125
2024-02-12,2916.0928434497464,2401.408704544657,3425.702654571199
2024-02-13,3010.4620552436895,2493.3066618562357,3508.5437693926056
2024-02-14,2964.8520783946524,2436.9445569027494,3459.9888649859076
2024-02-15,3062.8885145075405,2554.3484300695577,3588.0671563172705
2024-02-16,3086.3407472696817,2597.263069491705,3581.186973504761
2024-02-17,2141.449199299984,1660.3878529563497,2644.2715586229956
2024-02-18,1690.6253487429613,1173.6145780598051,2183.2055531537144
2024-02-19,2940.0947421527762,2420.332599252123,3436.772112948756
2024-02-20,3034.463954006549,2492.29303011136,3502.040965413492
2024-02-21,2988.8539772168747,2491.569164479342,3537.3398230726075
2024-02-22,3086.890413388471,2551.3957428672866,3591.1302587635446
2024-02-23,3110.342646208907,2571.272082648894,3599.128625902476
2024-02-24,2165.4510983001283,1692.3960802464892,2657.4524468415116
2024-02-25,1714.6272478011988,1232.847110991868,2220.878062094069
2024-02-26,2964.096641213836,2474.0227208651886,3494.4718879637317
2024-02-27,3058.4658530664806,2568.721361615463,3533.041017150944
2024-02-28,3012.855876276629,2524.6602709176545,3565.0701208909795
2024-02-29,3110.8923124493085,2624.9550143560646,3608.103307889017
2024-03-01,3134.3445452695555,2600.1422491898597,3643.749222495686
2024-03-02,2189.4529973639683,1677.4789162559723,2678.4938509867256
2024-03-03,1738.6291468617892,1192.329487898916,2246.2668827235284
2024-03-04,2988.0985402747056,2512.2719482942416,3486.49931733061
2024-03-05,3082.467752126987,2596.3938668272453,3566.014454459303
2024-03-06,3036.8577749705146,2562.352867200487,3523.3502543278905
2024-03-07,3134.8942107774933,2643.822913834112,3652.791979927122
2024-03-08,3158.3464432326878,2686.9353843872655,3659.4235744663115
2024-03-09,2213.4548949608825,1728.7212620481139,2770.241984309349
2024-03-10,1762.6310440956001,1273.505809009398,2300.406904451989
2024-03-11,3012.1004371428767,2512.786181986854,3552.416316424626
2024-03-12,3106.469648628548,2595.712300909402,3605.7663067496665
2024-03-13,3060.859671472927,2578.8505259446924,3573.0526617229257
2024-03-14,3158.8961072799607,2647.0125237660372,3655.317315825382
2024-03-15,3182.3483397349664,2709.3613214520615,3714.4639041858213
2024-03-16,2237.456791463241,1738.391135775326,2726.989367714246
2024-03-17,1786.6329405971908,1293.562213457218,2327.640082543481
2024-03-18,3036.1023336416533,2556.047600674109,3549.547047789953
2024-03-19,3130.471545130396,2653.832793540519,3632.0601635889916
2024-03-20,3084.8615679753384,2585.820269253534,3546.473198546797
2024-03-21,3182.8980037814404,2699.2372387251926,3682.143316569759
2024-03-22,3206.0944163971285,2693.3392193382188,3684.717510800682
2024-03-23,2260.9470482896786,1722.0579368036294,2751.771573124646
2024-03-24,1809.8673775829075,1303.4075929197218,2295.440299031732
2024-03-25,3059.080950788167,2554.3868341422535,3544.695862706747
2024-03-26,3153.1943424367378,2621.0976074840773,3667.7330971439246
2024-03-27,3107.3285454427796,2609.186612423187,3598.8522861214096
2024-03-28,3205.1091614115885,2689.480005025631,3658.8463427526276
2024-03-29,3228.3055740277005,2686.419452149113,3704.7473682437894
2024-03-30,2283.1582059187294,1798.218207621429,2778.090197402658
2024-03-31,1832.0785352124492,1266.2630244521715,2327.9187157840074
2024-04-01,3081.2921084173595,2548.7761610414977,3586.791567791766
2024-04-02,3175.4055000664075,2669.7645801319904,3654.410499898875
2024-04-03,3129.539703072271,2627.4913961965667,3598.495314833685
2024-04-04,3227.3203190397617,2743.6783241353605,3724.441304865886
2024-04-05,3250.5167316556,2758.177340348606,3764.179623793509
2024-04-06,2305.369363545893,1795.918165371465,2815.213158110011
2024-04-07,1853.331805128215,1354.5318062419647,2353.839574389443
2024-04-08,3101.587490620637,2646.94174764345,3563.0411558542105
2024-04-09,3194.742994555507,2675.7936856362076,3674.9043249136803
2024-04-10,3147.9193098473716,2650.8180432084455,3660.229600689839
2024-04-11,3244.7420381021975,2747.6139625355954,3745.100898131487
2024-04-12,3266.9805630046153,2760.859704093856,3832.0404074635635
2024-04-13,2320.8753071819683,1791.6269835200792,2808.478688447273
2024-04-14,1868.8377487633725,1388.6561155548634,2395.638645703976
2024-04-15,3117.0934342577975,2575.40536728819,3644.411074585949
2024-04-16,3210.248938192017,2712.61270311082,3736.235942316287
2024-04-17,3163.4252534844445,2670.511790700434,3675.0776033646243
2024-04-18,3260.247981739326,2761.348088177667,3766.5775436753393
2024-04-19,3282.4865066431557,2736.6726338334956,3765.309574010233
2024-04-20,2336.3812508180445,1789.2393974767826,2843.436602043885
2024-04-21,1884.3436923996242,1388.1137042380128,2380.188731286451
2024-04-22,3132.5993778949583,2634.084196950162,3647.1370051566837
2024-04-23,3224.5341109437763,2758.0503145539487,3724.6889964531
2024-04-24,3176.489655351886,2684.770179891609,3706.3069802070067
2024-04-25,3272.0916127203905,2771.7156932743906,3777.003617153135
2024-04-26,3293.109366742246,2794.7687937654955,3765.6104313680835
2024-04-27,2345.783340031809,1842.1625269573344,2842.0837899840385
2024-04-28,1892.5250107303611,1385.4687171771923,2407.158022670132
2024-04-29,3139.559925337351,2661.0198511202857,3627.2917814465577
2024-04-30,3231.4946583898923,2728.7360580843115,3736.432266965762
2024-05-01,3183.4502027970166,2704.3010439642585,3661.9613858386056
2024-05-02,3279.052160167271,2769.1558726064154,3803.9101359784013
2024-05-03,3300.0699141858067,2821.212022263378,3778.6356272895114
2024-05-04,2352.7438874757054,1837.2935981963162,2834.1676433793427
2024-05-05,1899.4855581760066,1404.649344278199,2408.2918327998264
2024-05-06,3146.520472783277,2688.813847649437,3644.077373050761
2024-05-07,3238.455205834879,2734.6731411167693,3702.0337542381135
2024-05-08,3190.4107502421475,2702.0240561851774,3678.9870830109026
2024-05-09,3284.9497885683527,2753.1756170341723,3775.982558304352
2024-05-10,3304.904623543862,2787.1540983120453,3819.4366008801817
2024-05-11,2356.515677793127,1826.405886237147,2833.8455996826924
2024-05-12,1902.1944294463538,1367.8598886076422,2382.336898366905
2024-05-13,3148.1664250104586,2629.0643877869547,3675.275511327018
2024-05-14,3239.0382390174927,2737.100779729119,3728.507679827347
2024-05-15,3189.9308643812124,2705.103035002414,3699.189588327899
2024-05-16,3284.4699027067704,2760.854851564532,3789.5754590360875
2024-05-17,3304.424737682794,2825.2412705616284,3758.0735551022753
2024-05-18,2356.0357919302505,1821.331627734951,2802.8092954282347
2024-05-19,1901.7145435852262,1379.3293921736372,2415.3544940872657
2024-05-20,3147.6865391496112,2666.8324144409125,3687.6702657754754
2024-05-21,3238.5583531557077,2696.318490922506,3776.776839731734
2024-05-22,3189.4509785199566,2686.0134940319726,3720.0938769328136
2024-05-23,3283.9900168449035,2726.99977143473,3780.041908653666
2024-05-24,3303.9448518195813,2854.2269643062855,3819.963714236889
2024-05-25,2354.8198991019312,1861.635852295525,2826.975242660671
2024-05-26,1899.7626437870858,1452.3808184588584,2395.5537234129483
2024-05-27,3144.998632383049,2604.6473430751967,3645.192465516954
2024-05-28,3235.134439424599,2741.78103080308,3746.036764293914
2024-05-29,3185.2910578223687,2658.867180959103,3685.531245951119
2024-05-30,3279.09408918004,2787.490534406685,3816.801413169111
2024-05-31,3298.312917187198,2797.3471296911166,3805.764918310352
2024-06-01,2349.18796446774,1818.482398951518,2819.459442698228
2024-06-02,1894.1307091546441,1371.1178842112647,2359.1447982702707
2024-06-03,3139.3666977508874,2663.383913113933,3637.476867611701
2024-06-04,3229.502504792073,2707.002032988169,3738.804671385118
2024-06-05,3179.659123188704,2690.41719281696,3690.956407610132
2024-06-06,3273.4621545478462,2751.204255322793,3741.047263245559
2024-06-07,3292.6809825564155,2799.8320022674457,3829.958603732862
2024-06-08,2343.5560298335486,1850.8775502670599,2846.9128129375576
2024-06-09,1888.498774522831,1380.525861757723,2413.5094944459593
2024-06-10,3133.7347629413975,2603.44612237049,3635.2473617580995
2024-06-11,3223.8705698039375,2741.3783863304116,3723.8900323423354
2024-06-12,3174.0271880235814,2622.9929498364245,3665.333426408301
2024-06-13,3267.8302192055817,2760.251694327056,3801.9618759927225
2024-06-14,3287.0490470364443,2783.994590219989,3786.3030952045815
2024-06-15,2337.9240941361404,1827.99891818062,2859.1464715984002
2024-06-16,1882.8668386471372,1375.6357517543956,2402.1134722804736
2024-06-17,3128.102827066802,2662.261339380768,3679.7699579765203
2024-06-18,3218.238633929342,2702.576637679624,3753.0421528253933
2024-06-19,3168.3952521480005,2731.8497419259897,3690.1649237696975
2024-06-20,3262.198283329777,2767.6348799311477,3752.4272303862876
2024-06-21,3281.417111160366,2780.965000263985,3793.3503659047215
2024-06-22,2332.2921582593253,1807.8039126055617,2873.24883308485
2024-06-23,1877.2349027703485,1374.4675920234463,2370.3341346592524
2024-06-24,3122.4708911922066,2615.3528593853807,3617.8757791849125
