ds,yhat,yhat_lower,yhat_upper
2024-01-01,20312.408535728628,16135.70188652655,24181.947198944683
2024-01-02,21134.4571113626,17318.55673502754,25190.977820202148
2024-01-03,20901.435004792158,16639.22280875305,25129.878232295447
2024-01-04,21216.442908065874,17409.908446448986,25307.547728659094
2024-01-05,21424.02822617531,17458.182919463696,25621.76954549026
2024-01-06,13731.493737525365,9518.095386206964,17640.168553339434
2024-01-07,9766.33123632828,5666.088808036991,13879.809654072413
2024-01-08,20414.34232235499,16522.593813451742,24301.763743262985
2024-01-09,21236.390898015445,17231.12797691272,25638.651415234377
2024-01-10,21003.368791436886,16722.0410430369,25109.807139316163
2024-01-11,21318.376694714694,17114.693943212013,25193.043845581793
2024-01-12,21525.962012832315,17378.814562350275,25592.398272736384
2024-01-13,13833.427524208191,9625.643740397205,17881.58713133749
2024-01-14,9868.265022989628,5931.128830711727,14060.959546509455
2024-01-15,20516.27610901487,16423.50167420605,24707.50889951925
2024-01-16,21338.324684668292,17292.83147165731,25602.594650041385
2024-01-17,21105.30257809442,16841.220859605906,25301.28357113663
2024-01-18,21420.310481855864,17289.858863454374,25387.782107795454
2024-01-19,21627.89580045607,17530.906209061504,25723.148903701258
2024-01-20,13935.361312307567,9965.068326738665,18231.960729774244
2024-01-21,9970.198811572878,6017.400613009936,14151.213804722498
2024-01-22,20618.209898091616,16872.62286029099,24779.453502250868
2024-01-23,21440.258474218812,17292.225241144464,25929.14375428888
2024-01-24,21207.236368133556,16989.154630123925,25426.919140608952
2024-01-25,21522.244271888292,17366.333135881974,25654.58649952559
2024-01-26,21729.8295904869,17821.469908790106,25831.249572991666
2024-01-27,14037.295102340428,9921.524869258286,18248.816579401344
2024-01-28,10072.13260161783,5694.0953274925705,14442.736240312295
2024-01-29,20720.14368810158,16629.540589704557,25063.843555434156
2024-01-30,21542.192264252706,17288.917615738937,25676.93162344642
2024-01-31,21309.170158168286,17459.20875109636,25361.940385406084
2024-02-01,21624.1780619346,17797.449774552908,25838.020230883474
2024-02-02,21831.763380517743,17955.813331832218,26022.81164393944
2024-02-03,14139.228890844064,10161.237067733642,18317.775126384036
2024-02-04,10174.066388596611,6119.359810179928,14349.75913230102
2024-02-05,20822.07747358152,16774.927353937663,24939.476778111
2024-02-06,21644.126048206832,17586.40957949114,25591.853661263885
2024-02-07,21411.103940600115,17759.643845525592,25772.775457796448
2024-02-08,21726.111842843537,17764.947276765863,25809.09784522451
2024-02-09,21933.697159926145,18016.9494648344,25827.435934615165
2024-02-10,14241.162670224217,10270.663702630605,18382.130308441563
2024-02-11,10276.000167991708,5927.586126372318,14229.16549143173
2024-02-12,20924.011252982735,16620.80402345056,25133.648208892133
2024-02-13,21746.059827599212,17674.480549167092,26259.805796839533
2024-02-14,21513.037719997177,17197.573783425552,25584.618029378216
2024-02-15,21828.045622240876,18090.431761651365,25650.932175947815
2024-02-16,22035.630939322687,17683.79937115498,26196.722256778165
2024-02-17,14343.096449613011,10291.983100783471,18530.50099725858
2024-02-18,10377.933947386797,6011.55741532407,14609.467284202741
2024-02-19,21025.922674593803,16825.04495220898,24969.485212101463
2024-02-20,21847.948891424665,17531.041516557536,26063.989323623144
2024-02-21,21614.904426034584,17273.298521499928,25932.510273553668
2024-02-22,21929.88997048301,17658.629112469785,26201.924666350973
2024-02-23,22137.452929766907,17864.931841754216,26174.76248406189
2024-02-24,14444.89608228248,10235.811815573417,18766.64192048882
2024-02-25,10479.711222256794,6259.237499163906,14338.85302766503
2024-02-26,21127.69994948734,16783.279584429747,25276.340861394758
2024-02-27,21949.72616630861,17920.13217102528,26364.26188638805
2024-02-28,21716.681700917372,17871.110892225886,25706.783287295162
2024-02-29,22031.66724537447,17775.257947655027,26282.761595021933
2024-03-01,22239.230204657575,18244.986670313385,26328.862034969377
2024-03-02,14546.673357198968,10637.279412408694,18649.85170456713
2024-03-03,10581.488497146014,6678.217460527132,14439.922562656375
2024-03-04,21229.477224379087,17446.01412698309,25285.883769497133
2024-03-05,22051.503441197678,18133.36939558544,26355.01501713699
2024-03-06,21816.44356240931,17974.15973345322,25878.85477060145
2024-03-07,22129.413693479968,17985.0508817483,26242.666970722952
2024-03-08,22334.961239379107,18227.670624869115,26290.52675985132
2024-03-09,14640.388978527426,9815.20817192542,18673.364927270723
