ds,yhat,yhat_lower,yhat_upper
2024-01-01,17218.08930689644,14874.907457331332,20156.18636016168
2024-01-02,17499.26627598257,14795.714934712427,20139.110475486603
2024-01-03,17241.476206941,14391.182080474784,19841.434221758325
2024-01-04,17608.98935528114,14931.67850840514,20426.79379481552
2024-01-05,18657.54695294048,15920.483274983506,21461.272710885085
2024-01-06,13610.344971078142,11065.363286527874,16242.265250799323
2024-01-07,9417.733336260237,6662.0791118451925,12174.468135843395
2024-01-08,17239.005872666097,14507.35028116215,19951.09647368593
2024-01-09,17520.182841772013,14945.056787003237,20403.30611342814
2024-01-10,17262.39277272212,14609.970197470358,19891.849775116236
2024-01-11,17629.90592106674,14953.305122964119,20199.0198057937
2024-01-12,18678.463518734567,15920.81506449465,21443.8246890074
2024-01-13,13631.261536891192,11027.252617609076,16381.515878422882
2024-01-14,9438.649902055193,6847.049765194782,12203.66498181459
2024-01-15,17259.922438460377,14538.75687180323,19896.36537888925
2024-01-16,17541.09940756145,14808.279705102808,20432.86833502009
2024-01-17,17283.3093385158,14655.001985829937,19971.142792701226
2024-01-18,17650.822486669087,15018.57754866928,20440.1960402539
2024-01-19,18699.38008414569,15943.262902086346,21445.355538982727
2024-01-20,13652.178102103195,10869.41044888824,16351.613447403688
2024-01-21,9459.566467075434,6720.955999344599,12283.581997104977
2024-01-22,17280.839003297246,14635.960477664588,19771.231241360987
2024-01-23,17562.015972198922,14871.717525634931,20313.10059738016
2024-01-24,17304.2259029673,14647.385212306819,20093.81496186843
2024-01-25,17671.739051114313,15009.786326479769,20430.360339721643
2024-01-26,18720.29664859084,15789.560266246226,21526.67335328561
2024-01-27,13673.094666549267,11018.304661281143,16464.306344156394
2024-01-28,9480.483031530017,6680.334568988131,12186.161138146292
2024-01-29,17301.755567726523,14607.876678813891,19956.33704863339
2024-01-30,17582.93253664491,14660.34587414973,20415.974526199014
2024-01-31,17325.14246741432,14558.531293352748,20185.66606474717
2024-02-01,17692.655615571482,15096.853730580011,20205.10069435261
2024-02-02,18741.213213035997,15927.044984286194,21294.22240381562
2024-02-03,13694.011230839322,11127.539907174527,16306.48180211026
2024-02-04,9501.399595671966,6776.456392831623,12360.757289553949
2024-02-05,17322.672131733216,14452.515582109621,20068.329835663615
2024-02-06,17603.849100498668,14956.127580768263,20467.22954597673
2024-02-07,17346.059031117216,14613.463018601617,19974.29071029646
2024-02-08,17713.57217912375,14826.88400401525,20270.39594095461
2024-02-09,18762.129776451286,16062.553725438873,21561.20046999382
2024-02-10,13714.927794236424,11047.0016438303,16297.848810742358
2024-02-11,9522.316159080368,6905.2298360829955,12189.895936121638
2024-02-12,17343.58869514607,14627.587449531533,20124.91017257765
2024-02-13,17624.76566390595,14873.632760590373,20153.904476295975
2024-02-14,17366.975594528736,14670.125732307684,20200.66450676353
2024-02-15,17734.48874253542,14970.155303221361,20167.025477947198
2024-02-16,18783.046339863216,16051.251269927783,21610.84239479609
2024-02-17,13735.844357640712,11082.061873920567,16459.284904996734
2024-02-18,9543.232722488774,6612.276268173895,12361.876290035536
2024-02-19,17364.505258593555,14705.168840352091,19942.180941608072
2024-02-20,17645.682227390396,14982.809336810491,20351.30314505898
2024-02-21,17387.892158048548,14820.096157753791,19973.789113992978
2024-02-22,17755.405306083252,15322.517990169225,20575.27758054546
2024-02-23,18803.962903438518,16104.33026281463,21438.6202971223
2024-02-24,13756.760921261593,11198.252075426628,16437.80239768777
2024-02-25,9564.14928613928,6841.356260477304,12397.341638374732
2024-02-26,17385.421822258366,14585.771487484184,19920.1640881174
2024-02-27,17666.598791047287,14954.28627001311,20549.802792202026
2024-02-28,17408.808721704674,14666.412206097819,20327.385910683923
2024-02-29,17776.321869747615,15107.414371139157,20644.630613149304
2024-03-01,18824.87946710314,16245.665584537688,21642.267898156675
2024-03-02,13777.677484945172,10814.974362701123,16463.34412561826
2024-03-03,9585.065849800372,6908.022493915437,12311.55755405572
2024-03-04,17406.33838592244,14783.328725881558,20115.16993080795
2024-03-05,17687.515354710336,15018.299846952967,20377.329714756816
2024-03-06,17429.72528492766,14819.697079746387,20045.52531004311
2024-03-07,17797.238432541875,15136.185167007014,20652.491245174657
2024-03-08,18845.796029473175,16043.88329823189,21856.522014411286
2024-03-09,13798.594046880266,11205.561407092835,16475.360851409092
2024-03-10,9605.982411322495,6908.058955650938,12455.533441972831
2024-03-11,17427.25494701521,14781.135142645346,20343.46802770708
2024-03-12,17708.431915366513,15103.728098906557,20325.090204962915
2024-03-13,17450.641845591148,14647.144816656462,20151.19688609568
2024-03-14,17818.154993205524,15048.135838090044,20412.870903606985
2024-03-15,18866.71259013708,16336.07119346256,21590.97962294143
2024-03-16,13819.510607543718,11136.666524635688,16589.4301473199
2024-03-17,9626.898971978477,7060.216654646605,12247.213466941761
2024-03-18,17448.17150765468,14619.423360114017,20056.462434104847
2024-03-19,17729.348476025767,15170.705414858712,20537.850698247137
2024-03-20,17471.55840625464,14617.878953410569,20214.143609222043
2024-03-21,17839.071553860933,15272.51153841329,20741.493039790388
2024-03-22,18887.039359468916,16107.173794807619,21580.88843414717
2024-03-23,13839.247585572379,11078.225103480732,16648.04347073978
2024-03-24,9646.046158672729,6988.530900290469,12474.100244582998
2024-03-25,17466.72890302475,14668.032338962434,20203.36605620684
2024-03-26,17747.31608006441,15019.147925469557,20428.867264514414
2024-03-27,17488.936218970815,14581.539853954488,20262.712072479997
2024-03-28,17855.85957526827,15163.294202145376,20789.283738892573
2024-03-29,18903.827380871633,16281.602297130703,21661.499868368865
2024-03-30,13856.03560697129,10991.223154277171,16622.262567426853
2024-03-31,9662.834180072961,6804.615799438692,12489.106488068483
2024-04-01,17483.516924423566,14461.155842672822,20093.25962202996
2024-04-02,17764.104101467172,15059.37082554676,20456.57032597356
2024-04-03,17505.724240374242,14751.097935685832,20383.210903810366
2024-04-04,17872.64759665914,15154.648308041857,20701.846504740286
2024-04-05,18920.615402262436,16328.56080732116,21425.245140463052
2024-04-06,13872.82362835582,11181.857586951668,16591.94389946923
2024-04-07,9679.622202554414,6831.736049518682,12183.893680101433
2024-04-08,17500.30494799508,14738.727909950268,20031.39214964577
2024-04-09,17780.892126118724,15051.069633324396,20552.589225089294
2024-04-10,17522.512266103095,14793.279378091194,19961.73598125003
2024-04-11,17889.43562347808,15288.294478209802,20669.337484801563
2024-04-12,18937.403430166923,16235.332107968678,21791.96923581793
2024-04-13,13889.611657346843,11143.768401452615,16581.515206212196
2024-04-14,9696.410231543356,6718.725551384443,12495.623649587951
