ds,yhat,yhat_lower,yhat_upper
2024-01-01,52883.89441009674,43651.2670308744,61674.49370874078
2024-01-02,55233.976139612554,46411.637818166004,64659.07619641907
2024-01-03,54807.63591510325,45732.903197443324,63854.65382694471
2024-01-04,55940.0426493573,47057.3464971384,64265.768336380606
2024-01-05,57386.444997845865,48297.25235074923,66233.14721091664
2024-01-06,42443.359374286585,33433.81115944571,51663.94887218992
2024-01-07,33370.178554738144,24070.07573320259,41517.41011451799
2024-01-08,53077.62084238051,44218.079912189474,61863.48263799992
2024-01-09,55427.70257194852,46413.39296476196,64353.02576851642
2024-01-10,55001.36234742379,46427.070899679864,63532.230263350764
2024-01-11,56133.76908168634,47085.41624323969,65054.54832665578
2024-01-12,57580.17143018958,48278.38050315949,66920.2477168497
2024-01-13,42637.08580668352,34473.84753914177,51534.21364850844
2024-01-14,33563.90498708868,24400.467212399806,42202.55567218267
2024-01-15,53271.3472747298,44086.94858052594,61817.06019505557
2024-01-16,55621.429004284495,46884.64449689911,64316.40525573917
2024-01-17,55195.08877976812,46300.5378118942,64561.65802318923
2024-01-18,56327.49551121384,46622.08989547208,65180.84409691172
2024-01-19,57773.89785689692,48483.33010681361,66506.5547223639
2024-01-20,42830.812230556716,34385.42049846863,51701.436724047955
2024-01-21,33757.631408145186,24918.257908467625,42938.29403601185
2024-01-22,53465.07369298821,44644.20916752461,62660.05097810433
2024-01-23,55815.155419706614,46559.580742862585,65594.81807967556
2024-01-24,55388.815192381655,45905.86742950341,64681.97322170518
2024-01-25,56521.22192381563,47515.92184317105,65536.42290881266
2024-01-26,57967.62426949528,49361.522368773716,67496.45420928627
2024-01-27,43024.53864315718,34198.223456268795,52243.076170819826
2024-01-28,33951.35782076848,25124.04423262855,42536.744224440095
2024-01-29,53658.80010554474,44012.01264982232,63307.14549018843
2024-01-30,56008.88183231055,47160.180882859015,65379.39629820022
2024-01-31,55582.54160498684,47254.50660993024,64942.67740912723
2024-02-01,56714.948336438516,47445.40577391367,65711.60543800777
2024-02-02,58161.35068209365,48917.89429209661,67719.23534899853
2024-02-03,43218.26505151627,33697.14506581239,51878.991693608084
2024-02-04,34145.08422489914,25116.856874898534,43335.570596256955
2024-02-05,53852.52650548723,44831.14712680092,62946.254202422795
2024-02-06,56202.60822801755,46917.55627087471,65382.21686972872
2024-02-07,55776.26799646486,46855.37581830078,64024.79465074012
2024-02-08,56908.674723687705,48130.73748394339,65867.19556315316
2024-02-09,58355.07706515213,48786.567707414455,67927.54695123095
