ds,yhat,yhat_lower,yhat_upper
2024-01-01,58035.52260013859,47714.474501559154,68668.83364460044
2024-01-02,62323.176489567086,52165.3559322243,72942.97631242656
2024-01-03,60932.092707256095,50496.103651921345,72281.3716440138
2024-01-04,62917.21180967911,51892.49916571974,73241.35227858169
2024-01-05,68416.18984119814,57263.24297206709,78871.16342054793
2024-01-06,47082.685799551386,37109.58523915953,57913.19309217631
2024-01-07,32367.829800237938,22338.299475133026,43299.824065447385
2024-01-08,58099.9026945961,48250.4413583198,68637.19463834912
2024-01-09,62387.55658409778,51406.93770704169,72585.08087358635
2024-01-10,60996.4728017691,50371.85882472794,71377.57846817483
2024-01-11,62981.59190420451,52257.19175903958,73285.26023714324
2024-01-12,68480.56993574073,58272.31850469518,79358.21774542367
2024-01-13,47147.06589417422,35636.60022995789,58068.25005972521
2024-01-14,32432.209894788364,22422.08989592219,43129.578208150415
2024-01-15,58164.2827891468,48104.28084825828,68581.72104985389
2024-01-16,62451.93667862847,51891.1923653681,73051.95796351461
2024-01-17,61060.852896309196,50175.21250719868,72017.06124435304
2024-01-18,63045.97199774538,51381.72180867745,72787.70927562301
2024-01-19,68544.95002827309,58492.331408247985,79026.33476098979
2024-01-20,47211.445985677114,36700.5458958764,58088.62839960624
2024-01-21,32496.58998528676,22282.932754778303,42952.79056770749
2024-01-22,58228.66287867191,47593.70554029096,69161.54707683093
2024-01-23,62516.31676712462,51614.586714251964,72791.42470352113
2024-01-24,61125.232983814436,50579.12491596517,72055.34192759517
2024-01-25,63110.35208523496,52645.55516235356,73372.70847205077
2024-01-26,68609.33011575634,58337.32642125756,78664.18448013593
2024-01-27,47275.82607315952,37368.77990507973,57503.80545249272
2024-01-28,32560.970072801367,22434.315241868324,43518.21537130549
2024-01-29,58293.0429660936,47106.422968763414,68881.67739993124
2024-01-30,62580.69685461565,51982.14736192498,72044.75413898814
2024-01-31,61189.61307130516,50838.342222596315,71614.55506634896
2024-02-01,63174.73217273655,52495.29004504302,73059.65098912688
2024-02-02,68673.71020323959,58752.53844289711,79399.47459447851
2024-02-03,47340.20614455337,36628.90005371956,57392.722300822155
2024-02-04,32625.35012813379,22417.248763474236,42712.25069686851
2024-02-05,58357.423005401564,46677.6273547809,70051.26510287396
2024-02-06,62645.07687784347,52650.15504489757,73211.86078493233
2024-02-07,61253.99307846208,50826.696237625634,71691.51723981604
2024-02-08,63239.11216382556,52609.064511303885,74393.8868263854
2024-02-09,68738.09017829869,58597.30365848008,78912.03877551525
2024-02-10,47404.586119546664,37103.808130885125,58308.74233158016
2024-02-11,32689.730103165282,21949.84180981719,44080.41446427681
2024-02-12,58421.80298045572,47409.76555186474,68756.97096154647
2024-02-13,62709.456852871015,52482.59495228957,73434.6029840484
2024-02-14,61318.37305349902,50869.01278536402,72439.77531755781
2024-02-15,63303.49213886839,52182.691065502564,73767.80975703133
2024-02-16,68802.47015333813,58432.62315965661,79546.0049663759
2024-02-17,47468.96609456176,36965.553532737096,58755.8068300847
2024-02-18,32754.110078196783,22701.547762012673,43487.165135911084
2024-02-19,58486.18295291534,47862.39766966557,68536.33952722857
2024-02-20,62773.836822749436,52819.519681061596,73581.31052055038
