ds,yhat,yhat_lower,yhat_upper
2024-01-01,22776.462710273656,18822.38104793762,26763.50680841299
2024-01-02,23678.34895256,20019.46407445932,27610.44915711896
2024-01-03,23070.463800796406,19133.362495647172,27096.78066125008
2024-01-04,23644.66987998216,19729.421223212157,27775.956037052725
2024-01-05,23995.73681945418,20307.728462260937,27902.638096133924
2024-01-06,16188.213853374524,12231.994180219082,20003.79527260214
2024-01-07,12172.453485976263,8015.576996984562,16545.938137907397
2024-01-08,22833.934073712342,18846.116681587675,26731.93541682314
2024-01-09,23735.820316025438,19955.53130518901,27591.901362197925
2024-01-10,23127.935164254093,19126.244386689195,26967.29448969221
2024-01-11,23702.141243444283,19530.10391121154,27654.11196355915
2024-01-12,24053.20818292355,19868.628961553968,27986.99751661897
2024-01-13,16245.685216870676,12197.712420975717,20469.885697829486
2024-01-14,12229.924849450033,8246.612335340093,16103.02408711749
2024-01-15,22891.40543718499,18818.004344874782,26954.810295069743
2024-01-16,23793.291679490874,19974.529997737514,27766.010292957268
2024-01-17,23185.406527724143,19426.556335869675,27158.417548143603
2024-01-18,23759.612605061353,20183.736276458923,27444.51739882599
2024-01-19,24110.679542685728,20164.102259308314,28124.765749281734
2024-01-20,16303.156574771609,12714.213344992964,20292.14930162587
2024-01-21,12287.396205498799,8515.22504148346,16340.54101464032
2024-01-22,22948.876791389648,19057.841189797207,26755.78482782986
2024-01-23,23850.763031832135,19789.815790422323,27694.752125578947
2024-01-24,23242.87787821757,19200.502936196015,27036.88749464305
2024-01-25,23817.083955548307,20157.4334141567,27409.922024767362
2024-01-26,24168.15089317071,20353.122086789135,28009.99836038488
2024-01-27,16360.62792525815,12844.763454416865,20224.0443941702
2024-01-28,12344.867555997389,8707.584654897599,16052.995493363876
2024-01-29,23006.34814185316,19298.131259307633,26668.773428514687
2024-01-30,23908.234382319803,20038.139045051317,27921.379627510458
2024-01-31,23300.349228706265,19201.78890658355,27249.22504318872
2024-02-01,23874.555306046634,19970.17918710767,27982.93024145328
2024-02-02,24225.62224365569,20092.801417915984,28179.13436638658
2024-02-03,16418.099275441924,12151.534809130719,20117.6327465549
2024-02-04,12402.3389058818,8454.582796726218,16340.22971907867
2024-02-05,23063.819491464994,18792.215842153168,26874.807739181266
2024-02-06,23965.705731631224,20028.387835292615,27825.77073457682
2024-02-07,23357.82057772141,19683.362783168992,27399.25550775011
2024-02-08,23932.026654765323,20298.818453132895,27945.99797651486
2024-02-09,24283.09359209909,19968.17192972169,27990.977297026886
2024-02-10,16475.570623857435,12754.889077936736,20080.490349716463
2024-02-11,12459.810254312115,8615.167698033565,16167.48436594744
2024-02-12,23121.290839900998,19226.27626322451,27027.58753978348
2024-02-13,24023.17708005851,20356.567312473086,27973.942366128114
2024-02-14,23415.291926153313,19633.721133388663,27213.186639808064
2024-02-15,23989.49800319784,20090.58075261055,28044.164977127286
2024-02-16,24340.564940530305,20739.760989712944,28138.385435985052
2024-02-17,16533.041972281007,12681.463736366259,20631.58352478899
2024-02-18,12517.281602742427,8610.506988116193,16533.868484151957
2024-02-19,23178.762187709803,19175.399864244817,27050.008291086357
2024-02-20,24080.64842724454,19979.471984418928,27827.164597584975
2024-02-21,23472.763272712662,19618.74748124587,27516.270799344966
2024-02-22,24046.969349125084,20173.126303757548,27912.475857382462
2024-02-23,24398.036285822178,20512.397349528957,28123.48210336846
2024-02-24,16590.51331695947,12550.463716413715,20875.93775494022
2024-02-25,12574.752946783994,8645.867924079923,16462.95753590477
2024-02-26,23236.233531775008,19228.404735742966,27154.68688594764
2024-02-27,24138.11977129994,19954.74578018402,27967.75591548788
2024-02-28,23530.234616767644,19544.806837504788,27294.078889950422
2024-02-29,24104.44069318831,20211.23278823351,27999.026510595588
2024-03-01,24455.507629884105,20862.279887434823,28209.838380067045
2024-03-02,16647.984661048176,13143.433817794183,20515.97603631415
2024-03-03,12632.224290845006,8708.51548733245,16377.224871924602
2024-03-04,23293.7048758387,19365.96700766953,27283.8287564278
2024-03-05,24195.591115360523,20125.486001453217,28151.19844956697
2024-03-06,23587.215678192864,19579.256366007485,27448.073017080555
2024-03-07,24160.931471987242,20230.482491270584,28192.037438176452
2024-03-08,24511.508126061755,20544.04846013942,28444.198227010147
2024-03-09,16703.494874594315,12996.902531658843,20643.33904670359
2024-03-10,12687.24422178623,8794.059149635268,16651.596257613513
2024-03-11,23348.23452415378,19568.104120917098,27186.30285271599
2024-03-12,24249.63048104078,20395.59260231124,28107.413566686297
2024-03-13,23641.25504388033,19812.680091557708,27645.1833735904
2024-03-14,24214.970837675326,20236.444445925932,28301.60502171375
2024-03-15,24565.54749174854,20800.87774439875,28408.726795338334
2024-03-16,16757.53424028151,13100.791941851814,20711.69476779759
2024-03-17,12741.283587466802,8638.43900046753,16689.654389717092
2024-03-18,23402.273889809887,19341.885472539387,27229.5165402326
2024-03-19,24303.669846723635,20493.179341886003,28167.432211353575
2024-03-20,23695.2944095678,19712.96005129351,27741.167608624957
2024-03-21,24269.01020335487,20501.281058750053,28254.591823630693
2024-03-22,24616.273501158386,20644.861299572844,28641.257111121846
2024-03-23,16804.94689345156,12950.719547870754,20872.48321813765
2024-03-24,12785.382884354802,8748.049504240846,16838.766759275353
2024-03-25,23443.059830429036,19491.85785268728,27265.6040934068
2024-03-26,24341.142431065247,20386.939570595427,28152.96672494854
2024-03-27,23729.453637642713,19652.427597637325,27872.846315691506
2024-03-28,24299.856075177395,20506.22316876078,28329.91803705135
2024-03-29,24647.11937298324,20697.865063047833,28768.145144023743
2024-03-30,16835.792765264654,12733.181336034142,20738.647115195054
2024-03-31,12816.228756171882,9084.252573501328,16785.01103125635
2024-04-01,23473.905702243486,19463.796910364366,27477.509513996465
2024-04-02,24371.988302883703,20215.28574616212,28296.157170787963
2024-04-03,23760.299509460812,19819.32817977264,27618.958234350466
2024-04-04,24330.701946982837,20354.33035534032,28158.23882061777
2024-04-05,24677.96524478671,20627.055987378557,28320.142133315563
2024-04-06,16866.638637061627,12838.449205368503,20860.289555221734
2024-04-07,12843.450463394813,9058.794561725197,16824.478616784305
2024-04-08,23497.50324488326,19732.709511675228,27454.900324679173
2024-04-09,24391.961680925917,20503.168944791283,28072.85354428268
2024-04-10,23776.648722906433,19623.68421445416,27266.166212984892
2024-04-11,24343.426995844053,20651.75828697854,28380.6988572917
2024-04-12,24687.06612905711,20805.619185795476,28295.578435670177
2024-04-13,16872.115356744747,13059.491108088374,20831.322093728435
2024-04-14,12848.92718307053,9037.407849763333,16582.315503805523
2024-04-15,23502.979964575803,19580.46411980871,27550.262706952068
2024-04-16,24397.438400612755,20472.843628897066,28357.245089288295
2024-04-17,23782.12544259789,19898.23351584383,27581.335959752374
2024-04-18,24348.903715536122,20434.001880535117,28524.298997289676
2024-04-19,24692.542848760055,21025.970322428715,28310.684399647438
2024-04-20,16877.592076427867,13124.104148426894,20662.27802914058
2024-04-21,12854.40390275508,8640.820147191638,16835.904253239958
2024-04-22,23508.45668426834,19520.283370953934,27585.397669029004
2024-04-23,24400.58827448664,20574.665162490466,28220.979341259477
2024-04-24,23782.94847066244,19807.71782710644,27735.33517338643
2024-04-25,24347.39989777432,20552.13066307473,28256.95738003197
2024-04-26,24688.71218520939,21025.06215223173,28885.179722545876
2024-04-27,16871.434567059194,13138.266423864463,20887.425659672615
2024-04-28,12845.919547588097,9013.69908418471,16983.559755269027
2024-04-29,23497.645483257424,19504.40054420297,27390.071315038636
2024-04-30,24389.777073508074,20718.90959039294,28197.31357264896
2024-05-01,23772.1372696752,19735.401703553725,27740.446767045316
2024-05-02,24336.588696802424,20458.595835464574,28097.753952539053
2024-05-03,24677.900984209224,20607.256432878432,28530.192040857888
2024-05-04,16860.623366061744,12917.656243179435,20720.197005215236
2024-05-05,12835.10834660545,9208.203566365866,16747.212542080008
2024-05-06,23486.834282277458,19992.832673833775,27740.101999471102
2024-05-07,24378.965872519806,20412.891511004982,28125.105161581716
2024-05-08,23761.326068687962,19774.317774685325,27789.009634206723
2024-05-09,24325.75498763006,20225.00080517369,28423.8998066626
2024-05-10,24667.044766860727,20479.92840155123,28720.55268123339
2024-05-11,16849.744640556648,12930.854885642248,20662.739015053714
2024-05-12,12824.207112889286,8815.15630425731,16746.58082137477
2024-05-13,23475.9105403836,19564.030932422967,27466.45767678849
2024-05-14,24368.01962243646,20590.466112173617,28416.013616651064
2024-05-15,23750.357310423253,19729.335676954484,27555.52342701256
2024-05-16,24314.78622936026,20504.761172852057,28277.427260061864
2024-05-17,24656.076008595337,20877.61740626626,28598.39003529943
2024-05-18,16838.77588227555,12884.423022066552,20759.702198033257
2024-05-19,12813.23835462299,8693.39766024768,16832.800332773833
2024-05-20,23464.941782119986,19382.674920215148,27487.508590967675
2024-05-21,24357.050864164543,20517.679441129545,28448.893137284005
2024-05-22,23739.3885521571,19742.187285109645,27593.773672080195
2024-05-23,24303.817471087626,20306.191376552622,28417.018921054514
2024-05-24,24645.10725031152,20862.71384874824,28495.009318806573
2024-05-25,16827.807123641076,13207.020138267142,20726.93568613928
2024-05-26,12802.269595598234,8757.026726685035,16524.8973237541
2024-05-27,23453.973022715418,19647.148045083693,27195.177490555456
2024-05-28,24346.08210441463,20379.392513841296,28257.68918222866
2024-05-29,23728.419792044893,19853.936614087677,27683.4067228607
2024-05-30,24292.848710606544,20140.100285398767,28490.407393836755
2024-05-31,24634.138489459638,20904.91927599187,28684.75646928539
2024-06-01,16816.838362773473,12816.459578294816,20273.045402929714
2024-06-02,12791.30083474544,8968.884511299788,16786.458548687828
2024-06-03,23443.004261865295,19614.753870988807,27544.382020170808
2024-06-04,24335.113343561403,20388.813163317158,28315.20635748079
2024-06-05,23717.451031181325,20024.391415151706,27367.199619500134
2024-06-06,24281.879949755952,20234.168016433345,28197.54736891884
2024-06-07,24623.16972861992,20365.20589292704,28433.22454647983
2024-06-08,16805.869601905877,12953.471706886425,20467.38819829974
2024-06-09,12780.332073897951,8992.131891559857,16880.16138738401
2024-06-10,23432.03549996773,19617.390784704192,27245.345829255813
2024-06-11,24324.14458060507,20271.570619068105,28355.355986226485
2024-06-12,23706.482267181804,19892.664542984076,27685.306794549968
2024-06-13,24270.91118470954,20698.462248432832,28527.626352771607
2024-06-14,24612.20096252325,20917.070877318056,28406.865252915108
2024-06-15,16794.900834760658,12787.179865521526,20557.183996511732
2024-06-16,12769.363305697156,8782.179469836607,16523.5957775319
2024-06-17,23421.06673177642,19456.2669119905,27217.643091501417
