ds,yhat,yhat_lower,yhat_upper
2024-01-01,26122.6629065385,21041.455839667044,31327.20182769792
2024-01-02,27186.5087023395,21949.14320203505,32500.950379588816
2024-01-03,26511.15915374913,21119.969179306725,31990.902504848258
2024-01-04,27223.800415254147,21768.035752958338,32925.72318211034
2024-01-05,27254.407099873253,21563.024255673754,32649.7380491167
2024-01-06,16867.628605244747,11971.065702520233,22174.707346130654
2024-01-07,12456.47957943838,6946.683228894771,17647.686245005832
2024-01-08,26239.709384641177,20420.070897195605,31439.128947522247
2024-01-09,27303.555180475818,22015.402850293303,32717.207357262847
2024-01-10,26628.205631876765,21677.560205128906,31908.00235763843
2024-01-11,27340.84689338667,21756.711366597872,32416.72248354992
2024-01-12,27371.453578014138,22053.1656772659,32515.870744909047
2024-01-13,16984.675083419756,11883.656848010714,22490.45160728934
2024-01-14,12573.526057586236,7286.758109697024,17771.67616793855
2024-01-15,26356.75586278702,21061.662930832015,31274.735563638333
2024-01-16,27420.601658612144,22203.48062408819,32938.70139395026
2024-01-17,26745.25211001889,21400.181324550773,31875.61101183414
2024-01-18,27457.89337190253,22170.281542469504,32760.939386171878
2024-01-19,27488.500056900928,22077.266717978087,32617.987487157512
2024-01-20,17101.7215626706,11759.034884739034,22763.67325575964
2024-01-21,12690.572537211821,7411.417287212439,18366.164157941585
2024-01-22,26473.80234279763,21211.680614604476,31898.735486991096
2024-01-23,27537.64813898352,22447.764617469315,32747.10870460763
2024-01-24,26862.298590769526,21330.286987966374,32346.73371823347
2024-01-25,27574.939852645744,22175.83104536555,33011.65679637906
2024-01-26,27605.54653764104,21843.780318315592,32681.50343951717
2024-01-27,17218.768043413256,11884.319795773841,23085.61201479488
2024-01-28,12807.619017970357,7686.547804061461,18284.130059551553
2024-01-29,26590.848823510998,21157.8961705939,32201.99498195546
2024-01-30,27654.69461972786,22343.37708080888,33166.9923158283
2024-01-31,26979.34507151509,21738.914583559508,32387.260389337986
2024-02-01,27691.98633340307,22276.3618522759,33017.79485212682
2024-02-02,27722.59301838115,22671.87437801817,33289.69901576656
2024-02-03,17335.814523642875,11531.737338863179,23037.29900001966
2024-02-04,12924.665497688984,7441.8024607254,18282.427324463333
2024-02-05,26707.895302756788,21443.14651802586,32063.101468256806
2024-02-06,27771.74109846378,22175.246529648615,33472.416525276174
2024-02-07,27096.3915497468,21899.559107591456,32813.207609626705
2024-02-08,27809.032811129648,22460.740514720597,33437.05159359951
2024-02-09,27839.639495631698,22513.81144450848,33007.4710211538
2024-02-10,17452.86100085586,12096.922992703398,22968.022163499398
2024-02-11,13041.711974921072,7705.211093202564,18266.062920259003
2024-02-12,26824.941779996327,21170.63610990364,31948.683992990107
2024-02-13,27888.78757569138,22384.57825337807,33352.379695166965
2024-02-14,27213.43802698021,21746.404202130234,32869.41550704118
2024-02-15,27926.07928836383,22713.95971753159,32810.64275948085
2024-02-16,27956.68597286386,22697.975589886297,33150.18747368697
2024-02-17,17569.90747807911,12028.03930473228,23022.139527913554
2024-02-18,13158.75845215316,7802.631058877065,18953.598556137946
2024-02-19,26941.988254182925,21653.929129674307,32580.071517110846
2024-02-20,28005.834046832355,22759.636231314395,33551.89487711837
2024-02-21,27330.484495069326,21720.131609371863,32934.39443731605
2024-02-22,28043.12575339525,22283.67983836399,33608.81798986223
2024-02-23,28073.732434832626,22734.5925591481,33244.25981135917
2024-02-24,17686.95393701379,12164.720559936834,22828.717918293238
2024-02-25,13275.804908021248,8044.539176877827,18911.77063234737
2024-02-26,27059.03471008337,21858.70124029463,32919.04999848762
2024-02-27,28122.88050272061,22488.523940373543,33394.5691633643
2024-02-28,27447.530950956636,21647.628516725552,32413.53722955408
2024-02-29,28160.172209292767,22692.55354439315,33184.57078748772
2024-03-01,28190.778890728114,22564.795450087873,33583.29672041342
2024-03-02,17804.000392943413,12579.827334335037,23006.8466272325
2024-03-03,13392.85136391667,8317.247199947644,19072.51126349659
2024-03-04,27176.0811659814,21712.48742701087,32543.847616361432
2024-03-05,28239.92695861422,22612.603425753325,33761.706221375425
2024-03-06,27562.450997609798,22274.53583947126,32978.23810222928
2024-03-07,28272.965846715088,23056.482425135255,33765.21375300074
2024-03-08,28301.4461189249,23060.297474715295,33437.71380228811
2024-03-09,17912.5412119034,12609.840808455197,23500.9680881255
2024-03-10,13499.265773673713,8414.73917255371,18466.104292879085
2024-03-11,27280.369166507346,21757.26128370293,33035.868684002824
2024-03-12,28342.088549898894,23337.744756896947,34146.795577913465
2024-03-13,27664.61258890295,22333.592629256513,33009.53675393293
2024-03-14,28375.127438009018,23163.764952302492,33804.49805358586
2024-03-15,28403.607710216802,23462.79309518166,33424.96441173649
2024-03-16,18014.702803196655,12619.30903938876,23104.060543157273
2024-03-17,13601.427364958505,8460.646134603105,18882.028220249274
2024-03-18,27382.530757761047,22230.659031557065,32781.6958352609
2024-03-19,28444.250141186243,22978.756580770412,33267.169740053934
2024-03-20,27766.774180196106,22608.66075038207,32931.908839325086
2024-03-21,28477.289029292566,23235.436600951056,33962.687486416966
2024-03-22,28501.818526297055,23028.369479414494,34040.50944172875
2024-03-23,18108.962844112033,12604.02831029547,23708.600050659283
2024-03-24,13691.73663065679,8365.185939182975,18965.257177538395
2024-03-25,27468.889248257117,21872.23626057609,32430.072737595307
2024-03-26,28526.65785646992,23027.57776339666,34073.989211719025
2024-03-27,27845.231120280812,22536.265297270118,33156.99410001113
2024-03-28,28551.795194195485,23053.409225797124,33962.47207091413
2024-03-29,28576.324691205948,23086.717548790504,33775.45780577441
2024-03-30,18183.469009003904,12949.374143515484,23526.63526027548
2024-03-31,13766.24279555427,8382.786923345933,19194.774954405497
2024-04-01,27543.39541315016,22528.281098125575,33077.53975640189
2024-04-02,28601.164021368113,23560.69099390273,34061.3682278929
2024-04-03,27919.737285177638,22361.503878077627,33732.60744185346
2024-04-04,28626.30135907764,23412.584851310476,34219.05790012369
2024-04-05,28650.830856085002,23106.530358758275,33742.498838229076
2024-04-06,18257.97517387524,12918.256201639635,23962.719111082766
2024-04-07,13836.2370233728,9014.487896967295,19448.768231753915
