ds,yhat,yhat_lower,yhat_upper
2024-01-01,65190.12243719963,54456.92048116164,75943.88920939663
2024-01-02,67556.62566960114,56723.60571323487,77600.24198647418
2024-01-03,67488.90765869488,56489.401170116194,77587.25870289413
2024-01-04,69094.5224793166,59794.6144091289,79951.55372342562
2024-01-05,74077.0864449586,63998.02463270952,84553.82769478229
2024-01-06,64116.70498183134,53670.93540787683,73843.34806152966
2024-01-07,43300.33849898475,33655.55816186066,54261.12206967618
2024-01-08,65350.314365991064,55093.793833218304,75572.33735963285
2024-01-09,67716.81759845978,57591.90126963409,78159.35477811295
2024-01-10,67649.09958751002,57290.819731260504,78300.48599940113
2024-01-11,69254.7144081537,58342.37158756717,79355.21006033743
2024-01-12,74237.27837383389,64517.167394467906,84404.74572279402
2024-01-13,64276.89691076286,53980.70003267772,74822.67419968815
2024-01-14,43460.53042784659,33859.8595649527,53346.096682121155
2024-01-15,65510.506294857885,54741.13855147956,75692.48249741207
2024-01-16,67877.00952731841,57186.75304199392,78464.53354091391
2024-01-17,67809.29151638372,57604.92458884347,78422.60213053448
2024-01-18,69414.90632932406,59501.75513933797,78953.33072345138
2024-01-19,74397.47028730978,64633.63039437544,85056.18050244973
2024-01-20,64437.08881650715,54598.65384459619,74484.85735886704
2024-01-21,43620.722325892886,32971.29125957894,53765.39960965941
2024-01-22,65670.69818522612,55714.402925085284,76199.62787350871
2024-01-23,68037.20140995897,57385.05927690632,78660.84930295275
2024-01-24,67969.48339134938,57036.7238741102,77835.6056646304
2024-01-25,69575.09820426314,58929.412387563505,80060.97167089769
2024-01-26,74557.66216225691,64422.9989663397,83980.17519993382
2024-01-27,64597.2806914526,54427.974964925124,74642.25523796184
2024-01-28,43780.914200856714,34051.855155755766,54047.0297916764
2024-01-29,65830.89006011953,55817.80324856751,76495.88202943056
2024-01-30,68197.39328489984,58411.49925799692,79345.13368739966
2024-01-31,68129.67526629579,57470.37678552902,78007.05747352797
2024-02-01,69735.29007925716,59219.974763018625,80098.59049019933
2024-02-02,74717.854037204,64347.42274187384,84965.98352272889
2024-02-03,64757.472563903364,54679.046354972095,74934.75464410776
2024-02-04,43941.10607086106,33708.950317900606,54390.39648894983
2024-02-05,65991.08192767476,55522.882849827474,76240.56830647003
2024-02-06,68357.5851499672,58184.7695516968,78921.89213161939
2024-02-07,68289.86712887562,58399.594036345596,78732.79426814016
2024-02-08,69895.48193935637,59191.393309092426,80383.2132745569
2024-02-09,74878.04589485214,65243.94001152395,84790.59051567168
2024-02-10,64917.66442151423,55188.66477605455,76685.42973848907
2024-02-11,44101.29792850335,33434.553215692016,54457.91004986347
2024-02-12,66151.27378532404,56904.654373798374,77158.63993687838
2024-02-13,68517.77700761463,57733.08035643885,78054.19753687363
2024-02-14,68450.05898653812,58133.17538240979,78593.49230609722
2024-02-15,70055.67379701526,60216.96052906409,80857.18328421781
2024-02-16,75038.23775251626,64623.3611545732,85166.95885866092
2024-02-17,65077.85627914648,54715.871670720604,75872.7830183455
2024-02-18,44261.48978614564,33849.79240457583,54406.178179437076
2024-02-19,66311.46563831945,55984.65095195791,76688.07603860494
2024-02-20,68677.96885593141,58424.64622559364,79269.558919944
2024-02-21,68610.25083020097,58240.2084679066,78285.9994345183
2024-02-22,70215.86563597491,59772.436751185,80364.73506288086
2024-02-23,75198.42958678723,64751.53637119034,85542.21806877472
2024-02-24,65238.048108779425,54335.032579787156,75346.17015182518
2024-02-25,44421.68161111756,34052.09445120914,55133.48390682803
2024-02-26,66471.65746330921,55869.52397861651,77222.21448394145
2024-02-27,68838.16068089321,58981.731358608115,79528.66191856183
2024-02-28,68770.44265515827,58740.558070273924,79276.01540401817
2024-02-29,70376.05746096796,59819.71500609246,80059.20145976593
2024-03-01,75358.62141178547,64792.99496845893,85504.38902131375
2024-03-02,65398.23993383387,55077.67753250498,76060.2352517071
2024-03-03,44581.873436094,34003.297583133266,54718.87735825968
2024-03-04,66631.84928830531,56475.13875856342,77389.35516972156
2024-03-05,68998.35250589455,58939.538087366134,79374.91694097655
2024-03-06,68930.63447917465,58305.747686623814,79110.37273976221
2024-03-07,70536.24928407356,59892.03083719829,80951.74966847706
2024-03-08,75518.81323398848,65244.891886552505,85179.61258618152
2024-03-09,65558.43175509213,55375.647639657334,75029.5865753223
2024-03-10,44742.065256470334,34348.81570227706,55186.45216825535
2024-03-11,66792.04110776493,57457.36337364833,77487.10348920857
2024-03-12,69158.54432440452,58885.97151991674,79997.47201865508
2024-03-13,69090.82629771947,59458.47597138044,79387.8029536721
