ds,yhat,yhat_lower,yhat_upper
2024-01-01,108527.29610166213,93099.84024503383,122133.34239552739
2024-01-02,112719.98341333079,97294.7193820077,126688.97573617232
2024-01-03,111989.64628296108,96780.47871520535,126667.99552198494
2024-01-04,113625.06701513108,99426.23505058156,128042.69836346373
2024-01-05,120413.22456945606,107453.23305000235,134054.21674995893
2024-01-06,95674.25441794968,81105.99195988674,110503.6105859339
2024-01-07,71958.93208468544,58040.785994831465,86870.35243754342
2024-01-08,108970.3771566033,94982.80641203509,123532.99970975134
2024-01-09,113163.06446837525,99115.60146888244,127577.78491369988
2024-01-10,112432.72733796366,97244.00655427076,127106.9993008257
2024-01-11,114068.14807015637,99628.92862002569,128732.90861403884
2024-01-12,120856.30562452215,105990.83463346078,134354.95938765816
2024-01-13,96117.33547311541,81962.26967568092,111157.39641105884
2024-01-14,72402.01313975238,58379.32789601782,86687.85825840085
2024-01-15,109413.45821167085,94980.41893936275,122838.51556996467
2024-01-16,113606.14552341972,99321.94920972851,127439.11282697624
2024-01-17,112875.80839302621,97581.11698465995,126315.15477043601
2024-01-18,114511.22912510589,99883.55561786813,129247.0053739051
2024-01-19,121299.38667935813,106569.09057852284,134259.90138207967
2024-01-20,96560.41652779657,81246.19258234005,111622.63436908492
2024-01-21,72845.09419431737,58472.64102102761,85234.81970803646
2024-01-22,109856.53926616318,94966.6942581809,123886.50427566368
2024-01-23,114049.22657775917,98025.70712464573,127918.54320604388
2024-01-24,113318.8894472779,99175.32436990019,127300.9291536846
2024-01-25,114954.31017932587,100471.05786760796,128013.15636300843
2024-01-26,121742.46773357812,105857.92737401917,136251.00404214958
2024-01-27,97003.49758201758,83411.54969938712,111601.1280119548
2024-01-28,73288.17524857898,58641.018017972325,86612.2293068218
2024-01-29,110299.62032029904,95834.35140267247,124964.81494912671
2024-01-30,114492.30763198358,100064.31400383537,129543.72736732154
2024-01-31,113761.97050150517,100395.95310492383,128366.79468262356
2024-02-01,115397.39123359871,101211.02248328208,130609.32548468893
2024-02-02,122185.54878779809,108232.87217511676,136665.63772419494
2024-02-03,97446.57863617309,82199.23334319371,111624.07634567814
2024-02-04,73731.2563027188,58171.98816145581,87557.12760546345
2024-02-05,110742.70137446412,95980.99508469088,125701.82576736703
2024-02-06,114935.38868609766,100746.09248711275,130278.102277807
2024-02-07,114205.05155557611,99640.2967152877,128536.83975325663
2024-02-08,115840.47228763111,100803.02235112968,129838.68602819552
2024-02-09,122628.6298418502,108345.76721613585,136426.58528992932
2024-02-10,97889.65969014101,82851.18227021892,112855.351145529
2024-02-11,74174.3373567407,59930.457594488624,89438.14455741926
2024-02-12,111185.78242851091,97661.66602347698,126487.52212945056
2024-02-13,115378.46974011799,99904.3332010319,129378.73623499431
2024-02-14,114648.13260961452,99926.43891478494,130417.04968359432
2024-02-15,116283.55334167155,101681.49603614489,129936.67582747477
2024-02-16,123071.71089589215,108454.81593199733,136134.78444343078
2024-02-17,98332.74074414317,84508.46929887244,112146.52544934761
2024-02-18,74617.41841076259,58927.02309811259,89764.26122275907
2024-02-19,111628.8634083448,96604.25397228406,126057.5802416335
2024-02-20,115821.55064574108,101309.84898489818,130744.2720988605
2024-02-21,115091.21344103462,100875.24969723419,130015.5288057185
2024-02-22,116726.63409884827,102917.9569946112,131453.857914544
2024-02-23,123514.79157882197,108743.35709424765,137828.21644601287
2024-02-24,98775.82135290871,83311.29406536801,112758.32514850156
2024-02-25,75060.49894530338,60029.868643997346,87912.40071208925
2024-02-26,112071.94394294547,96715.10724504206,125550.83496998611
2024-02-27,116264.63118030393,101732.29820360667,131958.2881940028
2024-02-28,115534.29397559473,100762.16013168842,129958.7720412867
2024-02-29,117169.71463344597,102748.04694237425,132288.71448780864
2024-03-01,123957.87211342118,110058.41530424223,139673.25277448221
2024-03-02,99218.90188760756,85257.1506202341,113547.57838298676
2024-03-03,75503.57947988255,61833.12419297564,90424.61894897578
2024-03-04,112515.02447754276,98720.70772616856,127746.1467807206
2024-03-05,116707.7117148963,103017.00150866713,130581.79476691406
2024-03-06,115977.37432279174,101617.5648527457,129765.882313752
2024-03-07,117612.79479330125,103123.08974771158,132228.39414372455
2024-03-08,124400.95208596346,110406.04290899087,139290.2740808992
2024-03-09,99661.98167277791,85721.81406590098,114390.71414033137
2024-03-10,75946.65907778905,61061.7854359938,90166.91627457946
2024-03-11,112958.10388811115,97574.40983655494,127844.06230461471
2024-03-12,117150.79093808812,103316.12442338686,131432.22834467763
2024-03-13,116420.45354601643,102228.93917267886,130840.83839840237
