ds,yhat,yhat_lower,yhat_upper
2024-01-01,8091.661514631002,6819.151352849405,9361.804115563735
2024-01-02,8356.01678574302,7152.546320536425,9688.787022332224
2024-01-03,8205.477369187449,6947.070082232407,9549.458534176994
2024-01-04,8416.522058795044,7213.218345677228,9749.419063704103
2024-01-05,8435.18999972699,7002.170960745267,9773.351753941552
2024-01-06,5913.737300020838,4605.696009881146,7198.025038866517
2024-01-07,4713.685099407854,3411.5111794488457,6025.900817638154
2024-01-08,8130.254055124351,6806.614817845023,9488.566641164098
2024-01-09,8394.60932624479,7032.530496465968,9678.265667988733
2024-01-10,8244.069909686803,6913.793686305161,9528.242720804648
2024-01-11,8455.114599295734,7036.775811435348,9753.24657637043
2024-01-12,8473.782540229924,7125.86880721468,9850.478419663463
2024-01-13,5952.329840532263,4615.944751262655,7240.949860778198
2024-01-14,4752.277639912318,3472.5739552817913,6165.404797972497
2024-01-15,8168.846595628391,6812.673238088901,9429.622726304151
2024-01-16,8433.201866746562,7057.868258657998,9758.89199868989
2024-01-17,8282.662450190088,6911.115158435328,9591.009391938313
2024-01-18,8493.70714019289,7150.589017964265,9745.370197542394
2024-01-19,8512.375081520371,7128.702072030831,9730.94539589373
2024-01-20,5990.922382214138,4683.822195402512,7274.00068366554
2024-01-21,4790.870181988459,3429.6986266487093,6113.620984019942
2024-01-22,8207.43913810121,6902.61016363169,9513.5786813953
2024-01-23,8471.794409610036,7252.632298677757,9779.341155956829
2024-01-24,8321.254993448938,7055.535170987907,9528.25404030863
2024-01-25,8532.29968344987,7256.9479524658855,9865.74880973786
2024-01-26,8550.967624776678,7174.68990003316,9934.258773054991
2024-01-27,6029.514925471038,4761.395340402071,7423.609583032907
2024-01-28,4829.462725249214,3499.041872182522,6194.5295704717155
2024-01-29,8246.031681350849,6929.719842835974,9463.227925458816
2024-01-30,8510.386952867268,7202.310180276759,9842.198373595065
2024-01-31,8359.84753670655,7059.366083021461,9620.858855832981
2024-02-01,8570.892226710628,7305.6499118095735,9800.10623402726
2024-02-02,8589.560168032986,7219.4848778506575,9915.338955915866
2024-02-03,6068.107468174812,4780.962063458268,7425.747799572571
2024-02-04,4868.055267400645,3386.1769395219753,6198.911654536433
2024-02-05,8284.62422295898,6813.279301175706,9574.236991663834
2024-02-06,8548.97949392302,7249.707681993735,9866.01612054676
2024-02-07,8398.440077211273,7127.152701475718,9763.482050375196
2024-02-08,8609.484766664145,7236.203836956745,9908.648488872825
2024-02-09,8628.152707442476,7280.175193759921,9858.222135977636
2024-02-10,6106.700007575121,4738.850905149924,7363.56034782874
2024-02-11,4906.647806805684,3427.676337313938,6209.709033042707
2024-02-12,8323.216762365739,7077.250949742587,9817.73663948714
2024-02-13,8587.57203332704,7162.601821137916,9873.569495082014
2024-02-14,8437.032616616809,7136.846161262897,9805.211158236025
2024-02-15,8648.077306069794,7338.932927131057,9946.829718778552
2024-02-16,8666.74524684766,7268.606902693576,9992.739048805191
2024-02-17,6145.292546977979,4823.968046070007,7528.638380446055
2024-02-18,4945.240346210723,3646.632631356631,6170.923129109609
2024-02-19,8361.788697904705,7091.621009327125,9733.768418178863
2024-02-20,8626.123364999616,7330.4596242752,9950.4259576322
2024-02-21,8475.563344421784,7190.207495035096,9797.037062229714
2024-02-22,8686.58743000532,7296.574143096989,9990.445743811577
2024-02-23,8705.234766912741,7315.601282434411,10108.311688639575
2024-02-24,6183.7614631797205,4930.942877901946,7454.066335913856
2024-02-25,4983.688658541299,3633.0713822920547,6345.91293557945
2024-02-26,8400.237010243027,7105.94798524113,9562.218337006074
2024-02-27,8664.571677334836,7429.3289823737305,10029.330803074388
2024-02-28,8514.011656756658,7170.585086559516,9840.008855519865
2024-02-29,8725.035742343001,7372.345054809257,10070.747965267232
2024-03-01,8743.683079249959,7296.964509301433,10111.814079716938
2024-03-02,6222.209775525426,4896.485592284342,7590.952825063699
