ds,yhat,yhat_lower,yhat_upper
2024-01-01,38499.65032646815,30588.35988856471,47635.7267179538
2024-01-02,40385.89734660875,31638.445900356255,48463.53073867598
2024-01-03,38669.593206730526,30595.186998094312,47236.356754985776
2024-01-04,40079.343102925595,31694.893470989096,48598.63586465795
2024-01-05,42093.30044069068,33426.48276057641,51791.276052535766
2024-01-06,23281.20299890652,15572.56323461673,31712.516511710226
2024-01-07,12611.427561005265,4266.987458590051,20845.523782646716
2024-01-08,38523.29641816529,30012.226115328915,46494.69971689654
2024-01-09,40409.543438370965,32334.833278438276,49047.60143339119
2024-01-10,38693.23929847324,30160.186082674987,46869.57770175801
2024-01-11,40102.98919467998,31732.097423494728,48906.91817674262
2024-01-12,42116.9465324641,33475.33477256498,50232.6966695179
2024-01-13,23304.849090745658,14921.74813791983,32081.778959058836
2024-01-14,12635.073652788073,4546.944496031416,20677.085393575628
2024-01-15,38546.94250994543,29737.616375244437,46496.62951672552
2024-01-16,40433.1895301332,31638.11503114925,48791.582849462575
2024-01-17,38716.885390247015,30807.337870787655,47405.502573544196
2024-01-18,40126.63528525726,32270.15140378245,48434.40832118919
2024-01-19,42140.59262184008,34027.64262711574,50144.73579728126
2024-01-20,23328.495178902704,14583.720793395138,31340.64071391693
2024-01-21,12658.719739748682,4450.954761881484,20729.956084968206
2024-01-22,38570.588595731926,29570.149934066383,46712.25609011172
2024-01-23,40456.83561469669,32090.6262317202,49458.35365400353
2024-01-24,38740.5314736272,30998.15568655904,47158.35394009371
2024-01-25,40150.28136862058,32031.589218963585,48365.372772803734
2024-01-26,42164.23870519902,33902.40815590662,50031.768430372686
2024-01-27,23352.141262264857,15141.730009476105,31446.998974811708
2024-01-28,12682.365823140412,4358.079070337741,20963.14343777621
2024-01-29,38594.234679038,30294.43683710579,47225.2866576786
2024-01-30,40480.481698061456,32095.863505832906,48920.75095344414
2024-01-31,38764.17755699437,30978.37407862388,46784.875537614054
2024-02-01,40173.927452010495,31520.548361294157,48655.59928931018
2024-02-02,42187.884788557974,34268.91557636199,50519.279455486445
2024-02-03,23375.7873452285,15266.8724059193,31503.815092134486
2024-02-04,12706.011905717893,4811.178086490077,21347.115271278097
2024-02-05,38617.880761289205,30401.18449021369,46691.60027025193
2024-02-06,40504.127779920855,32533.56943555073,48899.05651931865
2024-02-07,38787.823638471855,30941.81578487823,47389.23155825126
2024-02-08,40197.573533106195,31837.641201604714,47820.91568209114
2024-02-09,42211.53086931977,34256.41601597087,50374.043841080245
2024-02-10,23399.433425924522,15247.276938816602,32566.846226108926
2024-02-11,12729.657986450413,5008.465811003029,20989.829820874304
2024-02-12,38641.526842036736,29944.71507472745,46609.358151806824
2024-02-13,40527.77386064644,31917.300634936324,48903.92990336798
2024-02-14,38811.46971920899,30878.084013610645,46973.40669611391
2024-02-15,40221.219613845555,32163.89230459193,48452.601066607196
2024-02-16,42235.17695005657,33633.585549379684,50269.59800182966
2024-02-17,23423.07950664111,14700.657582223532,31918.49614685758
2024-02-18,12753.30406718294,4228.986741477092,20875.365965458226
2024-02-19,38665.17292031037,30323.050243433187,46798.70745718796
2024-02-20,40551.41993645895,31854.9306093602,48846.89916999736
2024-02-21,38835.115792548655,30668.864513401186,46804.868639107226
2024-02-22,40244.8656847,31947.778955454698,48583.61682458388
2024-02-23,42258.82301841742,33902.78803315997,50731.975274896766
2024-02-24,23446.725572562733,15014.06152407974,32475.74103113995
2024-02-25,12776.950130609941,4140.163452191758,20408.132306368916
2024-02-26,38688.81898379307,30519.853249204923,46779.9630876531
2024-02-27,40575.065999917366,31715.45561968134,49859.17516740116
2024-02-28,38858.76185600695,31018.5987959736,47766.24675183223
2024-02-29,40268.511748178586,32194.264792822793,49221.20210646312
2024-03-01,42282.46908189342,33314.71990245918,50511.61466659867
2024-03-02,23470.37163610445,14842.341620706447,31690.229514809587
2024-03-03,12800.596194081674,4350.604136460779,21384.517846909752
2024-03-04,38712.46504727174,30612.56305307895,47266.90926166996
2024-03-05,40598.712063388535,31846.429453098546,49295.86562632338
2024-03-06,38882.40790068073,30535.64925343167,46861.232426133385
2024-03-07,40292.157774075924,31390.687767016232,48445.29912977963
2024-03-08,42306.1150890315,34195.48298055056,50325.70967849136
2024-03-09,23494.017624453656,15000.791626424363,31854.79872155555
2024-03-10,12824.242163709514,4735.975631557912,21221.865605526902
2024-03-11,38736.11099812539,30100.943938896977,47155.734874102825
2024-03-12,40622.35799544641,32770.63407381467,48703.66751512464
2024-03-13,38906.05383275653,30923.958473721195,46704.891358679255
2024-03-14,40315.80370615394,31844.808996824802,48891.21570683283
2024-03-15,42329.76102110694,33234.05428485542,49981.35380728878
2024-03-16,23517.663556529456,15321.039015266719,31478.733664027477
2024-03-17,12847.88809576704,4553.188154731074,21272.228768104425
2024-03-18,38759.75693012456,30646.31242363674,47424.04168206251
2024-03-19,40646.00392751065,32599.90630392691,49933.92839759951
2024-03-20,38929.69976483232,30269.950674348594,47595.26223003559
2024-03-21,40339.44963821036,31478.8286653131,49010.55390779486
2024-03-22,42353.406953124024,34156.78379937175,50660.61976118855
2024-03-23,23541.309488580126,15391.094206609407,32182.24157011804
2024-03-24,12871.534027746962,4694.624487942182,21476.619294157917
2024-03-25,38783.40286206683,30413.35936507732,47002.16298168131
2024-03-26,40669.64985939366,32499.483927598594,49035.670678167604
2024-03-27,38953.34569668277,30943.323110132198,46920.9142055224
2024-03-28,40363.0955700652,32212.58389839562,49176.59202608249
2024-03-29,42377.05288497969,34401.40624121134,50712.473979107104
2024-03-30,23564.95542041114,15082.779479715005,31460.539698147768
2024-03-31,12895.179959587003,4579.047688053311,21045.599451932936
2024-04-01,38807.04879390016,31243.53399559651,47319.71823642849
2024-04-02,40693.29579123808,32555.91824037236,49302.2365475814
