ds,yhat,yhat_lower,yhat_upper
2024-01-01,9187.280361638721,7705.53636861818,10700.11750742294
2024-01-02,9536.744930049119,7990.358738993397,11042.232391651996
2024-01-03,9357.499930685684,7811.044449135028,10880.188194885364
2024-01-04,9576.198917506747,8113.340957654418,11155.632299747165
2024-01-05,9775.843235491197,8419.468030404223,11259.42815781354
2024-01-06,7422.577814643929,5968.643548133568,9036.932444967992
2024-01-07,5622.154879707785,4124.350930349999,7090.727599174224
2024-01-08,9229.546022868235,7653.016405841377,10618.417413380976
2024-01-09,9579.01059128817,8053.972217147889,10993.02972843684
2024-01-10,9399.76559192097,7870.089700447213,11032.832489955246
2024-01-11,9618.464578744055,8189.66967390912,11134.509547322272
2024-01-12,9818.108896731794,8382.767514595009,11364.391937861585
2024-01-13,7464.843475893497,5872.324150900456,9011.22955727991
2024-01-14,5664.42054094899,4121.098200931317,7120.9751144125785
2024-01-15,9271.811684109394,7719.39403957027,10793.851159325959
2024-01-16,9621.276252527221,8046.041020693211,11091.76304650705
2024-01-17,9442.031253161793,7982.721924070269,10984.410680225104
2024-01-18,9660.73023996296,8101.017697360268,11153.766987763702
2024-01-19,9860.374557928677,8359.465158825402,11509.301089773406
2024-01-20,7507.1091370654085,6107.075762158916,8947.120355244631
2024-01-21,5706.686202099672,4283.511107606283,7100.086590455154
2024-01-22,9314.077345241272,7905.705666734995,10842.380071860487
2024-01-23,9663.5419136336,8148.832833388831,11169.939330607685
2024-01-24,9484.29691424883,8002.498895873112,11032.300155116109
2024-01-25,9702.995901047274,8221.666418351142,11215.279355887651
2024-01-26,9902.640219012816,8478.449850523652,11314.42522072272
2024-01-27,7549.374798149894,5966.044075233733,9082.308001148705
2024-01-28,5748.95186318788,4186.343195757868,7278.901533220852
2024-01-29,9356.34300631779,7823.743444050283,10949.250005215568
2024-01-30,9705.807574718123,8189.392938884227,11128.034998383
2024-01-31,9526.562575333886,8150.970540193111,11080.069421056809
2024-02-01,9745.261562136811,8228.654519044303,11256.49199147297
2024-02-02,9944.905880096956,8372.898079227396,11307.051995346292
2024-02-03,7591.640459066541,6077.45439327596,9169.159682572086
2024-02-04,5791.217523939104,4388.631024377125,7335.508750713598
2024-02-05,9398.608666910768,7981.21703918298,10930.14822274045
2024-02-06,9748.073235143944,8251.984353839818,11215.709130796
2024-02-07,9568.82823559365,8115.992348623333,11121.403092424624
2024-02-08,9787.527222230769,8267.326930332389,11293.274900185444
2024-02-09,9987.171540031846,8562.980380265119,11541.247184747848
2024-02-10,7633.906118992834,6089.056452779353,9110.710061555266
2024-02-11,5833.483183870352,4232.2410621814615,7372.108464071769
2024-02-12,9440.874326843526,7904.792888516115,10878.585936716909
2024-02-13,9790.338895074585,8317.699213137099,11350.638935906101
2024-02-14,9611.093895526063,8212.51548219733,11118.27891791499
2024-02-15,9829.792882163125,8378.092738994754,11271.884968289705
2024-02-16,10029.437199964035,8427.522978585728,11564.701522452955
2024-02-17,7676.171778921908,6118.545804831271,9132.667457249761
2024-02-18,5875.7488438016,4443.583156776478,7378.345046298614
2024-02-19,9483.139987007882,8105.94606680902,10979.021478174896
2024-02-20,9832.604555470329,8355.335703097224,11272.549166184825
2024-02-21,9653.359556153311,8185.903055053002,11136.527384914803
2024-02-22,9872.058543018467,8392.762916759883,11368.437070441947
2024-02-23,10071.702861047359,8530.291404864896,11691.744214424902
2024-02-24,7718.437440240647,6270.276446064068,9191.19560406442
2024-02-25,5918.014505348805,4411.928927135705,7354.071956730333
2024-02-26,9525.405648561911,8021.471860560797,10951.032199241816
2024-02-27,9874.870217020718,8523.40941552595,11512.788365591805
2024-02-28,9695.625217703446,8231.33837658977,11130.72889451504
2024-02-29,9914.324204572102,8373.862959918906,11391.901665082252
2024-03-01,10113.968522600828,8720.276146857452,11635.595559028816
2024-03-02,7760.703101803087,6169.679045510198,9269.095715192449
2024-03-03,5960.280166901333,4445.2339799607935,7540.613040219563
2024-03-04,9567.671310115933,8083.686026310135,11148.276476445657
2024-03-05,9917.135878574169,8343.695195350041,11506.69826055252
2024-03-06,9737.890847709315,8311.563616173813,11256.185479424006
2024-03-07,9956.589803036024,8476.541056626531,11328.521528489642
2024-03-08,10156.234089523981,8627.013819958178,11630.169693805554
2024-03-09,7802.968637181524,6440.964427413928,9377.436113150494
2024-03-10,6002.54567074399,4497.846028970562,7416.957656446565
2024-03-11,9609.936782416262,8260.991387656553,11070.180216648958
2024-03-12,9959.401319328575,8466.22581973827,11496.930921920275
2024-03-13,9780.156288467026,8363.467803133459,11183.00062042782
2024-03-14,9998.855243793676,8533.97885410122,11489.714879507397
2024-03-15,10198.499530281466,8631.682726890116,11605.415907402143
2024-03-16,7845.23407793867,6320.595839965274,9295.577334350546
2024-03-17,6044.811111498987,4545.93592339456,7508.216007745172
2024-03-18,9652.202223162662,8163.340266286301,11175.819451834584
2024-03-19,10001.666760084512,8420.231968546852,11421.428468366656
2024-03-20,9822.421729224732,8370.94888060884,11409.765232746004
2024-03-21,10041.120684547868,8548.022439337747,11501.171096572567
2024-03-22,10239.42736983748,8769.550883369864,11821.954883495147
2024-03-23,7884.82431630633,6566.353596586903,9478.42962671991
2024-03-24,6083.063748663054,4576.303867922089,7518.143114832569
2024-03-25,9689.117259128676,8187.642208376713,11120.251915366682
2024-03-26,10037.244194848878,8437.608707049849,11512.441596202689
2024-03-27,9856.661562791625,8324.44125356086,11448.674326298538
2024-03-28,10074.02291692292,8514.778949045149,11605.739819119191
2024-03-29,10272.329602211608,8789.75994670797,11706.735196436466
2024-03-30,7917.726548677421,6459.907380574091,9453.218207965756
2024-03-31,6115.965981035088,4582.896891910274,7469.350752969968
2024-04-01,9722.019491500658,8191.204050542465,11294.262270139498
2024-04-02,10070.146427222167,8584.540114443105,11575.600814362218
2024-04-03,9889.563795165257,8527.883398535974,11333.939819201338
2024-04-04,10106.925149291059,8771.575598330159,11685.757146669266
2024-04-05,10305.231834579576,8863.273294136763,11735.705792327757
2024-04-06,7950.628781042953,6452.15530128251,9431.06537423885
2024-04-07,6146.786122645617,4643.150194549505,7534.265705194524
2024-04-08,9750.757542352736,8266.36117830297,11254.612987114902
2024-04-09,10096.802387312171,8498.670652629233,11580.699234307967
2024-04-10,9914.13766449153,8361.844201990878,11369.88670510692
2024-04-11,10129.416927859396,8601.475889374487,11716.590916636462
2024-04-12,10325.641522387781,8794.62658206526,11868.087565936221
2024-04-13,7968.956378091544,6579.195421777109,9503.139861597867
2024-04-14,6165.113719692607,4630.362353797049,7685.536657062093
2024-04-15,9769.085139404997,8273.804918174203,11249.952558960353
2024-04-16,10115.12998436233,8586.11429362091,11461.639538209298
2024-04-17,9932.465261543464,8421.184331143877,11536.91837251184
2024-04-18,10147.744524911268,8655.049154140263,11639.589373176608
2024-04-19,10343.969119442192,8884.387344342387,11825.690328688426
2024-04-20,7987.283975140133,6543.854623242984,9467.276628477463
2024-04-21,6183.441316741828,4694.383384098505,7823.948549558064
2024-04-22,9787.412736457256,8266.248330602355,11310.807634413759
2024-04-23,10131.19493609562,8618.262826818767,11567.679976855845
2024-04-24,9946.267567961948,8470.725229358375,11517.81593139745
2024-04-25,10159.284186008525,8615.415516455043,11712.273142296179
2024-04-26,10353.246135232543,8887.246005168312,11904.3778107787
2024-04-27,7994.298345612029,6512.689527254066,9339.118259076295
2024-04-28,6188.193041902109,4557.801250038491,7657.164625955662
2024-04-29,9789.901816290518,8321.023969607835,11353.124957824655
2024-04-30,10133.684015940287,8721.352536560707,11636.676534799368
2024-05-01,9948.756647803739,8475.870685273345,11418.058630361367
2024-05-02,10161.773265856486,8709.286546031664,11703.52667277282
2024-05-03,10355.735215069957,8926.65507969173,11900.90349826956
2024-05-04,7996.78742545047,6535.837429831711,9523.920892399457
2024-05-05,6190.6821217455035,4642.407440978124,7682.155562745852
2024-05-06,9792.390896135406,8256.137697953842,11289.98993369123
2024-05-07,10136.173095781545,8689.599212659356,11615.54019827705
2024-05-08,9951.245727645533,8402.29407933947,11459.08699917149
2024-05-09,10162.370050292948,8643.438964789237,11679.346536728139
