ds,yhat,yhat_lower,yhat_upper
2024-01-01,24220.251304076544,20019.186813629745,28711.136369748776
2024-01-02,25152.461165884513,20987.060780809235,29378.089364190786
2024-01-03,24950.427023875964,21130.973713567455,29055.06591769975
2024-01-04,25358.260203299964,21220.028567465695,29366.038103997354
2024-01-05,25690.362191538057,21694.809647110527,29998.654846525988
2024-01-06,17086.486467829636,13010.594460031503,21050.93417578701
2024-01-07,12399.954716724174,7861.341132049009,16589.889419985837
2024-01-08,24267.396325115966,19824.896412544193,28390.04501987544
2024-01-09,25199.606186953708,20902.40182033298,29423.34684336855
2024-01-10,24997.572044935805,20927.371661993424,28976.07755033979
2024-01-11,25405.405224364527,21281.356302063396,29597.028913348237
2024-01-12,25737.507212612014,21961.893695345243,30034.619649884826
2024-01-13,17133.6314889328,12966.799164036758,21408.629302494584
2024-01-14,12447.09973780268,8046.61641063824,16243.064763415214
2024-01-15,24314.541346192946,19905.546919544457,28570.51367358698
2024-01-16,25246.75120802291,20940.71046705951,29407.080328433618
2024-01-17,25044.717066010322,20820.037715718372,29125.10878328043
2024-01-18,25452.550246542545,21557.146693038918,29634.513810906225
2024-01-19,25784.65223589244,21360.986739518226,30338.688014220388
2024-01-20,17180.776513307508,13134.856859010437,21120.732193022417
2024-01-21,12494.244763281124,8714.026030184532,16286.638797529718
2024-01-22,24361.68637278609,19828.31872766336,28436.42650875746
2024-01-23,25293.8962357085,21066.318587779424,29420.422086145838
2024-01-24,25091.86209480492,20816.96205926714,29187.10612812941
2024-01-25,25499.695275329726,21570.335890338753,29958.837696563023
2024-01-26,25831.797264677924,21457.986451822584,30067.58976666006
2024-01-27,17227.92154209514,13023.517424426711,21455.147497602167
2024-01-28,12541.389792082247,8045.810760341416,16604.997939362693
2024-01-29,24408.831401548123,19913.85852212856,28078.741693544587
2024-01-30,25341.04126449732,21045.183360232804,29652.474010876853
2024-01-31,25139.007123594714,20934.454384673216,29239.189864955875
2024-02-01,25546.840304132496,20958.683310872297,29637.853531188997
2024-02-02,25878.942293463406,21710.12529976948,30303.686558946465
2024-02-03,17275.066572172735,13205.264750132174,21461.365921712404
2024-02-04,12588.534823455551,8435.637514159316,16741.47572724224
2024-02-05,24455.976434244945,20405.139969935164,28732.20691521188
2024-02-06,25388.186298488017,21204.18150862984,29844.483424897597
2024-02-07,25186.152158883113,21228.358839501914,29670.061430812297
2024-02-08,25593.985340718,21430.120838354112,29721.633387762984
2024-02-09,25926.087331370778,21757.62817079774,30142.908148182054
2024-02-10,17322.211610048656,13088.791625891992,21416.464062921063
2024-02-11,12635.67986134823,8444.71853641433,16868.827070930387
2024-02-12,24503.121472144536,20392.501179737887,28894.026562141746
2024-02-13,25435.331336377883,21041.030066609823,29703.883110991836
2024-02-14,25233.297196778294,21158.570259649077,29352.263777350934
2024-02-15,25641.130378613456,21479.945362542046,29793.180552894726
2024-02-16,25973.232369265403,21582.794904868253,30720.001352009604
2024-02-17,17369.356647934335,12762.76942795616,21644.690743549803
2024-02-18,12682.824899240904,8334.903968056598,16717.21961643357
2024-02-19,24550.266509698882,20379.365758548218,28953.89828649063
2024-02-20,25482.476373591664,21088.602517356463,29402.06692649052
2024-02-21,25280.44223364941,21314.412097469325,29701.73251065266
2024-02-22,25688.275415133256,21401.141516453627,29752.631381139636
2024-02-23,26020.377405431063,21941.279346406744,30240.109250452057
2024-02-24,17416.501683771887,13152.19940850752,21500.088227948236
2024-02-25,12729.969934723333,8511.213340017355,16878.894690195182
2024-02-26,24597.411545207044,20582.107881018605,28944.006973800933
2024-02-27,25529.62140908904,21210.974112387827,29826.829611610054
2024-02-28,25327.587269145228,21202.577456980915,29249.582887491637
2024-02-29,25735.420450639223,21184.56245413901,29939.316015965684
2024-03-01,26067.522440936198,21747.473722852177,30418.804540348527
2024-03-02,17463.646719306224,13360.809975897233,21919.65366642095
2024-03-03,12777.114970226517,8284.959869678054,16795.939685750065
2024-03-04,24644.556580713263,20544.409327659167,28747.458664092697
2024-03-05,25576.766444592413,21186.378069709288,29761.92234967977
2024-03-06,25374.73230364286,21017.06920128695,29686.711343783107
2024-03-07,25782.565484143328,21455.26635222093,29569.959661880992
2024-03-08,26114.667473450085,21826.778391309763,30617.644178379356
2024-03-09,17510.791750819117,13421.155274276682,21637.738943270513
2024-03-10,12824.26000076928,8490.470591175488,17128.4753423741
2024-03-11,24691.701610261112,20719.22218466925,28726.726176924938
2024-03-12,25623.9114731361,21717.88958104682,29906.59578942237
2024-03-13,25421.87733219486,21163.474231979708,29747.770767280024
2024-03-14,25829.7105126956,21532.952853553947,30225.030416903348
2024-03-15,26161.812502001532,22111.667412606414,30481.946617718968
2024-03-16,17557.936779371375,13589.471192932646,21671.291908328567
2024-03-17,12871.40502931228,8681.13794161103,16834.564972493914
2024-03-18,24738.846638778014,20646.569431276035,28953.352125838657
2024-03-19,25671.056501682782,21323.565178468663,29624.3215927649
2024-03-20,25469.022360746858,21181.8199466508,29653.523897396142
2024-03-21,25876.855541237645,21396.804193358334,29881.021070162802
2024-03-22,26205.483273483318,22052.555560476536,30377.868037286262
2024-03-23,17598.133293825133,13404.579503064426,21902.21306980056
2024-03-24,12908.127286692577,8752.297079048987,16844.67688149962
2024-03-25,24772.094639098224,20250.9019289641,28713.050362065867
2024-03-26,25700.83024493364,21752.73688644186,29897.118028860375
2024-03-27,25495.321846940125,21459.784857847742,29528.71632701056
2024-03-28,25899.680770390187,21673.924963253423,29997.97000053544
2024-03-29,26228.308502637545,22021.61076540665,30349.1028081124
2024-03-30,17620.958522967427,13284.033145583346,21975.62999633908
2024-03-31,12930.952515838606,8537.88215872805,17042.809923193257
