ds,yhat,yhat_lower,yhat_upper
2024-01-01,31243.78328288621,25678.43961895936,36909.27576673312
2024-01-02,32689.421382047785,27229.257810811454,38279.694053512736
2024-01-03,32099.53675279764,26686.361134222076,37721.418468541626
2024-01-04,32769.482545034836,27438.22491696071,38555.715748191804
2024-01-05,33528.615523137894,27972.435884221384,38736.503453928424
2024-01-06,21629.16954081401,16088.980525841685,27262.59168371288
2024-01-07,15929.430246157997,10214.780278559074,21251.51635144071
2024-01-08,31261.549371129993,25674.33293208103,36731.26007538384
2024-01-09,32707.187470330256,27356.11389410743,38463.787871241286
2024-01-10,32117.302841070443,26344.28686309197,37568.852584017324
2024-01-11,32787.248633313175,27312.158911334755,38474.968386180764
2024-01-12,33546.381611426084,27892.81027879479,38658.323141799694
2024-01-13,21646.935629142074,15798.891845854676,27619.244948474785
2024-01-14,15947.196334453458,10256.50939782083,21408.661093123286
2024-01-15,31279.315459423462,25628.868237845043,36564.13990858438
2024-01-16,32724.95355861273,26779.68500322985,38280.85507353019
2024-01-17,32135.068929359102,26840.06777899751,37848.97794447822
2024-01-18,32805.014720864376,27052.690040117766,38275.51273704309
2024-01-19,33564.14769823641,27897.873021140716,39350.012953803125
2024-01-20,21664.701715202507,16191.35521627945,27272.577680694074
2024-01-21,15964.962419775844,10100.764904834088,21777.06565511325
2024-01-22,31297.081544022287,25668.027422071715,36779.81812388951
2024-01-23,32742.719642459146,27171.509505297927,38611.04374181362
2024-01-24,32152.83501247356,26958.21243916081,37486.81150823174
2024-01-25,32822.78080397021,27273.040924226825,38081.62186564176
2024-01-26,33581.91378133878,28095.12451014822,38877.02511406161
2024-01-27,21682.467798307214,16522.017550211593,27251.86740011232
2024-01-28,15982.728502898803,10334.060161124491,21369.27435602827
2024-01-29,31314.84762709358,25890.852108255905,37446.013633206065
2024-01-30,32760.48572556662,27071.08359874441,38519.98436593717
2024-01-31,32170.601095581787,26202.904127900503,37577.51994509597
2024-02-01,32840.546887090604,27238.41482302612,38382.28196123645
2024-02-02,33599.67986444115,28167.21752486036,39027.54556950894
2024-02-03,21700.23388095953,16198.548663370571,27328.210455231165
2024-02-04,16000.494585104681,9862.417228600016,21635.138331034294
2024-02-05,31332.613708890556,25887.057736138275,37114.85463513989
2024-02-06,32778.25180691586,26996.38730478097,38081.37705329246
2024-02-07,32188.367176489097,26304.998213824976,37577.71938746593
2024-02-08,32858.312967555335,27012.11797791744,38246.396140144665
2024-02-09,33617.44594449397,28047.77669782237,39397.082742429346
2024-02-10,21717.999960970745,15789.126017163358,26755.28307106829
2024-02-11,16018.260665137675,10233.597439241195,20904.283152255804
2024-02-12,31350.37978893367,26074.313632368,36568.96109043745
2024-02-13,32796.01788694455,26737.228281235395,38503.76770678331
2024-02-14,32206.133256523968,26511.88260132869,37921.3297720018
2024-02-15,32876.07904759169,27602.364123888285,38148.417667608395
2024-02-16,33635.21202452837,27808.205534966037,38791.43406564515
2024-02-17,21735.76604099417,16125.936203121832,27210.18014875846
2024-02-18,16036.026745170664,10397.142281050381,21753.78907885516
2024-02-19,31368.145868962238,26072.016484096064,37099.63600259061
2024-02-20,32813.78396696757,27194.57578558731,38278.864818993614
2024-02-21,32223.899336535804,26670.058213790475,37806.52022619715
2024-02-22,32893.84512758553,27522.356725553444,38782.878468989606
2024-02-23,33652.978104497764,28527.545306248063,39050.78048529782
2024-02-24,21753.532120971544,16523.029014634838,27230.30513016795
2024-02-25,16053.792825121902,10453.124818524237,21483.635834183093
2024-02-26,31385.911948948196,25640.917318947933,37009.76113540106
2024-02-27,32831.55004694004,27263.96211935664,38125.434586728115
2024-02-28,32241.66541650733,26677.600727392663,38218.203926794486
2024-02-29,32911.611207568145,27259.05460701162,38009.032790708734
2024-03-01,33670.74418447843,28265.410738724084,39262.95754190982
2024-03-02,21771.298200992092,16156.042314260463,27220.159368498553
2024-03-03,16071.558905101165,10271.165602010278,21699.952693549847
2024-03-04,31403.678028930713,25677.785488479156,37090.56027019521
2024-03-05,32849.31612691749,26920.340775386027,38061.60787252893
2024-03-06,32259.431495483357,26559.5633114295,37963.36001683176
2024-03-07,32929.377285551425,27054.003105198764,38295.58775321441
2024-03-08,33688.51026147801,28265.411099072127,38716.26606908648
2024-03-09,21789.064276992547,16126.684192942561,27558.124184823795
2024-03-10,16089.32498014282,10500.802791707476,21454.702997872926
2024-03-11,31421.44410298112,26206.51849983391,36911.318968591004
2024-03-12,32867.08219996515,27281.088006140268,38924.63426477531
2024-03-13,32277.19756853969,27012.069185864915,37866.077347609506
2024-03-14,32947.14335860923,27460.43812801247,38309.10550317073
2024-03-15,33706.27633453388,28050.05514451798,39455.95343507856
2024-03-16,21806.830350049648,16089.70075008738,27032.83851610101
2024-03-17,16107.091053188593,10872.45982534686,21792.559393267955
2024-03-18,31439.210175992583,25802.583630224646,37108.5926414836
2024-03-19,32884.848273015305,26697.453667999598,38441.053428047686
2024-03-20,32294.96364159603,27043.937500711912,37608.04221239334
2024-03-21,32964.90943165525,27451.909920825743,38364.1976339341
2024-03-22,33722.46629165929,28140.828232490054,38736.26879713097
2024-03-23,21821.444191298913,15662.820900294995,27244.981711713812
2024-03-24,16120.128778500339,10661.264525125587,21964.926144660196
2024-03-25,31450.67178538521,26031.65924104698,37176.40602661191
2024-03-26,32894.73376647731,27135.311488838775,38112.59327060563
2024-03-27,32303.27301914165,26753.550321663577,37483.48927408192
2024-03-28,32971.64269330493,27046.646697681506,38246.536200020884
2024-03-29,33729.19955331368,28211.01115831128,39615.06639846302
2024-03-30,21828.177452936092,15844.42485713859,27370.137862600786
2024-03-31,16126.862040143556,10282.707948095274,21452.38543475974
2024-04-01,31457.405047023,26228.50260996266,36806.79722726227
2024-04-02,32901.46702811972,27351.354815173236,38343.218103915875
2024-04-03,32310.006280784295,27134.60799104159,38215.88424391155
2024-04-04,32978.37595493103,27427.101625126783,38458.096995096625
2024-04-05,33735.9328149363,28433.122280133106,38904.69707863847
2024-04-06,21834.91071454886,16347.182726135246,27475.198125521685
2024-04-07,16133.595301734942,11038.09605387321,21817.45249251344
2024-04-08,31464.138308581347,26266.286168604198,37296.40905076126
2024-04-09,32908.20028962049,27272.12150839861,38506.61023156647
2024-04-10,32316.739542232237,26848.330514083187,37926.24957034585
2024-04-11,32985.10921634134,26988.237580407047,38381.165656461046
2024-04-12,33742.66607629999,28225.679700022025,39323.00496545059
2024-04-13,21841.64397587173,16639.15206407881,27218.70959149469
2024-04-14,16140.32856304804,10623.033255426571,21557.154033496718
2024-04-15,31470.87156991705,25711.16773079377,37077.65735377091
2024-04-16,32914.933550948626,27358.77731983294,38586.28698241078
2024-04-17,32323.472803566554,26490.17193987386,38114.1394472094
2024-04-18,32991.84247767714,27676.015133612338,38490.866102782595
2024-04-19,33749.399337652285,28219.758508503437,39278.26057407968
2024-04-20,21848.377237194618,16242.03230732072,27578.764547051487
2024-04-21,16147.061824371804,10570.017705483411,21778.60718633003
2024-04-22,31477.604831252745,25894.456122318574,37348.81498844433
2024-04-23,32921.666811130955,27333.948875662492,37956.83798190673
2024-04-24,32330.206062606314,27123.265905830627,37969.81376695656
2024-04-25,32998.575735550374,27292.57059798739,38397.51891300946
2024-04-26,33756.13259441286,28354.585016366716,39273.76076565776
2024-04-27,21855.1104928009,16499.35006828804,27584.707147892113
