ds,yhat,yhat_lower,yhat_upper
2024-01-01,17304.87916331139,15026.636221574026,19674.22334735035
2024-01-02,18054.890990047297,15705.08219698573,20441.56701160977
2024-01-03,17650.652737774697,15366.272441084628,20059.83520830037
2024-01-04,18106.565453170384,15674.05014392535,20549.3865832363
2024-01-05,18716.090561177618,16387.98420413496,21102.063236058057
2024-01-06,15005.394432642332,12637.00716769961,17358.4620372377
2024-01-07,11636.225234920086,9348.761005471051,14083.959266901413
2024-01-08,17373.45591464038,14886.655870921099,19814.770280846387
2024-01-09,18123.467741392327,15853.025635998893,20494.96016210546
2024-01-10,17719.22948911322,15385.932835764394,20113.091280098764
2024-01-11,18175.142204512624,15736.375665264282,20484.21688200941
2024-01-12,18784.667312525213,16318.778237165048,21099.38216705955
2024-01-13,15073.971184005179,12658.825950584755,17245.007027423675
2024-01-14,11704.801986268012,9436.711720506279,13941.1983025315
2024-01-15,17442.03266598874,15098.690099610394,19878.57574744251
2024-01-16,18192.044492737357,15989.080630527467,20490.822885891914
2024-01-17,17787.806235149277,15421.271672706001,20113.05548594633
2024-01-18,18243.718945236997,15972.742294080032,20605.188206009196
2024-01-19,18853.244047937533,16488.115324461018,21164.003773472723
2024-01-20,15142.547914100269,12665.858000118622,17395.503983906594
2024-01-21,11773.378711052672,9478.310155743367,14179.511206168938
2024-01-22,17510.609385466556,15255.329711362901,19790.395196575995
2024-01-23,18260.621206897355,15939.134025777279,20785.27972972722
2024-01-24,17856.38294931387,15486.271841633421,20151.26219417425
2024-01-25,18312.295659396936,15813.540752857873,20522.026529221414
2024-01-26,18921.820762097304,16601.955271661212,21286.591970388286
2024-01-27,15211.124628260088,12857.768522537228,17439.21024952805
2024-01-28,11841.955425218295,9599.848763726088,14177.123957947835
2024-01-29,17579.186099613242,15225.655771562904,19863.1797158934
2024-01-30,18329.19792105735,16009.447910469322,20746.274889861426
2024-01-31,17924.959663482812,15613.831763183287,20340.56273291344
2024-02-01,18380.872373580616,15893.389940161853,20821.92338210756
2024-02-02,18990.397476281312,16523.065256148395,21504.87558691221
2024-02-03,15279.701342447908,12760.644019638721,17477.628725814277
2024-02-04,11910.532139414954,9438.121767123002,14268.694797489652
2024-02-05,17647.76281382804,15172.072092793544,19892.206598514167
2024-02-06,18397.774635276637,15925.130708266144,20732.270147543586
2024-02-07,17993.53637770024,15738.236777718728,20421.33726795515
2024-02-08,18449.449087797107,16037.779966506596,20812.83871824315
2024-02-09,19058.974190506306,16559.476746934586,21467.492301790353
2024-02-10,15348.278056659974,12831.728423111506,17659.47269644081
2024-02-11,11979.108853634894,9792.610688955716,14268.54799694559
2024-02-12,17716.339528050386,15335.340558104013,20038.73510407755
2024-02-13,18466.351349495922,16071.430097816436,20865.475208165015
2024-02-14,18062.11309192231,15721.53663067965,20310.16836683702
2024-02-15,18518.023499586758,16156.388373882424,20862.865519655268
2024-02-16,19127.54629986317,16870.966197878388,21486.65032535067
2024-02-17,15416.847863578876,13002.360441531513,17597.387843777295
2024-02-18,12047.676358124874,9889.949413284006,14486.983640188717
2024-02-19,17784.90473011081,15466.541756106553,20244.732983031015
2024-02-20,18534.91424912298,16201.90598884104,20978.661457050966
2024-02-21,18130.673689116942,15664.147585185949,20541.599512452343
2024-02-22,18586.58409677582,16440.782949487217,20965.999883071312
2024-02-23,19196.106897046542,16753.9161041456,21363.55926526294
2024-02-24,15485.408460767814,12999.8052815616,17794.120468467107
2024-02-25,12116.236955310254,9832.085410243766,14624.927151690095
2024-02-26,17853.465327305992,15466.168701980221,20160.78753591684
2024-02-27,18603.4748463121,16343.721906297213,20982.0779040084
2024-02-28,18199.234286306004,15766.348144688778,20508.15853269678
2024-02-29,18655.144693970524,16170.506166000634,21030.51879388428
2024-03-01,19264.30266403271,17164.95476461078,21592.967120698493
2024-03-02,15553.239397561,13366.213777899176,17983.17993778852
2024-03-03,12183.703061878028,9890.88369517646,14602.045970530418
2024-03-04,17920.566603668463,15742.814560084358,20282.080050317654
2024-03-05,18670.21129246546,16338.354900837232,21120.72017029629
2024-03-06,18265.60590224189,15966.559246523027,20479.863419444486
2024-03-07,18721.151479698176,16339.570394192891,21127.99134056124
2024-03-08,19330.309449763896,17036.765776916705,21666.137463760588
2024-03-09,15619.246183287925,13185.718096918687,18029.41700737346
2024-03-10,12249.709847615073,9858.01256792483,14694.724762428712
2024-03-11,17986.573389405938,15545.042826993775,20294.877007219322
2024-03-12,18736.21807819688,16471.753945513665,21005.958343572023
2024-03-13,18331.61268797882,15952.588084651563,20752.115500688407
2024-03-14,18787.158265435177,16296.098858843912,21109.599247127873
2024-03-15,19396.316235500613,16975.615401074385,21631.1687524304
2024-03-16,15684.032973811325,13387.179531849135,18172.607916323414
2024-03-17,12313.276642923342,10036.92461425264,14610.61111237358
2024-03-18,18048.920189487606,15727.648996905164,20496.097506145517
2024-03-19,18797.34488308244,16308.247345456883,21168.98865864649
2024-03-20,18391.519497655016,16077.173207345393,20881.8346419996
2024-03-21,18845.84507989365,16696.90096917783,21350.451490786836
2024-03-22,19453.78305474677,16921.12895094381,21916.211612458956
2024-03-23,15741.49979307395,13197.252628052578,17979.038021729077
2024-03-24,12370.743462175353,9933.551035071538,14801.795085277352
2024-03-25,18106.38700874005,15712.351343682802,20489.484474546432
2024-03-26,18854.811702328825,16502.870636912023,21175.134201970042
2024-03-27,18448.986316902272,15923.5280521934,20764.782802113226
2024-03-28,18903.311899151267,16478.342874675884,21280.107389133755
2024-03-29,19511.249874001594,17167.41857591282,21854.77401165148
2024-03-30,15797.257157647025,13402.443928755372,18013.424322643616
2024-03-31,12424.791372072486,10184.234984680566,14780.802791348873
2024-04-01,18158.725463960443,15769.274009188772,20536.505386233664
2024-04-02,18905.44070287363,16579.80705159554,21121.49912143384
2024-04-03,18497.905862770695,16119.427449932904,20835.084776233834
2024-04-04,18950.52199033295,16468.233707944648,21456.16541800075
2024-04-05,19556.750510505666,17194.88118216677,21899.667468857544
2024-04-06,15842.757794146839,13521.019415585579,18225.362318721218
2024-04-07,12470.292008580178,10034.332405285033,14726.999454339295
2024-04-08,18204.226100470532,15919.837641112937,20478.680613446977
2024-04-09,18950.941339380664,16563.415467213246,21295.4616491217
2024-04-10,18543.40649927122,16275.568336472592,20936.24141277207
2024-04-11,18996.0226268372,16581.093746248385,21479.020858863623
2024-04-12,19602.25114700974,17124.98012056353,22024.115402205123
2024-04-13,15888.258430650962,13564.812092827338,18262.503112434286
2024-04-14,12513.817731258252,10122.290295303615,14819.847525737592
2024-04-15,18245.776909331707,15764.967733744326,20600.857933251587
2024-04-16,18990.51723441351,16611.321477739664,21261.11463347647
2024-04-17,18581.007480482123,16108.243203320324,20836.56571767452
2024-04-18,19031.648694223444,16745.33169412193,21323.053609765284
2024-04-19,19635.90230057411,17095.504297544383,21974.176134459074
2024-04-20,15919.934670381981,13561.583434701803,18211.310779712436
2024-04-21,12545.493970990596,10282.931620000069,15012.135867277848
2024-04-22,18277.453149069235,16028.610211993975,20697.705696409073
2024-04-23,19022.19347414471,16556.84695244928,21260.584935400773
2024-04-24,18612.68372021419,16259.692145429904,21125.516481720744
2024-04-25,19063.32493394523,16560.11703374598,21474.275238299826
