ds,yhat,yhat_lower,yhat_upper
2024-01-01,12287.366620870876,9682.735735755352,14700.67962403203
2024-01-02,12939.675988023151,10201.22282044396,15461.10419212341
2024-01-03,12572.656028390435,10014.410515838583,15035.824831775093
2024-01-04,12918.341625989142,10472.86361219799,15457.75633212087
2024-01-05,12986.296853399836,10376.2922714792,15538.174513807026
2024-01-06,8060.980335851673,5633.039210024764,10709.17564831565
2024-01-07,6139.823725613742,3455.9407241762615,8564.73498641618
2024-01-08,12348.437193563967,9877.542111049603,14772.661378946099
2024-01-09,13000.746560731724,10341.233517588218,15728.219566204418
2024-01-10,12633.726601095745,10066.544771512881,15031.671641180832
2024-01-11,12979.412198696471,10442.358197850011,15639.207076468161
2024-01-12,13047.36742611021,10521.883926420074,15654.645683910194
2024-01-13,8122.050908578217,5611.452114832986,10692.011432037254
2024-01-14,6200.894298327648,3559.899572716498,8916.520366733996
2024-01-15,12409.507766277064,9971.179747778946,14969.205552562897
2024-01-16,13061.817133440298,10321.799684247782,15798.739910333845
2024-01-17,12694.79717380665,10112.350071122368,15283.642259837454
2024-01-18,13040.482771593775,10519.804812002556,15492.872004677238
2024-01-19,13108.437999192085,10407.088406272569,15682.278800611162
2024-01-20,8183.121481842021,5670.377153834067,10661.700751931416
2024-01-21,6261.964871778169,3620.69415704886,8843.064101650521
2024-01-22,12470.578339918926,9947.36925672952,15069.970937038044
2024-01-23,13122.887707262573,10494.170950312004,15700.33255363074
2024-01-24,12755.867747817336,10319.047500272822,15329.454112589328
2024-01-25,13101.55334560138,10525.976736898883,15649.194383116344
2024-01-26,13169.508573197922,10745.824857587098,15515.368448403702
2024-01-27,8244.192055848838,5792.310139843262,10779.690438724037
2024-01-28,6323.03544579235,3682.3137007695364,8926.617862657544
2024-01-29,12531.64891391229,9923.361029948499,15036.857911170695
2024-01-30,13183.958281270601,10652.117710800141,15868.423471745435
2024-01-31,12816.938321825717,10210.869307045254,15504.31625204074
2024-02-01,13162.62391961379,10492.151766333101,15688.822800268978
2024-02-02,13230.57914720376,10600.936210756028,15758.157033649948
2024-02-03,8305.26262872461,5779.770622653691,10762.715514863818
2024-02-04,6384.1060175376115,3879.9946378226227,8871.0218102191
2024-02-05,12592.719484544536,9888.869340647383,15391.300850338112
2024-02-06,13245.02885077304,10709.176935812124,15847.530558244825
2024-02-07,12878.00889020109,10171.318588831626,15418.558173201318
2024-02-08,13223.694486861781,10509.600336318459,15737.170467769993
2024-02-09,13291.649713337185,10642.422550480525,15839.012806827237
2024-02-10,8366.333194840765,5841.202185745338,11078.059864960242
2024-02-11,6445.176583662377,3887.2537971721868,9044.215430901486
2024-02-12,12653.790050673011,10142.129368996746,15152.316940733586
2024-02-13,13306.099416895673,10505.136709453234,15784.53777241789
2024-02-14,12939.079456326053,10183.688255006085,15481.701628519979
2024-02-15,13284.76505298739,10671.779740838363,15652.561894152825
2024-02-16,13352.720279461615,10860.48842141809,15926.559786199543
2024-02-17,8427.40376096137,5920.211497703867,10851.977770852514
2024-02-18,6506.247149787139,4033.369076124096,8842.01627140253
2024-02-19,12714.860616210079,10540.027022600721,15221.785301612845
2024-02-20,13367.16998184505,11040.718812779858,15842.238891813315
2024-02-21,13000.150020684725,10408.760272186462,15689.168901186562
2024-02-22,13345.835616753722,10759.65832025697,15951.386420107081
2024-02-23,13413.790842632603,10866.122304725392,15883.090650273045
2024-02-24,8488.474323549388,5984.11300885071,11051.835226532705
2024-02-25,6567.317711778044,3863.4749127745276,9002.403810962915
2024-02-26,12775.93117821589,10260.137927797996,15289.74085317407
2024-02-27,13428.240543845519,10774.062814105624,16037.115392346492
2024-02-28,13061.220582685055,10695.482520587395,15617.021047426251
2024-02-29,13406.906178757985,10743.24613347643,16119.760375858725
2024-03-01,13474.861404635689,10975.858958859833,16069.287968895695
2024-03-02,8549.54488556864,5901.359976392057,10941.416400079575
2024-03-03,6628.388273781465,4095.709935578682,9343.666397555764
2024-03-04,12837.001740220378,10157.375676247173,15298.802098301374
2024-03-05,13489.311105847624,10801.563551327366,16118.987862637843
2024-03-06,13121.864740501802,10684.688120200146,15544.80624745259
2024-03-07,13467.123932391843,10926.595634584866,16204.814268825747
2024-03-08,13534.652754090139,11064.425776320035,16069.928318927294
2024-03-09,8608.909830838355,5898.260469476431,11297.673313088577
2024-03-10,6687.3268148817115,4036.6535247433435,9360.588224122694
2024-03-11,12895.51387713854,10244.467268467628,15630.11751930497
2024-03-12,13547.396838579167,10993.363763637566,16010.402886590826
2024-03-13,13179.950473236497,10443.33015955502,15645.080389403909
2024-03-14,13525.209665127184,10869.66245291145,16178.327734659404
2024-03-15,13592.738486824299,11064.262000416455,16093.276026304296
