ds,yhat,yhat_lower,yhat_upper
2024-01-01,67291.97009392592,59552.06104827863,74914.51849110887
2024-01-02,67933.82674134843,60434.437028306886,76070.65712577188
2024-01-03,66929.05201548009,58898.13177546745,74495.19597455805
2024-01-04,67323.96838719104,59855.76220423265,75287.73431620396
2024-01-05,69709.36038428704,62012.58159268692,77665.15273973942
2024-01-06,56835.77314351804,48946.960900934704,64680.53625086803
2024-01-07,51602.569698427855,43968.068328894726,59239.12246970488
2024-01-08,67499.89058193768,59226.73289243637,74818.35928444265
2024-01-09,68141.74722939754,59967.55939945899,75907.1941239289
2024-01-10,67136.9725035227,58904.32301195768,75030.64635766004
2024-01-11,67531.88887523854,59941.91978670927,75252.51408556208
2024-01-12,69917.2808723443,61918.433822083694,78032.99641649042
2024-01-13,57043.69363161632,49856.00870876818,64928.112738028954
2024-01-14,51810.4901864941,43588.362502168755,59652.055033621305
2024-01-15,67707.81107000016,59838.13139694782,75361.70073300335
2024-01-16,68349.66771744667,59979.53796586019,75932.59895232899
2024-01-17,67344.89299157796,59420.93789264006,74984.1760891075
2024-01-18,67739.809363046,59748.05487118899,75451.24920992073
2024-01-19,70125.20135989858,62178.237738210904,78097.86369275048
2024-01-20,57251.61411890731,49464.81884423501,65100.74894515355
2024-01-21,52018.41067353122,43850.14500435338,59638.7379522334
2024-01-22,67915.73155680516,59908.728388243246,76620.01781978647
2024-01-23,68557.5882039869,60469.88889845304,76545.44912815143
2024-01-24,67552.81347787427,60697.00156806213,76279.08489875068
2024-01-25,67947.72984933305,60337.18668951476,76267.46474203865
2024-01-26,70333.12184618102,62536.95122943406,78215.27175853707
2024-01-27,57459.53460519234,49570.58162785855,65170.38964545454
2024-01-28,52226.331159837006,43602.448123239956,60226.43617894867
2024-01-29,68123.65204305647,60367.08774078933,76315.13299882054
2024-01-30,68765.50869027566,60930.21076537225,76546.70034885414
2024-01-31,67760.73396416275,59996.52117354654,75795.78136818872
2024-02-01,68155.6503356294,60464.81217421613,76233.05846354933
2024-02-02,70541.04233246346,62946.71903031835,78835.93003534345
2024-02-03,57667.45509152438,49392.66673672173,65579.7421174282
2024-02-04,52434.25164622367,44561.64213466128,60720.105601525
2024-02-05,68331.57252953622,60134.916555611104,75584.86452429513
2024-02-06,68973.42917680992,60973.50726020556,77013.62463118316
2024-02-07,67968.65445075821,59592.446716530394,75522.17706936135
2024-02-08,68363.57082228482,60471.76238501638,77056.27471622538
2024-02-09,70748.96281920666,63268.455850411476,78878.12719065582
2024-02-10,57875.37557822482,49680.76891338789,66166.21925991637
2024-02-11,52642.172132947664,44646.72657394026,60503.275138527984
2024-02-12,68539.49301627447,60712.428780880946,76822.49047832802
2024-02-13,69181.34966352838,61499.2864985035,77001.99504590957
2024-02-14,68176.5749374828,61260.778699977716,75885.02121069825
2024-02-15,68571.49130901312,60621.41673122491,76818.6121529627
2024-02-16,70956.88330593325,62940.32320533629,78726.1391178768
2024-02-17,58083.29606493963,50035.05260001785,65866.30244232606
2024-02-18,52850.092619671675,45151.44747892651,61046.775582803166
2024-02-19,68747.41349790935,60695.87392209041,77281.44495068547
2024-02-20,69389.27014008047,61591.89305555837,76988.15178918483
2024-02-21,68384.49540893594,61029.63867632605,76355.92931085783
2024-02-22,68779.411775368,61192.878397897985,76387.92878221054
2024-02-23,71164.80376717872,63710.17448397404,79471.81450308296
2024-02-24,58291.21652111154,50762.89006808846,65854.53606338114
2024-02-25,53058.01307073195,44514.50227226675,60707.042126734385
2024-02-26,68955.33394900776,60691.73705649562,76541.59807811392
2024-02-27,69597.1905911656,61728.15641709313,77752.88257571316
2024-02-28,68592.41586002233,61182.031012493484,76677.73648528954
2024-02-29,68987.33222646291,61126.415134491275,77177.09840979485
2024-03-01,71372.72421827192,63029.34358985532,78805.02921661054
2024-03-02,58499.13697224577,50565.16724978935,66293.05998938612
2024-03-03,53265.93352182256,44862.358081761355,61603.299476556356
2024-03-04,69163.2544000997,60722.980306045676,76565.42770864576
2024-03-05,69805.11104225062,61710.96851151511,77641.6527186459
2024-03-06,68794.86950207499,60643.33341015822,76944.73081108542
2024-03-07,69184.31905948094,61142.120679658314,77603.54930113662
2024-03-08,71564.24424227311,64044.771629854826,79908.99612992533
2024-03-09,58685.190187209235,50744.44338418582,66443.49984048509
2024-03-10,53446.51992779528,45354.00044999897,61362.79359326395
2024-03-11,69338.37399704277,60830.93966581047,77284.87389062652
2024-03-12,69974.76383015451,61811.225781059766,77903.96532196368
2024-03-13,68964.52228998493,60874.90868540658,76551.53902599703
2024-03-14,69353.97184739457,61265.595612018114,77637.55539448898
2024-03-15,71733.89703018503,62582.00205652636,78914.88781793087
2024-03-16,58854.84297512377,50804.66720851995,66545.71507727797
2024-03-17,53616.17271569306,45458.225025316846,62104.93760167036
2024-03-18,69508.0267849092,61602.2329639558,78075.55903199034
2024-03-19,70144.41661805831,61689.79034596496,78881.12351963852
2024-03-20,69134.17507789486,61089.071598767885,77362.21753356187
2024-03-21,69523.62463529674,61743.54260096538,77729.89146524532
2024-03-22,71894.10135402325,64606.3177786342,80158.60124261446
2024-03-23,59005.59883494362,51286.28742378276,67417.0367419904
2024-03-24,53757.48011143587,45872.03034018483,61711.50279038919
2024-03-25,69639.8857165889,62181.5148846297,77886.96702682908
2024-03-26,70266.82708566535,61502.49892153334,77788.2744404484
2024-03-27,69247.13708144228,61177.07702744307,76565.76098760529
2024-03-28,69627.13817480631,61428.90697233204,77665.83903449685
2024-03-29,71997.61489353626,64446.79299445865,79762.10716968372
2024-03-30,59109.11237444261,51248.533353836254,66751.8085227048
2024-03-31,53860.99365094125,46012.90075257778,61670.21526196224
2024-04-01,69743.39925608404,62017.909928994035,77468.1390253601
2024-04-02,70370.34062516814,61937.04937887346,78041.31635601321
2024-04-03,69350.6506209445,61483.277597398665,77430.25485695014
2024-04-04,69730.65171429294,61730.12280037897,77664.4120922522
2024-04-05,72101.12843301828,64589.07618313099,79912.13814386819
2024-04-06,59212.625913912845,51945.97071824187,67596.1062444106
2024-04-07,53954.848449780075,46213.58859034762,62126.32105183105
2024-04-08,69827.59531428215,62275.580440970116,78106.14878113089
2024-04-09,70444.87794269147,62640.26224379442,77995.013602843
2024-04-10,69415.52919780633,61572.23227417891,77604.34961778091
2024-04-11,69785.87155050467,61646.69863280212,77750.14474238497
2024-04-12,72146.68952857045,64283.50303504334,80477.49481958714
2024-04-13,59248.52826881261,51913.79049705321,67704.52944193588
2024-04-14,53990.750804670235,46442.452123122624,61945.51572585733
2024-04-15,69863.49766919244,61701.94259703884,77547.99290498724
2024-04-16,70480.78029759486,62643.92417584883,78759.98831321609
2024-04-17,69451.43155271586,61599.7831107551,77863.33657671911
2024-04-18,69821.7739054179,62258.81378718679,77937.27923038037
2024-04-19,72182.5918834986,63934.91279810652,80161.00964301336
2024-04-20,59284.43062371237,51043.24972918395,67220.24908996857
2024-04-21,54026.65315956763,46751.02140579029,62147.99592426821
2024-04-22,69899.40002410271,62033.444309335995,77650.47636690844
2024-04-23,70509.03679966208,63089.092675876345,78535.45718411326
2024-04-24,69472.04220194655,61625.53991010992,77119.06381941993
2024-04-25,69834.7387017858,61454.63078502442,77625.99349413338
2024-04-26,72187.9108270651,64430.381503494675,79860.43344468235
2024-04-27,59282.10371443085,51693.095192903456,66935.85057747024
2024-04-28,54016.68039747061,46273.46012784509,61787.88669000037
2024-04-29,69881.78140912145,62067.312110646795,78277.72515084919
2024-04-30,70491.41818472631,62796.5732576062,78737.69932516772
2024-05-01,69454.42358699598,62055.70856493501,77833.51854629445
2024-05-02,69817.12008685672,62091.88399088806,77954.5525374701
2024-05-03,72170.29221209415,65062.53126151547,80416.85645545422
2024-05-04,59264.48509946244,51238.75888519802,67105.81339755659
2024-05-05,53999.061782525765,46021.61839536372,61449.13844100212
2024-05-06,69864.16279417794,61664.94213190283,78065.20974515575
2024-05-07,70473.79956977599,62770.42661765359,78243.24952073007
2024-05-08,69436.8049720454,61190.61947576631,77047.52429052592
2024-05-09,69796.11781627801,61952.559714207855,77609.80678485299
2024-05-10,72145.90628589851,64421.13783478119,80082.2133152083
2024-05-11,59236.71551768112,51318.60392275045,67048.48507923943
2024-05-12,53967.90854507415,46335.26263195503,61748.06056372331
2024-05-13,69829.62590111389,61836.39042417388,77784.23629830679
2024-05-14,70435.87902106537,62639.67011202769,78514.72955416037
2024-05-15,69395.5007677143,61648.29690301756,76959.75898253355
2024-05-16,69754.81361193699,60881.95200873101,77247.38538158234
2024-05-17,72104.6020815694,63801.28023694802,80083.46448890211
2024-05-18,59195.41131332585,51169.32460375189,66758.78182856005
2024-05-19,53926.604340742466,45922.04992604809,61398.86652745335
2024-05-20,69788.32169678355,62076.68569353283,77412.27809963671
2024-05-21,70394.57481672821,62706.3261997006,77993.63452556836
2024-05-22,69354.1965633847,61227.1326541153,77682.71254218106
2024-05-23,69713.5094075981,61783.44130359622,77792.11565439052
2024-05-24,72063.29787721159,64074.10541704197,80103.69693856794
2024-05-25,59154.107112055586,51311.44101531383,67135.35233534842
2024-05-26,53885.30014249287,45730.110530127284,62060.5574959658
2024-05-27,69747.01750157763,61596.087957353884,77284.834790656
2024-05-28,70353.27062461595,62256.75898131687,78346.89101459546
2024-05-29,69312.89237433471,61456.50861204304,77447.68697701636
2024-05-30,69672.20522160806,61643.62758402823,77279.69867604507
2024-05-31,72021.99369427607,64084.88047194197,79173.24311436787
2024-06-01,59112.80292909388,51242.25561006213,67189.35088300782
2024-06-02,53843.99595955475,45671.690498006865,61926.06341806273
2024-06-03,69705.71331864083,62094.13370308033,77620.4449984787
2024-06-04,70311.96644167221,62135.39403019486,77587.63995175692
2024-06-05,69271.58819138452,61724.484479257655,77215.68591674164
2024-06-06,69630.90103867422,61725.22994825296,77888.10599740881
2024-06-07,71980.68951135712,64214.871686944425,80101.35396216871
2024-06-08,59071.498746132194,50667.474713488904,66952.68436200453
2024-06-09,53802.6917766282,46111.465646306206,61625.31264347042
2024-06-10,69664.4091359106,61498.017032451025,77190.60479013473
2024-06-11,70270.66225912877,62126.336379226246,78356.65744139216
2024-06-12,69230.28400904872,61104.0085273022,77235.36882914904
2024-06-13,69589.5968565407,61409.93577624927,77050.91688122749
2024-06-14,71939.38532942196,64414.593942616506,80032.50141050995
2024-06-15,59030.19456439971,50658.65488226705,66666.21085654543
2024-06-16,53761.38759507904,45679.896407622015,61731.635767149724
2024-06-17,69623.10495438079,61452.186372837474,77601.15818368726
2024-06-18,70229.3580776002,62376.69163682069,77919.57487315655
2024-06-19,69188.97982750536,60731.28925724967,76297.12966446833
2024-06-20,69548.29267499592,61529.14171231033,76876.3109460208
2024-06-21,71898.0811478726,63560.86050062368,79910.12749513729
2024-06-22,58988.890382838545,51204.06830814428,66437.10890221687
2024-06-23,53720.083413522625,45996.039927937665,61337.71193812034
2024-06-24,69581.80077285098,61461.19139036862,77290.11420241547
2024-06-25,70188.05389605713,62848.12221773039,78234.20003345933
