ds,yhat,yhat_lower,yhat_upper
2024-01-01,25350.863707943747,21081.93461450332,29800.920983740274
2024-01-02,26509.404359051034,21974.755486855916,30552.846650062216
2024-01-03,24884.09479669425,20544.050949069944,29167.151935938793
2024-01-04,26218.898798210346,21841.12919332155,30638.43445051127
2024-01-05,27546.203870557572,22989.523373294745,32072.957056686188
2024-01-06,21042.81637285364,16507.153645184222,25407.407060104466
2024-01-07,13401.396092101804,8976.687010278161,17686.67730511395
2024-01-08,25355.663856374736,21151.780105261976,29723.01029085763
2024-01-09,26514.20450751525,22172.38392811504,30881.937659425905
2024-01-10,24888.894945141947,20709.668090765932,28952.623956914536
2024-01-11,26223.69894666791,21787.934347978604,30391.14130697657
2024-01-12,27551.00401902766,22738.59326149254,31746.910146069604
2024-01-13,21047.61652135373,16704.51288046467,25657.274957773567
2024-01-14,13406.196240570252,8566.990415168748,17851.954185559847
2024-01-15,25360.464004844944,20916.256300277066,29963.05658521517
2024-01-16,26519.004655979465,22330.344516664998,30902.77783773072
2024-01-17,24893.695093612958,20506.27586917032,29495.068002796044
2024-01-18,26228.49909533658,21597.571991137414,30729.613734748767
2024-01-19,27555.80416789409,23189.12286868489,32074.895783810938
2024-01-20,21052.41667040617,16559.669987340545,25278.339656608965
2024-01-21,13410.996389825654,9102.406215671164,18139.82190719319
2024-01-22,25365.264154306013,20796.634283697076,29495.81933022135
2024-01-23,26523.804805624637,22274.435270300954,30926.54643519519
2024-01-24,24898.49524346908,20350.389588166356,28909.585335916247
2024-01-25,26233.29924518135,21668.67405604539,30592.55030832311
2024-01-26,27560.604317739737,22940.566878102967,31941.596668607755
2024-01-27,21057.216820251302,16672.94937049827,25324.17411295179
2024-01-28,13415.796539681309,9069.550967209774,17683.616446023825
2024-01-29,25370.06430412421,21001.036493826807,29880.05526641986
2024-01-30,26528.60495546798,22061.866756481097,30894.40886767663
2024-01-31,24903.295393315642,20771.801184351953,29184.252640896902
