ds,yhat,yhat_lower,yhat_upper
2024-01-01,26742.22775170487,20924.35311587921,33020.46951596717
2024-01-02,27770.695354874595,22453.018923952117,33483.9348945882
2024-01-03,26934.459550600488,21433.589964470957,32762.791244943888
2024-01-04,27834.093567272183,22148.98498758926,33290.180645766945
2024-01-05,28780.367144484895,23144.29585547749,34340.7006902379
2024-01-06,16920.049939771598,11094.655902871067,22565.530458315083
2024-01-07,10349.432373729594,5116.927728181957,16093.239861927792
2024-01-08,26860.07564913306,20750.843335483063,32394.889364037295
2024-01-09,27888.543252343596,22047.666537416764,33648.75661574953
2024-01-10,27052.30744805677,21224.37994179687,32872.63915216571
2024-01-11,27951.941464735686,22234.231279709737,33810.60460118833
2024-01-12,28898.21504196094,22667.511934544396,34318.67349332458
2024-01-13,17037.89783728855,10837.617038201794,22940.39836028461
2024-01-14,10467.280271211706,4859.899117894118,16523.38306220324
2024-01-15,26977.92354661316,21325.2942501909,32722.60758219746
2024-01-16,28006.391149812593,22085.26942601395,33900.17315735304
2024-01-17,27170.155345533396,21413.209566267255,33378.26243754422
2024-01-18,28069.78936070841,21957.433073123466,33660.94709238567
2024-01-19,29016.062936427355,23150.351250549124,34799.765166052806
2024-01-20,17155.74573023751,10829.099058613509,22822.219036306575
2024-01-21,10585.128162657153,5079.174535350932,16367.438824527519
2024-01-22,27095.771436569183,21389.581346560106,32671.021190428975
2024-01-23,28124.239038248408,22286.890286700054,33870.7309956915
2024-01-24,27288.003232473566,21344.482952005153,33306.37466589417
2024-01-25,28187.63724763819,21966.99305814588,34108.99679530831
2024-01-26,29133.91082335454,23057.17302995597,34729.40555555459
2024-01-27,17273.593617167196,11581.223766928062,23215.579935289337
2024-01-28,10702.976049605546,4765.176205750893,16682.797301706327
2024-01-29,27213.619323463645,21335.837016942867,33190.99408891775
2024-01-30,28242.086925179392,22269.50022978014,34291.53846767447
2024-01-31,27405.851119406292,21295.542415099826,33079.044216880444
2024-02-01,28305.485134586812,22565.7999120798,34023.37430892016
2024-02-02,29251.758710281723,23132.243521052107,34775.41242878253
2024-02-03,17391.441507373358,11639.863340110089,23210.45983989761
2024-02-04,10820.823943095595,4816.331723170941,16646.180013500623
2024-02-05,27331.467220276696,21851.668648631156,33143.27986554618
2024-02-06,28359.9348252735,22480.843740332864,34102.367214802696
2024-02-07,27523.69902278756,21588.06907364873,33232.035214639516
2024-02-08,28423.333041254835,23047.064612167178,34163.33260538013
2024-02-09,29369.606620268616,23781.13724315458,35530.69261158268
2024-02-10,17509.289417317766,12085.545947248302,23596.514771042297
2024-02-11,10938.67185306324,4939.075909301089,16600.088236866708
2024-02-12,27449.315130253486,21684.82017494349,33396.05450982653
2024-02-13,28477.78273523673,22591.189089740063,34981.442439341576
2024-02-14,27641.54693275842,21859.733789603288,33375.71020454759
2024-02-15,28541.18095122662,22807.73080466315,34046.01099765152
2024-02-16,29487.454530238898,23486.457414284625,35443.07403712573
2024-02-17,17627.137327275406,11777.282000089028,23450.439289156664
2024-02-18,11056.51976303089,5225.8716539506495,17052.942345029427
2024-02-19,27567.16304085002,21462.374921779297,33819.357696505256
2024-02-20,28595.63064646081,22527.155287683017,34050.15884521394
2024-02-21,27759.39484460324,22327.794185754006,33490.12783581156
2024-02-22,28659.028863682954,22809.149164004022,34650.760021976916
2024-02-23,29605.30244330215,23371.37399423751,35594.862904400296
2024-02-24,17744.985240980957,11992.027172570055,23456.87806048778
2024-02-25,11174.367677342037,5504.152878568423,16930.204337628573
2024-02-26,27685.010955196914,22309.259781004555,33334.0908907143
2024-02-27,28713.47856079231,22702.052290293122,34606.20817887418
2024-02-28,27877.242758933742,22233.049360323166,34134.69713615294
2024-02-29,28776.876778027294,23156.646522752468,34725.26525163956
2024-03-01,29723.150357644994,23889.496135767655,35372.630402929106
2024-03-02,17862.833155364704,12063.462424013887,23812.516551961013
