ds,yhat,yhat_lower,yhat_upper
2024-01-01,11303.790957488764,9655.144881100241,13146.582681438253
2024-01-02,11922.89393375464,10205.942165995635,13667.587810002518
2024-01-03,11593.318920978169,9842.111423166332,13327.749561519393
2024-01-04,11998.165243438667,10281.57870071306,13873.843630837177
2024-01-05,12198.600353718492,10406.246721674546,13943.454711289667
2024-01-06,8874.05762118198,7225.391838574982,10559.969157125215
2024-01-07,6801.443277620703,5038.302201947612,8594.623407605895
2024-01-08,11357.329978534151,9687.586945020403,13083.617652475963
2024-01-09,11976.432954812284,10317.64551154548,13705.512260759535
2024-01-10,11646.857942032026,9951.562148315785,13356.499288761184
2024-01-11,12051.704264494805,10425.887839801482,13885.84596500183
2024-01-12,12252.139374777586,10326.263043685449,13980.36701124995
2024-01-13,8927.596642253418,7223.221762160295,10681.910203949494
2024-01-14,6854.982298681239,5200.6983981952735,8562.07338476512
2024-01-15,11410.86899959472,9667.814931692485,13180.579948795976
2024-01-16,12029.971975869927,10283.606225733392,13823.117930752307
2024-01-17,11700.396963091613,9862.928489047788,13465.76985120961
2024-01-18,12105.243285541796,10340.090159207222,13951.061099368711
2024-01-19,12305.678395811025,10558.736356255045,14086.845059173014
2024-01-20,8981.13566327054,7271.54861082976,10785.951181804665
2024-01-21,6908.521319686804,5061.488704730018,8659.802678512588
2024-01-22,11464.408020591156,9775.246815861765,13237.633948872286
2024-01-23,12083.510996849125,10281.524928877978,13723.084437067308
2024-01-24,11753.935984060721,9876.141960609018,13610.513479623365
2024-01-25,12158.782306508147,10363.449109248577,13910.579967517777
2024-01-26,12359.217416776562,10643.650282610251,14101.991414549635
2024-01-27,9034.67468423635,7329.242125159833,10678.826719935327
2024-01-28,6962.06034065755,5226.441764980926,8746.882542232293
2024-01-29,11517.947041546753,9787.117037341424,13256.04548745993
2024-01-30,12137.050017815498,10404.268126428278,13929.076509538385
2024-01-31,11807.475005027654,10039.04411861731,13488.609970729396
2024-02-01,12212.321327478865,10481.426301256299,13913.2245700765
2024-02-02,12412.756437742097,10703.008706421946,14047.544493830472
2024-02-03,9088.213704265236,7474.69003838543,10760.725816707954
2024-02-04,7015.5993597513825,5365.2902707619005,8710.935113489908
2024-02-05,11571.486059715888,9940.106809269055,13232.167520503453
2024-02-06,12190.589035048079,10467.09793086933,13950.837767497522
2024-02-07,11861.014021325496,10046.092297508932,13593.621614739697
2024-02-08,12265.860342842303,10564.926500924272,14065.242966227679
2024-02-09,12466.295452179642,10839.092923549533,14215.226022409239
2024-02-10,9141.752718691214,7352.182590680066,10774.621124861933
2024-02-11,7069.1383741835725,5392.230190118012,8879.219708210629
2024-02-12,11625.025074150137,9797.549576810774,13412.900655377314
2024-02-13,12244.128049479204,10570.274989237141,13941.639549386438
2024-02-14,11914.553035758569,10188.673043238756,13654.49003641625
2024-02-15,12319.399357275608,10604.445518340843,14074.313938010251
2024-02-16,12519.83446661222,10833.511125149926,14134.49035561518
2024-02-17,9195.291733120299,7487.22857907685,10883.937385611829
2024-02-18,7122.67738861576,5272.5888784832405,8653.61408258729
2024-02-19,11678.564086668648,10001.249943966914,13356.329975145198
2024-02-20,12297.667060082189,10644.339772040812,13980.214839633643
2024-02-21,11968.092044445597,10239.532021228833,13735.02457278687
2024-02-22,12372.938364043841,10590.069109770073,14143.028535567379
2024-02-23,12573.373471460525,10780.77884417152,14204.768832992977
2024-02-24,9248.8307360573,7507.20668951443,10966.893914107066
2024-02-25,7176.216389633071,5482.003604562179,8909.533009348674
2024-02-26,11732.103087695272,9992.196817294796,13476.357741029913
2024-02-27,12351.206061104405,10456.867738452278,14028.296028238137
2024-02-28,12021.631045467682,10178.89242792401,13707.018914072667
2024-02-29,12426.477365069713,10614.887423704045,14094.68418534919
2024-03-01,12626.912472485672,10795.296814348034,14260.933579707244
2024-03-02,9302.369737094792,7668.756955920497,10991.429706876923
2024-03-03,7229.755390657829,5609.167823868896,9015.933274099778
2024-03-04,11785.642088721701,9954.319203698784,13497.660844184878
2024-03-05,12404.745062129585,10663.471736767913,14103.235926504438
2024-03-06,12074.309189633608,10396.706818393186,13750.878547731189
2024-03-07,12478.294652380944,10843.686154558069,14227.753507114157
2024-03-08,12677.868902945098,11051.17798904732,14434.345214427416
2024-03-09,9352.465310697404,7576.45554336097,11138.50512442012
2024-03-10,7278.990107414498,5490.925697733251,9136.924413864554
2024-03-11,11834.015948624421,10075.632016431646,13476.48146463265
2024-03-12,12452.25806517391,10654.980339880472,14202.788275580358
2024-03-13,12121.82219268136,10365.765117289584,13922.359314822635
2024-03-14,12525.807655428927,10887.330987871263,14278.308383340367
2024-03-15,12725.381905992357,10956.278202789466,14551.336150424671
2024-03-16,9399.978313744276,7705.080030595913,11186.360321959879
2024-03-17,7326.503110459535,5620.308861251988,9061.864285441805
2024-03-18,11881.528951657972,10194.78646188143,13602.089690512732
2024-03-19,12499.771068219718,10768.969807995825,14188.683492205339
2024-03-20,12169.335195729112,10396.804545931283,13894.12746718291
2024-03-21,12573.32065847323,10825.381049470383,14239.327539458725
2024-03-22,12771.29571555856,11092.20422170474,14544.021549455187
2024-03-23,9444.292929846193,7661.076877920782,10967.436077150842
2024-03-24,7369.218533076364,5636.3961483509665,9171.740091635145
2024-03-25,11922.645180797546,10164.827532077097,13710.257075764457
2024-03-26,12539.288103877589,10802.432538700048,14342.723865239419
2024-03-27,12207.253037910255,10506.518403412865,13955.226585260254
2024-03-28,12609.63930718386,10762.530351952408,14356.56969951312
2024-03-29,12807.614364269744,11029.269371686347,14449.610063742686
2024-03-30,9480.611578552029,7852.866293262551,11138.848439714471
2024-03-31,7405.53718178403,5743.729958057466,9065.75713592012
2024-04-01,11958.963829505052,10349.422388434832,13727.451761858092
2024-04-02,12575.606752586398,10929.844154941205,14302.637632545096
2024-04-03,12243.571686619149,10631.512310915929,14020.36956470321
2024-04-04,12645.957955887126,10825.625038885893,14544.802254111073
2024-04-05,12843.933012972202,11073.063446171202,14405.671517974868
2024-04-06,9516.930227251652,7908.373216165054,11155.987028369644
2024-04-07,7439.957088154006,5644.728356753369,9240.787251446765
2024-04-08,11991.484993541231,10327.307011218914,13693.34372132569
2024-04-09,12606.2291742836,10832.535956841295,14272.25587025343
2024-04-10,12272.295365976708,10504.232328638056,14062.473298710232
2024-04-11,12672.78289291111,10836.522703180144,14450.70563616273
2024-04-12,12868.859207659518,11238.378937246182,14639.297764285688
2024-04-13,9539.957679603387,7800.188187060475,11205.086910307935
2024-04-14,7462.98454050323,5754.258431725529,9191.804408811322
2024-04-15,12014.51244589774,10159.605234311068,13763.237163154048
2024-04-16,12629.256626637376,10812.894273121366,14346.5157176779
2024-04-17,12295.322818332428,10616.162775025292,14030.248195576234
2024-04-18,12695.810345267062,10918.293423174922,14582.537647633946
2024-04-19,12891.88666001971,11176.29335948377,14696.518670637823
2024-04-20,9562.98513195512,7786.283399430918,11224.227906093618
2024-04-21,7486.011992856234,5638.134777064993,9320.207907539861
2024-04-22,12037.53989825425,10296.947152438299,13753.949753006256
2024-04-23,12650.359230957996,10910.91998173173,14385.914225490562
2024-04-24,12314.500574621938,10538.393072034438,13961.29296421331
2024-04-25,12713.063253517641,11116.471186395305,14459.21406868498
2024-04-26,12907.214720248241,11148.936058395146,14545.76696590405
2024-04-27,9576.388344148487,7827.191406041172,11203.96535336117
2024-04-28,7497.4903570228635,5698.1508642948165,9220.893751658452
2024-04-29,12047.09341437425,10331.46225847826,13775.779876786903
2024-04-30,12659.912747092612,11024.531341772388,14351.896043627106
2024-05-01,12324.054090753078,10561.74377459263,14033.593434270822
2024-05-02,12722.616769655559,10797.807677937053,14475.60198906074
2024-05-03,12916.768236374219,11146.050646733724,14647.445968146278
2024-05-04,9585.941860275398,7950.413677613048,11344.589132442545
2024-05-05,7507.043873155988,5782.216601421506,9369.376896208649
2024-05-06,12056.646930509047,10219.529357346953,13743.602708460878
2024-05-07,12669.466263223194,10944.796408042675,14340.468058866978
2024-05-08,12333.60760688422,10633.330878778144,14086.272732293784
2024-05-09,12730.519847478947,11050.311682839338,14410.348066693241
2024-05-10,12923.02087589339,10976.282896828528,14660.23787018301
2024-05-11,9590.544061499744,7827.515690210255,11234.426968017611
2024-05-12,7509.995636060425,5612.123064194358,9180.735824729712
2024-05-13,12057.948255108373,10166.323173705767,13743.190149119473
2024-05-14,12669.11714951371,10947.780190289499,14365.298765372983
2024-05-15,12331.608054868026,10586.776604157523,14110.526869359865
2024-05-16,12728.520295459992,11058.430705513803,14442.424597212792
2024-05-17,12921.021323876703,11088.697791015062,14656.092774541457
2024-05-18,9588.544509476456,7860.319519807868,11194.655645131323
2024-05-19,7507.9960840433505,5850.088160389001,9199.571059579517
2024-05-20,12055.94870309297,10359.643449183019,13754.107932783158
2024-05-21,12667.11759749409,10952.253882254607,14277.26796442058
2024-05-22,12329.608502851144,10587.296703691227,14142.524702174233
2024-05-23,12726.52074344035,10924.040393852596,14485.103714505682
2024-05-24,12919.021771852484,11012.77833470711,14712.013632233607
2024-05-25,9585.266662484088,7865.622385128276,11257.24224114275
2024-05-26,7503.439942068232,5787.783127814874,9045.32342829569
2024-05-27,12050.114266136681,10373.686285332715,13820.999918422753
2024-05-28,12660.004865573277,10868.562988918433,14354.64247980378
2024-05-29,12321.21747595846,10587.628588294996,14032.85131373019
2024-05-30,12716.851421572597,11037.022611321258,14395.356119195747
2024-05-31,12908.074155008704,11265.055631708034,14640.400031023955
2024-06-01,9574.31904563371,7840.882436230129,11234.676188706833
2024-06-02,7492.492325224066,5769.910245673655,9200.21944426507
2024-06-03,12039.166649294188,10339.129080098408,13791.604751209123
2024-06-04,12649.057248729532,10966.458509317936,14491.232405082917
2024-06-05,12310.269859109445,10565.929361316208,13915.472895366976
2024-06-06,12705.903804729545,10875.362306542704,14509.28951910786
2024-06-07,12897.126538169892,11063.467763611987,14494.757518035052
2024-06-08,9563.371428783332,7747.482450703219,11356.79143748276
2024-06-09,7481.544708381731,5755.323119962122,9048.646945394788
2024-06-10,12027.73728954571,10276.046500060716,13741.347938719253
2024-06-11,12637.14614607047,10952.440707776177,14418.792077930353
2024-06-12,12297.877013546946,10549.718847127231,14014.623975662797
2024-06-13,12693.029216261793,10968.376315387466,14323.73869845457
2024-06-14,12883.770206795238,11095.785503868305,14607.78517826923
2024-06-15,9549.533354502117,7835.847757576555,11223.182532024844
2024-06-16,7467.224891192505,5660.2761577721085,9231.6173356901
2024-06-17,12013.417472360183,10410.081194693787,13775.14022042191
