ds,yhat,yhat_lower,yhat_upper
2024-01-01,4219.7533470156395,3427.3260591776957,5001.919591285744
2024-01-02,4374.9686304160305,3524.5999605226166,5111.5884439949705
2024-01-03,4278.988858725117,3517.6087406034417,5022.524719783583
2024-01-04,4346.631402077499,3614.13938216317,5178.45272589129
2024-01-05,4410.694213708892,3554.109994945394,5233.650497718434
2024-01-06,2917.3363774948857,2126.083391631137,3750.161246714101
2024-01-07,2175.573707388223,1362.8038366985313,2954.535531523119
2024-01-08,4242.608279617958,3473.1181331570247,5026.6721109246955
2024-01-09,4397.8235630234585,3564.664955527207,5174.637900273003
2024-01-10,4301.843791331054,3510.833397177213,5079.752450939089
2024-01-11,4369.486334684246,3607.2882000302143,5095.377839509409
2024-01-12,4433.549146317129,3653.0109491473577,5216.016739042618
2024-01-13,2940.191310108142,2139.625013251202,3740.8039252968797
2024-01-14,2198.4286399973353,1347.1469931937118,2993.538599800606
2024-01-15,4265.463212226791,3514.840163563085,5049.397009734528
2024-01-16,4420.678495630886,3593.8459468463066,5160.795072599797
2024-01-17,4324.6987239393675,3513.05607507299,5080.354715387759
2024-01-18,4392.341267365462,3597.439948631017,5187.004709228885
2024-01-19,4456.404079070944,3677.478112214801,5222.811688501861
2024-01-20,2963.0462429332692,2186.974776904872,3713.7743197472296
2024-01-21,2221.2835728954014,1462.1681324389372,3000.627943819261
2024-01-22,4288.318145199567,3547.088314183991,5061.182117613805
2024-01-23,4443.533428674582,3651.2444252801292,5191.268079026025
2024-01-24,4347.553657056968,3576.511426457354,5147.91816200537
2024-01-25,4415.19620048173,3561.5141192235096,5147.018729604233
2024-01-26,4479.259012186866,3706.7452526742813,5224.384555863675
2024-01-27,2985.9011760495514,2211.085323967413,3804.8903923524044
2024-01-28,2244.138506014036,1446.4401036601262,3044.7241008188744
2024-01-29,4311.173078311406,3560.6389796742183,5066.445308926143
2024-01-30,4466.388361791066,3689.5827611737823,5209.441603989656
2024-01-31,4370.408590173614,3588.6153182480252,5211.196482086669
2024-02-01,4438.051133600421,3674.986673333564,5229.916662335269
2024-02-02,4502.113945302788,3694.826343572854,5265.038683837997
2024-02-03,3008.756109245014,2222.7664514867965,3854.534317872586
2024-02-04,2266.993439289371,1457.9818735511433,3029.6391722716353
2024-02-05,4334.028011671837,3531.841815170136,5109.567023860649
2024-02-06,4489.243295231254,3683.792115231581,5218.95977220669
2024-02-07,4393.2635236943115,3610.569448620266,5177.322670780721
2024-02-08,4460.906067201549,3673.795853892248,5249.293473592566
2024-02-09,4524.968878988513,3754.794511988125,5330.3751819680365
2024-02-10,3031.611042925336,2281.777248266615,3780.2982186268327
