ds,yhat,yhat_lower,yhat_upper
2024-01-01,5608.939883671849,3448.579704711186,7850.115641991336
2024-01-02,5721.079214603189,3466.3654858600516,8016.2440635242865
2024-01-03,5920.438594987249,3793.7758749904356,8139.443946041583
2024-01-04,5788.723006122339,3632.182661038501,8099.70617851658
2024-01-05,6196.361595643626,3850.085925910367,8259.742145940438
2024-01-06,5296.358392282059,3206.384195091222,7644.480453236265
2024-01-07,3820.768559344395,1683.383190614981,6008.043723168142
2024-01-08,5687.9367725513475,3438.907232668452,8225.66127245134
2024-01-09,5800.076103487907,3666.95542965394,8058.177662146691
2024-01-10,5999.435483868762,3822.881423157897,8308.753609567519
2024-01-11,5867.719895005179,3614.880068331052,8026.446843411739
2024-01-12,6275.3584845299765,4109.875506163918,8329.855912005285
2024-01-13,5375.355281172451,3114.9087279334613,7690.207834196752
2024-01-14,3899.765448230044,1637.465103351399,6105.093428042168
2024-01-15,5766.933661436941,3555.8589437963547,8010.802499227442
2024-01-16,5879.072992372625,3877.3220459531644,8137.67432365481
2024-01-17,6078.432372754621,3851.0620852596257,8281.012369265727
2024-01-18,5946.716783643935,3746.964605027391,8278.849724354328
2024-01-19,6354.355372922618,4204.828080397336,8605.515618798472
2024-01-20,5454.3521693156745,3255.3605190756716,7660.370904367874
2024-01-21,3978.762336125592,1754.426174431844,6271.440197410603
2024-01-22,5845.930549088261,3759.3426505395246,8041.415026814479
2024-01-23,5958.069879775069,3792.2050788293227,8189.380419114586
2024-01-24,6157.42925991188,3869.647833350355,8388.739813132215
2024-01-25,6025.713670798791,3813.8159896882817,8301.153977711047
2024-01-26,6433.352260078169,4219.202917193994,8697.968221618547
2024-01-27,5533.349056471481,3479.7248212209624,7834.616644921835
2024-01-28,4057.7592232832585,1881.3480162720393,6318.66255366199
2024-01-29,5924.927436239777,3826.873006236104,8194.931118706372
2024-01-30,6037.066766930659,3657.2410484895527,8170.893217410564
2024-01-31,6236.426147067582,4015.9306036844123,8359.518026770958
2024-02-01,6104.71055795911,3837.7739336416944,8273.560968576821
2024-02-02,6512.34914723372,4113.651719483724,8830.460327813244
2024-02-03,5612.345943497272,3266.1862910816294,7825.734273315267
2024-02-04,4136.756110183337,1917.510264246867,6331.074028944369
2024-02-05,6003.9243230141565,3563.0139839370327,8067.490526871029
2024-02-06,6116.0636535765625,3921.452009805293,8285.59125894337
2024-02-07,6315.423033584744,4200.346624985914,8570.382804490286
2024-02-08,6183.70744434772,3926.4566520251046,8425.890862845474
2024-02-09,6591.346033496896,4339.51998070946,8759.087895326464
2024-02-10,5691.3428297568125,3473.6182709255713,7885.648965823321
2024-02-11,4215.752996445704,1972.350182066231,6481.952867591644
2024-02-12,6082.921209277917,4009.5278579387686,8262.07886871581
2024-02-13,6195.060539839341,3944.7167686700604,8356.437244465815
2024-02-14,6394.419919848661,4282.201449320585,8549.295288243407
2024-02-15,6262.704330611389,3925.8520529339153,8393.581436170307
2024-02-16,6670.342919761308,4356.37791277057,8765.352279965562
2024-02-17,5770.339716018661,3549.299508035106,7805.786850872368
