ds,yhat,yhat_lower,yhat_upper
2024-01-01,8001.477314428529,6730.334978269859,9225.7517000886
2024-01-02,8234.575969318377,7008.42958625016,9478.269868671794
2024-01-03,8134.721654385619,6857.545374508402,9408.265742855125
2024-01-04,8241.302669053712,7027.42418833086,9471.609361647214
2024-01-05,8554.996480988922,7374.2317485349595,9788.270644006829
2024-01-06,6368.654077115805,5010.7145390936075,7680.74777255096
2024-01-07,4880.826455590248,3668.8286483740494,6081.312323914625
2024-01-08,8040.438723045818,6677.177983220286,9206.914431751276
2024-01-09,8273.537377943752,7032.93492398583,9508.950304099122
2024-01-10,8173.683063008157,6991.728774214013,9408.87551166962
2024-01-11,8280.264077677773,6998.092584172269,9541.722871689324
2024-01-12,8593.957889615878,7334.476023134905,9799.356533068507
2024-01-13,6407.615485750614,5250.219910147329,7657.016895626687
2024-01-14,4919.787864217997,3710.702266600141,6129.3246039765045
2024-01-15,8079.400131673268,6806.810847962193,9287.46578041149
2024-01-16,8312.498786569127,7040.89678074436,9489.276320510353
2024-01-17,8212.644471635012,6904.792345996629,9495.851882776702
2024-01-18,8319.22548631975,7015.571610959352,9600.285818306258
2024-01-19,8632.919298272753,7464.719670703222,9874.769989359744
2024-01-20,6446.576894419696,5312.056476133615,7652.14444875274
2024-01-21,4958.7492729020205,3708.263776705967,6241.302938162616
2024-01-22,8118.361540375527,6844.955491105118,9300.842760642829
2024-01-23,8351.460195283336,7112.3979397747,9515.244481951691
2024-01-24,8251.605880366149,7086.47421526562,9467.550107284887
2024-01-25,8358.186895048542,7100.552233645471,9474.537519391066
2024-01-26,8671.880707001274,7400.370316179109,9860.623654395222
2024-01-27,6485.538303148624,5229.380763620256,7634.362961228799
2024-01-28,4997.710681634501,3820.076988372844,6230.196219774306
2024-01-29,8157.322949097547,6927.191076564974,9475.128006267045
2024-01-30,8390.421604012508,7168.242904118257,9654.621296747528
2024-01-31,8290.567289095578,7098.199164025356,9435.255188314439
2024-02-01,8397.148303781545,7144.093529345592,9773.236133769218
2024-02-02,8710.842115729796,7441.685488264183,9914.410624892329
2024-02-03,6524.499711417822,5326.250557449753,7789.827107461051
2024-02-04,5036.672089446431,3804.5765226098215,6215.615411247454
2024-02-05,8196.28435645831,6919.549876745509,9473.71510219948
2024-02-06,8429.383010914684,7192.377905714233,9673.415318866051
2024-02-07,8329.528695540092,7128.7059305405,9620.550300907544
2024-02-08,8436.109709768441,7133.327026439243,9660.774792830767
2024-02-09,8749.80352126488,7594.112258396365,9971.137001940404
