ds,yhat,yhat_lower,yhat_upper
2024-01-01,13754.865935737089,10748.81298961658,16355.677961363916
2024-01-02,14883.707254657182,11977.574718150601,17668.835907139208
2024-01-03,14853.963411499393,11996.610948728934,17586.65072107208
2024-01-04,15220.52748383456,12363.016699110727,18085.73626826058
2024-01-05,15839.073908801493,12962.244230464292,18565.395125159826
2024-01-06,13925.641424071515,11066.776066559984,16578.90485741972
2024-01-07,9702.527053722672,6876.53091969702,12395.96906245704
2024-01-08,13886.357630496628,11329.713483401885,16522.08406986264
2024-01-09,15015.198949431291,12122.240247180365,17812.269528956505
2024-01-10,14985.455106264713,12199.07848287507,17777.142430566913
2024-01-11,15352.019178604261,12460.554406208617,18158.927635127777
2024-01-12,15970.56560357774,13170.272540147604,18804.42414779745
2024-01-13,14057.13311885967,11357.916975670407,16839.064048919357
2024-01-14,9834.018748496126,6852.80414150507,12559.984799929254
2024-01-15,14017.849325271965,11352.403114186256,16819.388022986786
2024-01-16,15146.690644205402,12437.900098483777,18122.60828227546
2024-01-17,15116.94680104124,12252.280377640946,17626.768831030844
2024-01-18,15483.510873340922,12557.417517090671,18230.02153395333
2024-01-19,16102.057298276093,13223.25088245291,18822.829683083422
2024-01-20,14188.624813513237,11547.627497959596,16854.625968720942
2024-01-21,9965.510443112416,7117.360200287574,12760.251999487715
2024-01-22,14149.341019852558,11201.79195487811,16676.74062991703
2024-01-23,15278.182338741637,12541.410023084018,17994.580540434723
2024-01-24,15248.438495543438,12449.629337557606,17951.521568643155
2024-01-25,15615.002567837988,12669.449072087298,18353.42692403444
2024-01-26,16233.548992774662,13465.814078307132,19017.259670754407
2024-01-27,14320.116508011013,11519.611906882817,17176.899164244966
2024-01-28,10097.002137613237,7273.794707725794,12781.667868429886
2024-01-29,14280.832714339465,11585.78690063897,17223.80490554425
2024-01-30,15409.674033238927,12677.29710339014,18265.47612277013
2024-01-31,15379.930190041727,12687.06924237188,18012.544223841483
2024-02-01,15746.494262345312,13005.101874792084,18525.890757688674
2024-02-02,16365.040687273233,13653.550008928163,19093.299969142976
2024-02-03,14451.60820299666,11557.914566849804,17126.289054302564
2024-02-04,10228.493833095386,7409.295119724243,12700.004307079465
2024-02-05,14412.32441031726,11491.827300369037,17192.248521543534
2024-02-06,15541.165729704606,12892.893401689498,18442.731553802594
2024-02-07,15511.421886995273,12660.348529879035,17998.338396913696
2024-02-08,15877.985959788686,13042.25970625703,18818.203033054935
2024-02-09,16496.532385212224,13671.269373252459,19209.76514837456
2024-02-10,14583.099900928615,11665.03138261203,17343.122825297913
2024-02-11,10359.985531032877,7672.859870382123,13288.265548147132
2024-02-12,14543.816108255378,11615.43749016273,17301.518335847693
2024-02-13,15672.65742764344,12974.764061099142,18488.070158167357
2024-02-14,15642.913584936521,12664.272568821243,18488.254859361132
2024-02-15,16009.47765772902,13294.376293464307,18755.293611325975
2024-02-16,16628.024083153196,13929.508710528971,19509.118088572734
2024-02-17,14714.59159886375,12272.696951721437,17228.473991880357
2024-02-18,10491.477228970369,7707.524142099127,13248.026538699756
2024-02-19,14675.3078059294,11866.864580275249,17650.41109911963
2024-02-20,15804.14912504495,13038.650092916385,18723.7266096977
2024-02-21,15774.405282073836,12943.884283436359,18528.732194125725
2024-02-22,16140.969354591534,13443.786791709594,18928.90421466381
2024-02-23,16759.515779744193,14031.656471210852,19530.717197379607
2024-02-24,14846.08329519102,12047.873299861625,17658.969030950586
2024-02-25,10622.968925031932,7820.412914096658,13390.852424456518
2024-02-26,14806.799501993613,12147.578052694356,17409.84305426467
2024-02-27,15935.640821103756,13066.71634463434,18654.23449728561
2024-02-28,15905.896978131948,13165.412163045141,18735.25316056292
2024-02-29,16272.461050656024,13620.637127767533,18971.077736860334
