ds,yhat,yhat_lower,yhat_upper
2024-01-01,61149.31146076205,52278.02271835269,69907.22465460014
2024-01-02,61921.651154835956,54093.80458174969,70540.74463611872
2024-01-03,61769.69045574738,53094.04657726742,70883.09638475328
2024-01-04,63172.09764637249,54070.342198858416,71869.93003842153
2024-01-05,64295.08629121985,55971.94790505014,73143.18512955753
2024-01-06,54711.6212310473,45998.41517020902,63043.16996155043
2024-01-07,43196.77875655608,34364.929162154775,51140.99875760885
2024-01-08,61572.1042272194,53150.858466885256,70327.90187764773
2024-01-09,62344.44392134146,53590.798621088565,70678.61663561306
2024-01-10,62192.48322222528,53764.715452114535,70555.06979539577
2024-01-11,63594.89041286383,55125.696295420676,71386.70607925479
2024-01-12,64717.8790577357,56661.51405874506,73087.48105100672
2024-01-13,55134.41399760454,46207.177338113695,63194.2433207954
2024-01-14,43619.57152306912,35575.088457332415,52299.08898760552
2024-01-15,61994.89699373284,53557.949438598866,70524.91083472334
2024-01-16,62767.23668784696,54826.75288604629,72145.05915948395
2024-01-17,62615.275988742695,54077.891182802356,71308.13530852454
2024-01-18,64017.68317906416,54783.80164269663,72777.05444493757
2024-01-19,65140.67182362387,56170.589807110606,74178.28004460462
2024-01-20,55557.206763159535,47576.308004917104,64755.1773823112
2024-01-21,44042.364288312936,35046.690371677505,52595.186818476664
2024-01-22,62417.68975867702,54269.3716307747,71085.41414408575
2024-01-23,63190.029452456605,53783.18286963675,70524.4505676734
2024-01-24,63038.06875305349,53888.02284566564,71501.96634392362
2024-01-25,64440.475943358564,55574.417396932644,72807.87323496892
2024-01-26,65563.4645879214,57143.67701855158,74672.15957891574
2024-01-27,55979.99952745914,47852.308326891936,64985.14044082527
2024-01-28,44465.15705262904,36112.29739164117,53015.72028967511
2024-01-29,62840.48252293743,54048.15221713891,71352.01899361463
2024-01-30,63612.8222167524,54528.93704454302,72145.58875893042
2024-01-31,63460.861517354206,54603.600072512134,71340.56380787733
2024-02-01,64863.26870769398,56149.61712687568,73182.85977548808
2024-02-02,65986.2573522189,56893.228867189275,74667.86506485523
2024-02-03,56402.792291078804,48349.41521371333,65101.768630046936
2024-02-04,44887.94981558934,36532.69521801918,53482.01301718137
2024-02-05,63263.27528526453,54776.05697003948,71389.46567438447
2024-02-06,64035.614978404126,55601.69509516519,72765.9002221343
2024-02-07,63883.654278333874,54896.42495302098,72282.99746980047
2024-02-08,65286.0614680031,56917.77894933876,74326.56937297425
2024-02-09,66409.05011189257,57773.45397913508,75508.78759861279
2024-02-10,56825.58505071323,48513.846371341686,65462.05167627456
2024-02-11,45310.742575249045,37189.08972024616,54329.26502791985
2024-02-12,63686.06804492831,55525.422823429704,72198.14821008733
2024-02-13,64458.407738063215,55986.074547070406,73382.85754764863
2024-02-14,64306.44703800488,55712.252689589564,73108.71822329007
2024-02-15,65708.85422767088,57109.692558399795,74873.9445751495
2024-02-16,66831.84287156204,58459.03305044875,75596.37589641503
2024-02-17,57248.37781036336,48273.99494554723,66326.55647485984
2024-02-18,45733.535334908775,37015.137641561785,55294.05352554594
2024-02-19,64108.86080582287,55177.063400146515,72688.44597790022
2024-02-20,64881.20050017857,55895.63855437844,73491.47822104555
2024-02-21,64729.239801348805,56271.1236754533,73230.41895883303
