ds,yhat,yhat_lower,yhat_upper
2024-01-01,4122.617967137176,3005.0139373193147,5262.503064992569
2024-01-02,4194.705814977981,3143.8293467269095,5292.282247577186
2024-01-03,4064.082005462374,2909.334413614757,5217.328290513462
2024-01-04,4094.2365413919442,3023.96679689421,5315.814961434839
2024-01-05,4108.0466404512445,3020.9911644710414,5110.718177732627
2024-01-06,2990.305561521648,1860.8952367595177,4086.0624985478325
2024-01-07,2433.2839447839724,1257.3755881197903,3525.840432518247
2024-01-08,4159.456826373989,2968.211951264814,5285.108686969479
2024-01-09,4231.544674218892,3106.816268566547,5390.584727948144
2024-01-10,4100.920864701885,2940.8818259210248,5238.1727114755995
2024-01-11,4131.075400632207,3030.997398740164,5253.436475677244
2024-01-12,4144.885499692879,3003.433564412165,5318.271282204858
2024-01-13,3027.1444207670265,2009.428645568913,4228.573511763902
2024-01-14,2470.1228040262527,1329.2759380471086,3610.509839214598
2024-01-15,4196.295685616011,3172.877761341772,5282.398607832884
2024-01-16,4268.383533459804,3157.611903174417,5410.718384703455
2024-01-17,4137.759723943591,3093.3372478566343,5206.6757480886245
2024-01-18,4167.914260108447,3029.4153873229884,5308.634966432648
2024-01-19,4181.724359403536,3073.03064431681,5237.501068294776
2024-01-20,3063.9832807109974,1955.8335118550362,4196.023603200491
2024-01-21,2506.9616642049195,1350.3493674942933,3641.2996978605715
2024-01-22,4233.134546030586,3149.4457653474587,5366.884584342499
2024-01-23,4305.222394107268,3159.4974526089272,5447.057543016047
2024-01-24,4174.598584826754,3134.385151058511,5419.033116126544
2024-01-25,4204.7531209902845,3072.0310596845593,5294.499815594559
2024-01-26,4218.563220285202,3061.6173885848752,5345.894438471522
2024-01-27,3100.822141593011,2021.4745342369397,4172.060731416769
2024-01-28,2543.8005250887745,1416.141387962147,3631.131738511338
2024-01-29,4269.9734069089745,3187.7298621887853,5406.590312195569
2024-01-30,4342.061254989243,3262.8393501586397,5414.66076573196
2024-01-31,4211.437445708937,3124.335478160726,5309.6926225905945
2024-02-01,4241.5919818745415,3094.0626622166014,5342.695350523319
2024-02-02,4255.402081166867,3167.499619820223,5365.919532171426
2024-02-03,3137.661002343809,2136.6214707575464,4263.61642974987
2024-02-04,2580.639385708673,1507.1997858882278,3624.618071491268
2024-02-05,4306.812267402699,3182.7919313085135,5410.956687552802
2024-02-06,4378.900115352134,3335.1105701097435,5450.650134070485
2024-02-07,4248.276305941627,3146.7106663494924,5382.319383212771
2024-02-08,4278.430841976987,3158.1096724219115,5476.220607106811
2024-02-09,4292.2409411425115,3203.2733501557336,5456.389928285884
2024-02-10,3174.4998623152155,2083.6487386779504,4342.500041245144
2024-02-11,2617.47824568241,1544.8022688118574,3636.1657259740796
2024-02-12,4343.65112737718,3171.7266605695577,5442.024810861849
2024-02-13,4415.738975325329,3315.211459411829,5503.619462877745
2024-02-14,4285.115165915617,3183.2987230099056,5399.335697394201
2024-02-15,4315.269701951001,3218.9451594427583,5398.843520173702
2024-02-16,4329.079801116431,3306.0345846113496,5433.184143048428
2024-02-17,3211.338722287938,2076.295986571292,4415.122612401942
2024-02-18,2654.317105656147,1428.8291489022781,3765.347705705113
2024-02-19,4380.466036225852,3282.7310433713747,5502.545405733777
2024-02-20,4452.529933048937,3341.9093575264824,5491.269757814075
2024-02-21,4321.882172513231,3233.967119563738,5425.328790975225
2024-02-22,4352.012757421715,3246.4290206015603,5474.264289770929
2024-02-23,4365.798905459971,3279.0191440147782,5457.699184932866
2024-02-24,3248.0338755079124,2141.794840632056,4343.008717644048
2024-02-25,2690.988307748345,1645.5791102643288,3798.3437087287616
2024-02-26,4417.1372383219505,3285.0277726311724,5586.390726157297
2024-02-27,4489.201135143413,3369.8913210422766,5559.370793597164
2024-02-28,4358.553374607799,3210.1786895339683,5452.510615483162
2024-02-29,4388.683959517521,3310.2784776033936,5537.1472585634265
2024-03-01,4402.470107555682,3283.491670863556,5509.156908794881
2024-03-02,3284.7050776073675,2119.7647496761615,4441.306083062111
2024-03-03,2727.6595098438743,1607.3115950611548,3798.999937330865
2024-03-04,4453.8084404178735,3323.220773987782,5506.792614639567
2024-03-05,4525.872337238912,3425.374356206693,5674.881385729782
2024-03-06,4394.843035017323,3177.5700730756275,5514.639728150198
2024-03-07,4424.59207824322,3305.9148435043744,5516.335031297483
2024-03-08,4437.99668459766,3317.258862867402,5573.590218530137
2024-03-09,3319.8501129643114,2207.207509582169,4411.716973910301
2024-03-10,2762.4230035199125,1676.1434365743548,3909.41684110872
2024-03-11,4488.19039240959,3330.8794716855004,5573.552636341643
2024-03-12,4559.872747544943,3499.533318332198,5698.129902084173
2024-03-13,4428.84344532466,3323.7592253017538,5489.139543191011
2024-03-14,4458.59248855058,3290.493557081751,5505.269435692467
2024-03-15,4471.997094904925,3313.9039658112533,5571.481609728297
2024-03-16,3353.850523271698,2211.8744229805575,4489.132090725048
2024-03-17,2796.4234138261672,1666.1083198150034,3929.9002554986087
2024-03-18,4522.1908027120335,3365.2988839475406,5575.560044509258
2024-03-19,4593.873157851485,3525.220669020878,5689.775904022794
2024-03-20,4462.843855631995,3375.4338137264067,5626.350239493593
2024-03-21,4492.592898856474,3338.501162728147,5640.435553305176
2024-03-22,4503.912645624989,3388.5324260235325,5537.902671885109
2024-03-23,3383.681214410076,2266.0715170538238,4401.593026164585
2024-03-24,2824.1692453771075,1698.714627776576,3904.538270689763
2024-03-25,4547.851774677057,3399.6019602111296,5629.9614198631625
2024-03-26,4617.449270229229,3501.3682028837748,5735.969641657292
2024-03-27,4484.33510842429,3432.987035381699,5595.971294149036
2024-03-28,4511.999292065699,3387.451355783622,5586.101910725753
2024-03-29,4523.319038834378,3401.3668373863675,5637.559382964142
2024-03-30,3403.08760761786,2291.6451573438235,4443.425163986167
2024-03-31,2843.5756385854165,1775.2253778378367,3970.4473827005672
2024-04-01,4567.258167884932,3444.846919581421,5735.247670686728
2024-04-02,4636.855663438009,3521.3854907207174,5767.564370614716
2024-04-03,4503.741501633004,3467.580018547817,5664.354755792083
2024-04-04,4531.4056852719905,3399.462604240993,5646.616582418572
2024-04-05,4542.725432040499,3450.8753595843227,5623.192685648929
2024-04-06,3422.4940008230124,2302.317391387877,4471.479125196282
2024-04-07,2860.3516293905072,1814.063095734794,4049.685842625017
2024-04-08,4581.403756288378,3517.3331875322656,5671.208008069518
2024-04-09,4648.370849437779,3591.440189053148,5764.2967631212105
2024-04-10,4512.626285228984,3377.7513752863065,5636.800395979615
2024-04-11,4537.66006646633,3321.890646202039,5670.252326382519
2024-04-12,4546.349410832277,3395.634956920031,5686.491830343188
2024-04-13,3423.487577212747,2312.9685329114805,4562.51580902909
2024-04-14,2861.3452057787526,1782.8746314098087,4017.52487346413
2024-04-15,4582.397332679519,3447.0567782371922,5676.663161658094
2024-04-16,4649.3644258279855,3537.7643549753716,5707.608764725823
2024-04-17,4513.619861619985,3473.3539033017646,5587.155451745624
2024-04-18,4538.653642857356,3409.698079890145,5649.30193144786
2024-04-19,4547.3429872249335,3448.4711999848205,5711.748762176244
2024-04-20,3424.4811536024818,2342.2592100000584,4524.181869451491
2024-04-21,2862.338782168674,1734.064806619707,4033.1460022685815
2024-04-22,4583.390909070661,3470.6723124078826,5702.003458394082
2024-04-23,4648.231126586207,3551.2272861568267,5782.268019532181
2024-04-24,4510.359686746941,3466.521864955872,5656.34182250129
2024-04-25,4533.266592350514,3423.782901851901,5668.997475303346
2024-04-26,4539.829061089967,3418.367354028396,5688.583911918817
2024-04-27,3414.8403518348455,2340.4157861351714,4475.349461156211
2024-04-28,2850.571104771405,1726.4062118327206,4008.16695966335
2024-04-29,4569.496356036628,3544.944261145626,5729.001793343438
2024-04-30,4634.336573557424,3567.615817157806,5818.8788472819015
2024-05-01,4496.465133716527,3396.025637941876,5603.825664398906
2024-05-02,4519.372039322685,3454.4865540771643,5584.4662018916
2024-05-03,4525.934508057491,3391.829174470286,5702.590608978144
2024-05-04,3400.945798802945,2262.367403709003,4448.965969370816
2024-05-05,2836.6765517418344,1690.500409399196,3986.0147940553215
2024-05-06,4555.601803007452,3357.7665777066313,5560.768481591963
2024-05-07,4620.442020526801,3480.191967252652,5810.9129236774115
2024-05-08,4482.570580686113,3430.9229895201547,5521.0692311151815
2024-05-09,4504.933589928381,3369.571240946386,5658.5951174876855
2024-05-10,4510.952162301011,3420.9782271510685,5686.246256649124
2024-05-11,3385.419556686664,2228.891188411873,4410.451416675612
2024-05-12,2820.606413258081,1745.8476124063761,3948.7848692616963
2024-05-13,4538.987768160897,3418.8948384540276,5650.825417854457
2024-05-14,4603.284089315926,3538.4857517125897,5680.7116627544965
2024-05-15,4464.868753111976,3280.307635505463,5634.900680837899
2024-05-16,4487.231762353753,3383.7657523676335,5562.012341176242
2024-05-17,4493.250334726803,3345.6982812385004,5535.492387979057
2024-05-18,3367.7177291099433,2222.665110528004,4436.425451903532
2024-05-19,2802.90458568369,1755.2491298630848,3873.557799256236
2024-05-20,4521.285940586899,3436.80310821634,5584.058231610541
2024-05-21,4585.582261740483,3462.6966301093803,5723.999385675388
