ds,yhat,yhat_lower,yhat_upper
2024-01-01,5888.9953931392865,5004.6157805649555,6772.182110846181
2024-01-02,5998.617982840439,5153.321840647528,6893.102547996309
2024-01-03,5861.073623611531,4950.156356050782,6741.8831676201435
2024-01-04,5954.104311938105,5051.1171528852265,6766.443427089004
2024-01-05,6343.976273860832,5435.109415315508,7228.045111339349
2024-01-06,5200.481991920061,4258.644996220303,6042.321552793623
2024-01-07,4067.601945759895,3167.171255557182,4975.240728931045
2024-01-08,5921.267505823583,4963.0951236582805,6834.156627040252
2024-01-09,6030.890095529638,5180.930234738997,6925.895849377445
2024-01-10,5893.345736298613,5010.562608572048,6784.591300693136
2024-01-11,5986.376424626431,5057.988722308429,6924.089083257556
2024-01-12,6376.248386551246,5484.661246374756,7275.71524384965
2024-01-13,5232.754104615141,4261.623851751964,6144.036670140298
2024-01-14,4099.874058450291,3232.348038778171,4939.750746091688
2024-01-15,5953.539618513956,5043.307501517283,6840.241348856961
2024-01-16,6063.162208218836,5094.413643483649,6957.524288295417
2024-01-17,5925.617848988788,5024.721114450737,6864.286006793848
2024-01-18,6018.648537438194,5144.111516009996,6913.450108395877
2024-01-19,6408.520499484547,5507.641067008873,7272.2542830158945
2024-01-20,5265.02621766789,4356.962264720769,6179.259634273878
2024-01-21,4132.146171624459,3250.746156117165,5060.669742813768
2024-01-22,5985.811731811546,5154.180653790442,7004.754977493089
2024-01-23,6095.434321635904,5176.616052628978,6939.921456028981
2024-01-24,5957.889962528966,5045.095939406319,6896.490312892873
2024-01-25,6050.920650976626,5123.513753390415,6937.606093236624
2024-01-26,6440.792613023025,5603.567275617357,7279.267753444409
2024-01-27,5297.298331206416,4437.000842995872,6143.388980009807
2024-01-28,4164.418285164962,3237.3824770031915,5068.855270484458
2024-01-29,6018.083845345951,5084.603848738462,6921.730064937025
2024-01-30,6127.706435174414,5250.745679988358,7096.163451515584
2024-01-31,5990.162076067703,5109.066577438838,6872.579599133103
2024-02-01,6083.192764517614,5160.946598369351,6968.970862512148
2024-02-02,6473.064726561504,5592.3669404039465,7409.241611516058
2024-02-03,5329.570444588942,4426.415882630063,6221.335383410408
2024-02-04,4196.690398393756,3257.340505176348,5112.76171456916
2024-02-05,6050.355958423385,5135.803099455256,7016.404116643957
2024-02-06,6159.97854809648,5229.297815041922,7041.3242185594345
2024-02-07,6022.434188834889,5176.77106937861,6898.049006576229
2024-02-08,6115.464877130185,5234.531377244037,6972.043810953025
2024-02-09,6505.336839022054,5590.066086105588,7418.830883296635
2024-02-10,5361.842557045606,4581.400095762613,6272.71138747381
