ds,yhat,yhat_lower,yhat_upper
2024-01-01,31842.137338538596,26253.81731868089,37208.23603278517
2024-01-02,32427.166164663606,26786.61363669854,38231.579843526095
2024-01-03,33046.840432269564,27258.890679757453,38832.76776989313
2024-01-04,33595.282608226415,27848.146602265286,38979.69698887491
2024-01-05,35369.32531650171,29767.813574776927,41118.86730030887
2024-01-06,42715.82351949825,37308.11689454063,48577.78983170634
2024-01-07,40813.84819787033,35114.077214792924,46240.119636472955
2024-01-08,32160.656631085592,26319.76543111977,38021.191808804724
2024-01-09,32745.68545719599,27017.314610577956,38093.19097976668
2024-01-10,33365.359724800284,27661.179072785457,39226.37887755402
2024-01-11,33913.80190075828,28197.814669153733,38955.72879179186
2024-01-12,35687.844609032436,29621.367608726792,41325.28814760335
2024-01-13,43034.34281201384,37140.127030069816,48516.229819471606
2024-01-14,41132.36749039008,35509.674804200855,46835.233112122674
2024-01-15,32479.175923610383,26807.33918211718,37930.96755190061
2024-01-16,33064.20474972838,27619.21899100654,38720.69665446899
2024-01-17,33683.87901732998,27917.752259265835,39100.88026092265
2024-01-18,34232.32119166793,28738.976309982838,39585.9413121232
2024-01-19,36006.36389832518,30146.089321127034,41419.27308321309
2024-01-20,43352.86209968816,37748.61402489067,49093.74492118897
2024-01-21,41450.886776445994,35585.32964729063,47486.13521315508
2024-01-22,32797.69520804021,26703.51007260206,38635.40438246807
2024-01-23,33382.72403254452,27937.146251243328,39461.84247999431
2024-01-24,34002.39829852608,28004.123646214506,39777.63005873497
2024-01-25,34550.84047286684,28580.08303257433,40546.61334065253
2024-01-26,36324.883179528224,30575.994279252158,42193.137935035724
2024-01-27,43671.38138088651,38158.26229131825,49574.45593170641
2024-01-28,41769.406057632805,36067.96843947849,47041.05355026589
2024-01-29,33116.21448925425,27641.940028202378,39037.24378992508
2024-01-30,33701.243313741674,28072.73580816636,39451.632247828566
2024-01-31,34320.91757972333,29075.26922255489,40197.14029255011
2024-02-01,34869.35975405885,28787.865908141204,40019.00131562
2024-02-02,36643.40246073128,30646.61318167551,42218.43979487664
2024-02-03,43989.90065959147,38069.714945550826,49993.72585089856
2024-02-04,42087.92533385627,36362.93978019489,48114.23882042386
2024-02-05,33434.7337629517,28021.828943737397,39191.88343125387
2024-02-06,34019.76258494241,28660.036047843558,40039.0376181655
2024-02-07,34639.436848422214,28950.34363572827,40516.815352427686
2024-02-08,35187.879020259716,29905.479855520527,41102.022909408544
2024-02-09,36961.92172440948,30978.807129136916,42518.62849291343
2024-02-10,44308.41992329837,38567.0533818495,50403.15782071197
2024-02-11,42406.44459755141,37253.73988941073,48052.53487449184
2024-02-12,33753.25302664118,28095.68444408997,39414.69128819496
2024-02-13,34338.2818486441,28482.65755086505,39776.075066072226
2024-02-14,34957.95611212122,28967.730876438116,40408.77368365316
2024-02-15,35506.39828395768,30294.879700263977,41077.18804802094
2024-02-16,37280.44098810952,31753.113558917317,43201.513290120216
2024-02-17,44626.93918699898,38493.3185767807,50350.15288296177
2024-02-18,42724.96386124654,36997.01918262489,48455.476740173806
2024-02-19,34071.772234759155,28479.58732351013,39923.489965947316
2024-02-20,34656.80100117335,28789.92477351588,40253.58316558363
2024-02-21,35276.47520907795,29561.10205830125,40965.58488557373
2024-02-22,35824.91732533583,30097.167574926767,41459.96659173624
2024-02-23,37598.95997391634,31920.76339741302,43087.71430572916
2024-02-24,44945.45811721506,39290.973801511434,50629.667979437116
2024-02-25,43043.48273590634,37661.108701330995,48855.101041446316
2024-02-26,34390.29110938798,28954.495336785156,40360.03421552176
2024-02-27,34975.319875807465,29552.712608067577,40386.77264708973
2024-02-28,35594.99408371154,30120.037709493008,41560.05220238651
2024-02-29,36143.43619996849,30691.83200489754,41714.46865862188
2024-03-01,37917.47884855109,31926.63328352706,43665.41924093661
2024-03-02,45263.97699183468,39985.51289906226,51118.06927149054
2024-03-03,43362.00161053618,37979.71972802154,48871.236389485
2024-03-04,34708.80998402142,29429.255512561045,40773.232433999125
2024-03-05,35293.83875044616,29474.556675304386,40966.956566535366
2024-03-06,35905.16126264907,30651.55135126177,41211.54426080404
2024-03-07,36445.251683209484,30612.928927189696,42180.680226418925
2024-03-08,38210.94263609948,32229.280654948787,43949.10351369672
2024-03-09,45549.08908368744,40013.38439448107,51264.655267855036
2024-03-10,43638.7620066739,37970.451544061594,49191.6930678383
2024-03-11,34977.218684466956,28894.798421722,40275.01953139026
2024-03-12,35553.895755199796,29792.164714617258,41018.75085485865
2024-03-13,36165.2182674023,30474.53279618345,41517.695662132384
2024-03-14,36705.308687961675,30898.885748691497,42685.281098038104
2024-03-15,38470.99964085373,32559.551603572276,43875.96513641126
2024-03-16,45809.14608843598,40234.30059251952,51745.40418684765
2024-03-17,43898.81901142932,38206.99552852129,49537.154867910096
2024-03-18,35237.2756892375,29350.176583523225,40570.87485935825
2024-03-19,35813.952759955726,30248.4574473668,41739.00524876467
2024-03-20,36425.27527215552,30783.25823451242,41999.97345849603
2024-03-21,36965.365692717074,31314.88784309044,42727.892065905726
2024-03-22,38715.06117897982,33317.48434941886,44472.317137356964
2024-03-23,46037.21215991449,40224.47357029902,52047.130456464234
2024-03-24,44110.889616272216,38150.49229009254,49685.279311966086
2024-03-25,35433.35082745197,29354.71926883371,41434.074015768536
2024-03-26,35994.03243154204,30084.42018286419,41611.15616008811
2024-03-27,36589.359477108475,30717.879659540355,42226.25091572299
2024-03-28,37113.45443103179,31345.519668729245,42842.76336368833
2024-03-29,38863.14991727798,33159.80644612757,43905.11163686849
2024-03-30,46185.30089822877,40735.32702350538,51482.81030792177
2024-03-31,44258.97835458125,38738.247973216356,49801.52985598376
2024-04-01,35581.43956577067,30051.904182807306,41345.23275444452
2024-04-02,36142.12116985504,30520.294139865786,41804.9933136435
2024-04-03,36737.448215426295,31462.500629026774,42340.09707709204
2024-04-04,37261.54316935293,31710.31030444947,43028.23958542476
2024-04-05,39011.238655603265,33226.814007971014,44781.116198364914
2024-04-06,46333.38963655563,40954.00039150828,51781.70331189641
2024-04-07,44389.35735126289,38446.38833804365,50118.21930713229
2024-04-08,35694.10882081318,29957.88035955703,41526.51559758556
2024-04-09,36237.080683276305,30307.663291929483,42516.60827319382
2024-04-10,36814.69798721243,31128.88487676894,42589.64929432142
2024-04-11,37321.08319950674,31505.557385835647,42943.51367320736
2024-04-12,39053.06894412775,33357.684088354836,44813.80160211875
2024-04-13,46357.51018344194,40430.52225933754,51640.92108942408
2024-04-14,44413.477898167606,38372.85870858746,49719.98297554305
2024-04-15,35718.22936769761,30250.131827467474,41910.5711228364
2024-04-16,36261.2012301637,30688.696491826384,41318.754994622395
2024-04-17,36838.818534097125,31210.814975131216,42628.55236048965
2024-04-18,37345.2037463904,31763.749284104295,43518.05181184705
2024-04-19,39077.189490991645,33949.91030817873,44558.99384270542
2024-04-20,46381.63073032825,40845.66129397609,52224.97717034323
2024-04-21,44437.59844505451,39170.01476042333,50246.784686834835
2024-04-22,35742.34991458205,30172.63981333104,40985.14993737818
2024-04-23,36270.7079631046,30459.46738160702,42121.34455231235
2024-04-24,36833.7114530939,31214.971592154157,42714.08368595735
2024-04-25,37325.482851447356,31550.696577696974,42961.94886017182
2024-04-26,39042.8547821005,33314.85539441815,44930.82972433875
2024-04-27,46332.682207493446,40434.767008219605,51956.74077799367
2024-04-28,44374.03610826394,38543.727169016885,49650.30378558317
2024-04-29,35664.17376386987,29956.693317408022,41252.02188823126
2024-04-30,36192.53181237148,30319.982463852713,41747.94803927571
2024-05-01,36755.535302369564,30945.161050441868,42657.636089802145
2024-05-02,37247.30670071825,32341.83174855354,43145.087841678534
2024-05-03,38964.67863138723,33231.28710035883,44428.613467681236
2024-05-04,46254.50605677648,40442.531828563006,51721.34436568602
2024-05-05,44295.85995753521,38621.97843656489,50082.89939344744
2024-05-06,35585.99761314474,29632.13125643526,41189.921947952076
2024-05-07,36114.355661647045,30450.15464196415,42029.68075205214
2024-05-08,36677.359151645214,30899.72466772816,42143.967706580166
2024-05-09,37160.716715274444,31718.051671627607,42917.13670341056
2024-05-10,38869.67481122118,32720.024411659502,44413.340904677956
2024-05-11,46151.088401874185,40917.90857256877,51827.02414420387
2024-05-12,44184.02846792202,38518.26229385151,49956.468879809916
2024-05-13,35465.752288804775,30153.773779231902,41352.4567343415
2024-05-14,35985.69650260047,30109.43435833792,42044.77088053976
2024-05-15,36540.28615787254,30969.971064650148,42298.9920283778
2024-05-16,37023.643721500266,31101.470124462918,42755.9267122083
2024-05-17,38732.60181744955,33071.11551105176,43921.84998610766
2024-05-18,46014.01540810942,40686.11114124926,51811.04420586315
2024-05-19,44046.95547414548,38540.05868951052,49872.11890546781
2024-05-20,35328.67929503185,29839.71050684836,41092.49192425461
2024-05-21,35848.62350882822,29872.04315431425,41272.37771999932
2024-05-22,36403.213164099245,30200.276105586836,42245.53908015352
2024-05-23,36886.57072772977,31060.627781412877,42238.96697384807
2024-05-24,38595.52882368847,32863.30960479544,44224.04566817086
2024-05-25,45876.942401894565,40254.68563527834,51373.24454905287
2024-05-26,43909.88245552388,38163.191695589434,49319.35073590513
2024-05-27,35191.60626396396,29488.799837405284,41394.11198151985
2024-05-28,35711.550465305925,30270.549385248378,41894.864674494835
2024-05-29,36266.14010813903,30723.624444439138,42168.85033227553
2024-05-30,36749.497659331006,30966.930453047047,42297.263814651364
2024-05-31,38458.455742854276,32528.13745253213,43975.086183791944
2024-06-01,45739.86932106722,40423.46012180809,51622.47707063748
2024-06-02,43772.80937468477,37888.17697286527,49502.03798714218
2024-06-03,35054.53318312845,29410.791053677032,41291.28590464628
2024-06-04,35574.477384475664,29671.682658505593,41543.909994977694
2024-06-05,36129.067027304816,30305.488944325025,41802.13509658778
2024-06-06,36612.42457849472,31049.774503459084,42053.02009688229
2024-06-07,38321.38266199823,32014.091478235405,44002.7876941505
2024-06-08,45602.796240239884,39988.71232459303,51004.61566735711
