ds,yhat,yhat_lower,yhat_upper
2024-01-01,13915.49965774694,10337.479053374025,17634.351135382458
2024-01-02,14031.460763441019,10287.40299006933,17556.502926722187
2024-01-03,13981.298548458528,10403.536492335657,17871.778345102484
2024-01-04,14443.750357563464,10538.766406650468,17989.092917679216
2024-01-05,14465.260796190707,10840.301171412913,18418.400987879457
2024-01-06,11750.589640953936,7908.833870086718,15421.678974706243
2024-01-07,10265.592576774132,6504.3569575993815,13975.398175283693
2024-01-08,14188.838443444754,10391.763076921996,18039.20203840818
2024-01-09,14304.799549148003,10873.229633047113,18146.612179529442
2024-01-10,14254.63733416218,10562.14976535295,18012.971680773295
2024-01-11,14717.089143268886,11017.7607370823,18373.724710286086
2024-01-12,14738.599581899196,11282.178360487895,18534.274256943627
2024-01-13,12023.928426671857,8529.84633278353,15656.294818740756
2024-01-14,10538.931362483982,7075.746294148476,14276.891850032423
2024-01-15,14462.17722915406,10950.445451504556,18103.79051484037
2024-01-16,14578.138334854992,10608.874577491611,18246.82791250896
2024-01-17,14527.976119871328,10875.919643123212,18298.839789130445
2024-01-18,14990.427928755013,11055.45228854025,18824.433157738145
2024-01-19,15011.93836716201,11014.798461095026,18899.951975252232
2024-01-20,12297.267211708968,8859.911336376772,15975.255050206399
2024-01-21,10812.270147298914,7234.0389519129085,14389.307180833513
2024-01-22,14735.516013749177,10937.612957924726,18358.569554398775
2024-01-23,14851.47711922354,10692.674545809345,18788.235191509
2024-01-24,14801.314904018667,11008.028736339764,18354.243613680726
2024-01-25,15263.766712900575,11684.562813643013,18901.891816988023
2024-01-26,15285.277151307004,11405.19189676019,18805.50059624695
2024-01-27,12570.605995854732,8917.187162862707,15980.804389225945
2024-01-28,11085.608931448905,7123.642859272146,15037.489705692222
2024-01-29,15008.854797887132,11447.080367134622,18967.744587561778
2024-01-30,15124.815903369255,11529.19734860395,18740.911305483216
2024-01-31,15074.653688165206,11319.584159966382,18876.83145264172
2024-02-01,15537.105497051325,11660.263972570181,18970.81889337508
2024-02-02,15558.615935452,11941.686634811993,19343.43402922397
2024-02-03,12843.944780310107,9338.07905437032,16548.685789474563
2024-02-04,11358.94771621519,7902.591812394796,14810.690799700647
2024-02-05,15282.193582974234,11552.407945539364,18987.99345496428
2024-02-06,15398.154688766865,11659.11291047933,18912.35551722847
2024-02-07,15347.99247387485,11617.807415744146,19150.9431950251
2024-02-08,15810.444283072611,11987.489475982331,19366.919517374576
2024-02-09,15831.954721793541,12157.07739414773,19413.410773833017
2024-02-10,13117.283566641203,9388.043138654608,16685.758374186396
2024-02-11,11632.286502551737,8254.43422971595,15455.995921856438
