ds,yhat,yhat_lower,yhat_upper
2024-01-01,17693.91748864033,13945.142840340366,21274.38620706256
2024-01-02,18544.416642152526,14726.044379172758,22155.238528966496
2024-01-03,18285.21481855477,14616.099616714031,21779.256188345757
2024-01-04,18607.805201787174,15202.841789068092,22204.092307396004
2024-01-05,19570.146303356312,16124.217815734759,23122.95664897594
2024-01-06,13416.86583330555,9727.781263499723,16870.60412270142
2024-01-07,9886.287869130876,6454.6716785655635,13484.648936749967
2024-01-08,17746.496539591335,13899.598973390934,20975.09084911488
2024-01-09,18596.99569312407,15235.977388383342,22069.522104553063
2024-01-10,18337.793869521018,14921.192094987888,21755.843934652607
2024-01-11,18660.384252756576,15203.603863602588,22301.812523732602
2024-01-12,19622.725354331385,16208.946921412358,23356.943030910938
2024-01-13,13469.444884302076,9965.92161170738,17051.799527888354
2024-01-14,9938.86692010903,6475.750402605082,13401.015930292104
2024-01-15,17799.075590568696,14119.725930119184,21324.41388499847
2024-01-16,18649.57474409562,15326.85826797144,22422.705852709936
2024-01-17,18390.37292049569,14732.287235717306,21548.83317189543
2024-01-18,18712.964032816537,15229.001111386053,22017.318893813106
2024-01-19,19675.305863474794,16378.471706601325,23096.121860705687
2024-01-20,13522.026122523155,10038.21217190114,17121.18276964288
2024-01-21,9991.448887414092,6546.62627051172,13470.6145573413
2024-01-22,17851.658286966907,14344.987079407781,21209.710390841956
2024-01-23,18702.158169570972,14974.29516293979,22249.194454305863
2024-01-24,18442.957075059145,14978.021942179124,21725.29077570564
2024-01-25,18765.54818737512,15373.240077928103,22104.254880479348
2024-01-26,19727.89001803175,16118.615074923588,23263.817189219317
2024-01-27,13574.610277080916,10165.146963263585,17009.95796331467
2024-01-28,10044.03304198143,6472.927777626471,13702.619370785811
2024-01-29,17904.242441507093,14380.398207257018,21124.930809148376
2024-01-30,18754.742324130493,15261.756804603085,22487.360474610025
2024-01-31,18495.541229618786,15089.40894250186,21978.58278810024
2024-02-01,18818.132341940618,15171.8438239657,22294.724320671507
2024-02-02,19780.47417258871,16214.39647801646,23309.17210915145
2024-02-03,13627.19128413131,9898.75221636896,17060.276514401347
2024-02-04,10096.610901530166,6719.727297026479,13559.272038417115
2024-02-05,17956.81715356978,14500.905520062342,21286.085907002755
2024-02-06,18807.31388868881,15403.643194463833,22437.650876199234
2024-02-07,18548.10964667541,15139.334648013843,22033.816709184644
2024-02-08,18870.697611495576,15308.304468379723,22544.37864756249
2024-02-09,19833.03629465617,16061.401788421936,23467.659500266458
2024-02-10,13679.753406178079,10018.932565333638,17055.16283684207
2024-02-11,10149.173023588395,6590.29340010841,13784.784224398281
2024-02-12,18009.37927563414,14461.453132712935,21503.53267081871
2024-02-13,18859.87601074531,15210.938682327363,22005.856290881722
2024-02-14,18600.671768735036,14942.74907212819,22110.961628260884
2024-02-15,18923.25973355632,15157.219939552733,22431.186585965446
2024-02-16,19885.5984167162,16375.226817416464,23271.16174285844
2024-02-17,13732.31552823161,10168.071932371937,17485.082548233866
2024-02-18,10201.735145646619,6527.521207859841,13740.308368889007
2024-02-19,18061.938576477394,14679.061096172218,21681.109470315758
2024-02-20,18912.43249037239,15315.693622295756,22664.861424560513
2024-02-21,18653.225427143603,15141.548193661174,21944.953875911662
2024-02-22,18975.810570742593,15299.241417937725,22420.233928847687
