ds,yhat,yhat_lower,yhat_upper
2024-01-01,24636.118948064814,20188.26713442662,28943.78793106272
2024-01-02,25525.907890955164,20892.664920888616,29812.60865204167
2024-01-03,24932.84211835151,20267.121473807532,29364.311196729235
2024-01-04,25520.56072012785,21216.65482146757,30308.223581358543
2024-01-05,26219.116023643168,21829.101449059795,30722.083615995994
2024-01-06,15743.68437618857,11412.091803302932,20127.047355193572
2024-01-07,11461.926421934098,7122.710435434989,15712.30922560993
2024-01-08,24659.84825444576,20058.943750266182,29649.4481492925
2024-01-09,25549.637197368014,21482.82153069782,30074.222106803612
2024-01-10,24956.571424757443,20380.50973945738,29300.802565495258
2024-01-11,25544.290026537998,21202.121959452834,30006.09816216175
2024-01-12,26242.845330061107,21686.75437372758,30425.876255169995
2024-01-13,15767.413682640308,11368.780983824909,20462.811574347852
2024-01-14,11485.655728359296,6951.032349096876,16116.942921142758
2024-01-15,24683.57756086853,20069.377202777487,29191.453381289142
2024-01-16,25573.366503780868,20870.598735353327,30210.765173992953
2024-01-17,24980.30073117563,20342.32759322064,29352.265252069992
2024-01-18,25568.01933083073,20925.46104397036,30009.57400928902
2024-01-19,26266.57463222487,22111.920449865236,30521.862471034372
2024-01-20,15791.142982668061,11663.620572152386,20357.41195031037
2024-01-21,11509.385026260217,7040.274806542035,16143.387342782942
2024-01-22,24707.30685665586,20127.947578605428,29057.77311566969
2024-01-23,25597.09579742983,21408.618736237313,29875.898211769356
2024-01-24,25004.030022702966,20270.08396536767,29610.60826016389
2024-01-25,25591.748622351268,21302.781548459385,29908.747899793605
2024-01-26,26290.3039237419,21835.690329474397,30685.952130674752
2024-01-27,15814.872274187466,11842.762184854904,20247.78400203185
2024-01-28,11533.114317795797,7342.568179691461,15674.697159390236
2024-01-29,24731.03614814719,20306.194075629704,29394.790189749787
2024-01-30,25620.8250889517,21398.12700253001,29995.535154175748
2024-01-31,25027.75931422541,20707.682256889988,29467.10883175904
2024-02-01,25615.477913882765,21201.134162965176,29971.457217250245
2024-02-02,26314.033215258933,21601.195962406116,30912.595830631006
2024-02-03,15838.60156499535,11192.079985580003,20250.629818027573
2024-02-04,11556.843607895842,7428.8668623322355,16129.318324074386
2024-02-05,24754.765437574188,20459.447028280574,29091.021433947397
2024-02-06,25644.554377671604,20870.47108130191,30235.26197235463
2024-02-07,25051.48860224369,20701.85726261714,29547.67368225314
2024-02-08,25639.2072011983,20844.973715575412,29988.38237130566
2024-02-09,26337.762501898364,22096.71545495383,31032.911344160446
2024-02-10,15862.33085159823,11608.896884364998,20688.120541277745
2024-02-11,11580.572894517627,7172.831480834622,16136.631670380595
2024-02-12,24778.494724205164,20321.949372024235,29154.42545987647
2024-02-13,25668.28366428901,21410.568454731747,30239.016310656134
2024-02-14,25075.21788886642,20630.151396296795,29378.694409311953
2024-02-15,25662.93648782267,21466.324295173123,30255.047800184562
2024-02-16,26361.49178852085,22012.93006535485,30899.722344823836
2024-02-17,15886.060138211798,11122.417543561776,20559.712513321025
2024-02-18,11604.302181139408,7332.835188489246,16185.443996706883
2024-02-19,24802.22401079194,20641.909162457374,29373.402607951084
2024-02-20,25692.012950842567,21286.499926143897,30218.90447068645
2024-02-21,25098.947175378515,20581.261683268393,29656.687447183584
2024-02-22,25686.66577428985,21545.068070415662,30084.203434542156
2024-02-23,26385.22107493635,21889.75965619178,30997.345654020624
2024-02-24,15909.789424604092,11816.72324464382,20686.64128849015
2024-02-25,11628.03146747713,7234.802835498081,15968.834357631682
2024-02-26,24825.953297161108,20343.536457094757,29518.504331395718
2024-02-27,25715.742237200448,21340.53179496218,30259.51428075726
2024-02-28,25122.67646173574,20591.764579336934,29801.019831848986
2024-02-29,25710.395060656065,21503.709151760024,30677.831204750557
2024-03-01,26408.95036130069,21950.44980730559,30984.935165223047
2024-03-02,15933.51871100223,11418.761644168531,20531.44332705015
2024-03-03,11651.760753840766,7177.131825319602,16269.544208708894
2024-03-04,24849.682583526617,20289.56862446358,29138.313960000232
2024-03-05,25739.47152356107,21275.11886275151,30133.338448103135
2024-03-06,25146.405747654968,20627.500573477344,29858.369143025488
2024-03-07,25734.12434613802,21386.357525110332,30176.263665564653
2024-03-08,26432.679646354394,22181.56500665316,30863.158863278342
2024-03-09,15957.24799561451,11435.07304793674,20744.20350864597
2024-03-10,11675.4900380468,7240.215316225561,16083.18747694141
