ds,yhat,yhat_lower,yhat_upper
2024-01-01,66146.64209409553,52212.3701865254,79361.48288477017
2024-01-02,69852.56457170806,55592.94012037817,83496.64079686554
2024-01-03,67472.25768293762,53396.9586187878,82101.81970734367
2024-01-04,70178.53387949323,55645.81268120765,84290.30443690885
2024-01-05,68760.78831065157,54337.10983585617,82495.52579833427
2024-01-06,38669.90585043335,25559.834518876985,53056.805837830565
2024-01-07,26440.785747122532,13190.37623828598,39664.90057690022
2024-01-08,66178.36364511553,51381.8692030039,80256.75475755412
2024-01-09,69884.28612282636,56967.94251741624,83209.89279341194
2024-01-10,67503.97923403073,54250.04317377713,82409.44863117556
2024-01-11,70210.25543060071,56564.03741196121,83849.4011017911
2024-01-12,68792.50986178016,55048.3570074314,81845.8179674526
2024-01-13,38701.62740166159,24931.92142746391,52671.509639090575
2024-01-14,26472.507298271965,13392.687092437465,40135.346300653815
2024-01-15,66210.0851962604,52580.70012602455,79441.13072561007
2024-01-16,69916.00767394467,56426.862177197385,83461.45161037489
2024-01-17,67535.70078516557,54392.60453747159,81607.70855986881
2024-01-18,70241.97698213527,55886.07013287207,83117.2504433015
2024-01-19,68824.23141370562,53384.598427709396,82873.84821191046
2024-01-20,38733.34895396169,24628.974713829724,51928.30575274143
2024-01-21,26504.228850980046,13334.969133913748,38926.73561351093
2024-01-22,66241.80674939744,51500.16353096797,80321.44325680095
2024-01-23,69947.72922744461,55978.51872095725,83450.00494245265
2024-01-24,67567.42233908172,53531.064656783725,80924.0652043085
2024-01-25,70273.69853603178,56452.800352447535,85056.31037736214
2024-01-26,68855.95296759246,54824.43255892403,82439.6203593825
2024-01-27,38765.0705078555,24620.414678644105,53008.26617371576
2024-01-28,26535.950404918498,12447.073095862512,40928.44061260728
2024-01-29,66273.52830320645,52147.88249024158,80035.89997916468
2024-01-30,69979.45078134297,56483.88346803021,84730.84983142883
2024-01-31,67599.14389298472,53832.64211702453,81087.7210257595
2024-02-01,70305.42008996743,56615.16820189964,84257.98002376837
2024-02-02,68887.67452147928,55738.686758629265,81336.85271965657
2024-02-03,38796.79205908667,25261.127040688505,52426.228747891924
2024-02-04,26567.671953486337,13187.845495415433,40052.43059258585
2024-02-05,66305.24984922801,52261.760344178285,80597.08554508889
2024-02-06,70011.1723247069,56763.10410788111,83665.19919131915
2024-02-07,67630.86543370847,53423.78583870022,82480.36117153041
2024-02-08,70337.14162804885,56764.2569820568,84474.2378676004
2024-02-09,68919.39605700491,55400.15657007914,83166.16962069966
2024-02-10,38828.51359450275,25112.13000792787,53001.461331696184
2024-02-11,26599.393488956342,12090.787285231798,39040.501299213334
2024-02-12,66336.97138471577,52583.27532950929,79828.42047293147
2024-02-13,70042.89386016328,55949.973793002246,83754.60111515144
2024-02-14,67662.5869691814,53851.222488515836,81862.0909911704
2024-02-15,70368.86316352308,56609.61964734568,84373.75832938262
2024-02-16,68951.11759247161,55225.080205332764,84121.07402240568
2024-02-17,38860.23512994565,24894.41067199673,51996.59211357572
2024-02-18,26631.115024426334,12314.17724766994,40846.466504409735
2024-02-19,66368.69292063765,51921.07455875897,80744.42000268995
2024-02-20,70074.6153965338,55359.97884531471,82861.69022441108
2024-02-21,67694.3085059854,54866.244786070005,81742.87868929055
2024-02-22,70400.58470074343,55565.673520287826,83544.39248940923
2024-02-23,68982.8391300952,55769.2560908693,83088.9052118564
2024-02-24,38891.95666805072,24767.81165452685,51752.235594356294
2024-02-25,26662.836562920806,11884.896995450747,40946.36096687316
2024-02-26,66400.4144592265,51444.981740081625,79809.79893862644
2024-02-27,70106.3369350871,56353.227129269544,84990.55359668983
2024-02-28,67726.03004453564,53927.684422015096,81868.02560159886
2024-02-29,70432.30623932352,57511.42110477796,83956.437329261
2024-03-01,69014.56066866775,55167.05743021449,82527.75213731459
2024-03-02,38923.67820672291,23975.68077218535,52674.759102085205
2024-03-03,26694.55810149666,12484.99369412493,40252.254568407254
2024-03-04,66432.13599781055,52139.92973444413,80958.87234662923
2024-03-05,70138.05847365828,56094.74460735478,84312.67988876908
2024-03-06,67757.75149571136,54547.810031476896,81893.6455102815
2024-03-07,70464.02760313409,56824.72853264997,84468.85853980722
2024-03-08,69046.28194512546,54070.02692085417,82753.36525772157
2024-03-09,38955.39939579944,24619.82451632566,51778.36051377883
2024-03-10,26726.27920328328,12244.709391923516,39690.95428586312
2024-03-11,66463.85701223125,51850.7472460033,80089.58482719433
2024-03-12,70169.77940068214,56000.085150773666,82532.74797472742
2024-03-13,67789.4724227607,54540.98732121605,80998.01947432086
2024-03-14,70495.74853018472,55696.48191684821,84096.82903539047
2024-03-15,69078.00287216857,56139.20506482099,82396.71547460774
2024-03-16,38987.120322845556,24483.506970399194,52949.59978598401
2024-03-17,26758.000130312146,12740.813927888676,40867.27842882153
