ds,yhat,yhat_lower,yhat_upper
2024-01-01,48364.189482901864,38378.51889639505,58619.64535152918
2024-01-02,51451.94949955964,41311.633412853975,61361.319737709186
2024-01-03,50877.29776184457,40494.04907351381,61192.884550652736
2024-01-04,52300.634400256575,43230.67576845983,63139.12102706848
2024-01-05,55505.66070221217,45176.09156474654,65095.65144979392
2024-01-06,36738.67357871578,26302.16155007463,46964.67442185392
2024-01-07,27591.714485166915,17940.87251104515,38189.68033252333
2024-01-08,48530.16799172008,39346.30410824605,59245.717709306155
2024-01-09,51617.9280084339,40784.98238609119,61992.3597843195
2024-01-10,51043.27627071001,41155.9522179305,61036.92799068812
2024-01-11,52466.612909128635,42534.576203480494,62907.99786241967
2024-01-12,55671.63921109447,45207.1085323204,65975.55739543945
2024-01-13,36904.65208766221,26488.22126816616,47531.17223860347
2024-01-14,27757.692994060675,18058.158312108288,38007.488921191165
2024-01-15,48696.146500611714,38815.167607783456,58790.995231474735
2024-01-16,51783.90651730814,42038.554883269004,62128.43310868885
2024-01-17,51209.25477959118,41450.895441240646,61311.507567035245
2024-01-18,52632.59141807765,43267.37588372968,62935.693838564555
2024-01-19,55837.61772010234,46386.92863389963,65270.57353027579
2024-01-20,37070.63059671645,27074.42229043785,47256.457946574505
2024-01-21,27923.67150317708,17299.914978848108,37968.23435789784
2024-01-22,48862.12500981722,39047.91557511958,59245.77543461262
2024-01-23,51949.885026559095,41997.13240683022,62151.541801311854
2024-01-24,51375.23328891164,41321.939457741326,60745.669763105085
2024-01-25,52798.56992738916,42755.41952367348,64012.15894479579
2024-01-26,56003.59622940638,45838.893177963095,66043.71815843285
2024-01-27,37236.60910602182,27484.151463390677,47246.21651081921
2024-01-28,28089.650012510287,18570.74074203767,38252.03870197207
2024-01-29,49028.103519074895,39317.76374801469,59403.30666571293
2024-01-30,52115.86353587283,41962.30844911774,62742.79872773923
2024-01-31,51541.211798224394,41724.63825913852,62359.92907304727
2024-02-01,52964.54843670731,42684.5165809647,63462.81106843158
2024-02-02,56169.57473871043,45265.16965536623,66429.33186267815
2024-02-03,37402.58761499707,27407.46407708569,46713.014445503075
2024-02-04,28255.62852116999,17359.45668944659,37891.327559718324
2024-02-05,49194.08202746096,39177.045777797226,59230.21895409872
2024-02-06,52281.84204393707,42555.794114776,62635.19604289987
2024-02-07,51707.190305975324,41423.75105163674,61776.60184753761
2024-02-08,53130.52694414463,43324.86456307792,63501.19582891398
2024-02-09,56335.55324587123,46056.224848301106,67308.81815642232
2024-02-10,37568.56612209816,27406.084787508007,47559.76200260755
2024-02-11,28421.607028302406,18431.929281350924,39025.315375664315
2024-02-12,49360.06053461338,39168.7327033122,59467.47726776111
2024-02-13,52447.820551064215,42890.44283359792,62825.4935473666
2024-02-14,51873.168813109376,41842.14030162229,61998.70423991238
2024-02-15,53296.505451283774,43225.72299129869,63197.86029090633
2024-02-16,56501.53175300644,46713.83926646793,66466.47211752346
2024-02-17,37734.54462921695,27438.319206517885,47605.56639456667
2024-02-18,28587.585535434835,18465.6492005702,39230.555147641055
2024-02-19,49526.03904106931,38471.11122215154,60285.274163222006
2024-02-20,52613.79905684228,42893.138402141776,62757.772552884926
2024-02-21,52039.14731820136,42071.30294915197,62352.71302472471
2024-02-22,53462.48395568595,43300.56895455558,63171.51362434698
2024-02-23,56667.51025670276,46295.2642456494,66817.77538023029
2024-02-24,37900.52313225159,27789.79201206304,48153.42813301959
2024-02-25,28753.564037767854,19590.754459913063,38957.07912403878
2024-02-26,49692.017543448965,40293.72767896927,60244.312416061264
2024-02-27,52779.77755920461,42833.49669617051,62604.84188605018
2024-02-28,52205.125820562556,42658.854624471955,62538.96013370461
2024-02-29,53628.46245806023,43680.270826890985,63997.57438133467
2024-03-01,56833.488759073094,46681.210280782936,66291.6532268938
2024-03-02,38066.50163468607,28273.277877445096,47710.26902556794
2024-03-03,28919.542540135422,18146.405396693848,39203.83886005658
2024-03-04,49857.99604582071,39603.926028091744,60008.83683641113
2024-03-05,52945.75606156686,42631.49417275413,63142.920699875816
2024-03-06,52371.10431092727,41667.23698086689,63200.114876391424
2024-03-07,53794.440936421066,43661.36394470089,64941.81849324118
2024-03-08,56999.46722545942,47113.59848001031,67185.98967024017
2024-03-09,38232.48008906721,27798.15893974592,48077.64441302729
2024-03-10,29085.52098257336,18789.660130140044,39145.35753321648
2024-03-11,50023.97447626775,40233.68373182429,60058.30971765662
2024-03-12,53111.7344800078,43190.86281893557,62748.67654055296
2024-03-13,52537.082729375084,42884.54227929554,62377.44722995977
2024-03-14,53960.41935487396,44481.74762854147,64097.34882481285
2024-03-15,57165.44564390837,47431.951776501024,67526.06873362273
2024-03-16,38398.45850751749,28618.36498021176,48397.603767377936
2024-03-17,29251.499401005312,19872.266145495625,39059.01070993638
2024-03-18,50189.95289465262,40130.988198579376,60295.19309988507
2024-03-19,53277.7128984487,42889.23181913373,63121.57947931275
2024-03-20,52703.06114782289,42757.80775416798,62288.034787042925
2024-03-21,54126.39777331266,43491.435079392504,63822.579306080945
2024-03-22,57323.83349983443,47433.02176312887,67172.94799774773
2024-03-23,38549.25580100248,28530.004079638158,48470.68908067112
2024-03-24,29394.706131950174,19367.44792690565,39679.64976306246
2024-03-25,50325.56906309017,40364.54618438712,61228.01752558417
2024-03-26,53405.73850436373,43387.15541534417,63503.78183701104
2024-03-27,52823.49619123177,42034.211400122345,62303.08466134516
2024-03-28,54239.24225424349,44039.308375529385,64152.77412642696
2024-03-29,57436.67798077275,46976.661834811486,67905.63023493969
2024-03-30,38662.10028191651,27978.671683112996,49435.470885708055
2024-03-31,29507.550612874325,19451.493481747355,38724.7009740689
2024-04-01,50438.413544004274,39722.11063634456,60110.0030590882
2024-04-02,53518.58298528066,44151.67071623891,63915.000082375795
2024-04-03,52936.34067215103,43669.43203706631,63170.686663971326
2024-04-04,54352.08673514594,44236.68351528126,63708.51014517755
2024-04-05,57549.522461667744,47344.88910860844,67725.01978246929
2024-04-06,38774.94476279509,28708.367513380323,48907.84129259032
2024-04-07,29610.022582265512,19796.74939553927,40620.37727287582
2024-04-08,50530.51300189675,40328.64358949315,59931.121527917654
2024-04-09,53600.30993162913,42791.74804631496,64076.433911206426
2024-04-10,53007.69510697198,42701.99820094938,63085.226177761295
2024-04-11,54413.06865845475,44184.41616406356,64820.918712492035
2024-04-12,57600.13187345037,47032.68381452492,67734.42905493462
2024-04-13,38815.18166306031,28277.822647022178,48842.952585695835
2024-04-14,29650.259482524045,19711.42007408562,39595.73143678823
2024-04-15,50570.74990217978,40276.481517978085,60606.432258869085
2024-04-16,53640.546831902684,43515.96551770238,64224.75303619839
2024-04-17,53047.93200725245,43350.80089045357,63350.25695554201
2024-04-18,54453.305558740314,44046.36382513777,64752.364120608436
2024-04-19,57640.368773757626,47961.39918571687,68126.28126092795
2024-04-20,38855.41856332554,28155.72583300865,48801.08701010563
2024-04-21,29690.49638278866,19481.355662329508,40203.11311337967
2024-04-22,50610.986802462816,39962.5785052679,59892.696977815074
2024-04-23,53676.8120909237,43968.26855298086,63151.66088531507
2024-04-24,53080.225625019906,42786.679809890564,63200.58750168359
2024-04-25,54481.62753521801,44248.99181636701,64358.21289254564
2024-04-26,57664.71910902888,48208.231888534116,68032.64802228157
2024-04-27,38875.797257327824,27776.26077001212,49133.56604460097
2024-04-28,29706.903435566204,20197.28890530102,38792.16794822177
2024-04-29,50623.42221392013,40539.281339257825,61213.45487643614
2024-04-30,53689.24750244145,43671.80464079773,64402.57615283837
2024-05-01,53092.6610365244,43193.84245682903,62688.54109006032
2024-05-02,54494.062946749626,44081.62003201186,64664.57928244772
2024-05-03,57677.15452050696,47873.01113248002,67333.37277827719
2024-05-04,38888.232668807184,29155.273287171814,48577.49685055796
2024-05-05,29719.338847076917,20460.599218606818,39942.25122266948
2024-05-06,50635.857625435034,40048.899485922135,61173.44151303353
2024-05-07,53701.68291394693,42903.88059102581,63783.70858957869
2024-05-08,53105.09644802888,43281.92484116048,63415.81267729246
2024-05-09,54506.49824161259,44209.06054589422,64130.66464802981
2024-05-10,57689.58969873988,47343.802612452004,67486.24140435833
2024-05-11,38900.667730463945,29721.676753260217,49134.51906408167
2024-05-12,29731.77379202648,19974.77012786807,39535.34188264311
2024-05-13,50648.29245376432,40582.609765463996,60996.37937103884
2024-05-14,53714.11762561061,43467.107255292256,63497.64975011961
2024-05-15,53117.53104305923,42460.93388639177,63096.172551420335
2024-05-16,54518.93283662628,44853.8664532165,64864.03565642892
2024-05-17,57702.02429377135,47958.06312508375,67333.92799308419
2024-05-18,38913.1023254613,28241.970414313946,49863.72709715698
2024-05-19,29744.20838705518,19363.24605912309,39130.91664632135
2024-05-20,50660.7270487972,40662.82936304233,60404.25826618214
2024-05-21,53726.55222063406,44012.486841971724,63767.30292828856
2024-05-22,53129.96563808941,42242.21723435447,62932.71749496561
2024-05-23,54531.36743164751,44956.269729847154,64665.39278608058
2024-05-24,57714.45888876742,47292.78520278325,67032.89377435442
2024-05-25,38925.53690621288,28986.70925118644,49029.05374848198
2024-05-26,29756.642953486888,19699.34691317396,39558.72926968669
2024-05-27,50673.161600920925,40638.4333927932,60318.94913629405
2024-05-28,53738.98675853262,43582.36445745804,63822.78084435119
2024-05-29,53142.400161713624,42220.92308362671,62977.11522091688
2024-05-30,54543.80194099558,44721.74641480307,64647.80369897606
2024-05-31,57726.89338383032,48302.68835319775,67776.72793590087
2024-06-01,38937.971401241666,28334.08186192584,48717.625391568814
2024-06-02,29769.07744854701,19201.046729839254,39372.03543709284
2024-06-03,50685.596095985224,40032.8709108078,60445.87700861513
2024-06-04,53751.42125358744,44505.30877992574,63838.08551654157
2024-06-05,53154.83465675967,43440.869037901415,62901.00423594527
2024-06-06,54556.23643606242,43745.20881906046,65425.54539744803
2024-06-07,57739.32787891883,47427.11211352315,67748.71508779147
2024-06-08,38950.405896270444,29086.483272814938,49543.847633862046
2024-06-09,29781.511943621364,19490.158514042643,39963.672665724676
2024-06-10,50698.030591306524,40654.22939218368,60395.97626078006
2024-06-11,53763.85574914048,43977.36029529092,64242.33470110513
2024-06-12,53167.269152568515,43191.860661427374,63089.2285967189
2024-06-13,54568.670932125584,44514.809038337706,65153.256943056265
2024-06-14,57751.76237522714,47995.14013410801,67750.73899488842
2024-06-15,38962.84039282915,28849.90979462659,49244.67759846697
2024-06-16,29793.946440410822,19532.488886854953,39231.96542890588
2024-06-17,50710.4650881223,40464.943110781125,60727.05034053204
2024-06-18,53776.29024595119,43247.692151725096,63305.27728382677
2024-06-19,53179.703649365976,43260.11905276598,62743.85019767961
2024-06-20,54581.1054289218,44204.625765474295,64807.958941267185
2024-06-21,57764.19687201589,48665.693906975386,67976.40430173263
2024-06-22,38975.2748896015,28904.49955415514,48840.214911927054
2024-06-23,29806.380937194186,19322.67269182398,39085.319076090935
2024-06-24,50722.899584938095,40414.307293306316,60661.599771429836
2024-06-25,53788.72474274965,43429.68841439297,63250.82307566047
2024-06-26,53192.13814377711,42871.3662935013,63077.9652556294
2024-06-27,54593.53992095801,44855.59862108216,64538.76069329883
2024-06-28,57776.63136162207,47806.68549158702,67885.60694185164
2024-06-29,38987.70937691303,29051.533969199925,49203.98784452836
2024-06-30,29818.815422026903,19968.496270095307,39918.668536451594
2024-07-01,50735.33406738079,41245.73487048092,60949.5756597331
2024-07-02,53801.15922278869,44059.75686944742,63274.24140243087
2024-07-03,53204.572623823056,43648.13048148847,62640.38660127674
2024-07-04,54605.97440095893,44639.02627759274,64481.93611506641
2024-07-05,57789.06584165145,48311.17047102422,67660.78829450422
2024-07-06,39000.143856926006,29498.048868095328,49162.678515317435
2024-07-07,29831.249902085445,19202.158446417354,39644.9527410536
2024-07-08,50747.76854744512,40369.502521529845,61198.95586253411
2024-07-09,53813.59370284,43392.149245561166,64029.28095160611
2024-07-10,53217.0071038533,43742.19280125066,63130.96468019566
2024-07-11,54618.408881009964,44143.65335816546,64154.523134466624
2024-07-12,57801.50031922432,47663.39683343928,68646.97555101194
2024-07-13,39012.57833200825,29112.218762023025,49351.56284710538
2024-07-14,29843.68437472131,20181.94598740661,39105.10507464701
2024-07-15,50760.20301752331,41052.84610617937,60528.68932730939
2024-07-16,53826.02817050791,43152.03306719744,63171.39299916891
2024-07-17,53229.441569053895,43005.066684759826,62780.857828518594
2024-07-18,54630.84334372723,44177.57203599304,64569.35141449771
2024-07-19,57813.93478191641,47734.17643469507,66578.79448297042
2024-07-20,39025.012794799884,29554.16006159972,49465.818697233684
2024-07-21,29856.11883743182,19665.876397151067,40158.36318099477
2024-07-22,50772.63748026014,39674.691250684125,60914.887945158305
2024-07-23,53838.4626332274,44594.184411727874,63957.663774804736
2024-07-24,53241.876031772415,43038.01961379903,63415.99193058455
2024-07-25,54643.2778064445,44392.768717157276,64262.56550343773
2024-07-26,57826.36924468725,47216.55203167851,67531.88881836984
2024-07-27,39037.44725751101,28823.9158410062,49676.32511604634
2024-07-28,29868.55330017079,19113.741309768833,40092.061106801244
2024-07-29,50785.071961956404,41326.25670683957,61181.52546681711
2024-07-30,53850.89713388155,43032.345980462385,64530.28867677028
2024-07-31,53254.31055140067,42893.488055099064,63394.103012901796
2024-08-01,54655.71234505952,44186.79404423892,64264.39169707469
2024-08-02,57838.80380221606,48550.024886841275,67518.41926682179
2024-08-03,39049.88183400846,29296.66868225936,49806.14670325164
2024-08-04,29880.98789566693,19715.85965117203,40179.24710181755
2024-08-05,50797.50655745672,39898.28423423623,61194.10307923347
2024-08-06,53863.331729372454,43157.621696425835,63030.57789820735
2024-08-07,53266.745146890586,43526.9948146716,63215.86567779184
2024-08-08,54668.14694054819,44842.743355414954,64989.20853535896
2024-08-09,57851.23839771499,48336.76767389072,67783.4195106113
2024-08-10,39062.31642949098,28733.670397592316,50022.65099942116
2024-08-11,29893.422491128513,20014.0711338484,40652.81996442796
2024-08-12,50809.94115290738,41660.54923410442,61936.89184088144
2024-08-13,53875.766324863274,43774.84489558328,63952.00486665357
2024-08-14,53279.1798131541,43608.928650725866,63747.493898828325
2024-08-15,54680.58167758253,44380.46639813018,64983.73643975853
2024-08-16,57863.67320553676,47835.950344573714,67161.42910654817
2024-08-17,39074.75130801876,29191.29128162815,48956.23654200419
2024-08-18,29905.857440453397,19801.490932609482,39909.42236471792
2024-08-19,50822.37617301011,41099.99860689863,61327.88366175553
2024-08-20,53888.20141571441,43103.31154487686,64618.86225765342
2024-08-21,53291.61490400426,42486.76069442182,64082.143295999296
2024-08-22,54693.016768409725,44247.8822598299,64868.880327929975
2024-08-23,57876.10829637821,47327.37199359823,67976.5456637115
2024-08-24,39087.18639887925,29002.763021968574,49611.50667293817
2024-08-25,29918.29253132401,19139.444728531893,39795.57960083519
2024-08-26,50834.81126387067,41603.192831802415,61260.140742574644
2024-08-27,53900.63650657782,43569.79959667141,63949.653159331596
2024-08-28,53304.04999486228,43162.78328522961,63635.48804977104
2024-08-29,54705.45185927283,44842.62896985264,64660.15326317161
2024-08-30,57888.543384884884,46996.80232986452,67707.4755026878
2024-08-31,39099.62148503473,29792.775296169813,49159.900290857615
2024-09-01,29930.72761517606,19471.990221304208,39506.04858217518
2024-09-02,50847.24634539212,41244.03881175131,61169.65719225479
2024-09-03,53913.07158575503,43654.44420135317,63315.582580475115
2024-09-04,53316.4850716959,43706.34351018239,64128.43459816731
2024-09-05,54717.88693379245,44877.81851254336,65645.84774907911
2024-09-06,57900.97845940057,47465.268226832755,67059.64560051722
2024-09-07,39112.056559614546,29203.399078452305,49754.3869757565
2024-09-08,29943.16268965442,19675.778809276875,40064.98009425225
2024-09-09,50859.68141991713,40718.19640301004,61140.356692667076
2024-09-10,53925.506660262676,44095.10156321034,63852.801652964285
2024-09-11,53328.920146210454,43050.886850604125,63909.122103495116
2024-09-12,54730.32200827617,44834.70771757675,64343.118483249964
2024-09-13,57913.41353391627,47296.50762549695,67777.29220560691
2024-09-14,39124.491634113845,29318.21370795582,48862.89591936876
