ds,yhat,yhat_lower,yhat_upper
2024-01-01,14554.890882028367,12249.633574606722,17078.507672713007
2024-01-02,15850.157616411958,13485.515361450078,18273.935175699695
2024-01-03,16416.667995270618,13850.852777350523,18822.563532479548
2024-01-04,16127.961229300116,13596.940547521554,18327.250474588425
2024-01-05,16181.581568528976,13625.037960561689,18699.116964951685
2024-01-06,13082.09924924135,10628.54163498602,15770.697920050588
2024-01-07,11141.829778076846,8796.635654014597,13530.679912788866
2024-01-08,14656.184817622607,12266.054513360392,16918.020816215576
2024-01-09,15951.451552016882,13624.713321189072,18365.349573997424
2024-01-10,16517.96193088452,14173.500021884633,19074.316028899306
2024-01-11,16229.255164934431,13604.0352964615,18661.720191564375
2024-01-12,16282.875504168103,13798.731985820754,18611.461627399047
2024-01-13,13183.393184900118,10747.650076783199,15570.501919723292
2024-01-14,11243.123713745916,8733.355189177411,13745.639716828968
2024-01-15,14757.478753297972,12314.17243427999,17244.720309762706
2024-01-16,16052.745487693895,13591.035543281401,18693.998300959644
2024-01-17,16619.25586655357,14237.390331319266,18977.577980770766
2024-01-18,16330.549100587403,13774.158523461665,18805.98884636337
2024-01-19,16384.169439822374,13978.410746995909,18784.14250210681
2024-01-20,13284.68712054735,10861.070018188775,15955.291330874075
2024-01-21,11344.417649377394,9137.821172816399,13762.050124397649
2024-01-22,14858.772688923198,12384.753625570344,17365.639846937433
2024-01-23,16154.039423307182,13834.113313535103,18648.286683197246
2024-01-24,16720.549802182548,14293.324566402733,19242.77957563217
2024-01-25,16431.843036236864,14135.748173550564,18949.8235231505
2024-01-26,16485.46337547546,14034.046085270873,19049.984428608586
2024-01-27,13385.98105621051,10866.107721953158,15953.276204211044
2024-01-28,11445.711585054683,9197.574118362463,13946.509658129984
2024-01-29,14960.066624582003,12435.309687266597,17505.72078846101
2024-01-30,16255.333358972703,13777.10775726825,18734.881458129752
2024-01-31,16821.84373784481,14460.779080245848,19249.798929708333
2024-02-01,16533.13697190096,14291.447166446296,18982.96785070536
2024-02-02,16586.75731114083,13887.919747098245,18851.466648496247
2024-02-03,13487.274991880098,10989.115797190683,15815.337810032137
2024-02-04,11547.00597055673,9197.506857112914,14082.198101117136
2024-02-05,15061.361459931277,12725.624292207402,17748.754330727195
2024-02-06,16356.628644937127,13906.121722719989,18685.365360341166
2024-02-07,16923.139474397747,14438.072254386276,19485.58819069739
2024-02-08,16634.433160347784,14232.400390793795,19088.776981566127
2024-02-09,16688.053951498823,14299.345750042634,19251.412268970977
2024-02-10,13588.579164430104,11039.265133355148,16013.07911713764
2024-02-11,11648.317225490326,9425.026107073525,14043.395662553054
2024-02-12,15162.679797614375,12775.0438492055,17479.031539026695
2024-02-13,16457.954064587684,14040.558837252951,18821.030408344242
2024-02-14,17024.62546120521,14453.264705113012,19409.413571200843
2024-02-15,16736.0797130065,14376.82622639433,19380.266714298265
2024-02-16,16789.861070031475,14334.508704229824,19198.71227015393
2024-02-17,13690.539768535109,11370.206363292484,15950.768725565615
2024-02-18,11750.431315208325,9279.584920071073,14012.862292154497
2024-02-19,15264.947372577662,12932.373796269956,17804.182468172672
2024-02-20,16560.375124815346,14117.698165610182,18984.01782476996
2024-02-21,17127.046521517954,14789.13472169768,19565.0898404964
2024-02-22,16838.500773378455,14391.58884857805,19284.72005584782
2024-02-23,16892.2821304384,14444.730732965007,19279.86311118366
2024-02-24,13792.960828984593,11156.698972583126,16039.918690069504
2024-02-25,11852.852375658887,9243.14321271316,14292.311886394558
2024-02-26,15367.36843303801,12993.223487989859,17669.508216008195
2024-02-27,16662.796185252464,14223.173382626384,19145.755246359808
