ds,yhat,yhat_lower,yhat_upper
2024-01-01,48408.7158614463,37341.4125289947,59957.03169315765
2024-01-02,52192.038637453865,41517.0289497609,62640.27716312119
2024-01-03,51159.31751510263,39262.224312362814,61665.32013311283
2024-01-04,52763.66654656986,41838.664160613764,62935.51358035116
2024-01-05,53370.011083396785,43646.63955484716,64550.8732657619
2024-01-06,29646.33262213148,18925.954982927295,39845.63462426317
2024-01-07,20318.334994277866,10396.759844779695,30762.27762179913
2024-01-08,48459.46274014799,37498.50562347411,59296.52710768626
2024-01-09,52242.78551622806,41482.08406473105,62877.22487798233
2024-01-10,51210.06439386372,40033.40972997094,61630.75709309717
2024-01-11,52814.413425339044,42899.50363347811,63480.25859726331
2024-01-12,53420.75796217845,42463.63588414822,64172.127529717975
2024-01-13,29697.07950099111,18903.164176675473,40289.4003830462
2024-01-14,20369.081873076615,9795.225297071742,31358.95154129782
2024-01-15,48510.20961894339,38230.801694482274,59741.09584682268
2024-01-16,52293.53239500227,41183.22452861974,62567.38242545076
2024-01-17,51260.811272647625,40734.468195828165,62127.9897156643
2024-01-18,52865.16030362962,42256.36718262744,63000.10382198487
2024-01-19,53471.504839966175,43411.12750233543,63950.81154709034
2024-01-20,29747.826378264217,18793.973893244995,40809.10143051978
2024-01-21,20419.828749856257,10068.765120953165,31048.899043514313
2024-01-22,48560.9564952539,37717.420858346304,58825.630426714546
2024-01-23,52344.27927079241,40993.877452006585,63947.60212167213
2024-01-24,51311.558147950105,40446.40376379011,61864.77351947297
2024-01-25,52915.907178919966,42472.428149418,63419.51232905089
2024-01-26,53522.25171524736,42351.467348367456,64326.84278970901
2024-01-27,29798.573253549417,19200.584611688784,40166.58890563461
2024-01-28,20470.575625176163,9320.754414366604,30685.20581558915
2024-01-29,48611.703370476745,38113.86251637688,59388.93097155998
2024-01-30,52395.026146085555,41528.35829706174,62899.685923390345
2024-01-31,51362.305023243745,40796.8069229455,62668.47906356717
2024-02-01,52966.6540542286,41320.969854872106,63196.68937080034
2024-02-02,53572.99859052853,42275.44161746062,64244.20393850574
2024-02-03,29849.320126542065,18914.106414307833,40328.587947815344
2024-02-04,20521.32249588159,10585.969773316796,31800.70711137242
2024-02-05,48662.45023897024,38558.71295294033,59287.103567513805
2024-02-06,52445.77301229341,41604.84578528937,62526.38196759291
2024-02-07,51413.051887178015,41186.676939870544,62303.7841125638
2024-02-08,53017.4009158877,41585.47446024745,64064.64794735786
2024-02-09,53623.745449971255,43079.35178601832,63516.623439040326
2024-02-10,29900.06698590346,19417.87417434176,40810.843149762964
2024-02-11,20572.069355282772,9902.084728666825,31587.25056878258
2024-02-12,48713.1970983911,37829.55151593812,59579.58493492696
2024-02-13,52496.51987168564,42531.505449884855,62795.11191357063
2024-02-14,51463.798746579945,40835.64791304068,62877.60938561208
2024-02-15,53068.14777529327,42151.89695464033,63603.09725895833
2024-02-16,53674.492309370944,42848.24204992682,64640.36306050752
2024-02-17,29950.81384528552,19084.81209001958,41255.20915315495
2024-02-18,20622.816214683946,9620.80122890296,31247.978719864444
2024-02-19,48763.943955182076,38087.22988584107,59201.84484429086
2024-02-20,52547.266725864334,42219.33046915138,63688.32952656424
2024-02-21,51514.54559813684,39724.080126698194,62367.74730886706
2024-02-22,53118.89462422048,42326.64795548357,64022.32735483915
2024-02-23,53725.23915565232,43059.34192287102,64749.802765298715
2024-02-24,30001.560688977563,18595.340542585815,41542.98687499631
2024-02-25,20673.563055724964,9996.358114442393,31733.81517558544
2024-02-26,48814.69079629048,37991.13105921671,60558.582524416575
2024-02-27,52598.013566949325,41560.69977008613,63260.74020326055
2024-02-28,51565.29243921977,40935.1984132632,62002.20796870828
2024-02-29,53169.641465321016,41606.91318556072,63571.44587476644
2024-03-01,53775.98599674698,41994.165718460354,65277.50924225911
2024-03-02,30052.307530150196,19185.69847832225,40033.45823932092
2024-03-03,20724.30989682111,9566.253420736066,30987.459716725887
2024-03-04,48865.43763739144,38333.55725646691,60461.94671024224
2024-03-05,52648.76040803873,42302.82195479708,63188.999360519214
2024-03-06,51616.039278961674,41133.2634790687,61605.47471153877
2024-03-07,53220.388303720436,42491.96026552077,64480.16729875119
2024-03-08,53826.732833823466,42624.352551922224,65193.207218033436
2024-03-09,30103.054365877848,19031.75184678856,40374.562163099916
2024-03-10,20775.056731271972,10211.845616460116,32015.87060302385
2024-03-11,48916.18447050678,37617.29354122584,59571.20193256223
2024-03-12,52699.507239798484,42450.386962876786,63619.53694679588
2024-03-13,51666.78611073333,41491.457076160994,62720.61458340137
2024-03-14,53271.135135495744,42799.20390704876,64078.5973347064
2024-03-15,53877.4796655929,42783.026929342326,64284.919826425525
2024-03-16,30153.801197650326,19882.324695440006,40948.83396259319
2024-03-17,20825.803563027283,9829.833905413365,31847.536590158845
2024-03-18,48966.93130219623,38173.33542216996,59057.52500732088
2024-03-19,52750.25407156044,41861.541532623414,64452.09547206038
2024-03-20,51717.532942504986,40547.341721363526,62805.194560939555
2024-03-21,53321.88196725269,41924.84850169834,64029.850392094435
2024-03-22,53928.22649287393,42539.27301555108,64394.69513928982
2024-03-23,30204.54802054356,20106.57939570917,42127.81317546381
2024-03-24,20876.550381413566,10395.793138281586,31558.19773059702
2024-03-25,49017.67811611243,39363.17421805578,59746.211106463285
2024-03-26,52801.0008809865,42057.509257588994,63389.91383036222
2024-03-27,51768.2797474648,40815.96540589494,61965.46247686704
2024-03-28,53372.62876777917,43113.51138725189,64241.643984657385
2024-03-29,53978.97329341923,43367.27653482923,64539.21834277177
2024-03-30,30255.29482104887,19160.41484907313,41182.10087083507
2024-03-31,20927.297181932914,10780.122297111104,32193.59900802383
2024-04-01,49068.424916620985,37732.764199837446,59047.13033598957
2024-04-02,52851.74768149999,42136.2179883278,63869.26963800399
2024-04-03,51819.02654797812,41341.763144735036,62787.51902704637
2024-04-04,53423.37556826896,42772.285489643196,63806.87736434771
2024-04-05,54029.72009389983,42817.16594213138,64575.59964110968
2024-04-06,30306.041621512835,19307.90610991402,41450.61338525889
2024-04-07,20978.043976292738,9752.465995673065,31604.44019654302
2024-04-08,49119.17170485657,38489.0772804711,59712.958962851546
2024-04-09,52902.49446356301,42844.610689295834,63725.01760338995
2024-04-10,51869.77332388411,40677.924446465215,63259.694211929665
2024-04-11,53474.12233803913,43037.55014106602,64540.292402005834
2024-04-12,54080.466857516905,43683.89903941657,64115.16337426971
2024-04-13,30356.788378990004,19870.621450653172,41547.739059105734
2024-04-14,21028.790733749483,10051.392382021133,32271.54329816958
2024-04-15,49169.91846235766,38298.21292911027,60414.85782150867
2024-04-16,52953.24122105033,41561.42103629691,63435.392811622776
2024-04-17,51920.52008138113,41186.94824072544,63012.89108448116
2024-04-18,53524.869095539805,42446.01101956837,63979.60409873938
2024-04-19,54131.21361505473,43994.27102906733,65380.079985248456
2024-04-20,30407.535136467166,18963.248456437144,40370.964059574966
2024-04-21,21079.53749123016,10461.0661023919,32103.623726466554
2024-04-22,49220.66521985874,38119.26620870647,60328.87684373293
2024-04-23,53003.966005363196,42428.95753083453,64060.59013741785
2024-04-24,51971.22289252224,40833.000936072654,62989.777798775474
2024-04-25,53575.5499334686,43128.20061454055,64611.02990598202
2024-04-26,54181.87247986052,43876.0233912234,65913.73286036817
2024-04-27,30458.172028083063,19696.740045273305,42041.7164825791
2024-04-28,21130.152409708517,10170.085361297055,31735.62134715375
2024-04-29,49271.25816507523,38759.87546755833,59957.903735096894
2024-04-30,53054.558950661245,41748.04716710625,63234.787473100565
2024-05-01,52021.8158378021,41005.802879401526,62369.495152189236
2024-05-02,53626.14287878186,42634.26275861797,64528.91101588647
2024-05-03,54232.465425106246,43040.033624727286,64774.72514751131
2024-05-04,30508.764973333797,19374.84062523927,41140.82718561227
2024-05-05,21180.74535499904,10080.198824628296,32005.183960458
2024-05-06,49321.85111037056,38096.97060570519,60481.631907200965
2024-05-07,53105.15189594061,42551.46874900041,63636.71737221514
2024-05-08,52072.40878308195,40858.03721850784,62492.43622818005
2024-05-09,53676.73582294395,42976.41273553007,64747.67829988937
2024-05-10,54283.05836816634,44956.44293707014,65097.30655164279
2024-05-11,30559.357915357396,20177.996274668014,40996.0714201686
2024-05-12,21231.33829583168,10404.80338624131,31977.84080674691
2024-05-13,49372.444050108425,38078.18801691204,60408.668959955874
2024-05-14,53155.74483453757,42338.10478573866,63856.584804441685
2024-05-15,52123.00172057194,41530.92636254269,62617.44450070728
2024-05-16,53727.328760419165,43446.57719821853,64112.932402897444
2024-05-17,54333.65130565411,43529.959233964,65117.603811544206
2024-05-18,30609.950852806847,20177.38822522975,41780.832969267096
2024-05-19,21281.931233320924,11122.246242654433,32034.314947868814
2024-05-20,49423.03698760247,39152.46814878249,59967.535912306674
2024-05-21,53206.337772015664,42655.35315159001,63938.4848531317
2024-05-22,52173.594658059345,41871.294108658556,63103.540532655956
2024-05-23,53777.92169789445,43386.96748450543,64594.38762897079
2024-05-24,54384.244243098554,43416.332100551255,65017.97722720147
2024-05-25,30660.543786357848,20097.709340565067,42421.15707221061
2024-05-26,21332.524162875423,11108.61212015953,32045.750296455095
